userid	voucherCode	status	campaignID	time
25847	1104-11	GIVEN	1104	2022-01-16 00:40:27.150
26542	1102-16	GIVEN	1102	2022-01-16 07:07:39.669
25880	1105-53	GIVEN	1105	2022-01-16 13:57:28.296
11602	1100-76	GIVEN	1100	2022-01-16 19:46:32.000
9719	1105-81	GIVEN	1105	2022-01-16 23:31:35.252
36625	1103-90	GIVEN	1103	2022-01-16 08:58:37.192
39186	1101-181	GIVEN	1101	2022-01-16 09:34:31.920
14392	1104-205	GIVEN	1104	2022-01-16 18:46:31.550
19476	1103-215	GIVEN	1103	2022-01-16 15:56:11.631
6806	1108-249	GIVEN	1108	2022-01-16 03:06:13.039
28410	1101-273	GIVEN	1101	2022-01-16 11:01:06.082
32817	1103-294	GIVEN	1103	2022-01-16 05:25:07.286
16149	1107-308	GIVEN	1107	2022-01-16 04:49:35.651
35524	1105-325	GIVEN	1105	2022-01-16 08:00:59.978
25639	1100-340	GIVEN	1100	2022-01-16 09:50:29.833
5328	1102-355	GIVEN	1102	2022-01-16 15:12:44.271
4204	1102-358	GIVEN	1102	2022-01-16 04:38:43.492
29878	1109-371	GIVEN	1109	2022-01-16 07:00:55.128
21171	1102-386	GIVEN	1102	2022-01-16 18:26:05.596
25156	1102-390	GIVEN	1102	2022-01-16 17:24:06.012
2132	1100-409	GIVEN	1100	2022-01-16 13:18:26.300
7053	1105-412	GIVEN	1105	2022-01-16 21:26:25.745
35913	1109-473	GIVEN	1109	2022-01-16 00:20:56.193
36358	1107-477	GIVEN	1107	2022-01-16 13:45:31.691
30346	1102-515	GIVEN	1102	2022-01-16 12:42:43.932
25499	1109-571	GIVEN	1109	2022-01-16 19:05:42.280
24535	1101-595	GIVEN	1101	2022-01-16 01:24:05.762
14621	1108-626	GIVEN	1108	2022-01-16 18:49:21.885
3929	1105-642	GIVEN	1105	2022-01-16 13:38:26.086
3936	1101-644	GIVEN	1101	2022-01-16 17:08:48.417
34961	1102-670	GIVEN	1102	2022-01-16 05:48:45.156
5261	1100-729	GIVEN	1100	2022-01-16 09:23:11.080
1519	1106-798	GIVEN	1106	2022-01-16 19:15:22.575
14478	1104-815	GIVEN	1104	2022-01-16 12:32:47.447
2086	1108-820	GIVEN	1108	2022-01-16 10:45:35.412
35807	1103-831	GIVEN	1103	2022-01-16 11:25:28.575
4626	1107-832	GIVEN	1107	2022-01-16 11:52:18.082
22890	1105-927	GIVEN	1105	2022-01-16 15:49:34.489
37039	1100-949	GIVEN	1100	2022-01-16 06:56:01.853
15361	1101-965	GIVEN	1101	2022-01-16 19:28:52.668
30450	1101-1011	GIVEN	1101	2022-01-16 03:47:22.521
8428	1107-1019	GIVEN	1107	2022-01-16 16:38:41.666
3144	1108-1128	GIVEN	1108	2022-01-16 03:39:39.427
33576	1107-1131	GIVEN	1107	2022-01-16 19:37:19.744
23004	1105-1138	GIVEN	1105	2022-01-16 06:03:23.320
3515	1103-1198	GIVEN	1103	2022-01-16 15:46:05.737
36784	1108-1250	GIVEN	1108	2022-01-16 03:40:41.207
17346	1107-1263	GIVEN	1107	2022-01-16 07:15:53.490
1367	1108-1278	GIVEN	1108	2022-01-16 04:23:20.446
2004	1102-1390	GIVEN	1102	2022-01-16 09:56:37.575
7280	1108-1443	GIVEN	1108	2022-01-16 17:58:17.094
10363	1103-1467	GIVEN	1103	2022-01-16 01:15:02.552
11662	1104-1468	GIVEN	1104	2022-01-16 12:27:02.582
26320	1101-1504	GIVEN	1101	2022-01-16 05:55:47.599
9167	1104-1559	GIVEN	1104	2022-01-16 11:26:31.605
27851	1103-1588	GIVEN	1103	2022-01-16 12:47:39.989
611	1107-1607	GIVEN	1107	2022-01-16 20:33:32.707
34114	1105-1701	GIVEN	1105	2022-01-16 14:04:21.177
2	1107-1781	GIVEN	1107	2022-01-16 14:48:25.640
5779	1108-1794	GIVEN	1108	2022-01-16 09:48:54.520
23623	1102-1813	GIVEN	1102	2022-01-16 11:03:08.719
10276	1104-1815	GIVEN	1104	2022-01-16 05:55:10.912
25955	1106-1818	GIVEN	1106	2022-01-16 10:37:28.891
14294	1103-1840	GIVEN	1103	2022-01-16 16:45:37.226
2693	1106-1885	GIVEN	1106	2022-01-16 08:21:12.941
24147	1103-1917	GIVEN	1103	2022-01-16 11:48:08.977
38686	1100-1941	GIVEN	1100	2022-01-16 12:25:11.806
36285	1108-1962	GIVEN	1108	2022-01-16 10:10:25.120
11665	1100-1999	GIVEN	1100	2022-01-16 11:47:29.467
22914	1106-2019	GIVEN	1106	2022-01-16 13:33:57.784
3117	1101-2023	GIVEN	1101	2022-01-16 11:13:02.366
36563	1103-2044	GIVEN	1103	2022-01-16 02:09:06.986
29365	1109-2077	GIVEN	1109	2022-01-16 09:34:22.708
27944	1102-2084	GIVEN	1102	2022-01-16 13:23:48.586
18174	1109-2092	GIVEN	1109	2022-01-16 21:05:59.384
19834	1106-2162	GIVEN	1106	2022-01-16 00:49:50.562
24708	1108-2235	GIVEN	1108	2022-01-16 13:52:40.613
24662	1101-2256	GIVEN	1101	2022-01-16 22:41:59.986
19301	1107-2270	GIVEN	1107	2022-01-16 15:48:03.118
27224	1100-2329	GIVEN	1100	2022-01-16 04:46:06.096
28149	1106-2352	GIVEN	1106	2022-01-16 18:42:34.719
8883	1104-2422	GIVEN	1104	2022-01-16 19:23:50.292
35186	1105-2460	GIVEN	1105	2022-01-16 04:55:49.256
37589	1102-2488	GIVEN	1102	2022-01-16 22:47:26.176
24239	1108-2510	GIVEN	1108	2022-01-16 02:51:07.096
13281	1108-2555	GIVEN	1108	2022-01-16 17:18:29.232
2624	1106-2574	GIVEN	1106	2022-01-16 02:08:21.890
28264	1107-2613	GIVEN	1107	2022-01-16 20:13:15.144
23030	1105-2650	GIVEN	1105	2022-01-16 19:20:33.976
24104	1102-2659	GIVEN	1102	2022-01-16 09:01:06.699
34210	1101-2737	GIVEN	1101	2022-01-16 19:51:45.100
9879	1102-2752	GIVEN	1102	2022-01-16 23:18:52.978
8017	1108-2846	GIVEN	1108	2022-01-16 05:46:09.719
22931	1101-2858	GIVEN	1101	2022-01-16 18:59:57.619
34035	1107-2871	GIVEN	1107	2022-01-16 23:41:54.149
16081	1103-2937	GIVEN	1103	2022-01-16 16:46:21.466
34860	1106-2958	GIVEN	1106	2022-01-16 19:48:43.794
14951	1105-3041	GIVEN	1105	2022-01-16 09:01:18.062
36689	1103-3044	GIVEN	1103	2022-01-16 02:50:14.405
17497	1100-3058	GIVEN	1100	2022-01-16 14:22:25.202
33404	1100-3084	GIVEN	1100	2022-01-16 04:50:20.373
6060	1102-3105	GIVEN	1102	2022-01-16 04:48:13.478
15175	1107-3122	GIVEN	1107	2022-01-16 00:58:08.685
27837	1108-3127	GIVEN	1108	2022-01-16 07:42:55.957
31801	1105-3142	GIVEN	1105	2022-01-16 08:56:59.721
13988	1103-3159	GIVEN	1103	2022-01-16 01:21:14.749
27030	1103-3175	GIVEN	1103	2022-01-16 02:38:44.904
7380	1100-3181	GIVEN	1100	2022-01-16 10:25:08.218
25157	1104-3218	GIVEN	1104	2022-01-16 02:26:54.129
15629	1100-3254	GIVEN	1100	2022-01-16 14:16:14.281
13416	1109-3315	GIVEN	1109	2022-01-16 17:31:59.230
