userid	voucherCode	status	campaignID	time
12640	1102-59	GIVEN	1102	2022-01-19 19:56:23.642
33091	1108-75	GIVEN	1108	2022-01-19 07:12:36.835
3299	1105-138	GIVEN	1105	2022-01-19 17:49:40.627
12754	1104-150	GIVEN	1104	2022-01-19 14:40:47.567
36089	1104-178	GIVEN	1104	2022-01-19 06:02:06.091
31068	1104-182	GIVEN	1104	2022-01-19 07:42:19.114
20177	1100-208	GIVEN	1100	2022-01-19 07:34:03.568
25073	1107-212	GIVEN	1107	2022-01-19 11:35:48.546
35141	1108-375	GIVEN	1108	2022-01-19 16:08:07.649
8837	1104-406	GIVEN	1104	2022-01-19 07:32:35.394
20991	1109-424	GIVEN	1109	2022-01-19 21:46:04.642
12651	1101-436	GIVEN	1101	2022-01-19 09:39:45.237
31068	1103-475	GIVEN	1103	2022-01-19 16:34:40.419
26509	1109-489	GIVEN	1109	2022-01-19 08:35:39.576
32018	1108-517	GIVEN	1108	2022-01-19 01:56:39.671
7248	1109-524	GIVEN	1109	2022-01-19 21:42:48.388
7276	1103-578	GIVEN	1103	2022-01-19 19:48:00.340
15063	1108-600	GIVEN	1108	2022-01-19 14:00:16.233
16846	1108-601	GIVEN	1108	2022-01-19 14:35:48.066
35930	1104-612	GIVEN	1104	2022-01-19 00:10:02.848
30368	1108-637	GIVEN	1108	2022-01-19 21:51:57.795
28301	1105-656	GIVEN	1105	2022-01-19 14:27:19.904
25682	1106-697	GIVEN	1106	2022-01-19 22:03:48.647
16896	1107-785	GIVEN	1107	2022-01-19 08:49:06.296
3788	1109-806	GIVEN	1109	2022-01-19 03:19:52.373
6967	1106-816	GIVEN	1106	2022-01-19 04:55:19.571
38004	1103-837	GIVEN	1103	2022-01-19 17:56:03.410
19961	1106-862	GIVEN	1106	2022-01-19 04:01:43.249
2367	1102-932	GIVEN	1102	2022-01-19 11:00:37.837
444	1102-936	GIVEN	1102	2022-01-19 01:08:37.980
13332	1102-1064	GIVEN	1102	2022-01-19 11:32:18.149
35580	1101-1104	GIVEN	1101	2022-01-19 06:30:52.350
17869	1109-1111	GIVEN	1109	2022-01-19 01:36:08.708
19048	1102-1122	GIVEN	1102	2022-01-19 05:30:34.011
32150	1107-1192	GIVEN	1107	2022-01-19 14:27:31.647
20901	1108-1195	GIVEN	1108	2022-01-19 02:27:14.702
2376	1106-1205	GIVEN	1106	2022-01-19 16:07:57.647
2350	1106-1227	GIVEN	1106	2022-01-19 04:14:43.215
23487	1109-1256	GIVEN	1109	2022-01-19 00:18:38.849
9295	1102-1305	GIVEN	1102	2022-01-19 10:41:02.917
10247	1103-1318	GIVEN	1103	2022-01-19 10:43:44.263
2519	1106-1328	GIVEN	1106	2022-01-19 13:35:09.199
14943	1104-1339	GIVEN	1104	2022-01-19 14:50:04.822
5821	1103-1359	GIVEN	1103	2022-01-19 12:24:40.724
13093	1108-1362	GIVEN	1108	2022-01-19 06:55:07.315
26843	1105-1391	GIVEN	1105	2022-01-19 18:24:35.353
