userid	voucherCode	status	campaignID	time
19178	1109-40	GIVEN	1109	2022-01-20 17:16:44.746
21423	1102-95	GIVEN	1102	2022-01-20 17:01:27.483
21211	1105-100	GIVEN	1105	2022-01-20 05:30:59.084
25222	1109-164	GIVEN	1109	2022-01-20 17:32:02.762
5579	1103-241	GIVEN	1103	2022-01-20 20:00:06.851
1257	1105-253	GIVEN	1105	2022-01-20 19:30:11.600
17208	1105-264	GIVEN	1105	2022-01-20 20:16:18.963
30976	1107-289	GIVEN	1107	2022-01-20 07:51:13.477
9731	1102-329	GIVEN	1102	2022-01-20 11:36:07.045
34878	1100-345	GIVEN	1100	2022-01-20 06:13:29.710
36603	1101-352	GIVEN	1101	2022-01-20 21:39:49.415
32889	1108-370	GIVEN	1108	2022-01-20 08:14:25.745
19384	1107-388	GIVEN	1107	2022-01-20 01:33:20.342
33341	1106-413	GIVEN	1106	2022-01-20 11:46:55.359
28542	1100-542	GIVEN	1100	2022-01-20 07:07:04.690
29071	1105-543	GIVEN	1105	2022-01-20 00:39:36.252
18083	1102-555	GIVEN	1102	2022-01-20 07:48:46.468
9076	1106-574	GIVEN	1106	2022-01-20 13:57:53.865
16626	1105-591	GIVEN	1105	2022-01-20 23:18:32.271
2660	1109-605	GIVEN	1109	2022-01-20 09:02:46.985
22176	1102-711	GIVEN	1102	2022-01-20 05:58:45.235
23432	1104-766	GIVEN	1104	2022-01-20 15:31:49.079
1595	1108-842	GIVEN	1108	2022-01-20 10:43:14.229
12278	1103-854	GIVEN	1103	2022-01-20 08:50:17.308
33685	1109-887	GIVEN	1109	2022-01-20 04:35:47.050
5559	1101-999	GIVEN	1101	2022-01-20 17:58:39.064
26722	1103-1021	GIVEN	1103	2022-01-20 01:14:01.929
22151	1105-1054	GIVEN	1105	2022-01-20 18:47:17.318
16959	1101-1078	GIVEN	1101	2022-01-20 06:52:21.545
34931	1108-1109	GIVEN	1108	2022-01-20 00:49:32.539
4599	1105-1249	GIVEN	1105	2022-01-20 14:20:17.288
31492	1106-1277	GIVEN	1106	2022-01-20 19:18:45.482
32558	1107-1288	GIVEN	1107	2022-01-20 17:20:53.487
20720	1108-1295	GIVEN	1108	2022-01-20 00:43:51.677
4526	1101-1301	GIVEN	1101	2022-01-20 17:33:39.253
34625	1104-1319	GIVEN	1104	2022-01-20 00:03:09.113
6401	1104-1324	GIVEN	1104	2022-01-20 06:45:44.350
26743	1107-1338	GIVEN	1107	2022-01-20 10:52:22.295
980	1105-1358	GIVEN	1105	2022-01-20 05:56:48.296
22616	1108-1376	GIVEN	1108	2022-01-20 00:51:06.195
1863	1102-1421	GIVEN	1102	2022-01-20 04:12:25.111
12842	1105-1455	GIVEN	1105	2022-01-20 13:50:57.891
21194	1109-1497	GIVEN	1109	2022-01-20 19:13:30.493
20341	1101-1517	GIVEN	1101	2022-01-20 21:28:28.564
23237	1101-1561	GIVEN	1101	2022-01-20 10:33:13.034
34506	1104-1578	GIVEN	1104	2022-01-20 14:40:40.699
39227	1107-1650	GIVEN	1107	2022-01-20 21:01:13.989
33386	1101-1709	GIVEN	1101	2022-01-20 05:02:21.946
9874	1101-1713	GIVEN	1101	2022-01-20 10:32:46.347
3074	1104-1735	GIVEN	1104	2022-01-20 10:26:40.126
3934	1106-1739	GIVEN	1106	2022-01-20 03:17:31.169
7601	1105-1776	GIVEN	1105	2022-01-20 19:16:48.477
19791	1109-1777	GIVEN	1109	2022-01-20 18:45:28.752
17531	1106-1782	GIVEN	1106	2022-01-20 08:10:06.641
4866	1101-1789	GIVEN	1101	2022-01-20 00:28:57.585
29143	1100-1838	GIVEN	1100	2022-01-20 16:25:12.167
6921	1103-1841	GIVEN	1103	2022-01-20 07:33:15.228
19126	1102-1888	GIVEN	1102	2022-01-20 00:31:35.261
8842	1107-1933	GIVEN	1107	2022-01-20 03:01:46.125
22875	1108-1947	GIVEN	1108	2022-01-20 04:09:13.852
31851	1109-1953	GIVEN	1109	2022-01-20 09:31:07.663
33575	1105-1970	GIVEN	1105	2022-01-20 16:17:34.460
28769	1104-1981	GIVEN	1104	2022-01-20 04:38:07.768
28238	1101-2004	GIVEN	1101	2022-01-20 06:32:19.158
30722	1104-2020	GIVEN	1104	2022-01-20 11:36:43.069
21553	1108-2033	GIVEN	1108	2022-01-20 17:22:30.917
32427	1103-2036	GIVEN	1103	2022-01-20 18:45:45.331
9336	1108-2079	GIVEN	1108	2022-01-20 08:57:09.229
6860	1108-2083	GIVEN	1108	2022-01-20 02:02:06.700
17474	1104-2094	GIVEN	1104	2022-01-20 23:45:02.310
22254	1101-2118	GIVEN	1101	2022-01-20 15:05:03.655
13081	1106-2130	GIVEN	1106	2022-01-20 22:49:55.601
951	1100-2177	GIVEN	1100	2022-01-20 09:10:37.817
5738	1100-2238	GIVEN	1100	2022-01-20 21:16:23.367
15617	1104-2293	GIVEN	1104	2022-01-20 00:40:30.282
26943	1105-2304	GIVEN	1105	2022-01-20 16:49:53.785
25362	1107-2320	GIVEN	1107	2022-01-20 22:24:11.570
23248	1102-2370	GIVEN	1102	2022-01-20 03:50:33.577
12435	1105-2379	GIVEN	1105	2022-01-20 18:54:13.955
12859	1101-2412	GIVEN	1101	2022-01-20 01:22:10.840
34680	1107-2458	GIVEN	1107	2022-01-20 01:20:22.789
16850	1105-2507	GIVEN	1105	2022-01-20 08:17:21.606
26884	1107-2554	GIVEN	1107	2022-01-20 10:55:49.200
23770	1103-2556	GIVEN	1103	2022-01-20 08:20:54.974
33052	1107-2571	GIVEN	1107	2022-01-20 20:49:00.450
26169	1108-2581	GIVEN	1108	2022-01-20 01:43:03.248
8046	1101-2585	GIVEN	1101	2022-01-20 16:39:13.459
