userid	voucherCode	status	campaignID	time
126	1109-18	GIVEN	1109	2022-01-21 07:08:34.093
31296	1108-42	GIVEN	1108	2022-01-21 07:26:07.054
36681	1100-113	GIVEN	1100	2022-01-21 12:56:02.861
15408	1104-161	GIVEN	1104	2022-01-21 04:24:26.716
39486	1104-256	GIVEN	1104	2022-01-21 14:55:49.776
37268	1102-293	GIVEN	1102	2022-01-21 13:51:38.684
29559	1101-348	GIVEN	1101	2022-01-21 16:11:03.290
33741	1109-354	GIVEN	1109	2022-01-21 14:26:28.535
8582	1103-382	GIVEN	1103	2022-01-21 04:38:05.782
34137	1101-422	GIVEN	1101	2022-01-21 01:13:14.950
16820	1100-438	GIVEN	1100	2022-01-21 00:22:08.105
25372	1101-455	GIVEN	1101	2022-01-21 12:47:02.512
21382	1102-468	GIVEN	1102	2022-01-21 16:48:41.032
38310	1105-491	GIVEN	1105	2022-01-21 10:58:21.046
12866	1101-588	GIVEN	1101	2022-01-21 04:20:29.203
18742	1109-608	GIVEN	1109	2022-01-21 19:55:31.579
17317	1106-629	GIVEN	1106	2022-01-21 18:47:55.971
38320	1107-682	GIVEN	1107	2022-01-21 09:56:27.897
3000	1104-732	GIVEN	1104	2022-01-21 04:14:53.743
32956	1107-733	GIVEN	1107	2022-01-21 12:52:38.845
846	1109-738	GIVEN	1109	2022-01-21 08:53:51.021
16829	1101-764	GIVEN	1101	2022-01-21 06:35:49.005
26488	1107-778	GIVEN	1107	2022-01-21 05:12:04.850
20182	1109-811	GIVEN	1109	2022-01-21 17:45:12.963
33087	1100-840	GIVEN	1100	2022-01-21 02:34:52.306
20719	1105-859	GIVEN	1105	2022-01-21 02:30:11.282
15285	1109-874	GIVEN	1109	2022-01-21 05:23:27.031
2995	1102-875	GIVEN	1102	2022-01-21 09:07:30.615
12967	1101-893	GIVEN	1101	2022-01-21 09:50:31.709
36161	1106-897	GIVEN	1106	2022-01-21 21:48:57.064
33528	1105-961	GIVEN	1105	2022-01-21 06:24:08.580
18749	1103-991	GIVEN	1103	2022-01-21 21:35:32.777
31833	1104-1028	GIVEN	1104	2022-01-21 05:05:54.897
20273	1108-1060	GIVEN	1108	2022-01-21 08:17:16.338
37553	1106-1067	GIVEN	1106	2022-01-21 22:35:16.195
27715	1104-1135	GIVEN	1104	2022-01-21 16:27:18.520
4740	1109-1266	GIVEN	1109	2022-01-21 15:42:56.542
38448	1105-1346	GIVEN	1105	2022-01-21 07:23:52.186
1797	1104-1387	GIVEN	1104	2022-01-21 14:21:06.058
3908	1104-1397	GIVEN	1104	2022-01-21 00:09:35.503
17154	1108-1434	GIVEN	1108	2022-01-21 01:09:55.605
24186	1102-1439	GIVEN	1102	2022-01-21 13:21:13.250
14184	1106-1520	GIVEN	1106	2022-01-21 05:34:29.154
6746	1102-1534	GIVEN	1102	2022-01-21 02:03:26.229
24769	1102-1546	GIVEN	1102	2022-01-21 06:59:48.109
2630	1100-1557	GIVEN	1100	2022-01-21 05:36:15.778
8607	1103-1625	GIVEN	1103	2022-01-21 11:03:03.429
30984	1109-1644	GIVEN	1109	2022-01-21 06:07:07.582
34527	1106-1672	GIVEN	1106	2022-01-21 13:25:32.201
24924	1104-1686	GIVEN	1104	2022-01-21 19:47:07.972
22157	1107-1687	GIVEN	1107	2022-01-21 17:38:33.031
32290	1105-1688	GIVEN	1105	2022-01-21 22:30:46.071
31995	1105-1707	GIVEN	1105	2022-01-21 06:44:50.160
643	1102-1775	GIVEN	1102	2022-01-21 20:44:47.689
28159	1105-1793	GIVEN	1105	2022-01-21 18:41:08.580
7651	1105-1799	GIVEN	1105	2022-01-21 23:09:45.739
7805	1104-1810	GIVEN	1104	2022-01-21 00:15:52.286
15068	1105-1847	GIVEN	1105	2022-01-21 10:10:40.501
12457	1107-1849	GIVEN	1107	2022-01-21 02:30:23.621
22767	1102-1922	GIVEN	1102	2022-01-21 11:38:33.822
6793	1107-1927	GIVEN	1107	2022-01-21 11:23:49.895
3103	1104-1955	GIVEN	1104	2022-01-21 19:27:59.902
26277	1107-1957	GIVEN	1107	2022-01-21 11:39:59.628
10229	1108-1961	GIVEN	1108	2022-01-21 00:36:07.848
20732	1109-2003	GIVEN	1109	2022-01-21 18:20:41.966
22740	1108-2047	GIVEN	1108	2022-01-21 23:05:45.436
5258	1105-2056	GIVEN	1105	2022-01-21 22:56:18.708
27712	1103-2070	GIVEN	1103	2022-01-21 23:13:19.496
10277	1107-2072	GIVEN	1107	2022-01-21 08:40:50.797
23940	1100-2087	GIVEN	1100	2022-01-21 19:37:08.341
16754	1108-2096	GIVEN	1108	2022-01-21 00:13:51.592
6774	1106-2170	GIVEN	1106	2022-01-21 08:08:34.788
6116	1104-2175	GIVEN	1104	2022-01-21 20:40:13.178
17274	1109-2200	GIVEN	1109	2022-01-21 03:24:35.617
4233	1107-2299	GIVEN	1107	2022-01-21 12:42:43.097
1874	1107-2321	GIVEN	1107	2022-01-21 14:45:40.380
24133	1103-2323	GIVEN	1103	2022-01-21 08:01:40.615
11017	1104-2364	GIVEN	1104	2022-01-21 01:36:40.100
29508	1103-2382	GIVEN	1103	2022-01-21 16:27:00.570
18976	1103-2385	GIVEN	1103	2022-01-21 19:11:10.027
8184	1108-2409	GIVEN	1108	2022-01-21 22:02:57.514
9048	1101-2432	GIVEN	1101	2022-01-21 15:11:28.191
35091	1109-2450	GIVEN	1109	2022-01-21 20:53:00.895
31165	1109-2504	GIVEN	1109	2022-01-21 19:19:03.283
29304	1101-2506	GIVEN	1101	2022-01-21 21:16:40.930
23825	1105-2516	GIVEN	1105	2022-01-21 16:32:27.510
29726	1104-2520	GIVEN	1104	2022-01-21 13:13:39.827
35270	1109-2531	GIVEN	1109	2022-01-21 21:17:57.315
18776	1104-2553	GIVEN	1104	2022-01-21 01:12:35.020
3417	1106-2593	GIVEN	1106	2022-01-21 11:23:19.958
14828	1104-2612	GIVEN	1104	2022-01-21 03:10:35.239
11779	1106-2636	GIVEN	1106	2022-01-21 04:15:47.555
33692	1109-2668	GIVEN	1109	2022-01-21 02:54:39.197
20723	1102-2683	GIVEN	1102	2022-01-21 14:38:25.789
1530	1107-2714	GIVEN	1107	2022-01-21 09:32:16.352
24470	1106-2743	GIVEN	1106	2022-01-21 08:41:42.529
28254	1107-2763	GIVEN	1107	2022-01-21 19:10:43.996
9288	1107-2783	GIVEN	1107	2022-01-21 00:32:10.557
2336	1108-2811	GIVEN	1108	2022-01-21 11:47:47.060
2648	1106-2833	GIVEN	1106	2022-01-21 18:07:44.751
30060	1109-2841	GIVEN	1109	2022-01-21 21:18:51.667
17311	1100-2843	GIVEN	1100	2022-01-21 21:17:33.932
36270	1106-2855	GIVEN	1106	2022-01-21 01:17:40.458
26337	1107-2856	GIVEN	1107	2022-01-21 12:34:11.660
29147	1108-2872	GIVEN	1108	2022-01-21 13:02:29.638
29876	1104-2876	GIVEN	1104	2022-01-21 06:42:34.820
9114	1101-2961	GIVEN	1101	2022-01-21 03:08:06.363
21887	1105-3011	GIVEN	1105	2022-01-21 09:31:15.788
39176	1106-3067	GIVEN	1106	2022-01-21 08:50:24.947
34189	1102-3082	GIVEN	1102	2022-01-21 05:02:27.625
22054	1101-3117	GIVEN	1101	2022-01-21 03:53:24.104
18392	1107-3167	GIVEN	1107	2022-01-21 23:46:16.121
12803	1101-3195	GIVEN	1101	2022-01-21 17:48:01.027
38573	1101-3197	GIVEN	1101	2022-01-21 22:35:35.321
14918	1105-3316	GIVEN	1105	2022-01-21 21:00:26.496
35695	1104-3322	GIVEN	1104	2022-01-21 01:55:17.286
24790	1109-3334	GIVEN	1109	2022-01-21 02:25:07.155
30698	1102-3358	GIVEN	1102	2022-01-21 13:12:32.174
30494	1108-3441	GIVEN	1108	2022-01-21 15:13:16.540
8633	1103-3518	GIVEN	1103	2022-01-21 14:40:14.266
29065	1102-3522	GIVEN	1102	2022-01-21 23:22:15.493
31487	1102-3541	GIVEN	1102	2022-01-21 13:14:54.927
14937	1105-3543	GIVEN	1105	2022-01-21 19:52:03.472
32749	1103-3555	GIVEN	1103	2022-01-21 13:07:47.141
37612	1103-3658	GIVEN	1103	2022-01-21 06:48:55.394
20123	1106-3659	GIVEN	1106	2022-01-21 21:09:50.789
17178	1108-3774	GIVEN	1108	2022-01-21 15:08:51.820
4383	1107-3815	GIVEN	1107	2022-01-21 21:29:58.225
21217	1102-3822	GIVEN	1102	2022-01-21 21:41:48.494
24830	1100-3825	GIVEN	1100	2022-01-21 08:34:38.501
26022	1108-3843	GIVEN	1108	2022-01-21 02:23:12.846
15082	1102-3900	GIVEN	1102	2022-01-21 18:39:42.824
7979	1104-3932	GIVEN	1104	2022-01-21 21:18:35.587
