userid	voucherCode	status	campaignID	time
4502	1108-29	GIVEN	1108	2022-01-22 15:03:55.291
35304	1102-69	GIVEN	1102	2022-01-22 07:57:17.133
37805	1101-78	GIVEN	1101	2022-01-22 22:30:09.921
9433	1104-85	GIVEN	1104	2022-01-22 21:03:25.591
6327	1104-126	GIVEN	1104	2022-01-22 05:59:53.314
12529	1107-194	GIVEN	1107	2022-01-22 09:24:25.653
20613	1103-243	GIVEN	1103	2022-01-22 10:28:55.515
12266	1109-305	GIVEN	1109	2022-01-22 16:21:30.983
38091	1102-307	GIVEN	1102	2022-01-22 19:59:11.025
38538	1100-454	GIVEN	1100	2022-01-22 19:43:03.191
9648	1103-462	GIVEN	1103	2022-01-22 17:12:25.347
2982	1100-498	GIVEN	1100	2022-01-22 06:18:33.193
22711	1109-516	GIVEN	1109	2022-01-22 01:16:58.324
23620	1100-522	GIVEN	1100	2022-01-22 13:01:27.991
22904	1109-540	GIVEN	1109	2022-01-22 12:18:59.355
22358	1108-561	GIVEN	1108	2022-01-22 14:02:33.025
11297	1101-593	GIVEN	1101	2022-01-22 15:23:18.353
39749	1101-649	GIVEN	1101	2022-01-22 06:17:27.613
31296	1101-679	GIVEN	1101	2022-01-22 11:19:04.431
31991	1109-734	GIVEN	1109	2022-01-22 21:32:33.094
33928	1106-737	GIVEN	1106	2022-01-22 18:46:53.582
34491	1101-814	GIVEN	1101	2022-01-22 03:06:50.875
17429	1101-838	GIVEN	1101	2022-01-22 01:01:46.833
13515	1102-867	GIVEN	1102	2022-01-22 13:38:14.563
30075	1108-881	GIVEN	1108	2022-01-22 11:42:59.303
12	1101-888	GIVEN	1101	2022-01-22 23:52:33.980
17788	1107-892	GIVEN	1107	2022-01-22 13:10:34.323
23644	1101-950	GIVEN	1101	2022-01-22 03:50:57.099
8205	1103-967	GIVEN	1103	2022-01-22 14:42:34.451
29093	1103-1085	GIVEN	1103	2022-01-22 05:55:51.250
21924	1106-1094	GIVEN	1106	2022-01-22 12:42:32.695
29159	1101-1119	GIVEN	1101	2022-01-22 23:35:08.571
3886	1104-1132	GIVEN	1104	2022-01-22 07:18:01.440
35206	1104-1147	GIVEN	1104	2022-01-22 18:10:48.180
32283	1105-1168	GIVEN	1105	2022-01-22 12:07:14.066
23885	1109-1188	GIVEN	1109	2022-01-22 18:40:27.794
5219	1102-1253	GIVEN	1102	2022-01-22 23:46:40.361
14118	1107-1344	GIVEN	1107	2022-01-22 05:17:35.669
31585	1102-1366	GIVEN	1102	2022-01-22 15:42:10.141
14058	1105-1382	GIVEN	1105	2022-01-22 04:08:43.623
27876	1108-1396	GIVEN	1108	2022-01-22 12:00:34.642
19048	1105-1402	GIVEN	1105	2022-01-22 10:47:23.973
36162	1109-1435	GIVEN	1109	2022-01-22 21:55:47.263
13496	1107-1484	GIVEN	1107	2022-01-22 12:08:49.134
35050	1102-1505	GIVEN	1102	2022-01-22 05:13:49.561
1849	1109-1538	GIVEN	1109	2022-01-22 01:27:27.321
678	1103-1542	GIVEN	1103	2022-01-22 08:32:11.736
