userid	voucherCode	status	campaignID	time
23336	1105-15	GIVEN	1105	2022-01-23 19:23:52.626
39381	1102-32	GIVEN	1102	2022-01-23 00:17:57.485
30561	1103-87	GIVEN	1103	2022-01-23 19:52:25.052
24052	1104-110	GIVEN	1104	2022-01-23 21:20:22.729
32975	1103-170	GIVEN	1103	2022-01-23 05:37:42.610
30539	1102-220	GIVEN	1102	2022-01-23 02:23:09.212
2322	1102-222	GIVEN	1102	2022-01-23 21:14:02.918
19611	1103-359	GIVEN	1103	2022-01-23 08:55:25.046
33179	1108-368	GIVEN	1108	2022-01-23 11:24:30.453
38018	1103-381	GIVEN	1103	2022-01-23 17:20:02.479
17205	1100-443	GIVEN	1100	2022-01-23 07:12:15.014
24536	1102-446	GIVEN	1102	2022-01-23 20:00:21.780
33614	1106-447	GIVEN	1106	2022-01-23 19:08:35.994
30158	1108-458	GIVEN	1108	2022-01-23 18:48:49.715
31332	1100-560	GIVEN	1100	2022-01-23 07:56:00.787
24880	1107-562	GIVEN	1107	2022-01-23 10:39:49.596
22598	1109-678	GIVEN	1109	2022-01-23 19:20:20.749
35109	1103-686	GIVEN	1103	2022-01-23 13:18:06.617
23864	1100-749	GIVEN	1100	2022-01-23 03:34:13.390
14678	1106-787	GIVEN	1106	2022-01-23 13:10:50.200
20359	1106-828	GIVEN	1106	2022-01-23 16:50:36.389
23830	1104-855	GIVEN	1104	2022-01-23 00:56:45.951
28534	1106-886	GIVEN	1106	2022-01-23 15:52:53.600
4541	1104-910	GIVEN	1104	2022-01-23 00:22:18.326
30483	1104-1034	GIVEN	1104	2022-01-23 12:43:40.195
16128	1104-1035	GIVEN	1104	2022-01-23 21:55:40.876
25885	1109-1044	GIVEN	1109	2022-01-23 08:33:20.841
32106	1109-1056	GIVEN	1109	2022-01-23 01:34:55.815
28444	1104-1091	GIVEN	1104	2022-01-23 19:23:28.838
35050	1109-1156	GIVEN	1109	2022-01-23 08:14:39.974
15927	1109-1166	GIVEN	1109	2022-01-23 02:46:12.129
39930	1103-1201	GIVEN	1103	2022-01-23 14:32:35.889
25053	1103-1211	GIVEN	1103	2022-01-23 22:42:16.041
12090	1104-1222	GIVEN	1104	2022-01-23 23:16:57.623
28055	1104-1224	GIVEN	1104	2022-01-23 08:50:20.363
15874	1107-1226	GIVEN	1107	2022-01-23 16:18:06.211
16741	1103-1229	GIVEN	1103	2022-01-23 19:18:26.689
30267	1107-1246	GIVEN	1107	2022-01-23 21:15:22.950
34987	1108-1247	GIVEN	1108	2022-01-23 02:37:06.931
2374	1109-1264	GIVEN	1109	2022-01-23 15:04:21.448
21938	1104-1271	GIVEN	1104	2022-01-23 08:54:57.905
20674	1101-1283	GIVEN	1101	2022-01-23 14:31:45.262
14010	1105-1289	GIVEN	1105	2022-01-23 11:00:17.545
1063	1103-1314	GIVEN	1103	2022-01-23 14:10:30.616
14619	1105-1337	GIVEN	1105	2022-01-23 11:25:32.765
19287	1108-1356	GIVEN	1108	2022-01-23 20:25:17.288
31476	1104-1371	GIVEN	1104	2022-01-23 05:57:46.947
38356	1107-1406	GIVEN	1107	2022-01-23 18:36:28.302
36760	1104-1427	GIVEN	1104	2022-01-23 11:05:41.622
4933	1106-1485	GIVEN	1106	2022-01-23 09:15:04.464
30343	1108-1510	GIVEN	1108	2022-01-23 15:01:19.719
17900	1108-1512	GIVEN	1108	2022-01-23 13:58:11.818
24341	1106-1585	GIVEN	1106	2022-01-23 04:40:42.296
4226	1107-1589	GIVEN	1107	2022-01-23 23:07:37.284
29420	1106-1602	GIVEN	1106	2022-01-23 19:24:46.550
36394	1106-1608	GIVEN	1106	2022-01-23 03:41:38.535
16092	1107-1647	GIVEN	1107	2022-01-23 14:50:06.316
15914	1104-1685	GIVEN	1104	2022-01-23 17:45:17.542
18689	1104-1723	GIVEN	1104	2022-01-23 03:11:10.049
33794	1109-1754	GIVEN	1109	2022-01-23 11:12:10.871
7587	1100-1757	GIVEN	1100	2022-01-23 08:42:35.581
27090	1104-1764	GIVEN	1104	2022-01-23 05:50:29.894
23066	1105-1856	GIVEN	1105	2022-01-23 00:10:34.023
30204	1103-1870	GIVEN	1103	2022-01-23 19:47:53.698
19211	1108-1909	GIVEN	1108	2022-01-23 07:48:40.208
36264	1100-1912	GIVEN	1100	2022-01-23 05:29:36.406
6601	1107-1915	GIVEN	1107	2022-01-23 05:51:59.539
9795	1100-1921	GIVEN	1100	2022-01-23 22:27:18.696
26436	1109-1924	GIVEN	1109	2022-01-23 23:13:10.531
28333	1104-1930	GIVEN	1104	2022-01-23 18:09:16.011
37061	1106-1973	GIVEN	1106	2022-01-23 17:36:44.178
9486	1109-1977	GIVEN	1109	2022-01-23 07:26:44.164
9023	1105-1998	GIVEN	1105	2022-01-23 05:20:30.302
32239	1109-2018	GIVEN	1109	2022-01-23 03:48:12.265
6175	1109-2129	GIVEN	1109	2022-01-23 03:55:18.141
12238	1106-2133	GIVEN	1106	2022-01-23 14:46:38.772
31961	1105-2148	GIVEN	1105	2022-01-23 14:46:46.654
17490	1109-2174	GIVEN	1109	2022-01-23 10:48:35.686
28539	1109-2197	GIVEN	1109	2022-01-23 11:33:51.387
35981	1107-2243	GIVEN	1107	2022-01-23 12:25:25.602
31843	1109-2312	GIVEN	1109	2022-01-23 04:43:31.656
28088	1106-2495	GIVEN	1106	2022-01-23 09:24:05.937
2441	1100-2500	GIVEN	1100	2022-01-23 05:17:59.113
6173	1103-2505	GIVEN	1103	2022-01-23 06:30:57.847
39614	1109-2519	GIVEN	1109	2022-01-23 23:14:42.811
9570	1108-2652	GIVEN	1108	2022-01-23 13:16:00.217
28517	1100-2684	GIVEN	1100	2022-01-23 12:40:17.732
25818	1109-2702	GIVEN	1109	2022-01-23 19:27:29.044
23848	1106-2724	GIVEN	1106	2022-01-23 10:05:47.051
34344	1100-2803	GIVEN	1100	2022-01-23 21:25:57.074
36992	1101-2835	GIVEN	1101	2022-01-23 00:11:21.563
8725	1100-2838	GIVEN	1100	2022-01-23 08:14:12.294
31313	1101-2844	GIVEN	1101	2022-01-23 02:43:21.376
23587	1105-2853	GIVEN	1105	2022-01-23 13:55:01.301
16118	1106-2877	GIVEN	1106	2022-01-23 14:42:57.778
35403	1103-2895	GIVEN	1103	2022-01-23 21:36:58.385
16254	1102-2986	GIVEN	1102	2022-01-23 10:57:19.612
2670	1108-2987	GIVEN	1108	2022-01-23 14:55:26.268
23550	1108-2992	GIVEN	1108	2022-01-23 19:41:59.476
26164	1101-3005	GIVEN	1101	2022-01-23 22:41:46.151
6239	1105-3023	GIVEN	1105	2022-01-23 10:30:34.955
23795	1100-3028	GIVEN	1100	2022-01-23 11:17:07.326
23564	1106-3087	GIVEN	1106	2022-01-23 16:42:17.634
19033	1108-3091	GIVEN	1108	2022-01-23 08:57:53.991
39936	1108-3126	GIVEN	1108	2022-01-23 07:18:03.329
25618	1108-3246	GIVEN	1108	2022-01-23 19:47:38.192
4552	1103-3416	GIVEN	1103	2022-01-23 21:49:40.368
