userid	voucherCode	status	campaignID	time
22556	1102-1	GIVEN	1102	2022-01-24 09:02:09.672
22956	1100-3	GIVEN	1100	2022-01-24 02:07:00.428
37492	1108-12	GIVEN	1108	2022-01-24 19:43:14.888
21171	1100-17	GIVEN	1100	2022-01-24 18:55:59.150
23525	1102-50	GIVEN	1102	2022-01-24 06:24:01.780
38041	1104-67	GIVEN	1104	2022-01-24 17:31:22.147
29235	1102-88	GIVEN	1102	2022-01-24 16:29:36.493
18710	1103-89	GIVEN	1103	2022-01-24 07:25:58.255
31867	1106-210	GIVEN	1106	2022-01-24 07:53:43.886
13176	1100-221	GIVEN	1100	2022-01-24 04:14:44.280
15666	1106-233	GIVEN	1106	2022-01-24 07:43:03.668
35673	1104-303	GIVEN	1104	2022-01-24 11:08:45.710
35880	1102-330	GIVEN	1102	2022-01-24 14:29:40.685
38692	1102-341	GIVEN	1102	2022-01-24 15:39:04.048
3665	1104-366	GIVEN	1104	2022-01-24 13:18:00.840
1551	1102-431	GIVEN	1102	2022-01-24 19:21:03.086
34365	1104-497	GIVEN	1104	2022-01-24 13:11:34.396
7778	1101-503	GIVEN	1101	2022-01-24 03:44:53.285
8750	1101-589	GIVEN	1101	2022-01-24 02:20:20.059
17603	1100-592	GIVEN	1100	2022-01-24 04:52:27.066
19990	1101-597	GIVEN	1101	2022-01-24 02:42:03.542
28163	1108-689	GIVEN	1108	2022-01-24 08:19:41.212
39187	1107-691	GIVEN	1107	2022-01-24 13:43:26.842
37970	1109-720	GIVEN	1109	2022-01-24 23:29:46.216
4163	1100-748	GIVEN	1100	2022-01-24 04:18:05.056
14363	1105-770	GIVEN	1105	2022-01-24 17:55:29.862
35447	1102-804	GIVEN	1102	2022-01-24 03:52:51.229
2783	1108-884	GIVEN	1108	2022-01-24 16:20:28.018
37474	1100-919	GIVEN	1100	2022-01-24 11:36:39.723
12464	1108-972	GIVEN	1108	2022-01-24 19:58:57.600
13097	1100-980	GIVEN	1100	2022-01-24 13:53:28.174
39655	1101-1055	GIVEN	1101	2022-01-24 19:17:17.853
22213	1106-1075	GIVEN	1106	2022-01-24 10:18:30.040
2987	1100-1105	GIVEN	1100	2022-01-24 20:40:01.555
27046	1101-1113	GIVEN	1101	2022-01-24 17:27:48.094
25656	1100-1151	GIVEN	1100	2022-01-24 19:45:07.088
8382	1100-1197	GIVEN	1100	2022-01-24 07:40:26.803
26551	1107-1199	GIVEN	1107	2022-01-24 19:48:55.947
35039	1107-1203	GIVEN	1107	2022-01-24 06:46:17.944
4443	1105-1204	GIVEN	1105	2022-01-24 11:40:11.025
12810	1108-1221	GIVEN	1108	2022-01-24 13:20:19.553
36923	1104-1275	GIVEN	1104	2022-01-24 10:51:22.114
38999	1100-1332	GIVEN	1100	2022-01-24 03:23:28.451
