userid	voucherCode	status	campaignID	time
23782	1108-97	GIVEN	1108	2022-01-25 12:23:42.185
32729	1106-119	GIVEN	1106	2022-01-25 06:48:28.246
28343	1107-187	GIVEN	1107	2022-01-25 20:08:35.201
36071	1109-196	GIVEN	1109	2022-01-25 14:39:21.527
12283	1103-209	GIVEN	1103	2022-01-25 19:48:20.431
7157	1108-235	GIVEN	1108	2022-01-25 02:15:18.661
26565	1101-263	GIVEN	1101	2022-01-25 17:11:47.145
33883	1104-275	GIVEN	1104	2022-01-25 05:01:26.976
19818	1102-283	GIVEN	1102	2022-01-25 00:40:48.396
19050	1101-312	GIVEN	1101	2022-01-25 19:32:37.257
12865	1106-327	GIVEN	1106	2022-01-25 16:37:18.482
10049	1103-490	GIVEN	1103	2022-01-25 20:45:27.631
29865	1109-529	GIVEN	1109	2022-01-25 22:49:09.162
12010	1103-564	GIVEN	1103	2022-01-25 20:45:30.885
21841	1101-583	GIVEN	1101	2022-01-25 19:47:57.963
25549	1105-609	GIVEN	1105	2022-01-25 15:50:25.318
37362	1107-643	GIVEN	1107	2022-01-25 19:33:02.819
12593	1100-685	GIVEN	1100	2022-01-25 13:00:27.326
19724	1101-701	GIVEN	1101	2022-01-25 02:25:18.949
17833	1101-728	GIVEN	1101	2022-01-25 12:59:12.146
7732	1106-771	GIVEN	1106	2022-01-25 15:49:04.840
8116	1100-772	GIVEN	1100	2022-01-25 15:58:54.691
18339	1100-776	GIVEN	1100	2022-01-25 16:00:50.047
20813	1103-788	GIVEN	1103	2022-01-25 16:53:20.889
16398	1108-808	GIVEN	1108	2022-01-25 12:06:20.355
37162	1102-817	GIVEN	1102	2022-01-25 06:41:35.100
11204	1101-823	GIVEN	1101	2022-01-25 20:18:37.976
21936	1100-834	GIVEN	1100	2022-01-25 09:21:49.310
12983	1107-866	GIVEN	1107	2022-01-25 04:16:48.451
30190	1105-880	GIVEN	1105	2022-01-25 08:00:43.207
5021	1103-885	GIVEN	1103	2022-01-25 18:36:37.462
38272	1102-906	GIVEN	1102	2022-01-25 10:54:41.188
27756	1104-907	GIVEN	1104	2022-01-25 17:29:42.164
4960	1107-944	GIVEN	1107	2022-01-25 16:03:13.119
6667	1104-988	GIVEN	1104	2022-01-25 07:19:29.115
28042	1107-1024	GIVEN	1107	2022-01-25 16:05:16.541
21957	1100-1053	GIVEN	1100	2022-01-25 13:30:32.056
21408	1107-1057	GIVEN	1107	2022-01-25 19:28:19.238
13873	1100-1065	GIVEN	1100	2022-01-25 14:23:36.609
38011	1109-1096	GIVEN	1109	2022-01-25 05:49:27.700
20302	1109-1126	GIVEN	1109	2022-01-25 18:08:47.007
15764	1106-1136	GIVEN	1106	2022-01-25 13:38:04.232
30716	1108-1142	GIVEN	1108	2022-01-25 08:39:41.938
26661	1100-1145	GIVEN	1100	2022-01-25 09:05:43.957
9636	1106-1150	GIVEN	1106	2022-01-25 17:48:47.709
32600	1106-1155	GIVEN	1106	2022-01-25 03:10:41.194
19504	1109-1162	GIVEN	1109	2022-01-25 13:03:43.092
16810	1102-1176	GIVEN	1102	2022-01-25 14:54:04.458
11143	1105-1180	GIVEN	1105	2022-01-25 16:12:36.010
20165	1109-1399	GIVEN	1109	2022-01-25 02:00:35.983
25947	1107-1404	GIVEN	1107	2022-01-25 03:10:36.822
