userid	voucherCode	status	campaignID	time
24310	1106-7	GIVEN	1106	2022-01-26 03:49:19.884
11834	1105-36	GIVEN	1105	2022-01-26 15:17:20.197
24809	1100-52	GIVEN	1100	2022-01-26 05:08:23.110
27238	1105-106	GIVEN	1105	2022-01-26 00:31:55.223
29999	1103-174	GIVEN	1103	2022-01-26 16:04:34.448
19321	1108-225	GIVEN	1108	2022-01-26 02:58:01.346
38115	1101-231	GIVEN	1101	2022-01-26 01:37:20.741
24955	1101-244	GIVEN	1101	2022-01-26 03:55:25.559
23234	1104-247	GIVEN	1104	2022-01-26 14:23:10.935
33798	1108-353	GIVEN	1108	2022-01-26 19:20:17.369
19898	1104-383	GIVEN	1104	2022-01-26 23:47:14.212
3259	1105-387	GIVEN	1105	2022-01-26 09:19:06.447
1180	1100-420	GIVEN	1100	2022-01-26 09:21:01.227
36531	1109-437	GIVEN	1109	2022-01-26 14:20:06.935
38091	1104-535	GIVEN	1104	2022-01-26 22:20:43.148
25248	1104-559	GIVEN	1104	2022-01-26 17:26:45.835
14947	1102-576	GIVEN	1102	2022-01-26 18:53:17.066
7768	1104-602	GIVEN	1104	2022-01-26 10:17:10.044
35897	1102-669	GIVEN	1102	2022-01-26 00:25:49.201
11436	1106-690	GIVEN	1106	2022-01-26 10:57:53.459
26981	1108-704	GIVEN	1108	2022-01-26 19:04:56.378
22517	1101-726	GIVEN	1101	2022-01-26 15:39:20.004
3225	1108-792	GIVEN	1108	2022-01-26 12:37:51.440
1142	1105-844	GIVEN	1105	2022-01-26 10:44:16.797
2894	1109-861	GIVEN	1109	2022-01-26 18:38:46.045
29099	1105-891	GIVEN	1105	2022-01-26 08:52:29.388
9179	1100-956	GIVEN	1100	2022-01-26 11:00:32.498
36565	1109-981	GIVEN	1109	2022-01-26 11:57:07.021
13226	1100-992	GIVEN	1100	2022-01-26 11:20:57.164
13614	1105-1025	GIVEN	1105	2022-01-26 17:15:30.525
23753	1109-1052	GIVEN	1109	2022-01-26 08:11:34.324
672	1107-1098	GIVEN	1107	2022-01-26 09:19:52.501
19010	1103-1182	GIVEN	1103	2022-01-26 09:59:05.562
14092	1107-1237	GIVEN	1107	2022-01-26 05:27:01.328
35601	1102-1286	GIVEN	1102	2022-01-26 00:52:58.083
35465	1104-1329	GIVEN	1104	2022-01-26 05:45:45.684
19634	1106-1351	GIVEN	1106	2022-01-26 18:05:42.658
10374	1100-1411	GIVEN	1100	2022-01-26 03:22:35.284
9543	1100-1418	GIVEN	1100	2022-01-26 11:29:59.166
20113	1109-1464	GIVEN	1109	2022-01-26 01:00:02.019
25466	1105-1477	GIVEN	1105	2022-01-26 14:48:57.499
21610	1105-1514	GIVEN	1105	2022-01-26 23:53:18.828
17650	1103-1527	GIVEN	1103	2022-01-26 00:40:04.769
3343	1104-1533	GIVEN	1104	2022-01-26 14:47:14.617
19707	1103-1564	GIVEN	1103	2022-01-26 22:02:20.030
4609	1104-1574	GIVEN	1104	2022-01-26 06:13:44.260
28184	1100-1581	GIVEN	1100	2022-01-26 18:57:28.461
31186	1105-1622	GIVEN	1105	2022-01-26 03:04:14.336
35114	1103-1645	GIVEN	1103	2022-01-26 01:52:09.814
6786	1109-1652	GIVEN	1109	2022-01-26 11:23:12.735
10780	1102-1729	GIVEN	1102	2022-01-26 13:39:01.317
23568	1104-1780	GIVEN	1104	2022-01-26 16:49:07.838
11141	1107-1785	GIVEN	1107	2022-01-26 00:15:04.916
7865	1101-1816	GIVEN	1101	2022-01-26 14:50:46.417
9999	1109-1833	GIVEN	1109	2022-01-26 01:27:37.991
18589	1107-1864	GIVEN	1107	2022-01-26 01:45:13.518
5926	1105-1906	GIVEN	1105	2022-01-26 13:06:34.224
25288	1109-1908	GIVEN	1109	2022-01-26 01:33:29.458
38330	1101-1969	GIVEN	1101	2022-01-26 12:55:01.487
20689	1105-1978	GIVEN	1105	2022-01-26 05:54:27.437
31076	1104-2067	GIVEN	1104	2022-01-26 02:45:38.771
3435	1100-2100	GIVEN	1100	2022-01-26 19:23:45.728
6406	1106-2103	GIVEN	1106	2022-01-26 13:05:21.512
24016	1105-2112	GIVEN	1105	2022-01-26 18:19:48.484
37086	1107-2244	GIVEN	1107	2022-01-26 16:14:33.165
28492	1108-2264	GIVEN	1108	2022-01-26 16:29:23.518
5408	1100-2335	GIVEN	1100	2022-01-26 22:36:34.200
33711	1108-2440	GIVEN	1108	2022-01-26 01:53:57.402
21743	1104-2467	GIVEN	1104	2022-01-26 21:49:26.849
28775	1108-2490	GIVEN	1108	2022-01-26 02:28:35.805
4162	1104-2565	GIVEN	1104	2022-01-26 12:08:40.864
28844	1101-2626	GIVEN	1101	2022-01-26 21:58:47.926
22333	1103-2628	GIVEN	1103	2022-01-26 04:00:21.284
37671	1104-2632	GIVEN	1104	2022-01-26 14:09:24.670
19812	1106-2638	GIVEN	1106	2022-01-26 17:16:59.941
17740	1102-2655	GIVEN	1102	2022-01-26 04:52:43.733
33135	1102-2656	GIVEN	1102	2022-01-26 10:37:42.919
31682	1103-2661	GIVEN	1103	2022-01-26 02:09:34.964
30636	1108-2709	GIVEN	1108	2022-01-26 06:34:23.087
10745	1108-2765	GIVEN	1108	2022-01-26 18:08:22.945
16981	1102-2769	GIVEN	1102	2022-01-26 16:12:39.551
17772	1100-2770	GIVEN	1100	2022-01-26 01:58:46.017
32516	1100-2870	GIVEN	1100	2022-01-26 04:24:13.592
27620	1100-2884	GIVEN	1100	2022-01-26 06:28:22.590
34871	1101-2995	GIVEN	1101	2022-01-26 20:26:51.425
17424	1107-3015	GIVEN	1107	2022-01-26 15:33:52.231
2249	1109-3021	GIVEN	1109	2022-01-26 17:18:54.399
14633	1109-3052	GIVEN	1109	2022-01-26 05:36:34.398
35311	1102-3054	GIVEN	1102	2022-01-26 13:00:27.948
35365	1104-3062	GIVEN	1104	2022-01-26 22:00:14.364
7929	1104-3063	GIVEN	1104	2022-01-26 07:20:01.887
30419	1108-3147	GIVEN	1108	2022-01-26 02:49:20.140
31710	1109-3211	GIVEN	1109	2022-01-26 02:59:15.776
11884	1100-3213	GIVEN	1100	2022-01-26 16:08:06.252
14843	1108-3309	GIVEN	1108	2022-01-26 06:35:10.186
5420	1103-3332	GIVEN	1103	2022-01-26 12:34:36.041
10076	1104-3344	GIVEN	1104	2022-01-26 14:49:34.678
23516	1104-3360	GIVEN	1104	2022-01-26 09:38:12.377
33394	1101-3361	GIVEN	1101	2022-01-26 21:21:50.772
36310	1100-3368	GIVEN	1100	2022-01-26 20:28:31.533
1635	1104-3403	GIVEN	1104	2022-01-26 17:41:51.899
6779	1107-3423	GIVEN	1107	2022-01-26 07:20:55.058
22756	1107-3434	GIVEN	1107	2022-01-26 17:57:50.627
28123	1106-3485	GIVEN	1106	2022-01-26 21:37:22.943
3852	1106-3496	GIVEN	1106	2022-01-26 16:24:16.869
27105	1103-3527	GIVEN	1103	2022-01-26 23:23:56.195
36916	1104-3538	GIVEN	1104	2022-01-26 04:49:28.641
3621	1108-3554	GIVEN	1108	2022-01-26 12:33:16.875
24141	1105-3559	GIVEN	1105	2022-01-26 19:53:37.266
19507	1109-3600	GIVEN	1109	2022-01-26 20:17:02.853
26508	1104-3676	GIVEN	1104	2022-01-26 17:47:52.550
8023	1105-3681	GIVEN	1105	2022-01-26 09:39:23.461
33554	1108-3702	GIVEN	1108	2022-01-26 06:41:00.913
17399	1107-3752	GIVEN	1107	2022-01-26 04:13:40.103
8650	1103-3753	GIVEN	1103	2022-01-26 03:45:20.817
189	1101-3768	GIVEN	1101	2022-01-26 17:35:10.426
15159	1101-3780	GIVEN	1101	2022-01-26 08:10:41.183
31427	1105-3816	GIVEN	1105	2022-01-26 12:49:25.080
36508	1103-3821	GIVEN	1103	2022-01-26 16:28:38.051
17305	1100-3871	GIVEN	1100	2022-01-26 00:59:19.681
17070	1101-3887	GIVEN	1101	2022-01-26 03:25:57.404
29331	1108-3888	GIVEN	1108	2022-01-26 17:50:53.605
1487	1109-3908	GIVEN	1109	2022-01-26 16:52:42.014
38905	1100-3927	GIVEN	1100	2022-01-26 10:56:32.698
20206	1101-3943	GIVEN	1101	2022-01-26 00:22:32.191
8682	1107-3951	GIVEN	1107	2022-01-26 02:40:06.014
31703	1109-3964	GIVEN	1109	2022-01-26 01:30:46.637
6384	1100-3983	GIVEN	1100	2022-01-26 21:48:48.271
26007	1104-4020	GIVEN	1104	2022-01-26 15:54:12.111
31869	1107-4049	GIVEN	1107	2022-01-26 09:19:52.534
10309	1106-4065	GIVEN	1106	2022-01-26 16:45:57.997
11830	1101-4123	GIVEN	1101	2022-01-26 16:57:29.561
17204	1103-4176	GIVEN	1103	2022-01-26 13:26:05.462
7012	1105-4194	GIVEN	1105	2022-01-26 14:01:55.778
6525	1109-4200	GIVEN	1109	2022-01-26 15:51:15.427
8232	1103-4209	GIVEN	1103	2022-01-26 12:13:13.445
2747	1106-4225	GIVEN	1106	2022-01-26 23:09:34.030
6023	1105-4256	GIVEN	1105	2022-01-26 13:57:23.658
16739	1100-4260	GIVEN	1100	2022-01-26 07:53:13.728
31454	1106-4282	GIVEN	1106	2022-01-26 04:54:10.729
29616	1101-4313	GIVEN	1101	2022-01-26 00:33:13.009
4848	1105-4321	GIVEN	1105	2022-01-26 10:01:22.198
25281	1106-4343	GIVEN	1106	2022-01-26 19:04:07.570
39826	1103-4387	GIVEN	1103	2022-01-26 12:45:50.680
14060	1105-4394	GIVEN	1105	2022-01-26 00:12:42.658
37623	1109-4505	GIVEN	1109	2022-01-26 08:10:10.982
16609	1105-4513	GIVEN	1105	2022-01-26 23:37:49.917
29475	1102-4573	GIVEN	1102	2022-01-26 15:21:58.427
20982	1106-4611	GIVEN	1106	2022-01-26 00:45:30.211
14797	1108-4623	GIVEN	1108	2022-01-26 12:56:33.237
16823	1105-4668	GIVEN	1105	2022-01-26 02:14:59.278
33015	1100-4675	GIVEN	1100	2022-01-26 12:11:20.529
5667	1107-4680	GIVEN	1107	2022-01-26 04:29:52.696
