userid	voucherCode	status	campaignID	time
33422	1104-41	GIVEN	1104	2022-01-28 23:40:46.182
14714	1100-47	GIVEN	1100	2022-01-28 02:31:40.658
15961	1107-73	GIVEN	1107	2022-01-28 13:51:56.515
8474	1109-188	GIVEN	1109	2022-01-28 10:39:29.767
20495	1105-240	GIVEN	1105	2022-01-28 17:11:08.959
26518	1105-255	GIVEN	1105	2022-01-28 09:39:15.910
9784	1101-337	GIVEN	1101	2022-01-28 14:25:40.713
26720	1109-343	GIVEN	1109	2022-01-28 04:42:14.704
22188	1101-379	GIVEN	1101	2022-01-28 00:06:25.117
12905	1101-423	GIVEN	1101	2022-01-28 11:21:39.018
6610	1104-452	GIVEN	1104	2022-01-28 17:59:30.704
9163	1105-463	GIVEN	1105	2022-01-28 02:17:32.991
29679	1103-505	GIVEN	1103	2022-01-28 18:31:41.219
20037	1107-507	GIVEN	1107	2022-01-28 19:02:40.168
6517	1106-536	GIVEN	1106	2022-01-28 14:36:38.669
34442	1105-550	GIVEN	1105	2022-01-28 23:31:32.316
13551	1101-566	GIVEN	1101	2022-01-28 06:33:22.086
18237	1108-598	GIVEN	1108	2022-01-28 02:26:56.805
30399	1103-606	GIVEN	1103	2022-01-28 17:03:50.928
570	1109-611	GIVEN	1109	2022-01-28 20:13:22.818
13890	1103-634	GIVEN	1103	2022-01-28 21:35:42.777
8914	1103-639	GIVEN	1103	2022-01-28 13:14:09.268
20940	1101-666	GIVEN	1101	2022-01-28 19:02:41.860
9263	1100-683	GIVEN	1100	2022-01-28 17:06:21.913
29248	1102-703	GIVEN	1102	2022-01-28 13:25:52.969
25895	1104-716	GIVEN	1104	2022-01-28 14:27:10.669
19341	1100-836	GIVEN	1100	2022-01-28 18:04:26.740
35621	1109-856	GIVEN	1109	2022-01-28 01:55:25.685
27478	1108-868	GIVEN	1108	2022-01-28 19:34:18.264
24116	1107-901	GIVEN	1107	2022-01-28 17:09:56.360
22585	1105-905	GIVEN	1105	2022-01-28 22:09:10.414
34980	1106-1030	GIVEN	1106	2022-01-28 00:44:15.207
3958	1107-1062	GIVEN	1107	2022-01-28 20:51:06.645
29425	1108-1137	GIVEN	1108	2022-01-28 01:16:51.952
28984	1105-1173	GIVEN	1105	2022-01-28 20:19:47.763
2651	1100-1186	GIVEN	1100	2022-01-28 00:03:20.160
666	1109-1207	GIVEN	1109	2022-01-28 19:32:33.898
15495	1108-1217	GIVEN	1108	2022-01-28 01:50:57.776
10751	1100-1233	GIVEN	1100	2022-01-28 04:13:26.935
17358	1107-1241	GIVEN	1107	2022-01-28 13:38:05.090
31049	1104-1274	GIVEN	1104	2022-01-28 06:42:06.390
