userid	voucherCode	status	campaignID	time
3694	1101-27	GIVEN	1101	2022-01-29 19:53:13.402
28984	1100-83	GIVEN	1100	2022-01-29 08:34:54.519
17731	1105-86	GIVEN	1105	2022-01-29 00:12:52.485
585	1101-92	GIVEN	1101	2022-01-29 14:31:30.911
33262	1104-115	GIVEN	1104	2022-01-29 13:48:26.428
32531	1101-166	GIVEN	1101	2022-01-29 12:46:38.439
34265	1106-171	GIVEN	1106	2022-01-29 12:57:31.201
30699	1104-177	GIVEN	1104	2022-01-29 20:24:49.894
37025	1109-213	GIVEN	1109	2022-01-29 20:11:14.264
12927	1109-279	GIVEN	1109	2022-01-29 07:26:37.982
14297	1101-301	GIVEN	1101	2022-01-29 18:04:12.135
22432	1102-346	GIVEN	1102	2022-01-29 06:57:29.678
12219	1103-372	GIVEN	1103	2022-01-29 18:12:37.374
34640	1103-389	GIVEN	1103	2022-01-29 09:34:59.102
11706	1107-415	GIVEN	1107	2022-01-29 10:27:36.038
27147	1104-441	GIVEN	1104	2022-01-29 09:10:29.356
13832	1108-444	GIVEN	1108	2022-01-29 01:32:00.144
30745	1107-482	GIVEN	1107	2022-01-29 08:53:48.788
11641	1100-511	GIVEN	1100	2022-01-29 13:56:45.247
29451	1106-523	GIVEN	1106	2022-01-29 10:42:49.190
37747	1104-527	GIVEN	1104	2022-01-29 03:06:13.373
16037	1106-547	GIVEN	1106	2022-01-29 13:45:58.894
1255	1108-551	GIVEN	1108	2022-01-29 13:42:18.449
11628	1102-556	GIVEN	1102	2022-01-29 11:54:35.106
37679	1105-557	GIVEN	1105	2022-01-29 01:44:31.568
28101	1105-590	GIVEN	1105	2022-01-29 06:05:45.033
34528	1106-652	GIVEN	1106	2022-01-29 00:59:22.296
14448	1103-659	GIVEN	1103	2022-01-29 19:32:50.623
19866	1100-699	GIVEN	1100	2022-01-29 04:52:33.004
545	1107-712	GIVEN	1107	2022-01-29 03:39:28.341
24065	1104-741	GIVEN	1104	2022-01-29 11:55:25.446
12143	1105-762	GIVEN	1105	2022-01-29 23:27:39.956
29169	1104-810	GIVEN	1104	2022-01-29 23:47:15.753
26897	1104-895	GIVEN	1104	2022-01-29 20:45:55.319
5247	1106-896	GIVEN	1106	2022-01-29 00:57:30.083
27993	1100-963	GIVEN	1100	2022-01-29 19:59:45.194
34952	1108-968	GIVEN	1108	2022-01-29 03:14:08.644
37566	1108-997	GIVEN	1108	2022-01-29 18:01:29.843
5889	1108-1061	GIVEN	1108	2022-01-29 15:37:41.596
262	1107-1070	GIVEN	1107	2022-01-29 08:20:06.115
14158	1102-1079	GIVEN	1102	2022-01-29 19:49:26.951
8354	1107-1089	GIVEN	1107	2022-01-29 20:38:30.460
8593	1106-1103	GIVEN	1106	2022-01-29 07:43:45.913
17370	1100-1167	GIVEN	1100	2022-01-29 22:29:26.889
12660	1100-1232	GIVEN	1100	2022-01-29 18:44:05.847
23252	1101-1300	GIVEN	1101	2022-01-29 21:23:46.726
24409	1108-1304	GIVEN	1108	2022-01-29 17:33:01.227
4394	1102-1401	GIVEN	1102	2022-01-29 08:13:10.520
9802	1102-1403	GIVEN	1102	2022-01-29 19:01:32.334
30744	1102-1419	GIVEN	1102	2022-01-29 13:55:08.692
25369	1104-1422	GIVEN	1104	2022-01-29 07:11:57.262
35862	1107-1481	GIVEN	1107	2022-01-29 11:15:01.598
37932	1109-1532	GIVEN	1109	2022-01-29 00:42:54.283
24101	1103-1539	GIVEN	1103	2022-01-29 12:33:46.751
19807	1100-1579	GIVEN	1100	2022-01-29 11:26:03.451
37814	1102-1665	GIVEN	1102	2022-01-29 12:36:51.232
32292	1106-1705	GIVEN	1106	2022-01-29 14:33:01.589
33693	1109-1747	GIVEN	1109	2022-01-29 22:07:40.002
17561	1102-1750	GIVEN	1102	2022-01-29 19:51:02.185
39167	1105-1792	GIVEN	1105	2022-01-29 23:55:46.027
16856	1102-1800	GIVEN	1102	2022-01-29 23:45:27.876
15175	1103-1869	GIVEN	1103	2022-01-29 03:08:09.474
32375	1106-1876	GIVEN	1106	2022-01-29 01:10:28.054
19692	1101-1880	GIVEN	1101	2022-01-29 03:59:30.156
8806	1105-1956	GIVEN	1105	2022-01-29 21:02:44.923
