userid	voucherCode	status	campaignID	time
15388	1100-66	GIVEN	1100	2022-01-30 16:24:21.407
3964	1103-105	GIVEN	1103	2022-01-30 13:30:40.959
1635	1108-134	GIVEN	1108	2022-01-30 10:14:55.666
14134	1104-136	GIVEN	1104	2022-01-30 18:49:00.271
30517	1107-156	GIVEN	1107	2022-01-30 14:48:36.375
35033	1104-192	GIVEN	1104	2022-01-30 04:58:24.144
37907	1106-214	GIVEN	1106	2022-01-30 01:26:28.888
35865	1107-271	GIVEN	1107	2022-01-30 11:09:53.360
17534	1102-288	GIVEN	1102	2022-01-30 06:38:02.213
36438	1109-291	GIVEN	1109	2022-01-30 00:24:02.677
1988	1106-295	GIVEN	1106	2022-01-30 17:24:19.666
26658	1104-336	GIVEN	1104	2022-01-30 11:11:50.111
35753	1108-367	GIVEN	1108	2022-01-30 22:32:33.196
38691	1103-433	GIVEN	1103	2022-01-30 14:17:08.451
24635	1102-525	GIVEN	1102	2022-01-30 12:19:36.064
10981	1104-548	GIVEN	1104	2022-01-30 13:24:52.377
29927	1105-580	GIVEN	1105	2022-01-30 13:33:37.997
30316	1100-584	GIVEN	1100	2022-01-30 04:33:07.143
16581	1100-660	GIVEN	1100	2022-01-30 09:24:37.403
24052	1102-675	GIVEN	1102	2022-01-30 07:10:59.819
26928	1101-723	GIVEN	1101	2022-01-30 11:58:49.686
26291	1102-736	GIVEN	1102	2022-01-30 06:52:49.712
23943	1105-750	GIVEN	1105	2022-01-30 21:21:06.358
8998	1107-755	GIVEN	1107	2022-01-30 03:44:05.122
12882	1103-784	GIVEN	1103	2022-01-30 23:08:31.647
11584	1108-791	GIVEN	1108	2022-01-30 14:51:17.072
26889	1101-800	GIVEN	1101	2022-01-30 18:31:53.109
33611	1103-843	GIVEN	1103	2022-01-30 01:54:28.304
3788	1104-848	GIVEN	1104	2022-01-30 22:20:19.421
5196	1109-860	GIVEN	1109	2022-01-30 05:32:07.724
7076	1102-909	GIVEN	1102	2022-01-30 15:35:10.608
13410	1107-937	GIVEN	1107	2022-01-30 21:08:48.750
15011	1106-941	GIVEN	1106	2022-01-30 02:33:08.950
11949	1108-943	GIVEN	1108	2022-01-30 22:14:15.470
29568	1109-974	GIVEN	1109	2022-01-30 05:55:54.747
31673	1104-985	GIVEN	1104	2022-01-30 09:01:21.339
6948	1101-1005	GIVEN	1101	2022-01-30 04:39:30.522
32823	1101-1023	GIVEN	1101	2022-01-30 16:20:56.050
18144	1104-1042	GIVEN	1104	2022-01-30 15:00:46.230
13525	1107-1161	GIVEN	1107	2022-01-30 18:12:21.939
35700	1105-1189	GIVEN	1105	2022-01-30 10:09:43.687
15648	1105-1228	GIVEN	1105	2022-01-30 04:11:26.300
27971	1108-1230	GIVEN	1108	2022-01-30 23:26:46.824
35895	1103-1238	GIVEN	1103	2022-01-30 18:46:08.529
20331	1107-1252	GIVEN	1107	2022-01-30 07:48:20.228
39331	1100-1294	GIVEN	1100	2022-01-30 12:11:08.036
22904	1103-1368	GIVEN	1103	2022-01-30 02:48:20.683
2727	1105-1395	GIVEN	1105	2022-01-30 21:17:50.832
24522	1106-1400	GIVEN	1106	2022-01-30 02:35:02.665
1601	1100-1426	GIVEN	1100	2022-01-30 00:42:54.466
4274	1104-1432	GIVEN	1104	2022-01-30 10:36:41.987
19519	1105-1436	GIVEN	1105	2022-01-30 11:11:08.804
3891	1104-1528	GIVEN	1104	2022-01-30 10:46:23.433
22190	1105-1592	GIVEN	1105	2022-01-30 07:34:15.560
23803	1105-1611	GIVEN	1105	2022-01-30 07:08:23.713
16393	1107-1698	GIVEN	1107	2022-01-30 23:28:59.353
1198	1103-1703	GIVEN	1103	2022-01-30 23:11:49.473
26386	1103-1746	GIVEN	1103	2022-01-30 17:16:06.344
20954	1104-1803	GIVEN	1104	2022-01-30 14:58:47.298
9483	1100-1807	GIVEN	1100	2022-01-30 01:32:26.387
15674	1102-1938	GIVEN	1102	2022-01-30 17:31:17.435
23807	1108-1942	GIVEN	1108	2022-01-30 04:08:53.554
23819	1105-2034	GIVEN	1105	2022-01-30 21:37:38.930
26342	1103-2081	GIVEN	1103	2022-01-30 05:08:41.357
25992	1105-2104	GIVEN	1105	2022-01-30 14:43:50.379
