userid	voucherCode	status	campaignID	time
3798	1102-31	GIVEN	1102	2022-01-31 04:39:14.716
13993	1101-65	GIVEN	1101	2022-01-31 17:05:55.685
25113	1107-70	GIVEN	1107	2022-01-31 23:46:23.994
29448	1102-123	GIVEN	1102	2022-01-31 17:19:03.236
33803	1105-127	GIVEN	1105	2022-01-31 18:40:05.653
33887	1109-162	GIVEN	1109	2022-01-31 04:53:36.094
11016	1106-169	GIVEN	1106	2022-01-31 08:24:33.240
27222	1108-246	GIVEN	1108	2022-01-31 01:11:52.056
10127	1108-258	GIVEN	1108	2022-01-31 09:47:49.494
20842	1108-274	GIVEN	1108	2022-01-31 22:42:15.395
18419	1102-331	GIVEN	1102	2022-01-31 07:20:57.458
15739	1102-333	GIVEN	1102	2022-01-31 10:49:59.471
24610	1101-374	GIVEN	1101	2022-01-31 12:14:40.383
38205	1103-380	GIVEN	1103	2022-01-31 22:30:03.885
11448	1105-407	GIVEN	1105	2022-01-31 21:12:36.145
15128	1109-439	GIVEN	1109	2022-01-31 13:54:38.121
31604	1106-445	GIVEN	1106	2022-01-31 16:19:26.175
38040	1101-467	GIVEN	1101	2022-01-31 04:34:35.808
11611	1101-565	GIVEN	1101	2022-01-31 01:32:16.635
17726	1103-638	GIVEN	1103	2022-01-31 18:55:58.986
26910	1105-665	GIVEN	1105	2022-01-31 05:16:56.492
25700	1108-718	GIVEN	1108	2022-01-31 02:53:24.502
20574	1109-743	GIVEN	1109	2022-01-31 14:56:54.491
35854	1100-769	GIVEN	1100	2022-01-31 01:29:57.910
2605	1104-825	GIVEN	1104	2022-01-31 13:11:13.500
9745	1109-921	GIVEN	1109	2022-01-31 07:38:26.620
34369	1105-953	GIVEN	1105	2022-01-31 17:01:27.338
21480	1104-1018	GIVEN	1104	2022-01-31 04:27:48.948
15471	1101-1043	GIVEN	1101	2022-01-31 15:39:53.952
21147	1102-1118	GIVEN	1102	2022-01-31 17:44:57.390
29817	1104-1143	GIVEN	1104	2022-01-31 23:52:50.688
23374	1106-1174	GIVEN	1106	2022-01-31 22:49:08.307
30387	1104-1175	GIVEN	1104	2022-01-31 05:31:53.040
37291	1102-1177	GIVEN	1102	2022-01-31 21:21:12.236
15008	1101-1306	GIVEN	1101	2022-01-31 01:22:17.993
28345	1103-1326	GIVEN	1103	2022-01-31 19:22:23.466
30883	1106-1334	GIVEN	1106	2022-01-31 02:24:30.367
33946	1109-1350	GIVEN	1109	2022-01-31 14:26:49.948
19203	1103-1355	GIVEN	1103	2022-01-31 23:06:24.266
32990	1108-1365	GIVEN	1108	2022-01-31 07:17:30.475
32166	1107-1374	GIVEN	1107	2022-01-31 19:18:59.613
18171	1105-1410	GIVEN	1105	2022-01-31 05:45:28.847
30313	1103-1416	GIVEN	1103	2022-01-31 22:52:08.389
39538	1107-1420	GIVEN	1107	2022-01-31 10:36:12.122
21955	1105-1523	GIVEN	1105	2022-01-31 14:52:54.644
24145	1107-1530	GIVEN	1107	2022-01-31 22:01:19.676
5867	1106-1662	GIVEN	1106	2022-01-31 19:29:19.816
5146	1109-1783	GIVEN	1109	2022-01-31 17:19:52.192
12396	1104-1809	GIVEN	1104	2022-01-31 13:19:40.924
8808	1102-1843	GIVEN	1102	2022-01-31 11:21:24.540
18411	1100-1877	GIVEN	1100	2022-01-31 23:41:49.361
34503	1105-1882	GIVEN	1105	2022-01-31 09:57:20.278
22026	1109-1889	GIVEN	1109	2022-01-31 16:01:53.208
36529	1100-1900	GIVEN	1100	2022-01-31 11:37:18.739
13787	1108-1936	GIVEN	1108	2022-01-31 11:54:12.074
26985	1109-1945	GIVEN	1109	2022-01-31 08:42:08.707
14393	1100-1982	GIVEN	1100	2022-01-31 12:26:28.273
27685	1109-2028	GIVEN	1109	2022-01-31 11:28:49.144
24355	1109-2032	GIVEN	1109	2022-01-31 22:52:40.729
12437	1103-2050	GIVEN	1103	2022-01-31 20:42:21.805
738	1103-2051	GIVEN	1103	2022-01-31 21:14:42.463
20650	1108-2125	GIVEN	1108	2022-01-31 19:18:01.608
13541	1104-2166	GIVEN	1104	2022-01-31 04:15:29.001
30608	1100-2176	GIVEN	1100	2022-01-31 14:34:45.087
35013	1107-2178	GIVEN	1107	2022-01-31 07:37:30.339
32039	1104-2189	GIVEN	1104	2022-01-31 11:07:42.579
12846	1103-2190	GIVEN	1103	2022-01-31 14:52:32.444
8452	1101-2206	GIVEN	1101	2022-01-31 04:02:01.716
12505	1109-2227	GIVEN	1109	2022-01-31 09:59:42.828
28223	1103-2268	GIVEN	1103	2022-01-31 18:16:40.711
168	1100-2305	GIVEN	1100	2022-01-31 01:48:11.096
25989	1108-2404	GIVEN	1108	2022-01-31 17:38:49.392
756	1103-2442	GIVEN	1103	2022-01-31 02:57:35.814
29066	1106-2482	GIVEN	1106	2022-01-31 16:10:23.000
10467	1109-2526	GIVEN	1109	2022-01-31 01:33:27.887
35628	1107-2545	GIVEN	1107	2022-01-31 22:36:02.974
25731	1101-2578	GIVEN	1101	2022-01-31 10:35:03.368
12490	1105-2594	GIVEN	1105	2022-01-31 23:39:29.383
4137	1109-2637	GIVEN	1109	2022-01-31 11:20:35.333
25235	1102-2698	GIVEN	1102	2022-01-31 22:55:48.117
9322	1105-2741	GIVEN	1105	2022-01-31 04:41:46.764
28178	1104-2758	GIVEN	1104	2022-01-31 02:46:49.670
28643	1106-2759	GIVEN	1106	2022-01-31 21:18:13.881
34750	1107-2774	GIVEN	1107	2022-01-31 22:11:36.615
20758	1100-2786	GIVEN	1100	2022-01-31 11:14:01.112
4417	1109-2788	GIVEN	1109	2022-01-31 08:21:06.964
23077	1105-2822	GIVEN	1105	2022-01-31 17:01:25.573
16202	1101-2828	GIVEN	1101	2022-01-31 13:27:25.641
21764	1104-2893	GIVEN	1104	2022-01-31 03:15:39.765
27518	1108-2921	GIVEN	1108	2022-01-31 08:02:41.509
10864	1107-3106	GIVEN	1107	2022-01-31 02:37:57.363
18264	1103-3123	GIVEN	1103	2022-01-31 03:09:26.389
33238	1101-3137	GIVEN	1101	2022-01-31 14:23:13.655
23274	1105-3146	GIVEN	1105	2022-01-31 04:25:42.119
7771	1104-3150	GIVEN	1104	2022-01-31 22:50:49.042
10029	1102-3202	GIVEN	1102	2022-01-31 00:49:13.078
4249	1105-3352	GIVEN	1105	2022-01-31 16:56:48.453
31974	1106-3379	GIVEN	1106	2022-01-31 18:02:42.490
33941	1108-3385	GIVEN	1108	2022-01-31 18:43:55.864
32823	1109-3390	GIVEN	1109	2022-01-31 14:00:54.649
30315	1104-3391	GIVEN	1104	2022-01-31 09:36:00.567
22649	1104-3410	GIVEN	1104	2022-01-31 18:06:19.199
687	1101-3436	GIVEN	1101	2022-01-31 07:06:28.130
22127	1104-3454	GIVEN	1104	2022-01-31 06:59:59.031
2176	1104-3488	GIVEN	1104	2022-01-31 15:11:44.769
30272	1107-3493	GIVEN	1107	2022-01-31 21:10:38.893
21598	1104-3508	GIVEN	1104	2022-01-31 05:12:07.960
10346	1102-3552	GIVEN	1102	2022-01-31 10:26:32.229
10507	1102-3630	GIVEN	1102	2022-01-31 16:06:43.477
34218	1100-3677	GIVEN	1100	2022-01-31 15:08:59.685
28196	1103-3697	GIVEN	1103	2022-01-31 15:49:04.839
16999	1105-3717	GIVEN	1105	2022-01-31 06:21:13.597
29022	1106-3739	GIVEN	1106	2022-01-31 21:46:46.376
19066	1103-3759	GIVEN	1103	2022-01-31 16:54:28.056
33850	1105-3792	GIVEN	1105	2022-01-31 20:12:13.049
2453	1106-3881	GIVEN	1106	2022-01-31 22:10:39.083
28745	1108-3889	GIVEN	1108	2022-01-31 23:40:34.135
26251	1103-3895	GIVEN	1103	2022-01-31 07:42:14.226
37534	1107-4005	GIVEN	1107	2022-01-31 21:06:09.716
11894	1102-4033	GIVEN	1102	2022-01-31 06:37:39.694
9607	1105-4042	GIVEN	1105	2022-01-31 20:10:11.332
16494	1100-4047	GIVEN	1100	2022-01-31 06:28:55.389
38587	1103-4070	GIVEN	1103	2022-01-31 06:38:23.019
34560	1105-4074	GIVEN	1105	2022-01-31 18:53:45.776
1748	1102-4094	GIVEN	1102	2022-01-31 07:59:31.167
13617	1108-4149	GIVEN	1108	2022-01-31 13:07:55.582
6829	1102-4178	GIVEN	1102	2022-01-31 20:40:07.548
14952	1103-4190	GIVEN	1103	2022-01-31 21:59:09.696
13336	1104-4215	GIVEN	1104	2022-01-31 18:32:20.212
37845	1101-4226	GIVEN	1101	2022-01-31 01:30:35.995
7355	1105-4244	GIVEN	1105	2022-01-31 01:35:16.444
1606	1102-4254	GIVEN	1102	2022-01-31 06:15:05.029
23695	1101-4258	GIVEN	1101	2022-01-31 21:12:50.851
5503	1107-4280	GIVEN	1107	2022-01-31 22:29:21.922
34128	1101-4283	GIVEN	1101	2022-01-31 11:53:22.201
36026	1103-4315	GIVEN	1103	2022-01-31 05:19:08.431
7621	1102-4331	GIVEN	1102	2022-01-31 08:05:24.101
27384	1102-4374	GIVEN	1102	2022-01-31 14:23:15.890
6313	1101-4377	GIVEN	1101	2022-01-31 20:11:04.781
22215	1104-4407	GIVEN	1104	2022-01-31 01:16:25.183
36914	1106-4443	GIVEN	1106	2022-01-31 13:41:22.636
26042	1102-4488	GIVEN	1102	2022-01-31 03:30:52.940
3190	1101-4502	GIVEN	1101	2022-01-31 01:43:33.296
38587	1106-4510	GIVEN	1106	2022-01-31 11:07:11.064
6497	1101-4540	GIVEN	1101	2022-01-31 02:18:19.651
32984	1106-4552	GIVEN	1106	2022-01-31 19:48:03.484
16365	1108-4557	GIVEN	1108	2022-01-31 10:08:34.338
38079	1104-4561	GIVEN	1104	2022-01-31 12:56:27.327
18884	1103-4571	GIVEN	1103	2022-01-31 16:35:22.671
6899	1101-4667	GIVEN	1101	2022-01-31 08:49:25.541
34784	1102-4754	GIVEN	1102	2022-01-31 17:14:05.421
2834	1105-4758	GIVEN	1105	2022-01-31 10:43:50.279
10614	1103-4775	GIVEN	1103	2022-01-31 22:44:47.194
6752	1100-4818	GIVEN	1100	2022-01-31 09:22:38.540
