userid	voucherCode	status	campaignID	time
447	1100-12174	USED	1100	2022-02-12 04:07:54.630
6541	1102-23705	USED	1102	2022-02-09 18:50:20.111
22283	1107-32132	USED	1107	2022-02-19 07:14:25.036
36788	1102-36780	USED	1102	2022-02-13 16:22:50.949
13586	1103-25043	USED	1103	2022-02-03 08:56:12.923
35454	1106-32043	USED	1106	2022-02-13 18:56:17.616
39824	1104-14510	USED	1104	2022-02-08 06:49:25.299
36850	1109-19621	USED	1109	2022-02-17 15:06:43.682
32269	1104-44349	USED	1104	2022-02-04 19:40:44.149
17046	1107-43318	USED	1107	2022-02-03 15:58:11.984
24801	1101-40899	USED	1101	2022-02-06 01:29:39.399
2653	1100-17465	USED	1100	2022-02-20 03:25:01.978
31204	1103-14520	USED	1103	2022-02-14 05:42:15.354
38677	1105-11411	USED	1105	2022-02-12 18:42:19.514
15540	1101-38063	USED	1101	2022-02-18 19:35:16.205
16316	1104-37244	USED	1104	2022-02-20 01:13:42.370
7162	1104-44823	USED	1104	2022-02-14 08:22:12.858
927	1106-8988	USED	1106	2022-02-08 03:36:00.758
29596	1101-40367	USED	1101	2022-02-09 08:38:31.913
8217	1108-33139	USED	1108	2022-02-04 18:58:29.132
15431	1101-28044	USED	1101	2022-02-16 11:33:33.235
10009	1100-17679	USED	1100	2022-02-18 21:47:01.558
17396	1100-13431	USED	1100	2022-02-20 19:16:55.051
28745	1108-3889	USED	1108	2022-02-17 02:41:17.995
21956	1106-10654	USED	1106	2022-02-11 10:46:50.378
10259	1107-28588	USED	1107	2022-02-05 17:45:25.666
15777	1107-32368	USED	1107	2022-02-13 23:35:17.708
31680	1101-46095	USED	1101	2022-02-04 20:08:26.328
39770	1103-18638	USED	1103	2022-02-12 16:00:44.819
36653	1103-6514	USED	1103	2022-02-03 05:41:06.258
8338	1108-27463	USED	1108	2022-02-04 23:36:57.091
24486	1106-15319	USED	1106	2022-02-19 04:26:25.892
9570	1100-11776	USED	1100	2022-02-05 04:07:11.705
16576	1102-24429	USED	1102	2022-02-01 07:49:11.157
17362	1109-30127	USED	1109	2022-02-12 10:33:26.304
2296	1106-43426	USED	1106	2022-02-07 06:16:43.609
20843	1104-45616	USED	1104	2022-02-02 06:52:53.377
8725	1100-2838	USED	1100	2022-02-11 10:58:38.952
28506	1103-7741	USED	1103	2022-02-18 19:34:56.914
32252	1109-29826	USED	1109	2022-02-03 09:01:00.686
7805	1104-1810	USED	1104	2022-02-11 14:44:16.386
3171	1105-15583	USED	1105	2022-02-07 10:24:50.231
30127	1102-46276	USED	1102	2022-02-01 04:20:27.089
30854	1109-18071	USED	1109	2022-02-19 13:17:22.498
31029	1100-18255	USED	1100	2022-02-02 08:04:49.230
15520	1103-469	USED	1103	2022-02-03 16:29:51.037
21014	1109-32777	USED	1109	2022-02-02 21:07:15.520
17273	1102-16385	USED	1102	2022-02-06 07:47:56.973
33973	1102-18843	USED	1102	2022-02-19 18:43:48.291
15656	1104-34927	USED	1104	2022-02-03 20:12:15.992
38793	1100-27039	USED	1100	2022-02-17 14:42:23.640
29143	1100-1838	USED	1100	2022-02-11 11:51:56.410
30634	1106-42099	USED	1106	2022-02-15 20:24:41.952
3396	1109-2358	USED	1109	2022-02-12 12:38:57.483
5101	1101-14980	USED	1101	2022-02-11 16:35:38.430
34193	1109-10240	USED	1109	2022-02-10 13:39:22.901
37168	1105-44387	USED	1105	2022-02-02 10:57:23.359
23795	1100-3028	USED	1100	2022-02-14 09:56:45.362
32083	1102-45911	USED	1102	2022-02-18 12:00:56.391
20626	1104-15830	USED	1104	2022-02-09 00:23:36.301
13749	1103-19228	USED	1103	2022-02-13 04:26:19.833
17528	1104-45029	USED	1104	2022-02-19 19:34:09.894
36523	1101-35452	USED	1101	2022-02-02 00:42:06.943
37289	1105-48803	USED	1105	2022-02-04 21:28:22.056
18833	1109-11624	USED	1109	2022-02-13 12:52:07.342
5332	1103-47769	USED	1103	2022-02-19 10:31:47.024
24253	1102-40353	USED	1102	2022-02-06 22:41:39.517
33408	1105-38973	USED	1105	2022-02-10 20:45:39.768
8725	1104-48679	USED	1104	2022-02-20 05:13:36.146
15150	1100-32606	USED	1100	2022-02-05 14:34:49.984
33467	1101-26705	USED	1101	2022-02-03 09:06:35.091
1861	1108-19428	USED	1108	2022-02-11 15:09:36.122
10630	1101-45016	USED	1101	2022-02-13 11:59:19.116
31271	1106-8023	USED	1106	2022-02-15 22:38:20.662
8982	1107-2658	USED	1107	2022-02-10 18:07:45.151
10448	1102-30145	USED	1102	2022-02-13 00:09:50.831
9219	1107-11730	USED	1107	2022-02-05 10:09:21.250
29331	1108-3888	USED	1108	2022-02-08 03:08:14.073
25754	1101-28616	USED	1101	2022-02-04 22:03:53.368
30511	1102-36135	USED	1102	2022-02-17 20:17:50.609
7878	1107-6536	USED	1107	2022-02-01 20:24:12.325
228	1107-14457	USED	1107	2022-02-06 03:33:16.238
32689	1103-34637	USED	1103	2022-02-18 09:30:26.223
9888	1106-6862	USED	1106	2022-02-15 16:21:46.499
34520	1106-35224	USED	1106	2022-02-20 03:06:22.721
9988	1106-14271	USED	1106	2022-02-19 14:02:16.626
17703	1103-7608	USED	1103	2022-02-07 18:30:08.721
35382	1105-32505	USED	1105	2022-02-10 22:59:01.617
11739	1102-27240	USED	1102	2022-02-13 08:31:27.932
25529	1104-39382	USED	1104	2022-02-10 22:09:50.359
2411	1103-14526	USED	1103	2022-02-17 11:32:51.169
38775	1100-16445	USED	1100	2022-02-01 22:36:59.815
20104	1100-33523	USED	1100	2022-02-08 21:40:47.202
484	1105-18073	USED	1105	2022-02-19 10:09:33.469
26344	1100-1088	USED	1100	2022-02-19 11:32:48.724
10006	1107-8855	USED	1107	2022-02-08 13:19:48.267
24957	1108-38172	USED	1108	2022-02-18 13:24:28.109
37059	1106-29114	USED	1106	2022-02-14 23:39:33.009
39981	1104-33124	USED	1104	2022-02-04 04:08:25.387
17626	1101-9895	USED	1101	2022-02-12 20:38:38.739
28282	1100-28046	USED	1100	2022-02-07 01:34:49.367
9265	1105-29277	USED	1105	2022-02-14 00:55:58.535
27115	1108-47832	USED	1108	2022-02-03 10:30:15.069
5058	1106-19191	USED	1106	2022-02-19 00:42:35.359
32583	1103-7545	USED	1103	2022-02-04 01:54:29.585
5103	1104-1369	USED	1104	2022-02-18 04:32:26.611
15819	1101-44916	USED	1101	2022-02-03 10:53:57.097
19854	1109-34884	USED	1109	2022-02-16 04:21:08.902
27047	1104-48272	USED	1104	2022-02-04 10:40:48.047
17702	1102-24474	USED	1102	2022-02-04 23:47:00.646
10682	1109-19269	USED	1109	2022-02-08 19:29:02.677
1923	1101-22670	USED	1101	2022-02-13 16:14:36.028
25545	1102-2675	USED	1102	2022-02-19 07:56:29.824
12359	1103-17123	USED	1103	2022-02-02 17:16:45.846
26843	1104-48976	USED	1104	2022-02-09 04:54:56.433
28621	1101-8145	USED	1101	2022-02-01 12:22:32.920
26876	1100-28189	USED	1100	2022-02-03 17:52:25.762
25871	1102-47493	USED	1102	2022-02-12 05:41:06.716
12150	1100-4922	USED	1100	2022-02-12 03:18:04.543
36117	1102-27562	USED	1102	2022-02-05 20:53:21.936
36349	1105-28867	USED	1105	2022-02-10 19:02:15.744
30716	1104-39503	USED	1104	2022-02-13 07:41:42.431
329	1109-35176	USED	1109	2022-02-09 22:26:06.771
11808	1104-47624	USED	1104	2022-02-10 11:15:42.964
25601	1106-42057	USED	1106	2022-02-07 05:11:26.997
26250	1106-28180	USED	1106	2022-02-09 00:31:45.052
9343	1106-22967	USED	1106	2022-02-03 05:50:32.519
16344	1106-12172	USED	1106	2022-02-11 09:40:33.163
5432	1109-44599	USED	1109	2022-02-19 18:10:43.500
28673	1105-10407	USED	1105	2022-02-15 04:40:28.359
25335	1103-9131	USED	1103	2022-02-07 22:12:27.220
5675	1103-5436	USED	1103	2022-02-16 09:42:52.790
2251	1108-5847	USED	1108	2022-02-09 03:27:21.729
17916	1109-2881	USED	1109	2022-02-13 21:51:59.718
35677	1103-16270	USED	1103	2022-02-06 17:09:20.578
12145	1101-43388	USED	1101	2022-02-19 10:16:44.440
24010	1109-6725	USED	1109	2022-02-02 04:31:06.587
19710	1106-37375	USED	1106	2022-02-18 02:01:51.466
34127	1101-17373	USED	1101	2022-02-11 00:05:16.191
9428	1101-48010	USED	1101	2022-02-10 08:44:52.486
12966	1108-37659	USED	1108	2022-02-04 02:36:58.041
10418	1108-37673	USED	1108	2022-02-19 22:04:14.354
822	1109-31584	USED	1109	2022-02-06 17:50:15.343
27369	1101-34926	USED	1101	2022-02-02 12:16:02.522
9548	1100-42137	USED	1100	2022-02-05 05:18:16.436
8730	1102-30560	USED	1102	2022-02-01 19:20:43.753
20442	1103-34187	USED	1103	2022-02-15 09:43:27.951
19382	1106-37658	USED	1106	2022-02-20 00:10:37.205
33841	1103-43499	USED	1103	2022-02-09 06:57:02.933
36109	1107-42978	USED	1107	2022-02-14 19:53:09.465
34463	1108-49406	USED	1108	2022-02-18 16:57:19.925
30037	1109-47369	USED	1109	2022-02-05 01:59:36.392
666	1102-28683	USED	1102	2022-02-12 15:29:23.930
