userid	voucherCode	status	campaignID	time
38479	1103-36680	USED	1103	2022-02-14 03:59:24.132
20456	1108-31302	USED	1108	2022-02-08 04:03:33.171
23900	1108-16911	USED	1108	2022-02-10 23:03:07.386
2842	1101-27708	USED	1101	2022-02-16 18:28:40.410
5452	1100-19206	USED	1100	2022-02-19 10:07:24.859
16216	1109-6214	USED	1109	2022-02-11 08:34:44.613
25640	1107-18412	USED	1107	2022-02-13 12:46:29.353
24247	1105-48662	USED	1105	2022-02-10 11:17:38.122
26250	1106-38292	USED	1106	2022-02-07 08:24:48.291
27392	1101-22200	USED	1101	2022-02-07 13:34:17.045
37516	1109-25902	USED	1109	2022-02-17 06:29:43.034
17757	1106-4238	USED	1106	2022-02-18 19:35:54.082
33324	1109-46106	USED	1109	2022-02-17 17:24:44.695
3308	1102-5940	USED	1102	2022-02-05 09:52:42.054
7508	1103-25056	USED	1103	2022-02-16 12:47:35.906
17790	1101-37913	USED	1101	2022-02-12 23:16:12.840
14920	1106-17943	USED	1106	2022-02-13 17:11:14.458
8734	1104-44120	USED	1104	2022-02-07 11:16:20.929
1858	1109-44629	USED	1109	2022-02-20 05:48:05.939
8733	1107-14940	USED	1107	2022-02-01 15:36:57.535
2453	1101-39001	USED	1101	2022-02-17 23:39:21.768
11281	1101-22159	USED	1101	2022-02-05 16:17:27.367
4201	1100-11485	USED	1100	2022-02-01 09:23:29.393
25151	1108-25014	USED	1108	2022-02-13 13:42:42.961
18986	1107-5119	USED	1107	2022-02-05 14:30:42.412
6891	1105-16962	USED	1105	2022-02-06 02:59:34.206
29124	1105-19109	USED	1105	2022-02-17 02:05:14.545
11602	1105-7006	USED	1105	2022-02-20 09:30:12.263
18990	1103-43992	USED	1103	2022-02-05 20:21:49.707
30907	1102-15584	USED	1102	2022-02-19 02:29:26.812
33864	1109-12166	USED	1109	2022-02-09 05:29:07.982
6816	1106-28896	USED	1106	2022-02-07 02:38:28.245
4387	1102-15615	USED	1102	2022-02-11 05:49:15.935
21140	1102-11850	USED	1102	2022-02-20 20:21:09.397
34335	1102-27315	USED	1102	2022-02-11 22:19:21.688
12910	1100-3733	USED	1100	2022-02-14 09:09:54.540
19042	1102-3296	USED	1102	2022-02-04 19:42:47.600
24983	1105-29794	USED	1105	2022-02-06 06:58:18.753
16972	1107-35067	USED	1107	2022-02-08 17:44:10.619
18111	1105-6116	USED	1105	2022-02-11 15:16:12.736
5338	1107-31723	USED	1107	2022-02-14 14:07:42.687
25963	1105-5803	USED	1105	2022-02-11 23:37:13.627
23739	1106-12038	USED	1106	2022-02-02 17:33:26.457
35590	1109-28581	USED	1109	2022-02-01 09:37:58.084
5810	1102-49297	USED	1102	2022-02-08 04:07:46.052
17596	1103-39345	USED	1103	2022-02-01 16:52:02.557
22781	1107-2230	USED	1107	2022-02-11 07:00:39.788
19669	1102-8793	USED	1102	2022-02-02 06:33:19.418
32480	1103-31303	USED	1103	2022-02-03 20:41:37.716
25266	1109-19263	USED	1109	2022-02-07 18:51:46.280
32335	1107-20330	USED	1107	2022-02-08 10:55:04.752
27794	1108-43617	USED	1108	2022-02-12 19:08:11.066
22747	1108-28601	USED	1108	2022-02-20 06:29:34.142
3242	1101-21783	USED	1101	2022-02-17 16:52:20.623
29628	1100-44376	USED	1100	2022-02-12 23:20:23.592
6059	1104-15483	USED	1104	2022-02-02 20:16:03.356
25833	1105-34212	USED	1105	2022-02-12 18:52:03.552
26042	1106-34436	USED	1106	2022-02-12 22:05:43.094
9381	1105-47379	USED	1105	2022-02-05 20:40:55.339
26941	1109-41325	USED	1109	2022-02-16 23:10:14.036
27742	1105-22651	USED	1105	2022-02-01 10:35:38.416
38589	1106-26586	USED	1106	2022-02-05 12:15:53.403
4088	1105-17585	USED	1105	2022-02-20 00:11:30.472
31589	1106-32143	USED	1106	2022-02-01 22:23:14.016
2592	1104-27733	USED	1104	2022-02-13 11:02:02.127
16393	1107-1698	USED	1107	2022-02-06 05:26:14.765
24794	1106-16555	USED	1106	2022-02-12 05:44:06.263
18646	1106-16609	USED	1106	2022-02-07 23:54:23.004
11132	1105-28587	USED	1105	2022-02-12 02:12:13.992
31703	1109-3964	USED	1109	2022-02-14 00:32:41.495
34404	1107-11787	USED	1107	2022-02-15 09:26:26.920
31080	1100-44474	USED	1100	2022-02-16 04:23:40.221
8664	1109-31907	USED	1109	2022-02-17 13:05:53.542
2003	1103-6919	USED	1103	2022-02-10 16:33:39.614
11630	1100-41290	USED	1100	2022-02-03 17:30:47.612
15655	1105-1537	USED	1105	2022-02-09 13:33:39.187
6999	1102-36540	USED	1102	2022-02-15 02:29:27.954
20808	1106-2985	USED	1106	2022-02-10 20:59:59.273
17014	1104-45460	USED	1104	2022-02-06 17:32:14.949
21972	1102-25938	USED	1102	2022-02-01 03:17:46.022
31856	1101-29005	USED	1101	2022-02-12 20:29:05.403
3489	1100-44548	USED	1100	2022-02-09 09:25:06.101
33455	1108-6347	USED	1108	2022-02-06 23:28:50.518
5454	1104-49574	USED	1104	2022-02-03 18:15:31.953
20882	1107-47138	USED	1107	2022-02-20 06:37:40.598
38706	1103-4032	USED	1103	2022-02-05 21:57:34.696
