userid	voucherCode	status	campaignID	time
28855	1107-35191	USED	1107	2022-02-19 17:48:56.909
14715	1101-37538	USED	1101	2022-02-01 10:17:56.018
27648	1101-29737	USED	1101	2022-02-02 05:57:35.008
16077	1106-48910	USED	1106	2022-02-12 19:14:22.184
23906	1104-35753	USED	1104	2022-02-17 08:27:10.486
35635	1105-31941	USED	1105	2022-02-09 00:05:47.650
14518	1103-41391	USED	1103	2022-02-04 10:01:06.931
2536	1101-12988	USED	1101	2022-02-03 03:55:21.088
27739	1107-40137	USED	1107	2022-02-08 19:46:10.380
38683	1106-3573	USED	1106	2022-02-05 09:41:37.070
18684	1104-23365	USED	1104	2022-02-06 00:09:42.669
29679	1103-505	USED	1103	2022-02-01 10:17:22.082
5779	1108-1794	USED	1108	2022-02-04 23:13:07.377
7183	1108-3593	USED	1108	2022-02-18 18:19:01.145
37412	1100-13163	USED	1100	2022-02-08 07:14:28.358
23914	1104-19374	USED	1104	2022-02-04 18:52:14.917
13686	1100-17724	USED	1100	2022-02-08 07:33:05.346
6361	1109-5634	USED	1109	2022-02-15 11:59:05.371
26050	1107-32412	USED	1107	2022-02-08 04:28:16.248
13897	1101-40986	USED	1101	2022-02-06 15:09:52.076
23054	1105-24361	USED	1105	2022-02-12 22:40:12.968
3697	1104-18845	USED	1104	2022-02-18 16:09:43.408
243	1104-40576	USED	1104	2022-02-16 13:22:58.242
22969	1108-1646	USED	1108	2022-02-17 16:45:48.703
25253	1100-5124	USED	1100	2022-02-14 01:44:05.874
2157	1109-26494	USED	1109	2022-02-01 13:59:32.883
30463	1109-49036	USED	1109	2022-02-11 00:20:53.479
7790	1104-37192	USED	1104	2022-02-02 05:06:44.999
29315	1102-35839	USED	1102	2022-02-04 10:24:39.649
39930	1103-1201	USED	1103	2022-02-04 10:24:35.481
8889	1109-44035	USED	1109	2022-02-12 22:14:53.639
30980	1106-23242	USED	1106	2022-02-10 20:51:54.853
22332	1104-24604	USED	1104	2022-02-01 14:09:57.911
30568	1109-914	USED	1109	2022-02-14 10:26:32.283
15841	1105-22506	USED	1105	2022-02-01 01:10:14.737
1913	1102-15689	USED	1102	2022-02-15 22:18:39.261
11895	1108-5229	USED	1108	2022-02-10 06:34:41.106
15292	1109-21350	USED	1109	2022-02-11 22:43:07.587
27713	1100-18473	USED	1100	2022-02-14 06:31:29.904
9699	1105-12431	USED	1105	2022-02-06 14:56:47.152
2987	1101-21932	USED	1101	2022-02-11 02:26:40.349
24976	1105-40285	USED	1105	2022-02-08 15:17:46.219
4934	1109-49817	USED	1109	2022-02-15 21:30:00.952
9175	1103-13581	USED	1103	2022-02-04 14:51:45.887
36747	1108-49429	USED	1108	2022-02-07 14:02:15.783
26964	1100-49188	USED	1100	2022-02-14 19:08:17.542
7635	1104-33349	USED	1104	2022-02-14 19:10:36.990
27063	1104-13778	USED	1104	2022-02-13 22:23:11.134
16525	1107-23974	USED	1107	2022-02-03 05:46:05.968
4138	1102-46514	USED	1102	2022-02-02 04:40:36.857
3958	1101-41492	USED	1101	2022-02-19 04:05:50.617
6541	1108-42651	USED	1108	2022-02-15 16:58:21.362
20978	1107-1835	USED	1107	2022-02-07 04:14:08.373
26889	1106-43015	USED	1106	2022-02-07 09:43:04.803
30339	1109-14606	USED	1109	2022-02-08 15:22:14.778
10223	1109-25354	USED	1109	2022-02-02 15:18:48.653
5919	1106-29693	USED	1106	2022-02-15 01:40:20.746
19812	1106-2638	USED	1106	2022-02-13 09:33:46.721
6283	1103-29236	USED	1103	2022-02-11 16:42:17.304
9184	1103-35163	USED	1103	2022-02-13 01:35:37.405
3872	1109-23269	USED	1109	2022-02-18 22:23:18.491
14129	1107-44194	USED	1107	2022-02-06 01:24:26.335
31470	1109-5302	USED	1109	2022-02-16 18:34:09.530
8866	1102-21370	USED	1102	2022-02-13 03:02:10.334
29564	1100-36237	USED	1100	2022-02-08 09:37:10.821
30788	1108-21509	USED	1108	2022-02-04 12:50:01.267
24447	1109-38636	USED	1109	2022-02-17 02:09:19.020
31381	1103-35312	USED	1103	2022-02-17 14:28:16.088
16631	1105-23482	USED	1105	2022-02-12 09:18:39.335
247	1107-27127	USED	1107	2022-02-04 11:58:52.535
37385	1108-12131	USED	1108	2022-02-09 07:33:49.932
34293	1105-36387	USED	1105	2022-02-20 05:18:58.975
27413	1108-10317	USED	1108	2022-02-03 07:54:43.053
23115	1109-17328	USED	1109	2022-02-05 18:19:52.929
2485	1109-6596	USED	1109	2022-02-15 08:43:36.168
14003	1105-46064	USED	1105	2022-02-14 23:53:14.195
36712	1102-38944	USED	1102	2022-02-13 08:30:37.581
5289	1106-16829	USED	1106	2022-02-13 12:51:56.918
7855	1103-33330	USED	1103	2022-02-16 11:37:08.408
3453	1108-865	USED	1108	2022-02-02 20:56:45.945
25083	1101-32552	USED	1101	2022-02-19 14:55:15.461
31143	1105-48179	USED	1105	2022-02-12 08:11:07.631
11257	1100-29420	USED	1100	2022-02-02 02:20:49.522
21574	1105-48809	USED	1105	2022-02-08 14:16:17.396
5401	1107-10145	USED	1107	2022-02-17 01:23:02.240
1860	1101-28786	USED	1101	2022-02-05 14:47:53.513
4194	1107-22514	USED	1107	2022-02-18 01:19:07.888
20918	1108-27536	USED	1108	2022-02-09 22:52:18.010
35463	1107-45411	USED	1107	2022-02-10 11:25:33.681
4482	1108-49798	USED	1108	2022-02-01 22:56:08.477
28174	1106-48436	USED	1106	2022-02-10 13:39:26.635
22245	1101-12729	USED	1101	2022-02-09 23:40:47.247
1551	1102-431	USED	1102	2022-02-08 00:08:21.882
32721	1103-3495	USED	1103	2022-02-16 05:37:17.246
19349	1107-34677	USED	1107	2022-02-13 01:13:47.672
25276	1100-10057	USED	1100	2022-02-12 09:08:21.703
18007	1105-19725	USED	1105	2022-02-19 08:13:35.653
37542	1108-19349	USED	1108	2022-02-15 06:10:49.826
1650	1107-23436	USED	1107	2022-02-02 19:18:39.569
20425	1109-26362	USED	1109	2022-02-05 04:20:08.648
4194	1103-22258	USED	1103	2022-02-01 21:51:28.249
8432	1107-22135	USED	1107	2022-02-12 07:05:43.741
35381	1102-18451	USED	1102	2022-02-02 21:04:36.046
23756	1104-14621	USED	1104	2022-02-04 01:11:45.717
20498	1106-29465	USED	1106	2022-02-02 08:18:09.732
17308	1105-47180	USED	1105	2022-02-07 01:30:43.993
5481	1106-20127	USED	1106	2022-02-07 19:47:23.156
12381	1109-48604	USED	1109	2022-02-20 00:53:06.545
32582	1109-12032	USED	1109	2022-02-15 11:21:43.613
5127	1108-33786	USED	1108	2022-02-17 04:50:00.126
16004	1103-14290	USED	1103	2022-02-01 21:54:20.084
37917	1106-28300	USED	1106	2022-02-13 06:38:06.007
23152	1107-5191	USED	1107	2022-02-09 09:54:34.676
12749	1101-40774	USED	1101	2022-02-08 20:44:02.065
27643	1107-10580	USED	1107	2022-02-03 09:40:08.961
26496	1100-32381	USED	1100	2022-02-20 12:34:18.301
4179	1101-28499	USED	1101	2022-02-13 17:47:54.915
39531	1104-21000	USED	1104	2022-02-03 07:53:47.553
8272	1105-44702	USED	1105	2022-02-13 07:47:28.207
35876	1108-12447	USED	1108	2022-02-01 21:06:45.526
9070	1109-5818	USED	1109	2022-02-09 02:14:22.553
38951	1102-41328	USED	1102	2022-02-12 17:22:16.863
11874	1108-2792	USED	1108	2022-02-10 19:18:20.178
23092	1102-8075	USED	1102	2022-02-09 14:19:50.520
4613	1101-11647	USED	1101	2022-02-05 18:08:39.086
38958	1103-23767	USED	1103	2022-02-10 04:15:38.329
10108	1102-2760	USED	1102	2022-02-03 00:50:15.592
3454	1106-20354	USED	1106	2022-02-11 22:11:17.262
35923	1103-43221	USED	1103	2022-02-02 01:07:08.908
39703	1108-47435	USED	1108	2022-02-03 07:15:36.820
33342	1109-47278	USED	1109	2022-02-17 16:33:56.738
15844	1105-10853	USED	1105	2022-02-14 04:56:40.949
1127	1105-8824	USED	1105	2022-02-11 12:48:15.312
1399	1104-18915	USED	1104	2022-02-06 08:03:34.471
21316	1102-39453	USED	1102	2022-02-01 07:27:52.851
25328	1109-24010	USED	1109	2022-02-20 17:30:31.985
31760	1106-34920	USED	1106	2022-02-06 02:31:45.476
38022	1105-17801	USED	1105	2022-02-10 01:16:39.128
23470	1102-49741	USED	1102	2022-02-17 14:16:49.497
14218	1108-3671	USED	1108	2022-02-09 22:28:31.399
23137	1109-31523	USED	1109	2022-02-20 19:27:46.641
5503	1104-16537	USED	1104	2022-02-14 18:56:34.292
32842	1104-46312	USED	1104	2022-02-17 19:57:24.225
30822	1108-538	USED	1108	2022-02-06 15:52:56.137
34988	1101-26857	USED	1101	2022-02-10 03:54:32.047
36123	1102-2756	USED	1102	2022-02-13 06:46:37.563
11600	1102-9126	USED	1102	2022-02-14 08:57:25.956
23995	1108-42325	USED	1108	2022-02-11 05:57:59.612
12458	1105-4736	USED	1105	2022-02-08 10:11:26.631
6196	1104-33556	USED	1104	2022-02-05 09:45:47.356
9299	1101-16350	USED	1101	2022-02-13 22:13:10.197
14908	1102-30869	USED	1102	2022-02-07 22:26:10.057
20331	1105-18162	USED	1105	2022-02-14 08:41:43.085
4753	1108-32320	USED	1108	2022-02-15 15:44:34.008
30406	1108-30930	USED	1108	2022-02-06 00:43:27.949
34357	1103-27797	USED	1103	2022-02-08 17:56:40.082
36772	1103-25930	USED	1103	2022-02-18 00:06:27.881
16213	1108-41826	USED	1108	2022-02-16 08:12:59.221
8883	1104-2422	USED	1104	2022-02-18 14:28:14.487
23864	1100-749	USED	1100	2022-02-11 23:31:59.781
2082	1106-15724	USED	1106	2022-02-12 02:00:14.691
5409	1102-10300	USED	1102	2022-02-08 21:40:18.259
25239	1103-33535	USED	1103	2022-02-03 01:49:30.322
19043	1109-1172	USED	1109	2022-02-07 15:04:09.653
4050	1108-41917	USED	1108	2022-02-06 12:00:04.650
25419	1105-125	USED	1105	2022-02-11 16:48:47.514
27131	1108-120	USED	1108	2022-02-11 00:08:12.607
18845	1104-17164	USED	1104	2022-02-14 20:37:13.534
39868	1105-39185	USED	1105	2022-02-10 19:55:55.566
21151	1108-32470	USED	1108	2022-02-01 14:02:34.543
37214	1100-42199	USED	1100	2022-02-05 02:49:17.446
18237	1108-598	USED	1108	2022-02-14 03:34:57.390
17460	1101-43760	USED	1101	2022-02-10 00:55:17.065
18942	1107-46526	USED	1107	2022-02-07 07:38:02.086
10070	1108-35915	USED	1108	2022-02-16 01:50:12.848
32340	1106-47353	USED	1106	2022-02-03 18:33:00.179
18681	1102-17325	USED	1102	2022-02-09 23:49:38.404
9607	1100-32602	USED	1100	2022-02-07 04:56:54.947
21759	1109-37473	USED	1109	2022-02-06 09:05:35.351
21833	1105-48684	USED	1105	2022-02-20 03:52:54.623
2675	1104-34696	USED	1104	2022-02-17 13:14:08.235
19805	1103-33545	USED	1103	2022-02-01 02:59:29.654
24231	1107-22875	USED	1107	2022-02-13 17:38:02.590
1290	1105-37790	USED	1105	2022-02-08 10:42:45.191
3031	1103-34582	USED	1103	2022-02-16 07:50:58.917
9906	1107-29588	USED	1107	2022-02-08 03:53:23.596
6881	1101-29745	USED	1101	2022-02-20 06:51:50.084
27356	1100-19161	USED	1100	2022-02-11 18:47:53.680
37747	1104-527	USED	1104	2022-02-04 11:49:35.094
16846	1108-601	USED	1108	2022-02-13 12:17:53.899
4177	1102-35487	USED	1102	2022-02-17 15:13:15.197
31403	1101-48046	USED	1101	2022-02-10 06:01:56.677
36665	1105-8749	USED	1105	2022-02-04 08:54:14.589
8423	1104-41241	USED	1104	2022-02-01 08:09:07.823
19436	1102-1342	USED	1102	2022-02-05 10:32:51.937
28124	1104-40947	USED	1104	2022-02-17 18:46:22.834
9638	1103-44561	USED	1103	2022-02-12 01:59:42.480
35174	1109-2029	USED	1109	2022-02-19 03:37:34.646
6532	1102-47337	USED	1102	2022-02-17 16:30:15.736
19814	1107-44060	USED	1107	2022-02-10 02:58:10.064
21552	1101-30501	USED	1101	2022-02-01 09:12:39.897
22033	1103-18564	USED	1103	2022-02-06 11:17:46.672
468	1106-7243	USED	1106	2022-02-14 23:57:32.589
12653	1108-44095	USED	1108	2022-02-06 08:12:00.666
9138	1105-9220	USED	1105	2022-02-11 04:48:34.403
32773	1100-47932	USED	1100	2022-02-02 18:34:01.269
29409	1102-14450	USED	1102	2022-02-10 21:06:03.436
30118	1104-4807	USED	1104	2022-02-20 18:44:00.902
35693	1103-4740	USED	1103	2022-02-20 10:02:29.796
15277	1106-27358	USED	1106	2022-02-15 21:41:47.312
26651	1108-5428	USED	1108	2022-02-05 19:32:12.141
8668	1104-7467	USED	1104	2022-02-13 05:19:11.789
720	1107-36401	USED	1107	2022-02-07 01:45:16.457
12390	1101-46817	USED	1101	2022-02-15 03:24:42.529
27384	1102-4374	USED	1102	2022-02-10 02:50:01.750
20144	1104-13741	USED	1104	2022-02-09 08:08:44.510
17511	1103-6247	USED	1103	2022-02-16 10:49:35.930
4542	1106-25628	USED	1106	2022-02-15 12:18:05.834
31589	1106-29123	USED	1106	2022-02-02 14:12:36.365
24394	1101-15812	USED	1101	2022-02-05 06:30:33.169
20375	1105-31657	USED	1105	2022-02-01 15:36:35.622
34961	1102-670	USED	1102	2022-02-19 07:04:31.359
18583	1106-24918	USED	1106	2022-02-08 19:15:02.031
16048	1104-8104	USED	1104	2022-02-20 13:18:19.213
38614	1100-23535	USED	1100	2022-02-14 14:50:36.448
5922	1100-42012	USED	1100	2022-02-05 07:40:57.939
5257	1101-830	USED	1101	2022-02-16 18:32:35.834
14460	1101-40027	USED	1101	2022-02-07 06:00:28.235
35156	1109-35361	USED	1109	2022-02-02 06:46:47.492
21120	1108-40588	USED	1108	2022-02-16 06:44:03.663
9332	1104-13618	USED	1104	2022-02-08 03:05:42.418
33262	1108-21520	USED	1108	2022-02-16 00:43:37.049
