userid	voucherCode	status	campaignID	time
7136	1105-22209	USED	1105	2022-02-06 06:30:23.413
35978	1102-45914	USED	1102	2022-02-08 03:05:59.328
21331	1106-4023	USED	1106	2022-02-14 12:19:20.038
32271	1103-37283	USED	1103	2022-02-06 13:29:48.534
35614	1104-36095	USED	1104	2022-02-05 04:25:51.270
2412	1100-33149	USED	1100	2022-02-06 17:38:21.442
38334	1101-9849	USED	1101	2022-02-02 23:00:46.261
19352	1100-4788	USED	1100	2022-02-16 04:56:33.712
39958	1107-13119	USED	1107	2022-02-19 11:37:41.532
4359	1100-20159	USED	1100	2022-02-03 20:04:10.726
37514	1102-36214	USED	1102	2022-02-12 08:28:29.990
7544	1108-688	USED	1108	2022-02-09 02:04:23.856
31780	1109-17444	USED	1109	2022-02-16 21:43:00.721
1748	1102-4094	USED	1102	2022-02-08 01:15:22.642
24573	1103-11163	USED	1103	2022-02-01 09:13:32.045
32842	1108-3443	USED	1108	2022-02-01 16:26:30.651
27133	1102-35031	USED	1102	2022-02-17 15:49:07.603
37507	1105-12034	USED	1105	2022-02-18 23:48:35.549
261	1100-7290	USED	1100	2022-02-17 20:45:08.535
22988	1105-34330	USED	1105	2022-02-19 21:54:26.904
12560	1100-35052	USED	1100	2022-02-09 23:49:28.474
16960	1106-33883	USED	1106	2022-02-02 21:07:17.192
39337	1103-15232	USED	1103	2022-02-15 20:40:49.203
39117	1106-22131	USED	1106	2022-02-19 08:23:22.080
10521	1101-8752	USED	1101	2022-02-05 05:57:16.712
23576	1108-39598	USED	1108	2022-02-16 00:13:21.154
14611	1106-23644	USED	1106	2022-02-07 17:20:56.085
33500	1105-4852	USED	1105	2022-02-02 12:59:17.381
32100	1102-11134	USED	1102	2022-02-11 09:00:30.261
38485	1106-13715	USED	1106	2022-02-20 19:12:22.693
2877	1108-30762	USED	1108	2022-02-05 01:28:24.178
5898	1100-9120	USED	1100	2022-02-12 11:21:44.060
19975	1104-25895	USED	1104	2022-02-18 01:21:47.562
1393	1103-9103	USED	1103	2022-02-12 20:14:08.152
2912	1102-35803	USED	1102	2022-02-03 01:27:41.710
28405	1101-9973	USED	1101	2022-02-11 07:43:33.370
35969	1102-19381	USED	1102	2022-02-13 16:23:35.834
15289	1106-26450	USED	1106	2022-02-07 12:57:06.900
11057	1100-47978	USED	1100	2022-02-03 11:01:50.432
1410	1107-10891	USED	1107	2022-02-14 08:02:54.683
26063	1101-5437	USED	1101	2022-02-20 19:50:31.521
38395	1100-30080	USED	1100	2022-02-01 09:43:53.067
6251	1109-5086	USED	1109	2022-02-06 06:56:16.179
3545	1106-13876	USED	1106	2022-02-04 01:51:56.943
6455	1103-46102	USED	1103	2022-02-13 17:00:16.775
32002	1107-6413	USED	1107	2022-02-05 21:23:17.051
30476	1105-40132	USED	1105	2022-02-09 18:16:53.398
5964	1102-4524	USED	1102	2022-02-10 00:00:00.607
34586	1103-14989	USED	1103	2022-02-10 02:13:31.662
27597	1106-43801	USED	1106	2022-02-14 06:33:16.517
28878	1103-47949	USED	1103	2022-02-13 01:00:42.739
6433	1109-26210	USED	1109	2022-02-18 21:22:17.865
18796	1107-12375	USED	1107	2022-02-10 11:05:21.405
16570	1104-43236	USED	1104	2022-02-13 01:22:03.317
20123	1106-3659	USED	1106	2022-02-10 00:59:42.900
10797	1107-4076	USED	1107	2022-02-01 06:48:36.928
13318	1105-36939	USED	1105	2022-02-06 03:47:05.483
37098	1103-46140	USED	1103	2022-02-11 14:14:40.473
23079	1106-38688	USED	1106	2022-02-02 19:49:22.905
35465	1104-1329	USED	1104	2022-02-10 17:46:57.144
17973	1108-23989	USED	1108	2022-02-12 22:32:29.007
24580	1101-773	USED	1101	2022-02-13 08:00:48.445
23539	1103-24111	USED	1103	2022-02-05 08:39:39.086
35565	1100-47370	USED	1100	2022-02-16 21:04:05.221
23525	1103-38811	USED	1103	2022-02-20 14:01:07.451
11047	1106-10569	USED	1106	2022-02-11 00:26:41.856
11884	1102-15179	USED	1102	2022-02-14 07:45:19.536
32153	1109-15943	USED	1109	2022-02-19 14:26:05.808
539	1104-49787	USED	1104	2022-02-20 16:36:02.766
19582	1106-45120	USED	1106	2022-02-14 02:57:54.055
19603	1103-41956	USED	1103	2022-02-10 09:48:09.360
33416	1104-48505	USED	1104	2022-02-10 15:40:02.346
11068	1101-39494	USED	1101	2022-02-19 22:23:18.417
38269	1107-14859	USED	1107	2022-02-18 09:45:11.561
5573	1106-18083	USED	1106	2022-02-09 16:03:56.029
33720	1107-34552	USED	1107	2022-02-16 06:17:21.804
10861	1105-6379	USED	1105	2022-02-15 20:23:52.050
28937	1104-16893	USED	1104	2022-02-18 01:06:17.313
25122	1104-21547	USED	1104	2022-02-05 01:47:21.073
588	1106-24445	USED	1106	2022-02-16 10:37:16.759
5524	1109-4967	USED	1109	2022-02-08 07:46:23.925
3160	1105-10564	USED	1105	2022-02-08 16:27:53.950
21910	1100-49070	USED	1100	2022-02-01 16:08:22.314
22490	1103-47294	USED	1103	2022-02-14 11:13:35.858
26547	1103-3442	USED	1103	2022-02-18 18:55:09.141
3798	1109-36256	USED	1109	2022-02-16 11:03:24.219
261	1108-5822	USED	1108	2022-02-13 15:47:04.018
29086	1109-17456	USED	1109	2022-02-11 13:51:06.130
15584	1103-16870	USED	1103	2022-02-18 23:17:48.055
24536	1103-13548	USED	1103	2022-02-11 01:32:37.763
8759	1105-47488	USED	1105	2022-02-16 04:59:31.453
15316	1104-22451	USED	1104	2022-02-09 02:20:26.686
7262	1100-3911	USED	1100	2022-02-15 01:55:19.785
37083	1105-7825	USED	1105	2022-02-14 03:48:07.197
34154	1105-35195	USED	1105	2022-02-18 12:16:51.812
33040	1103-49809	USED	1103	2022-02-04 15:48:59.486
26183	1103-30477	USED	1103	2022-02-20 23:55:15.805
14662	1103-17552	USED	1103	2022-02-15 16:51:55.892
15354	1101-28023	USED	1101	2022-02-08 23:44:14.845
31233	1104-11193	USED	1104	2022-02-01 00:24:47.438
10741	1106-27234	USED	1106	2022-02-17 10:57:58.551
92	1109-32782	USED	1109	2022-02-02 06:17:48.487
4910	1107-26824	USED	1107	2022-02-12 21:36:21.286
13568	1104-19952	USED	1104	2022-02-01 02:00:11.469
11832	1105-14570	USED	1105	2022-02-05 00:13:10.567
2226	1103-45349	USED	1103	2022-02-05 04:33:41.874
13970	1109-25527	USED	1109	2022-02-11 14:19:20.006
29582	1104-26743	USED	1104	2022-02-16 02:24:30.679
38515	1105-15991	USED	1105	2022-02-11 23:41:55.949
20646	1101-20347	USED	1101	2022-02-01 10:12:09.717
33655	1107-27641	USED	1107	2022-02-04 05:51:11.347
26216	1101-32103	USED	1101	2022-02-10 20:15:51.263
30511	1100-23723	USED	1100	2022-02-17 19:21:47.640
35428	1108-19926	USED	1108	2022-02-18 21:44:04.284
5411	1104-29348	USED	1104	2022-02-12 03:57:20.013
7914	1101-36196	USED	1101	2022-02-06 00:12:51.219
27641	1100-39312	USED	1100	2022-02-10 00:16:13.207
6912	1105-8600	USED	1105	2022-02-13 23:36:45.911
31585	1103-7197	USED	1103	2022-02-06 18:16:07.041
29338	1101-8828	USED	1101	2022-02-09 07:18:45.886
20648	1107-12587	USED	1107	2022-02-02 15:54:38.297
5347	1103-21903	USED	1103	2022-02-01 20:05:38.927
12200	1109-2195	USED	1109	2022-02-09 17:29:07.517
19734	1107-19855	USED	1107	2022-02-16 08:42:57.414
7118	1107-32521	USED	1107	2022-02-11 11:28:42.506
14143	1103-9401	USED	1103	2022-02-08 21:05:43.078
29188	1109-15901	USED	1109	2022-02-10 12:09:39.831
22467	1101-39658	USED	1101	2022-02-16 07:15:27.004
31290	1105-46974	USED	1105	2022-02-15 03:33:53.292
2647	1103-4635	USED	1103	2022-02-12 06:51:06.881
33738	1103-22723	USED	1103	2022-02-16 12:47:04.869
11851	1100-14357	USED	1100	2022-02-19 11:23:35.515
35959	1102-41306	USED	1102	2022-02-14 21:42:49.009
27851	1103-1588	USED	1103	2022-02-14 16:36:14.099
28106	1103-35473	USED	1103	2022-02-20 10:24:54.858
110	1101-32910	USED	1101	2022-02-12 06:37:20.336
32056	1100-25058	USED	1100	2022-02-03 13:37:11.624
4426	1106-26902	USED	1106	2022-02-11 19:54:58.924
7816	1104-21419	USED	1104	2022-02-01 17:18:12.559
26358	1107-31864	USED	1107	2022-02-09 21:18:50.394
9465	1106-26792	USED	1106	2022-02-18 07:12:03.386
10656	1102-39782	USED	1102	2022-02-05 01:13:28.326
7116	1105-13690	USED	1105	2022-02-16 04:17:28.164
36478	1106-6857	USED	1106	2022-02-14 00:42:23.109
31293	1108-17425	USED	1108	2022-02-06 10:26:12.139
1068	1104-46872	USED	1104	2022-02-15 23:44:07.343
34146	1102-15305	USED	1102	2022-02-19 06:52:02.839
11654	1106-46278	USED	1106	2022-02-12 08:26:29.838
3076	1106-43530	USED	1106	2022-02-15 09:50:55.547
14155	1107-207	USED	1107	2022-02-06 01:22:08.680
29860	1109-12904	USED	1109	2022-02-01 16:41:00.716
20923	1105-40831	USED	1105	2022-02-06 15:33:42.807
294	1106-40633	USED	1106	2022-02-07 15:33:24.219
23809	1107-13144	USED	1107	2022-02-08 23:57:42.252
30765	1101-41603	USED	1101	2022-02-07 08:59:17.847
14939	1102-46932	USED	1102	2022-02-08 18:37:09.931
33635	1109-36950	USED	1109	2022-02-01 04:24:36.739
14596	1103-21290	USED	1103	2022-02-02 09:32:58.288
8627	1105-11775	USED	1105	2022-02-07 08:23:01.159
36166	1105-24546	USED	1105	2022-02-18 17:00:32.190
8412	1106-43023	USED	1106	2022-02-03 06:19:57.362
36225	1107-17407	USED	1107	2022-02-12 05:49:01.442
30316	1100-584	USED	1100	2022-02-17 01:34:38.441
27687	1101-17684	USED	1101	2022-02-11 14:48:29.500
21886	1109-48375	USED	1109	2022-02-06 00:10:58.440
28572	1109-37841	USED	1109	2022-02-02 10:24:54.615
37886	1105-39435	USED	1105	2022-02-04 03:29:09.221
33093	1104-21800	USED	1104	2022-02-19 15:42:46.277
26318	1100-21984	USED	1100	2022-02-12 21:19:31.255
7116	1108-48411	USED	1108	2022-02-17 20:14:57.432
1632	1107-23157	USED	1107	2022-02-11 11:38:02.313
25085	1100-28395	USED	1100	2022-02-02 04:33:33.758
38117	1109-44398	USED	1109	2022-02-14 05:50:07.446
10961	1100-38974	USED	1100	2022-02-13 12:55:07.246
1192	1108-1408	USED	1108	2022-02-09 21:40:32.891
9115	1100-10146	USED	1100	2022-02-02 23:20:25.327
33945	1107-12646	USED	1107	2022-02-02 19:19:17.074
10145	1102-26439	USED	1102	2022-02-20 17:32:21.460
25498	1109-5845	USED	1109	2022-02-11 21:17:53.632
7808	1108-39932	USED	1108	2022-02-04 22:48:54.652
17224	1105-14592	USED	1105	2022-02-11 23:51:28.315
34489	1105-30025	USED	1105	2022-02-18 03:14:58.701
37144	1105-48084	USED	1105	2022-02-02 04:46:05.706
23952	1101-13991	USED	1101	2022-02-18 04:48:00.223
10389	1103-23054	USED	1103	2022-02-10 13:24:09.351
8750	1106-30208	USED	1106	2022-02-17 20:33:45.519
27849	1102-2055	USED	1102	2022-02-14 12:32:27.781
7562	1104-21092	USED	1104	2022-02-16 04:08:16.963
3124	1106-27422	USED	1106	2022-02-09 20:22:53.547
30444	1106-29703	USED	1106	2022-02-17 18:22:44.043
33197	1101-31639	USED	1101	2022-02-02 23:36:56.631
26879	1109-20574	USED	1109	2022-02-20 01:34:03.069
10244	1104-25810	USED	1104	2022-02-07 06:34:31.764
22835	1105-11983	USED	1105	2022-02-06 13:34:01.727
32003	1102-25795	USED	1102	2022-02-09 13:45:01.472
37667	1102-35643	USED	1102	2022-02-17 20:42:57.726
15380	1104-40149	USED	1104	2022-02-17 21:23:57.667
28843	1109-37748	USED	1109	2022-02-18 05:06:12.821
6760	1105-37621	USED	1105	2022-02-08 19:47:01.489
23620	1100-522	USED	1100	2022-02-14 22:19:12.487
15587	1109-40158	USED	1109	2022-02-13 20:25:07.042
7622	1106-24251	USED	1106	2022-02-03 17:27:38.302
17875	1104-13066	USED	1104	2022-02-10 03:03:19.124
6381	1107-47598	USED	1107	2022-02-06 16:44:42.385
34540	1100-25330	USED	1100	2022-02-10 18:53:11.999
7822	1107-34257	USED	1107	2022-02-16 16:50:03.206
11879	1109-35217	USED	1109	2022-02-05 18:34:54.172
37700	1105-41264	USED	1105	2022-02-08 11:49:16.604
38538	1100-454	USED	1100	2022-02-17 14:02:22.115
12694	1107-45947	USED	1107	2022-02-05 03:11:12.813
20720	1108-1295	USED	1108	2022-02-04 11:20:01.407
2824	1106-38926	USED	1106	2022-02-19 21:47:46.129
172	1105-28028	USED	1105	2022-02-05 08:05:45.511
28854	1102-24809	USED	1102	2022-02-03 14:30:06.473
37951	1109-27020	USED	1109	2022-02-17 22:16:32.247
400	1108-41420	USED	1108	2022-02-20 00:18:57.604
4951	1108-9408	USED	1108	2022-02-20 07:29:16.267
17296	1101-48717	USED	1101	2022-02-07 15:49:57.602
37449	1102-3129	USED	1102	2022-02-04 03:54:10.146
39470	1105-22910	USED	1105	2022-02-04 10:27:48.440
11708	1108-24737	USED	1108	2022-02-16 13:15:31.311
27283	1100-33701	USED	1100	2022-02-06 18:46:35.898
14785	1108-40835	USED	1108	2022-02-14 16:53:42.067
586	1100-26760	USED	1100	2022-02-01 19:27:44.901
21286	1108-42985	USED	1108	2022-02-06 17:10:38.619
7513	1109-41150	USED	1109	2022-02-02 14:26:52.636
3034	1109-32562	USED	1109	2022-02-15 19:27:53.392
34654	1106-45108	USED	1106	2022-02-01 19:28:42.614
15220	1106-6706	USED	1106	2022-02-01 17:03:21.323
20015	1100-15245	USED	1100	2022-02-14 10:12:37.543
21805	1101-4531	USED	1101	2022-02-03 08:34:06.220
6325	1104-25042	USED	1104	2022-02-02 13:20:33.050
4084	1102-18971	USED	1102	2022-02-19 15:26:12.000
22654	1101-34074	USED	1101	2022-02-12 16:09:18.573
16434	1104-44813	USED	1104	2022-02-13 11:45:54.882
