userid	voucherCode	status	campaignID	time
18446	1101-49435	USED	1101	2022-02-07 14:19:13.722
17707	1100-47882	USED	1100	2022-02-05 21:05:30.859
32084	1102-43278	USED	1102	2022-02-06 19:50:42.114
35526	1109-2327	USED	1109	2022-02-10 11:23:21.583
37748	1104-35577	USED	1104	2022-02-07 06:29:22.280
16823	1103-49136	USED	1103	2022-02-09 02:03:08.588
34592	1105-10508	USED	1105	2022-02-12 06:31:15.946
9997	1109-42247	USED	1109	2022-02-19 07:58:35.483
37043	1106-1531	USED	1106	2022-02-17 00:09:31.739
17344	1101-27407	USED	1101	2022-02-07 23:03:04.426
19134	1103-10834	USED	1103	2022-02-20 10:31:12.062
13158	1109-33700	USED	1109	2022-02-09 19:18:14.795
25315	1101-23662	USED	1101	2022-02-11 06:38:55.375
12305	1106-44772	USED	1106	2022-02-15 18:53:10.507
23723	1108-40154	USED	1108	2022-02-11 00:28:56.827
30588	1100-16880	USED	1100	2022-02-09 09:15:37.373
24309	1103-14083	USED	1103	2022-02-10 18:40:34.081
6637	1105-20520	USED	1105	2022-02-19 04:46:22.680
6829	1102-4178	USED	1102	2022-02-02 00:29:46.264
13351	1100-32499	USED	1100	2022-02-10 15:02:39.715
976	1108-11491	USED	1108	2022-02-19 12:52:20.960
13180	1104-35711	USED	1104	2022-02-19 02:54:25.482
20478	1100-4046	USED	1100	2022-02-05 01:26:09.079
10764	1108-23415	USED	1108	2022-02-08 06:24:13.276
14929	1106-41375	USED	1106	2022-02-07 08:48:37.578
39587	1104-25125	USED	1104	2022-02-12 22:52:48.361
34723	1103-42387	USED	1103	2022-02-09 06:14:45.043
4486	1106-13993	USED	1106	2022-02-20 13:14:10.933
38679	1104-17320	USED	1104	2022-02-05 11:00:04.680
25347	1101-38527	USED	1101	2022-02-14 02:42:08.877
36757	1104-46581	USED	1104	2022-02-12 07:59:26.946
14499	1102-43773	USED	1102	2022-02-04 12:04:41.410
17399	1102-40769	USED	1102	2022-02-11 08:37:45.235
26409	1109-8789	USED	1109	2022-02-06 22:35:56.089
12071	1106-40494	USED	1106	2022-02-01 14:45:02.853
3351	1100-11828	USED	1100	2022-02-05 18:22:04.241
8744	1109-30829	USED	1109	2022-02-18 15:05:54.292
2358	1106-10653	USED	1106	2022-02-17 03:08:17.219
7628	1107-30116	USED	1107	2022-02-15 09:26:05.139
7351	1106-3392	USED	1106	2022-02-20 12:52:28.575
22823	1101-47478	USED	1101	2022-02-14 05:17:28.596
37370	1101-7399	USED	1101	2022-02-03 10:56:42.214
29737	1103-41588	USED	1103	2022-02-07 23:01:19.186
9600	1100-14756	USED	1100	2022-02-05 07:36:38.047
31068	1103-475	USED	1103	2022-02-05 08:20:23.346
27626	1104-37697	USED	1104	2022-02-13 19:11:32.108
5067	1100-24572	USED	1100	2022-02-05 03:16:53.378
35610	1104-44197	USED	1104	2022-02-16 10:42:58.737
27873	1108-27631	USED	1108	2022-02-06 11:32:55.368
9937	1105-21345	USED	1105	2022-02-04 19:47:07.241
10893	1102-31238	USED	1102	2022-02-19 08:29:02.941
37337	1105-17720	USED	1105	2022-02-07 07:03:06.036
28447	1107-11365	USED	1107	2022-02-15 05:44:39.986
15550	1108-49710	USED	1108	2022-02-20 23:54:28.098
11200	1106-47436	USED	1106	2022-02-03 05:16:09.398
3233	1100-35645	USED	1100	2022-02-14 18:32:50.242
22326	1103-47725	USED	1103	2022-02-11 18:51:17.645
6250	1105-47567	USED	1105	2022-02-15 19:04:21.129
27238	1105-106	USED	1105	2022-02-05 04:10:04.516
35116	1105-28231	USED	1105	2022-02-16 20:42:11.429
27402	1106-14034	USED	1106	2022-02-07 19:41:01.651
29105	1102-10421	USED	1102	2022-02-04 07:36:36.265
24343	1108-20342	USED	1108	2022-02-01 17:50:41.444
6124	1108-23686	USED	1108	2022-02-07 18:41:50.104
32660	1104-35635	USED	1104	2022-02-14 14:45:15.553
10399	1107-7507	USED	1107	2022-02-10 17:16:00.659
35263	1104-747	USED	1104	2022-02-02 03:09:08.840
6440	1107-36132	USED	1107	2022-02-07 15:34:56.899
34936	1102-33875	USED	1102	2022-02-04 09:32:32.038
17338	1102-3056	USED	1102	2022-02-10 18:17:03.638
17562	1108-37861	USED	1108	2022-02-04 23:07:48.355
24234	1103-48589	USED	1103	2022-02-19 23:21:13.531
31700	1105-18504	USED	1105	2022-02-08 07:44:23.362
35077	1100-37312	USED	1100	2022-02-18 18:40:25.177
39439	1103-37942	USED	1103	2022-02-16 20:09:29.983
19029	1100-49345	USED	1100	2022-02-01 21:58:00.256
1502	1105-38602	USED	1105	2022-02-06 07:48:19.368
223	1106-2393	USED	1106	2022-02-10 07:38:40.871
21378	1104-41987	USED	1104	2022-02-14 02:38:56.391
38816	1100-17148	USED	1100	2022-02-01 08:42:35.065
23266	1101-24414	USED	1101	2022-02-18 13:51:12.893
9343	1102-28476	USED	1102	2022-02-07 06:19:52.029
10438	1106-10555	USED	1106	2022-02-08 04:56:42.499
30774	1106-29332	USED	1106	2022-02-15 08:20:07.670
10537	1107-39049	USED	1107	2022-02-01 22:45:05.774
5889	1103-46540	USED	1103	2022-02-20 04:30:33.818
29370	1108-26246	USED	1108	2022-02-04 15:41:58.961
1749	1107-18931	USED	1107	2022-02-03 14:28:10.354
687	1101-3436	USED	1101	2022-02-06 22:13:20.820
28354	1102-6034	USED	1102	2022-02-17 14:54:06.676
14008	1101-8524	USED	1101	2022-02-01 04:21:39.087
6803	1104-33174	USED	1104	2022-02-06 09:31:09.716
1284	1103-7520	USED	1103	2022-02-12 18:29:10.954
32050	1106-34697	USED	1106	2022-02-08 16:56:39.596
10566	1108-44016	USED	1108	2022-02-13 06:12:13.634
33963	1105-10581	USED	1105	2022-02-01 09:52:43.679
12317	1102-47362	USED	1102	2022-02-18 15:57:40.463
15363	1108-47887	USED	1108	2022-02-04 22:49:01.333
4319	1102-11987	USED	1102	2022-02-02 11:47:19.871
4969	1107-10994	USED	1107	2022-02-15 18:52:27.038
31208	1104-12086	USED	1104	2022-02-17 02:14:25.058
16788	1102-1214	USED	1102	2022-02-18 18:17:14.711
11257	1101-25073	USED	1101	2022-02-13 14:48:08.025
9926	1103-15824	USED	1103	2022-02-17 06:30:05.426
21580	1100-44438	USED	1100	2022-02-18 01:42:57.351
37996	1105-35585	USED	1105	2022-02-01 08:31:20.713
20806	1103-39294	USED	1103	2022-02-14 14:31:54.329
38106	1107-45699	USED	1107	2022-02-11 06:30:10.171
32125	1108-10558	USED	1108	2022-02-02 14:49:58.943
34209	1104-49966	USED	1104	2022-02-01 17:37:26.024
10341	1106-29547	USED	1106	2022-02-06 05:31:47.700
25766	1109-28365	USED	1109	2022-02-13 16:58:29.047
34527	1106-1672	USED	1106	2022-02-15 04:56:01.836
12135	1105-47054	USED	1105	2022-02-15 15:55:55.386
21332	1108-41321	USED	1108	2022-02-14 23:07:36.324
18986	1109-48594	USED	1109	2022-02-09 08:20:56.031
