userid	voucherCode	status	campaignID	time
39224	1107-37506	USED	1107	2022-02-03 18:33:11.440
17446	1105-40259	USED	1105	2022-02-02 08:24:57.490
532	1101-34104	USED	1101	2022-02-08 23:14:22.170
30248	1104-2205	USED	1104	2022-02-17 15:21:39.050
24599	1104-40775	USED	1104	2022-02-02 01:02:45.917
5926	1102-10913	USED	1102	2022-02-19 03:01:15.304
22954	1106-21374	USED	1106	2022-02-04 01:31:40.321
8796	1102-18194	USED	1102	2022-02-14 14:57:51.295
23122	1105-3019	USED	1105	2022-02-14 12:37:49.853
29548	1101-31590	USED	1101	2022-02-15 16:16:14.514
33294	1102-11189	USED	1102	2022-02-07 08:24:22.766
19026	1109-15757	USED	1109	2022-02-06 23:26:50.909
8397	1105-8597	USED	1105	2022-02-05 10:29:29.117
14638	1109-20714	USED	1109	2022-02-01 23:19:28.672
32166	1101-35230	USED	1101	2022-02-10 16:26:28.536
14320	1100-8319	USED	1100	2022-02-15 16:02:10.738
31217	1103-38738	USED	1103	2022-02-11 13:51:02.657
10953	1106-16640	USED	1106	2022-02-17 10:00:44.554
27459	1108-518	USED	1108	2022-02-03 20:32:21.988
2750	1105-48303	USED	1105	2022-02-10 19:25:40.085
3675	1103-5040	USED	1103	2022-02-18 13:39:28.710
37921	1100-6543	USED	1100	2022-02-03 11:47:03.398
8841	1100-4087	USED	1100	2022-02-06 12:55:41.324
38127	1104-835	USED	1104	2022-02-18 15:30:14.506
8821	1105-41029	USED	1105	2022-02-01 16:08:34.399
5034	1109-23058	USED	1109	2022-02-19 08:19:36.629
8542	1109-25428	USED	1109	2022-02-02 19:20:48.780
16639	1108-37472	USED	1108	2022-02-18 09:45:00.947
29383	1100-18047	USED	1100	2022-02-13 03:28:11.361
13348	1102-9472	USED	1102	2022-02-02 18:50:35.135
5308	1106-42530	USED	1106	2022-02-18 15:11:00.738
21130	1100-34798	USED	1100	2022-02-12 17:48:38.342
7157	1106-26461	USED	1106	2022-02-10 03:45:46.716
34652	1107-1090	USED	1107	2022-02-13 05:02:05.167
38464	1100-24704	USED	1100	2022-02-02 19:36:27.625
33751	1100-38920	USED	1100	2022-02-06 22:12:54.779
15629	1100-3254	USED	1100	2022-02-16 10:14:20.774
32470	1108-40403	USED	1108	2022-02-20 19:24:12.377
21674	1101-19998	USED	1101	2022-02-16 10:41:08.066
19050	1108-488	USED	1108	2022-02-19 00:55:51.197
12129	1109-28868	USED	1109	2022-02-17 00:06:33.498
7011	1106-28566	USED	1106	2022-02-12 03:06:22.355
24603	1104-15917	USED	1104	2022-02-18 13:09:38.530
20587	1103-19010	USED	1103	2022-02-03 22:28:42.068
22389	1100-43871	USED	1100	2022-02-02 04:42:12.154
5489	1107-34237	USED	1107	2022-02-08 08:38:45.447
31665	1105-34180	USED	1105	2022-02-15 09:17:27.918
13473	1106-29841	USED	1106	2022-02-09 19:20:37.010
36910	1109-5574	USED	1109	2022-02-02 02:02:53.104
36006	1109-40746	USED	1109	2022-02-10 14:11:26.709
7127	1108-7022	USED	1108	2022-02-11 15:24:40.670
28049	1100-1066	USED	1100	2022-02-13 16:40:55.724
28371	1103-4990	USED	1103	2022-02-05 18:06:54.231
31592	1106-28699	USED	1106	2022-02-11 00:26:52.834
29585	1100-40848	USED	1100	2022-02-05 02:05:11.640
30804	1102-18561	USED	1102	2022-02-13 05:45:29.399
7102	1103-8202	USED	1103	2022-02-07 15:15:11.309
33824	1100-8982	USED	1100	2022-02-08 09:31:42.065
12544	1102-12478	USED	1102	2022-02-12 18:09:03.917
6609	1103-17982	USED	1103	2022-02-16 02:48:17.216
21244	1105-18654	USED	1105	2022-02-18 09:49:31.972
8996	1101-15089	USED	1101	2022-02-12 12:19:42.793
13756	1101-18884	USED	1101	2022-02-02 19:55:37.513
22157	1109-30379	USED	1109	2022-02-10 15:48:04.474
23476	1109-31882	USED	1109	2022-02-14 13:52:19.907
3880	1105-15487	USED	1105	2022-02-05 02:36:45.245
34899	1104-3104	USED	1104	2022-02-05 11:55:51.446
23510	1108-4045	USED	1108	2022-02-01 01:04:30.325
9569	1107-32458	USED	1107	2022-02-18 13:51:41.152
19455	1104-16517	USED	1104	2022-02-05 05:11:23.592
8390	1103-42151	USED	1103	2022-02-11 15:07:50.529
35028	1102-16918	USED	1102	2022-02-11 17:50:05.999
39539	1104-47130	USED	1104	2022-02-01 16:33:04.116
22427	1101-36099	USED	1101	2022-02-14 18:12:26.927
37904	1106-31983	USED	1106	2022-02-04 01:46:27.344
30980	1109-27101	USED	1109	2022-02-17 09:57:08.996
1055	1109-24521	USED	1109	2022-02-01 02:22:54.423
6806	1102-21392	USED	1102	2022-02-17 07:44:30.265
18336	1107-9959	USED	1107	2022-02-16 12:54:51.226
8023	1108-35827	USED	1108	2022-02-04 17:42:35.842
31302	1102-39710	USED	1102	2022-02-06 12:46:06.124
7047	1107-32315	USED	1107	2022-02-10 20:59:22.103
36550	1104-21346	USED	1104	2022-02-14 22:18:46.757
23868	1107-27848	USED	1107	2022-02-16 22:52:01.898
16940	1107-2780	USED	1107	2022-02-20 18:21:05.269
38447	1109-4144	USED	1109	2022-02-07 13:29:51.688
2881	1108-32868	USED	1108	2022-02-01 23:55:19.522
15927	1109-1166	USED	1109	2022-02-08 22:52:11.692
35895	1103-1238	USED	1103	2022-02-04 09:11:35.374
27605	1104-16926	USED	1104	2022-02-05 15:04:49.928
22010	1103-6408	USED	1103	2022-02-01 18:26:33.080
39765	1108-37745	USED	1108	2022-02-19 20:10:03.828
37017	1108-49356	USED	1108	2022-02-13 18:32:20.362
20656	1104-32830	USED	1104	2022-02-17 14:53:17.057
25137	1102-16096	USED	1102	2022-02-06 08:23:47.680
30975	1109-36749	USED	1109	2022-02-09 19:16:55.807
9340	1102-1102	USED	1102	2022-02-06 21:26:18.720
37180	1108-24923	USED	1108	2022-02-06 07:16:49.911
22632	1104-45006	USED	1104	2022-02-15 01:20:47.108
1079	1104-46155	USED	1104	2022-02-06 22:40:47.135
38076	1102-37553	USED	1102	2022-02-12 14:02:06.247
33555	1106-32021	USED	1106	2022-02-11 06:34:27.451
25804	1101-33588	USED	1101	2022-02-14 13:39:37.094
31311	1102-20908	USED	1102	2022-02-18 18:44:19.433
28506	1109-8513	USED	1109	2022-02-06 03:53:18.961
18754	1103-11964	USED	1103	2022-02-06 06:20:13.017
15351	1104-37719	USED	1104	2022-02-12 23:24:33.553
36441	1100-46050	USED	1100	2022-02-05 02:32:56.917
4334	1101-30900	USED	1101	2022-02-11 18:55:48.790
21333	1107-3568	USED	1107	2022-02-14 11:04:33.717
20789	1105-9901	USED	1105	2022-02-06 01:39:55.736
5810	1103-15263	USED	1103	2022-02-01 15:22:47.374
17350	1104-39409	USED	1104	2022-02-17 20:03:01.737
28017	1101-2867	USED	1101	2022-02-01 15:30:28.870
27358	1109-3787	USED	1109	2022-02-12 20:52:15.190
665	1104-25616	USED	1104	2022-02-01 23:26:18.455
13131	1105-14522	USED	1105	2022-02-08 03:16:35.239
37531	1104-48234	USED	1104	2022-02-08 02:20:13.533
33216	1104-22666	USED	1104	2022-02-13 17:12:56.350
32367	1105-42201	USED	1105	2022-02-08 10:51:33.890
20132	1108-5599	USED	1108	2022-02-10 14:18:11.444
13527	1104-8061	USED	1104	2022-02-12 21:54:20.568
23877	1107-46582	USED	1107	2022-02-12 09:07:49.084
19404	1105-28722	USED	1105	2022-02-20 09:42:31.675
35901	1107-4449	USED	1107	2022-02-20 23:21:25.288
11563	1107-48823	USED	1107	2022-02-04 03:09:04.430
4820	1106-35389	USED	1106	2022-02-07 19:01:42.470
28198	1107-29943	USED	1107	2022-02-11 20:57:45.601
35612	1109-40193	USED	1109	2022-02-20 12:39:08.703
30557	1100-21193	USED	1100	2022-02-12 00:02:04.059
15887	1109-38153	USED	1109	2022-02-12 04:27:57.744
7883	1100-13040	USED	1100	2022-02-20 02:56:56.202
16025	1103-8509	USED	1103	2022-02-18 16:15:53.537
13405	1102-44817	USED	1102	2022-02-08 15:47:19.025
22924	1104-46388	USED	1104	2022-02-03 06:44:03.105
36048	1102-25455	USED	1102	2022-02-11 09:19:11.130
26255	1100-24926	USED	1100	2022-02-10 12:49:19.499
2210	1107-22727	USED	1107	2022-02-03 11:24:21.890
33773	1104-30177	USED	1104	2022-02-16 05:50:36.654
20575	1107-41514	USED	1107	2022-02-14 01:27:45.955
25908	1103-48792	USED	1103	2022-02-15 00:52:25.729
29073	1106-41661	USED	1106	2022-02-18 22:24:03.220
24651	1107-9353	USED	1107	2022-02-14 20:24:55.833
22706	1106-15524	USED	1106	2022-02-02 21:07:46.638
35890	1109-29945	USED	1109	2022-02-11 22:10:53.761
37138	1101-12580	USED	1101	2022-02-15 05:26:04.790
38365	1107-40303	USED	1107	2022-02-18 20:11:09.438
20872	1103-29680	USED	1103	2022-02-17 01:12:52.395
22331	1108-46762	USED	1108	2022-02-01 14:29:31.616
29823	1104-54	USED	1104	2022-02-11 11:59:22.326
32363	1105-16693	USED	1105	2022-02-18 22:11:58.752
33119	1102-35546	USED	1102	2022-02-07 15:05:37.597
36765	1101-46491	USED	1101	2022-02-13 08:07:03.868
29693	1105-1010	USED	1105	2022-02-18 20:28:51.711
39354	1100-3408	USED	1100	2022-02-11 00:56:51.489
31324	1109-10042	USED	1109	2022-02-15 05:55:28.404
28217	1105-20884	USED	1105	2022-02-04 04:38:03.985
36015	1108-47689	USED	1108	2022-02-12 01:52:54.425
18334	1101-18522	USED	1101	2022-02-19 15:37:59.569
24128	1100-7744	USED	1100	2022-02-17 18:35:27.592
26018	1107-41972	USED	1107	2022-02-10 11:52:17.313
12892	1107-39806	USED	1107	2022-02-14 08:58:11.855
23032	1108-43089	USED	1108	2022-02-18 02:59:43.446
14301	1109-23321	USED	1109	2022-02-20 03:40:55.677
17703	1104-4368	USED	1104	2022-02-06 02:14:46.894
29176	1102-13808	USED	1102	2022-02-05 16:59:07.919
29300	1100-14447	USED	1100	2022-02-07 01:53:16.081
26291	1102-736	USED	1102	2022-02-02 19:37:47.528
27513	1101-296	USED	1101	2022-02-16 16:40:35.001
33834	1103-24169	USED	1103	2022-02-11 18:35:25.905
22491	1104-13810	USED	1104	2022-02-01 17:29:02.026
7706	1107-40503	USED	1107	2022-02-07 08:32:45.401
14389	1100-21592	USED	1100	2022-02-04 04:15:22.653
12347	1109-5160	USED	1109	2022-02-12 08:26:06.882
31382	1103-32713	USED	1103	2022-02-03 04:18:05.225
25870	1109-43279	USED	1109	2022-02-18 12:09:05.631
17970	1102-49502	USED	1102	2022-02-17 09:10:49.499
7047	1107-33254	USED	1107	2022-02-07 20:12:45.161
38984	1105-7124	USED	1105	2022-02-02 21:34:57.943
22294	1101-36366	USED	1101	2022-02-18 00:30:51.566
37082	1105-6499	USED	1105	2022-02-08 21:31:08.826
28213	1103-21723	USED	1103	2022-02-12 06:20:37.604
6235	1100-428	USED	1100	2022-02-07 14:21:51.843
16318	1108-11317	USED	1108	2022-02-08 23:30:25.431
12740	1103-17230	USED	1103	2022-02-10 16:13:35.078
21288	1108-26278	USED	1108	2022-02-15 07:27:12.652
33527	1109-14929	USED	1109	2022-02-05 01:34:11.339
18694	1102-19041	USED	1102	2022-02-07 22:13:55.781
34473	1104-19578	USED	1104	2022-02-20 19:03:27.271
36338	1108-14223	USED	1108	2022-02-07 18:21:16.953
12034	1102-35574	USED	1102	2022-02-04 07:52:05.824
35831	1100-30852	USED	1100	2022-02-06 22:23:07.774
7139	1105-26658	USED	1105	2022-02-08 07:39:32.468
7029	1102-47853	USED	1102	2022-02-09 19:39:13.817
1813	1102-20572	USED	1102	2022-02-14 01:28:26.128
30968	1102-36581	USED	1102	2022-02-17 19:43:58.983
32889	1108-370	USED	1108	2022-02-10 12:05:20.121
15015	1102-37523	USED	1102	2022-02-02 18:17:07.287
27204	1108-12044	USED	1108	2022-02-19 14:14:27.239
34148	1108-14755	USED	1108	2022-02-02 21:09:31.410
25885	1109-1044	USED	1109	2022-02-15 21:01:03.510
37566	1104-46685	USED	1104	2022-02-10 19:04:56.216
1891	1107-48563	USED	1107	2022-02-13 10:36:31.414
17532	1108-8011	USED	1108	2022-02-03 18:56:45.370
25687	1109-1689	USED	1109	2022-02-02 02:25:55.999
35691	1109-36533	USED	1109	2022-02-01 03:06:23.703
10761	1108-19924	USED	1108	2022-02-01 19:05:46.599
10234	1105-40669	USED	1105	2022-02-03 02:14:43.107
31491	1103-27739	USED	1103	2022-02-01 13:48:23.008
29311	1102-2453	USED	1102	2022-02-04 14:24:31.082
31790	1107-30685	USED	1107	2022-02-06 08:50:53.529
34753	1103-49034	USED	1103	2022-02-08 02:28:54.264
4134	1103-21098	USED	1103	2022-02-10 23:02:02.800
5051	1106-7452	USED	1106	2022-02-13 14:00:06.677
39807	1103-22233	USED	1103	2022-02-20 15:45:40.561
30491	1107-10043	USED	1107	2022-02-04 14:42:16.773
1193	1100-28461	USED	1100	2022-02-13 16:13:37.191
23578	1105-24051	USED	1105	2022-02-19 07:25:00.630
7036	1108-18314	USED	1108	2022-02-10 16:54:05.926
32321	1107-37550	USED	1107	2022-02-18 02:34:38.850
6259	1104-12382	USED	1104	2022-02-02 12:01:09.825
35293	1109-44219	USED	1109	2022-02-07 13:27:54.623
19969	1108-38390	USED	1108	2022-02-16 05:48:49.009
17624	1108-6585	USED	1108	2022-02-08 13:14:06.280
24329	1108-36303	USED	1108	2022-02-14 22:54:21.941
31522	1105-3867	USED	1105	2022-02-16 18:08:06.098
17043	1105-38579	USED	1105	2022-02-18 18:06:02.261
12755	1101-41576	USED	1101	2022-02-12 11:44:44.093
4126	1105-13501	USED	1105	2022-02-18 08:51:47.539
6667	1104-988	USED	1104	2022-02-04 21:32:09.123
23102	1104-25577	USED	1104	2022-02-06 23:28:42.739
15026	1108-17362	USED	1108	2022-02-20 22:06:09.778
29628	1101-14839	USED	1101	2022-02-12 11:15:26.850
8286	1106-13712	USED	1106	2022-02-20 19:30:19.974
8964	1103-3882	USED	1103	2022-02-18 17:13:15.367
24809	1100-48514	USED	1100	2022-02-04 06:07:26.518
12628	1108-19668	USED	1108	2022-02-04 03:35:07.295
6870	1105-9778	USED	1105	2022-02-04 11:21:59.419
38204	1105-41873	USED	1105	2022-02-13 21:06:16.906
36855	1109-461	USED	1109	2022-02-13 18:58:58.733
17986	1103-975	USED	1103	2022-02-09 10:03:56.115
15040	1105-46111	USED	1105	2022-02-01 05:42:26.333
34084	1106-46147	USED	1106	2022-02-10 17:50:18.401
11819	1109-31227	USED	1109	2022-02-04 14:21:06.998
32409	1105-3201	USED	1105	2022-02-08 10:57:19.334
4233	1107-2299	USED	1107	2022-02-12 01:24:16.718
16675	1102-29731	USED	1102	2022-02-16 10:14:25.593
8439	1100-15990	USED	1100	2022-02-14 16:00:05.265
25449	1101-47741	USED	1101	2022-02-18 06:22:09.186
7432	1100-21567	USED	1100	2022-02-04 00:08:13.111
26380	1106-7087	USED	1106	2022-02-01 10:47:18.154
13632	1106-10856	USED	1106	2022-02-05 17:55:56.828
31813	1102-13016	USED	1102	2022-02-19 18:47:58.560
8566	1108-28211	USED	1108	2022-02-08 06:17:05.951
22402	1105-18640	USED	1105	2022-02-18 18:22:51.434
26839	1101-37929	USED	1101	2022-02-18 22:05:45.302
24796	1102-37663	USED	1102	2022-02-09 06:11:57.243
10430	1101-24324	USED	1101	2022-02-12 12:31:06.680
28210	1105-10000	USED	1105	2022-02-03 03:21:47.116
37846	1107-20626	USED	1107	2022-02-07 23:30:10.103
4349	1105-5288	USED	1105	2022-02-01 18:59:49.931
11821	1107-20074	USED	1107	2022-02-11 07:33:25.279
39097	1102-27024	USED	1102	2022-02-14 08:15:20.451
