userid	voucherCode	status	campaignID	time
36020	1100-41017	USED	1100	2022-02-09 03:36:17.906
10252	1104-15733	USED	1104	2022-02-06 16:41:57.735
17529	1105-27908	USED	1105	2022-02-18 09:34:32.415
29894	1103-41837	USED	1103	2022-02-03 03:28:03.408
29316	1106-13486	USED	1106	2022-02-13 15:34:18.024
20005	1105-14527	USED	1105	2022-02-18 23:24:32.205
1360	1104-43026	USED	1104	2022-02-15 12:02:17.753
39132	1105-1925	USED	1105	2022-02-20 15:12:57.636
21523	1103-11231	USED	1103	2022-02-16 00:49:41.265
22540	1101-45729	USED	1101	2022-02-18 16:58:50.085
35540	1100-45998	USED	1100	2022-02-02 02:37:00.143
11666	1107-47081	USED	1107	2022-02-07 07:52:39.840
31396	1106-44410	USED	1106	2022-02-11 06:27:21.910
5683	1103-22327	USED	1103	2022-02-15 20:02:32.091
9235	1108-39775	USED	1108	2022-02-04 17:31:23.181
15099	1107-8080	USED	1107	2022-02-16 15:25:21.137
11171	1107-22754	USED	1107	2022-02-07 03:48:04.817
9258	1106-48334	USED	1106	2022-02-01 12:21:29.264
23140	1100-44051	USED	1100	2022-02-13 05:14:49.215
29640	1104-4658	USED	1104	2022-02-09 08:53:16.324
22161	1100-5424	USED	1100	2022-02-14 07:49:43.185
23780	1103-3894	USED	1103	2022-02-07 15:23:04.704
29108	1105-13683	USED	1105	2022-02-19 18:58:14.878
13910	1106-37972	USED	1106	2022-02-19 04:20:31.044
12729	1102-48398	USED	1102	2022-02-04 23:45:48.690
6749	1109-22285	USED	1109	2022-02-05 04:30:04.898
21404	1108-20659	USED	1108	2022-02-17 11:46:11.588
2727	1104-5378	USED	1104	2022-02-03 16:22:05.572
22308	1108-11935	USED	1108	2022-02-20 02:55:24.183
593	1105-9954	USED	1105	2022-02-07 03:44:38.491
25756	1103-6639	USED	1103	2022-02-04 18:26:34.547
20348	1106-27173	USED	1106	2022-02-13 19:24:24.719
11488	1102-12454	USED	1102	2022-02-03 02:26:48.326
15267	1100-8813	USED	1100	2022-02-03 12:03:12.861
2867	1100-24325	USED	1100	2022-02-06 05:23:42.625
29795	1106-10264	USED	1106	2022-02-15 13:17:46.347
9311	1104-48362	USED	1104	2022-02-15 21:36:37.411
12900	1102-47559	USED	1102	2022-02-12 10:58:33.980
6528	1105-34834	USED	1105	2022-02-08 04:14:41.017
11408	1102-41692	USED	1102	2022-02-20 12:44:03.206
31435	1104-14448	USED	1104	2022-02-18 17:26:42.402
17654	1107-15493	USED	1107	2022-02-08 11:31:44.908
3989	1106-33769	USED	1106	2022-02-01 15:02:59.761
9187	1109-9373	USED	1109	2022-02-02 03:28:16.363
18339	1100-776	USED	1100	2022-02-17 11:00:56.921
34238	1106-7518	USED	1106	2022-02-15 16:52:04.055
13507	1105-13999	USED	1105	2022-02-04 13:08:54.546
29165	1100-27480	USED	1100	2022-02-10 08:12:31.511
5125	1109-16723	USED	1109	2022-02-01 08:38:35.532
4270	1107-47129	USED	1107	2022-02-17 21:56:56.626
30230	1103-13592	USED	1103	2022-02-08 17:30:43.985
19895	1108-6634	USED	1108	2022-02-14 15:44:31.242
6555	1109-35430	USED	1109	2022-02-02 00:08:18.867
14698	1103-17152	USED	1103	2022-02-20 11:05:51.536
12764	1105-45365	USED	1105	2022-02-14 03:53:47.842
22892	1102-30604	USED	1102	2022-02-14 16:35:27.851
2346	1109-47838	USED	1109	2022-02-10 08:23:00.612
29524	1105-39829	USED	1105	2022-02-17 17:08:29.724
11348	1104-36702	USED	1104	2022-02-03 19:35:41.729
20104	1107-37099	USED	1107	2022-02-13 10:12:05.517
8525	1109-15490	USED	1109	2022-02-17 19:00:42.044
7123	1102-41010	USED	1102	2022-02-03 23:37:18.837
13590	1106-30304	USED	1106	2022-02-06 23:06:19.307
11983	1108-33200	USED	1108	2022-02-20 14:22:04.680
31256	1105-1209	USED	1105	2022-02-20 19:32:05.079
34464	1102-15025	USED	1102	2022-02-17 16:09:31.964
37808	1100-39901	USED	1100	2022-02-20 17:14:38.641
20901	1108-43573	USED	1108	2022-02-05 00:27:05.514
30750	1104-38731	USED	1104	2022-02-08 17:51:50.085
15246	1105-38307	USED	1105	2022-02-09 00:07:23.519
12693	1101-9513	USED	1101	2022-02-15 21:46:24.518
