userid	voucherCode	status	campaignID	time
39720	1101-46663	USED	1101	2022-02-09 05:24:13.917
29894	1109-7760	USED	1109	2022-02-10 01:30:59.252
33341	1106-413	USED	1106	2022-02-02 00:12:22.071
366	1109-23270	USED	1109	2022-02-12 09:07:31.958
8744	1103-25832	USED	1103	2022-02-02 01:05:37.311
14505	1104-9827	USED	1104	2022-02-19 15:09:07.693
12935	1109-28151	USED	1109	2022-02-01 11:47:53.922
23055	1101-48984	USED	1101	2022-02-17 01:59:01.718
10076	1104-3344	USED	1104	2022-02-04 07:35:48.899
29999	1108-10143	USED	1108	2022-02-08 00:30:59.011
4736	1103-11636	USED	1103	2022-02-08 00:01:40.792
34642	1102-49004	USED	1102	2022-02-03 02:07:39.856
13444	1106-19185	USED	1106	2022-02-08 21:50:11.715
1624	1101-22191	USED	1101	2022-02-02 20:09:20.520
20542	1109-48058	USED	1109	2022-02-13 14:40:55.179
18532	1108-7040	USED	1108	2022-02-19 18:12:11.747
12397	1104-38497	USED	1104	2022-02-10 12:12:13.483
13411	1108-39997	USED	1108	2022-02-05 13:10:13.302
9084	1102-18210	USED	1102	2022-02-04 14:52:00.656
12758	1100-36523	USED	1100	2022-02-14 18:29:21.655
28149	1106-28026	USED	1106	2022-02-14 08:14:30.016
31405	1106-14703	USED	1106	2022-02-16 14:23:28.975
968	1108-15160	USED	1108	2022-02-07 08:14:07.495
17658	1107-22370	USED	1107	2022-02-18 11:37:02.574
12187	1103-28534	USED	1103	2022-02-02 19:05:27.685
4263	1107-47871	USED	1107	2022-02-13 20:59:59.629
5926	1105-1906	USED	1105	2022-02-03 19:09:01.391
10068	1104-35005	USED	1104	2022-02-16 02:42:29.608
23531	1105-39489	USED	1105	2022-02-14 13:16:19.710
11225	1107-4227	USED	1107	2022-02-05 05:36:34.786
10608	1105-24371	USED	1105	2022-02-18 03:16:20.042
30636	1106-25431	USED	1106	2022-02-10 01:17:44.287
32964	1109-21116	USED	1109	2022-02-06 04:45:42.395
26451	1103-45369	USED	1103	2022-02-05 08:49:26.286
9027	1101-47195	USED	1101	2022-02-02 05:40:36.998
23445	1106-41878	USED	1106	2022-02-15 05:12:46.521
6874	1108-2152	USED	1108	2022-02-04 16:45:43.382
5234	1103-35328	USED	1103	2022-02-20 02:14:04.154
36735	1105-29983	USED	1105	2022-02-09 22:52:39.055
8916	1100-40038	USED	1100	2022-02-13 08:08:16.279
38384	1101-11167	USED	1101	2022-02-18 05:50:59.653
24592	1103-25987	USED	1103	2022-02-16 13:14:01.871
26412	1109-6722	USED	1109	2022-02-10 21:26:26.920
11252	1103-48861	USED	1103	2022-02-05 12:17:55.491
6073	1102-15752	USED	1102	2022-02-13 07:28:06.149
8223	1106-48787	USED	1106	2022-02-06 02:33:00.655
972	1107-34714	USED	1107	2022-02-14 22:15:26.929
3018	1102-40207	USED	1102	2022-02-09 02:57:10.925
14001	1106-20730	USED	1106	2022-02-16 02:33:39.368
26608	1100-17504	USED	1100	2022-02-15 23:29:57.793
35932	1108-3635	USED	1108	2022-02-17 18:00:31.443
1289	1106-19873	USED	1106	2022-02-12 13:21:16.189
9426	1106-34562	USED	1106	2022-02-06 16:14:58.038
35191	1107-40648	USED	1107	2022-02-15 04:02:55.076
23693	1108-5406	USED	1108	2022-02-19 02:08:38.266
23057	1100-5337	USED	1100	2022-02-08 12:16:56.679
16017	1105-49299	USED	1105	2022-02-07 10:34:29.863
19137	1109-11287	USED	1109	2022-02-17 10:13:14.280
9248	1109-25470	USED	1109	2022-02-12 06:37:43.943
35147	1104-5199	USED	1104	2022-02-04 17:23:34.853
30089	1105-27476	USED	1105	2022-02-20 01:46:55.047
35515	1101-48956	USED	1101	2022-02-03 10:12:59.656
8855	1109-8984	USED	1109	2022-02-09 21:14:56.640
30753	1103-11128	USED	1103	2022-02-15 05:56:39.642
702	1108-12776	USED	1108	2022-02-13 07:45:18.546
27283	1104-24191	USED	1104	2022-02-03 05:03:17.641
21968	1105-25378	USED	1105	2022-02-11 09:32:53.018
2179	1102-15930	USED	1102	2022-02-01 12:55:31.885
22001	1105-34356	USED	1105	2022-02-07 03:14:56.851
22601	1103-11121	USED	1103	2022-02-16 03:21:54.381
35415	1107-23168	USED	1107	2022-02-05 04:30:31.402
27394	1105-41143	USED	1105	2022-02-13 10:39:00.620
31052	1109-36311	USED	1109	2022-02-03 19:31:44.974
27798	1102-31051	USED	1102	2022-02-12 21:43:11.652
13548	1104-23909	USED	1104	2022-02-04 09:45:05.326
6375	1109-43133	USED	1109	2022-02-08 07:37:39.798
4900	1104-14342	USED	1104	2022-02-11 03:29:11.061
23866	1105-42389	USED	1105	2022-02-08 19:04:15.044
16006	1104-12272	USED	1104	2022-02-17 06:18:13.051
34113	1107-28252	USED	1107	2022-02-12 04:10:02.941
39381	1102-32	USED	1102	2022-02-08 00:07:29.753
674	1108-35485	USED	1108	2022-02-16 10:09:04.412
30706	1103-47571	USED	1103	2022-02-10 05:28:30.104
28253	1105-14173	USED	1105	2022-02-13 15:51:09.053
4654	1104-39192	USED	1104	2022-02-01 16:40:55.192
3773	1102-1059	USED	1102	2022-02-17 22:42:53.141
13712	1103-5653	USED	1103	2022-02-02 22:07:01.777
23321	1108-36395	USED	1108	2022-02-09 03:47:15.358
17051	1100-33817	USED	1100	2022-02-06 06:59:50.030
9239	1101-1829	USED	1101	2022-02-03 11:54:16.439
2544	1104-22207	USED	1104	2022-02-19 18:13:40.760
38375	1105-12916	USED	1105	2022-02-05 03:16:42.523
15362	1106-42312	USED	1106	2022-02-10 18:34:34.671
6330	1105-7819	USED	1105	2022-02-06 01:00:13.519
9626	1102-18322	USED	1102	2022-02-03 01:09:14.457
33947	1109-27828	USED	1109	2022-02-07 03:55:32.269
32129	1100-48994	USED	1100	2022-02-17 13:13:18.699
11011	1107-39013	USED	1107	2022-02-05 01:41:47.397
12751	1108-26149	USED	1108	2022-02-08 15:36:51.547
7941	1104-28700	USED	1104	2022-02-18 22:48:57.037
34826	1102-47010	USED	1102	2022-02-01 20:18:35.989
16752	1104-44088	USED	1104	2022-02-03 03:01:33.979
27502	1106-39746	USED	1106	2022-02-15 20:02:42.781
27059	1103-24250	USED	1103	2022-02-07 08:54:03.284
5573	1100-37270	USED	1100	2022-02-10 16:35:55.651
24952	1102-43338	USED	1102	2022-02-01 06:26:41.696
25063	1100-38630	USED	1100	2022-02-12 09:31:52.655
19792	1102-36565	USED	1102	2022-02-05 22:39:08.681
4565	1103-22942	USED	1103	2022-02-19 14:57:52.756
28767	1101-38955	USED	1101	2022-02-12 20:41:45.798
24423	1106-33393	USED	1106	2022-02-06 14:08:41.155
17837	1107-24428	USED	1107	2022-02-19 02:37:50.075
34108	1100-12463	USED	1100	2022-02-14 15:30:27.261
3886	1104-1132	USED	1104	2022-02-05 23:11:09.046
8157	1102-20203	USED	1102	2022-02-10 16:56:45.656
5811	1100-28432	USED	1100	2022-02-03 09:38:22.484
27523	1104-8015	USED	1104	2022-02-19 03:45:14.665
26427	1106-32753	USED	1106	2022-02-06 22:15:35.914
31736	1107-33598	USED	1107	2022-02-05 21:17:55.004
36982	1105-9287	USED	1105	2022-02-04 06:41:59.928
8167	1107-3229	USED	1107	2022-02-12 13:45:34.272
39973	1108-9478	USED	1108	2022-02-18 20:42:13.283
33159	1109-23838	USED	1109	2022-02-11 09:13:34.093
21779	1106-20684	USED	1106	2022-02-01 22:44:21.127
