userid	voucherCode	status	campaignID	time
33767	1101-29997	USED	1101	2022-02-11 15:00:13.165
16754	1108-2096	USED	1108	2022-02-05 02:26:23.086
31013	1106-35084	USED	1106	2022-02-17 23:50:03.057
6940	1107-26512	USED	1107	2022-02-15 05:21:13.600
15421	1107-10343	USED	1107	2022-02-08 11:35:41.332
14914	1102-30637	USED	1102	2022-02-02 12:09:03.778
2522	1105-40046	USED	1105	2022-02-03 05:22:58.073
13290	1105-10702	USED	1105	2022-02-07 11:49:19.572
25230	1107-18856	USED	1107	2022-02-06 16:55:53.034
38145	1100-13776	USED	1100	2022-02-09 10:41:52.897
4102	1108-22477	USED	1108	2022-02-19 22:18:03.654
29772	1102-25349	USED	1102	2022-02-18 23:38:16.577
33780	1102-21234	USED	1102	2022-02-06 07:10:25.523
18945	1100-10201	USED	1100	2022-02-02 07:20:55.222
30626	1104-48843	USED	1104	2022-02-05 05:41:11.086
4032	1100-6009	USED	1100	2022-02-15 23:03:57.863
30995	1105-36161	USED	1105	2022-02-18 11:26:46.909
33170	1105-15832	USED	1105	2022-02-06 04:37:28.708
15534	1105-40721	USED	1105	2022-02-18 23:54:24.010
37428	1101-16009	USED	1101	2022-02-10 07:17:38.596
32222	1100-40806	USED	1100	2022-02-03 08:46:50.039
27757	1105-29886	USED	1105	2022-02-20 06:50:08.864
5393	1107-27296	USED	1107	2022-02-08 18:25:34.649
39841	1103-47419	USED	1103	2022-02-08 18:31:26.258
25732	1105-38928	USED	1105	2022-02-11 09:31:24.733
30442	1106-2340	USED	1106	2022-02-05 15:22:16.891
33693	1102-4608	USED	1102	2022-02-14 12:17:37.314
36582	1105-48078	USED	1105	2022-02-12 05:55:24.853
24577	1107-5174	USED	1107	2022-02-07 20:33:59.038
12495	1106-28780	USED	1106	2022-02-05 09:53:31.197
1768	1100-4025	USED	1100	2022-02-11 01:37:02.866
16149	1107-308	USED	1107	2022-02-11 00:28:27.964
38905	1100-3927	USED	1100	2022-02-08 02:06:31.029
10416	1104-41471	USED	1104	2022-02-06 08:19:52.643
4385	1104-1170	USED	1104	2022-02-11 12:02:01.735
21853	1101-23434	USED	1101	2022-02-14 17:47:34.461
1133	1101-4262	USED	1101	2022-02-20 17:13:18.571
8934	1107-23338	USED	1107	2022-02-08 11:37:46.191
1533	1108-42337	USED	1108	2022-02-16 02:33:52.543
25515	1109-7573	USED	1109	2022-02-01 21:20:11.950
7660	1100-2745	USED	1100	2022-02-06 16:20:13.392
21773	1104-19568	USED	1104	2022-02-13 01:00:34.751
24636	1109-13482	USED	1109	2022-02-06 22:19:04.986
434	1107-7949	USED	1107	2022-02-09 22:38:55.992
6178	1103-41155	USED	1103	2022-02-03 08:34:07.092
38501	1100-32427	USED	1100	2022-02-17 06:57:35.367
25817	1106-48210	USED	1106	2022-02-12 16:18:26.964
8399	1108-40856	USED	1108	2022-02-14 11:06:39.923
25109	1101-6010	USED	1101	2022-02-18 07:26:30.352
38717	1104-22715	USED	1104	2022-02-05 16:44:23.008
22239	1107-5004	USED	1107	2022-02-03 04:47:12.951
27625	1107-45958	USED	1107	2022-02-09 00:40:36.493
19048	1102-1122	USED	1102	2022-02-12 14:00:19.610
12501	1108-37419	USED	1108	2022-02-14 01:06:46.713
19609	1109-3486	USED	1109	2022-02-01 14:48:03.400
32077	1102-9148	USED	1102	2022-02-08 02:40:11.657
22757	1104-46836	USED	1104	2022-02-17 10:23:08.708
4589	1108-14813	USED	1108	2022-02-10 19:02:35.548
27572	1105-16622	USED	1105	2022-02-03 11:25:50.797
37538	1107-3013	USED	1107	2022-02-07 02:58:41.078
3841	1109-25711	USED	1109	2022-02-15 19:48:44.632
19105	1101-3588	USED	1101	2022-02-17 10:12:57.293
34307	1105-35349	USED	1105	2022-02-02 11:35:03.244
7543	1106-1823	USED	1106	2022-02-04 05:33:29.499
6792	1103-5870	USED	1103	2022-02-05 10:06:12.569
19108	1106-32413	USED	1106	2022-02-17 11:59:54.969
34899	1103-34403	USED	1103	2022-02-16 19:44:56.076
19091	1103-4265	USED	1103	2022-02-16 08:29:01.106
22168	1101-33579	USED	1101	2022-02-06 00:27:28.736
33000	1108-38426	USED	1108	2022-02-08 10:55:55.522
1435	1105-27262	USED	1105	2022-02-07 00:46:14.799
24629	1109-27600	USED	1109	2022-02-16 10:15:08.260
12752	1103-19357	USED	1103	2022-02-02 14:12:51.552
32341	1108-34031	USED	1108	2022-02-10 13:30:03.513
19740	1109-36512	USED	1109	2022-02-20 10:30:38.580
32180	1105-9503	USED	1105	2022-02-06 18:45:02.590
35107	1103-46271	USED	1103	2022-02-16 12:16:36.320
32914	1104-30270	USED	1104	2022-02-17 23:44:50.949
39103	1104-48011	USED	1104	2022-02-10 15:05:51.371
26279	1107-34693	USED	1107	2022-02-08 07:36:19.044
8365	1102-5922	USED	1102	2022-02-16 22:04:40.747
15403	1101-47160	USED	1101	2022-02-16 06:54:03.494
2077	1103-37540	USED	1103	2022-02-06 09:35:27.656
26270	1107-25865	USED	1107	2022-02-02 13:48:45.249
12818	1107-21610	USED	1107	2022-02-05 16:34:01.079
26712	1109-22811	USED	1109	2022-02-07 01:24:24.583
36463	1100-46929	USED	1100	2022-02-20 17:18:58.533
6204	1104-43822	USED	1104	2022-02-08 20:17:39.893
24066	1102-7700	USED	1102	2022-02-15 19:13:25.034
13569	1103-41861	USED	1103	2022-02-20 01:12:08.422
36414	1108-24074	USED	1108	2022-02-07 00:27:37.249
29576	1108-22214	USED	1108	2022-02-20 17:38:28.892
38728	1107-27574	USED	1107	2022-02-10 14:54:26.411
12150	1108-4091	USED	1108	2022-02-17 13:08:58.872
1196	1104-43130	USED	1104	2022-02-18 19:25:24.477
7894	1106-24619	USED	1106	2022-02-05 10:29:17.621
26065	1102-9182	USED	1102	2022-02-16 05:40:52.796
21182	1106-31893	USED	1106	2022-02-19 18:54:42.203
34918	1103-45728	USED	1103	2022-02-06 08:31:59.177
11768	1105-22142	USED	1105	2022-02-08 17:31:26.826
19043	1109-46091	USED	1109	2022-02-10 02:25:40.601
39427	1104-39211	USED	1104	2022-02-16 07:49:58.216
23789	1109-34021	USED	1109	2022-02-11 12:37:37.206
11977	1104-34161	USED	1104	2022-02-01 04:06:31.619
35026	1109-15854	USED	1109	2022-02-05 02:00:26.242
18778	1106-1015	USED	1106	2022-02-14 00:56:31.019
1120	1108-13609	USED	1108	2022-02-11 04:01:35.358
11324	1103-10212	USED	1103	2022-02-12 23:40:57.312
20793	1107-30710	USED	1107	2022-02-09 20:58:26.036
5437	1101-22533	USED	1101	2022-02-20 22:36:48.131
30262	1106-26546	USED	1106	2022-02-09 05:56:06.150
33299	1103-48412	USED	1103	2022-02-06 14:55:04.140
3268	1105-23751	USED	1105	2022-02-17 12:20:23.738
15869	1105-35691	USED	1105	2022-02-11 13:06:54.733
36892	1102-40970	USED	1102	2022-02-11 16:23:31.001
5896	1104-13173	USED	1104	2022-02-18 17:59:01.920
37153	1105-18736	USED	1105	2022-02-15 21:46:21.186
30064	1103-46690	USED	1103	2022-02-08 06:47:30.720
19638	1101-39038	USED	1101	2022-02-03 05:26:05.573
9682	1105-41622	USED	1105	2022-02-20 03:27:46.959
38369	1108-17330	USED	1108	2022-02-13 21:02:10.377
10479	1101-8666	USED	1101	2022-02-14 13:08:20.194
12324	1105-20861	USED	1105	2022-02-10 07:09:55.326
10606	1109-45890	USED	1109	2022-02-19 02:17:24.299
2860	1105-19436	USED	1105	2022-02-19 14:35:10.273
13247	1105-15860	USED	1105	2022-02-08 04:14:54.017
38617	1109-23748	USED	1109	2022-02-08 19:57:20.875
24110	1107-24980	USED	1107	2022-02-13 10:07:23.531
4230	1108-11785	USED	1108	2022-02-16 12:57:25.288
31674	1109-16873	USED	1109	2022-02-06 15:00:31.686
8945	1106-17818	USED	1106	2022-02-11 19:18:44.109
21786	1106-8364	USED	1106	2022-02-03 15:49:00.594
15329	1104-27356	USED	1104	2022-02-01 07:40:09.682
30997	1104-31741	USED	1104	2022-02-12 10:42:30.183
1607	1100-1842	USED	1100	2022-02-15 10:19:35.453
31011	1106-12822	USED	1106	2022-02-09 12:14:51.375
28984	1100-83	USED	1100	2022-02-20 19:20:49.439
9906	1100-18519	USED	1100	2022-02-07 17:06:35.789
32413	1100-3261	USED	1100	2022-02-02 14:15:56.697
26733	1106-23371	USED	1106	2022-02-01 09:45:29.681
5890	1104-3721	USED	1104	2022-02-06 15:46:23.367
25395	1104-14283	USED	1104	2022-02-09 12:36:01.839
29819	1103-18935	USED	1103	2022-02-13 21:17:41.151
19415	1102-20507	USED	1102	2022-02-09 13:48:13.862
5272	1104-30796	USED	1104	2022-02-14 03:34:20.314
10102	1108-25806	USED	1108	2022-02-15 13:39:03.137
17586	1108-35129	USED	1108	2022-02-13 17:46:09.128
33825	1107-21066	USED	1107	2022-02-05 06:07:46.404
12550	1102-34610	USED	1102	2022-02-04 21:15:39.397
14204	1104-28217	USED	1104	2022-02-12 03:57:12.603
20855	1109-47389	USED	1109	2022-02-10 15:14:52.175
7199	1108-36858	USED	1108	2022-02-15 21:26:14.857
14642	1107-43244	USED	1107	2022-02-06 01:37:05.743
790	1109-45191	USED	1109	2022-02-08 13:06:01.991
28764	1105-38360	USED	1105	2022-02-08 05:07:16.797
3627	1106-11454	USED	1106	2022-02-05 02:43:20.259
4324	1105-7665	USED	1105	2022-02-05 20:55:34.532
23346	1108-4747	USED	1108	2022-02-07 10:25:21.691
14914	1108-49958	USED	1108	2022-02-08 09:29:05.413
3358	1100-2647	USED	1100	2022-02-01 14:20:35.629
7145	1101-14729	USED	1101	2022-02-01 12:08:09.731
15211	1106-17603	USED	1106	2022-02-17 17:36:46.510
19329	1103-22776	USED	1103	2022-02-17 07:18:13.279
16057	1103-16917	USED	1103	2022-02-05 08:08:05.387
12263	1103-40363	USED	1103	2022-02-14 07:44:07.434
37416	1103-26650	USED	1103	2022-02-18 22:49:09.998
14770	1107-6710	USED	1107	2022-02-20 15:35:34.192
5677	1107-19966	USED	1107	2022-02-19 01:00:51.839
18458	1103-35942	USED	1103	2022-02-11 23:36:17.304
19063	1100-38517	USED	1100	2022-02-04 18:50:05.476
14073	1104-6296	USED	1104	2022-02-16 13:00:50.468
11121	1103-42263	USED	1103	2022-02-02 00:23:01.291
2690	1109-11480	USED	1109	2022-02-05 11:46:14.535
26034	1102-9681	USED	1102	2022-02-14 05:12:28.766
29593	1100-24255	USED	1100	2022-02-11 08:12:17.824
36059	1109-32148	USED	1109	2022-02-17 05:15:27.966
28027	1100-10890	USED	1100	2022-02-12 07:23:14.396
14350	1100-3498	USED	1100	2022-02-17 08:35:37.389
2583	1105-5007	USED	1105	2022-02-08 01:06:11.175
4701	1100-36754	USED	1100	2022-02-06 15:21:59.963
22303	1106-8923	USED	1106	2022-02-18 17:54:21.714
38771	1101-25033	USED	1101	2022-02-05 07:21:17.265
6181	1107-32124	USED	1107	2022-02-20 19:48:23.534
39794	1106-49003	USED	1106	2022-02-07 14:41:04.151
16096	1107-14636	USED	1107	2022-02-16 20:07:47.805
30781	1100-20416	USED	1100	2022-02-17 11:24:12.094
37619	1101-47884	USED	1101	2022-02-03 01:57:25.503
20372	1107-37957	USED	1107	2022-02-12 23:04:29.370
8328	1103-9521	USED	1103	2022-02-15 14:45:05.690
12465	1105-24144	USED	1105	2022-02-19 00:50:20.325
11852	1108-13427	USED	1108	2022-02-17 12:52:31.606
19551	1106-14484	USED	1106	2022-02-06 12:09:39.282
31678	1105-15765	USED	1105	2022-02-07 05:23:33.888
25518	1105-34540	USED	1105	2022-02-12 06:30:20.170
25908	1109-31666	USED	1109	2022-02-20 22:28:07.080
981	1102-32015	USED	1102	2022-02-03 23:58:47.295
21415	1107-47365	USED	1107	2022-02-02 03:41:47.371
35014	1100-40737	USED	1100	2022-02-19 01:24:43.708
36599	1100-12576	USED	1100	2022-02-20 18:16:44.735
16876	1102-7337	USED	1102	2022-02-11 13:12:45.763
39227	1107-1650	USED	1107	2022-02-17 01:39:37.716
32794	1100-17686	USED	1100	2022-02-07 08:50:55.731
6738	1105-22392	USED	1105	2022-02-08 16:27:15.641
14397	1100-22240	USED	1100	2022-02-19 14:32:27.510
20481	1100-25348	USED	1100	2022-02-07 22:57:28.651
27750	1102-13244	USED	1102	2022-02-13 18:25:03.993
30192	1104-5946	USED	1104	2022-02-12 01:40:57.105
31901	1103-4003	USED	1103	2022-02-18 19:28:08.344
36264	1100-1912	USED	1100	2022-02-11 18:02:17.968
6071	1105-31091	USED	1105	2022-02-19 18:31:27.109
12164	1104-33390	USED	1104	2022-02-10 01:52:15.637
2287	1105-31951	USED	1105	2022-02-10 00:16:22.380
13288	1104-44187	USED	1104	2022-02-18 15:21:28.892
26755	1104-23329	USED	1104	2022-02-07 07:55:26.879
5936	1102-3628	USED	1102	2022-02-09 00:02:01.673
7455	1101-18317	USED	1101	2022-02-04 02:06:02.939
1	1109-28481	USED	1109	2022-02-05 21:55:08.206
33034	1106-45787	USED	1106	2022-02-12 16:10:51.157
12613	1106-36357	USED	1106	2022-02-02 03:09:26.865
9721	1107-48696	USED	1107	2022-02-04 17:31:34.444
24594	1109-10809	USED	1109	2022-02-03 17:10:41.148
17682	1107-7416	USED	1107	2022-02-01 15:56:26.965
39327	1100-36034	USED	1100	2022-02-19 17:47:37.894
13457	1105-2397	USED	1105	2022-02-01 21:33:37.548
38612	1109-2492	USED	1109	2022-02-17 23:25:32.288
22577	1109-16455	USED	1109	2022-02-05 22:25:24.027
2158	1105-20588	USED	1105	2022-02-19 20:27:20.815
13414	1101-2648	USED	1101	2022-02-12 21:42:02.487
21974	1100-16151	USED	1100	2022-02-13 17:10:20.757
19737	1107-7874	USED	1107	2022-02-16 16:03:57.908
5447	1103-32175	USED	1103	2022-02-09 14:16:41.355
14477	1107-27334	USED	1107	2022-02-14 18:31:24.209
5447	1100-18848	USED	1100	2022-02-10 22:42:17.627
21204	1108-12615	USED	1108	2022-02-14 14:37:00.501
9682	1107-22133	USED	1107	2022-02-02 14:25:02.978
35829	1106-6826	USED	1106	2022-02-14 10:08:55.577
26559	1101-38333	USED	1101	2022-02-04 06:25:41.167
21122	1100-14373	USED	1100	2022-02-16 03:11:11.712
