userid	voucherCode	status	campaignID	time
14658	1105-33515	USED	1105	2022-02-07 10:10:58.851
6862	1106-45684	USED	1106	2022-02-12 08:52:32.996
16700	1102-33636	USED	1102	2022-02-20 00:15:51.995
5858	1106-11288	USED	1106	2022-02-01 08:46:48.949
24947	1104-37828	USED	1104	2022-02-13 17:31:07.713
33372	1105-15924	USED	1105	2022-02-17 16:43:15.768
3225	1108-792	USED	1108	2022-02-04 07:54:39.183
15609	1105-30568	USED	1105	2022-02-19 13:52:22.516
18984	1107-9635	USED	1107	2022-02-12 00:44:54.633
19646	1104-8607	USED	1104	2022-02-15 22:03:11.472
4567	1101-29996	USED	1101	2022-02-01 16:02:48.000
5771	1102-42668	USED	1102	2022-02-11 22:56:01.957
7960	1108-49644	USED	1108	2022-02-05 19:37:07.892
21203	1105-39112	USED	1105	2022-02-03 16:21:45.219
39068	1101-26903	USED	1101	2022-02-14 18:42:23.445
6635	1100-16288	USED	1100	2022-02-16 22:57:47.396
34972	1106-5467	USED	1106	2022-02-04 21:04:45.436
17785	1109-7522	USED	1109	2022-02-10 17:08:43.981
6951	1107-12318	USED	1107	2022-02-20 16:28:27.457
9532	1109-45768	USED	1109	2022-02-03 03:13:39.472
28949	1100-23457	USED	1100	2022-02-17 07:56:10.549
10354	1102-16797	USED	1102	2022-02-20 19:35:22.879
33768	1107-22602	USED	1107	2022-02-11 07:50:14.857
25653	1107-8736	USED	1107	2022-02-04 22:02:25.515
37428	1107-46343	USED	1107	2022-02-09 02:05:00.276
11541	1103-20398	USED	1103	2022-02-02 06:35:00.754
3389	1102-26250	USED	1102	2022-02-16 18:57:53.251
5887	1105-30461	USED	1105	2022-02-08 09:23:31.970
22193	1103-14524	USED	1103	2022-02-05 20:16:19.148
31493	1102-12060	USED	1102	2022-02-09 04:31:59.836
28032	1101-23536	USED	1101	2022-02-08 11:52:11.841
13880	1104-48591	USED	1104	2022-02-18 16:40:41.610
16448	1105-35300	USED	1105	2022-02-11 18:53:35.227
1883	1100-10759	USED	1100	2022-02-06 03:09:35.996
897	1105-28208	USED	1105	2022-02-18 00:01:36.518
24182	1109-41347	USED	1109	2022-02-16 11:49:14.147
38532	1107-48593	USED	1107	2022-02-17 07:34:14.315
6170	1105-43509	USED	1105	2022-02-07 19:59:45.083
8073	1108-19630	USED	1108	2022-02-14 18:26:19.915
8093	1101-4652	USED	1101	2022-02-10 16:37:38.110
7231	1106-30022	USED	1106	2022-02-08 14:45:55.615
26834	1102-10935	USED	1102	2022-02-12 17:57:36.876
25590	1103-38411	USED	1103	2022-02-17 20:19:15.946
231	1101-37335	USED	1101	2022-02-03 13:53:33.678
26331	1107-23643	USED	1107	2022-02-05 14:14:36.791
16217	1105-24085	USED	1105	2022-02-12 22:43:16.546
16644	1108-23474	USED	1108	2022-02-06 01:08:37.335
9012	1102-36622	USED	1102	2022-02-14 23:07:25.711
18113	1103-42191	USED	1103	2022-02-08 21:27:30.937
1582	1107-18157	USED	1107	2022-02-05 02:11:17.736
30048	1101-15709	USED	1101	2022-02-03 01:40:09.755
29274	1100-43037	USED	1100	2022-02-14 09:18:34.957
26834	1108-20302	USED	1108	2022-02-05 20:35:16.720
27928	1108-29241	USED	1108	2022-02-16 08:28:58.282
14888	1107-23418	USED	1107	2022-02-04 20:52:05.337
26662	1103-43070	USED	1103	2022-02-12 20:03:08.096
20169	1102-29559	USED	1102	2022-02-08 23:41:34.584
34860	1106-2958	USED	1106	2022-02-07 15:15:58.142
34593	1108-18700	USED	1108	2022-02-07 19:22:53.615
29255	1109-17517	USED	1109	2022-02-08 00:04:47.054
15894	1109-39973	USED	1109	2022-02-18 13:58:08.698
34642	1102-29010	USED	1102	2022-02-07 10:31:10.465
8838	1104-4303	USED	1104	2022-02-13 17:21:40.439
3518	1100-15688	USED	1100	2022-02-11 23:55:15.161
24865	1103-22819	USED	1103	2022-02-13 18:11:47.436
3772	1100-12057	USED	1100	2022-02-05 23:03:26.699
14307	1109-2512	USED	1109	2022-02-09 21:10:32.341
19236	1102-27088	USED	1102	2022-02-02 21:36:34.737
37064	1109-36931	USED	1109	2022-02-03 16:18:39.258
11977	1101-26531	USED	1101	2022-02-08 06:23:32.017
5687	1101-5765	USED	1101	2022-02-20 06:56:35.260
30209	1100-26696	USED	1100	2022-02-15 05:26:52.797
25917	1109-11076	USED	1109	2022-02-08 23:32:58.723
37814	1101-9093	USED	1101	2022-02-13 00:37:21.603
15817	1101-30611	USED	1101	2022-02-05 10:06:36.188
9122	1105-28257	USED	1105	2022-02-06 16:58:59.872
33464	1109-6891	USED	1109	2022-02-03 02:34:27.702
10208	1101-33282	USED	1101	2022-02-19 12:23:52.703
2267	1109-8595	USED	1109	2022-02-12 06:08:08.270
36563	1107-30464	USED	1107	2022-02-01 09:18:54.657
29526	1105-40374	USED	1105	2022-02-05 21:56:54.506
5728	1107-35736	USED	1107	2022-02-10 06:51:53.215
14437	1100-24402	USED	1100	2022-02-05 15:13:48.983
29968	1106-20115	USED	1106	2022-02-20 23:20:38.466
33532	1100-17738	USED	1100	2022-02-14 18:42:03.864
9065	1100-14124	USED	1100	2022-02-11 02:24:29.470
27226	1101-48671	USED	1101	2022-02-05 17:53:27.544
7436	1102-48973	USED	1102	2022-02-05 09:05:56.410
38132	1101-41677	USED	1101	2022-02-13 19:34:15.310
27422	1103-1525	USED	1103	2022-02-11 05:38:47.077
2826	1105-33503	USED	1105	2022-02-20 09:27:19.152
34488	1102-34188	USED	1102	2022-02-11 13:07:32.111
3846	1104-2801	USED	1104	2022-02-10 22:58:45.481
29214	1106-41894	USED	1106	2022-02-04 07:22:55.705
13815	1109-5751	USED	1109	2022-02-18 06:00:54.893
6009	1106-12468	USED	1106	2022-02-05 19:52:51.396
33177	1100-5308	USED	1100	2022-02-02 15:29:40.404
11700	1105-21484	USED	1105	2022-02-11 22:01:02.562
1504	1100-43336	USED	1100	2022-02-13 22:56:37.587
36127	1103-10557	USED	1103	2022-02-19 22:41:53.656
27826	1109-818	USED	1109	2022-02-18 22:15:06.917
36864	1109-28140	USED	1109	2022-02-18 00:02:16.482
28973	1100-45057	USED	1100	2022-02-07 14:40:32.917
16519	1101-17950	USED	1101	2022-02-19 18:10:31.824
23736	1106-44090	USED	1106	2022-02-13 01:53:02.925
4838	1106-34891	USED	1106	2022-02-14 11:04:58.337
13096	1109-2281	USED	1109	2022-02-19 22:06:56.353
1791	1108-40377	USED	1108	2022-02-04 20:53:18.467
3170	1102-33671	USED	1102	2022-02-02 17:31:04.928
17198	1107-15515	USED	1107	2022-02-07 16:27:25.170
2457	1101-12430	USED	1101	2022-02-11 15:44:32.524
39461	1102-2097	USED	1102	2022-02-19 06:05:22.519
9666	1109-38533	USED	1109	2022-02-01 00:51:50.835
19521	1104-28137	USED	1104	2022-02-18 21:50:04.425
25785	1105-42172	USED	1105	2022-02-17 04:02:32.598
10819	1107-8806	USED	1107	2022-02-11 00:53:22.707
33148	1100-27896	USED	1100	2022-02-10 17:30:14.389
17781	1104-21695	USED	1104	2022-02-18 15:35:46.517
17172	1108-40845	USED	1108	2022-02-04 16:46:13.914
19450	1100-46592	USED	1100	2022-02-14 00:40:37.888
15556	1107-15543	USED	1107	2022-02-20 17:34:46.608
20168	1100-10020	USED	1100	2022-02-14 21:04:41.904
36731	1105-3325	USED	1105	2022-02-19 09:11:58.071
38084	1102-45216	USED	1102	2022-02-13 15:33:40.926
30974	1103-25265	USED	1103	2022-02-06 11:30:49.651
28719	1107-36641	USED	1107	2022-02-05 06:40:04.532
1988	1108-29779	USED	1108	2022-02-08 01:42:21.425
2267	1109-45069	USED	1109	2022-02-06 22:40:19.178
16861	1107-1047	USED	1107	2022-02-11 04:44:39.372
8424	1103-30985	USED	1103	2022-02-06 17:44:38.031
27856	1104-16745	USED	1104	2022-02-12 22:26:52.747
4430	1102-3886	USED	1102	2022-02-13 03:30:07.778
35354	1105-27796	USED	1105	2022-02-11 21:09:29.044
5689	1105-22857	USED	1105	2022-02-10 06:46:24.589
28696	1100-2361	USED	1100	2022-02-05 13:46:10.655
14378	1104-45310	USED	1104	2022-02-06 00:51:55.893
21392	1109-41543	USED	1109	2022-02-19 05:30:58.704
1072	1103-18934	USED	1103	2022-02-16 21:56:31.909
22552	1102-6678	USED	1102	2022-02-08 00:16:24.983
7689	1104-18415	USED	1104	2022-02-17 11:31:03.216
15534	1107-1428	USED	1107	2022-02-04 11:02:05.528
11038	1104-34635	USED	1104	2022-02-10 12:54:38.462
34636	1102-34357	USED	1102	2022-02-10 06:06:03.248
19053	1107-18491	USED	1107	2022-02-14 07:38:58.972
15166	1109-47888	USED	1109	2022-02-15 08:50:11.530
23604	1107-34192	USED	1107	2022-02-17 20:53:10.446
27575	1108-17725	USED	1108	2022-02-08 12:53:32.482
23902	1108-19405	USED	1108	2022-02-18 20:56:15.848
3259	1107-44634	USED	1107	2022-02-05 17:40:25.231
8383	1101-41625	USED	1101	2022-02-17 02:37:58.110
17119	1105-22433	USED	1105	2022-02-13 07:57:13.404
24837	1106-7131	USED	1106	2022-02-18 03:11:10.766
18926	1106-45756	USED	1106	2022-02-02 00:30:26.131
7652	1101-27006	USED	1101	2022-02-18 04:34:20.146
7943	1108-22299	USED	1108	2022-02-16 22:22:16.736
38414	1104-33217	USED	1104	2022-02-04 09:33:13.650
28940	1109-25759	USED	1109	2022-02-01 19:23:01.372
18211	1107-14101	USED	1107	2022-02-09 09:15:57.436
25639	1100-340	USED	1100	2022-02-13 21:55:36.200
26920	1102-27266	USED	1102	2022-02-02 02:20:21.588
34067	1105-31055	USED	1105	2022-02-04 06:45:08.485
32337	1108-33055	USED	1108	2022-02-20 07:48:17.900
9024	1106-43224	USED	1106	2022-02-19 08:42:31.956
15155	1108-18216	USED	1108	2022-02-07 04:06:53.733
38620	1108-33391	USED	1108	2022-02-17 11:27:50.921
32849	1100-48221	USED	1100	2022-02-06 18:29:40.678
25482	1101-16618	USED	1101	2022-02-03 14:55:29.764
10726	1101-14430	USED	1101	2022-02-01 22:17:44.263
38579	1103-13761	USED	1103	2022-02-16 05:59:42.287
1557	1101-6259	USED	1101	2022-02-15 20:38:53.368
15394	1102-28577	USED	1102	2022-02-18 04:20:12.341
37521	1107-19086	USED	1107	2022-02-08 10:47:51.302
14863	1107-14945	USED	1107	2022-02-13 12:55:38.662
16605	1109-49667	USED	1109	2022-02-09 13:40:25.094
11414	1109-38807	USED	1109	2022-02-14 00:19:06.336
