userid	voucherCode	status	campaignID	time
20630	1100-11316	USED	1100	2022-02-10 05:06:11.609
26156	1100-5698	USED	1100	2022-02-06 03:04:09.083
28394	1101-25630	USED	1101	2022-02-08 21:12:46.865
25328	1100-41246	USED	1100	2022-02-05 10:02:44.658
5908	1102-18708	USED	1102	2022-02-11 02:05:43.367
18652	1108-18132	USED	1108	2022-02-16 21:35:21.976
16956	1105-42037	USED	1105	2022-02-06 20:58:39.085
34747	1103-19501	USED	1103	2022-02-15 13:36:10.228
31103	1103-18779	USED	1103	2022-02-05 01:37:28.575
21393	1105-34928	USED	1105	2022-02-13 08:06:35.824
32250	1105-27003	USED	1105	2022-02-18 14:32:06.215
33211	1102-40219	USED	1102	2022-02-19 15:41:59.594
13169	1100-16002	USED	1100	2022-02-01 17:19:10.208
20774	1103-7045	USED	1103	2022-02-18 18:03:18.751
39933	1105-18940	USED	1105	2022-02-07 15:38:14.658
10277	1107-2072	USED	1107	2022-02-08 10:46:17.046
39850	1108-9740	USED	1108	2022-02-19 00:50:53.009
4522	1107-45019	USED	1107	2022-02-18 15:02:36.051
15125	1104-41006	USED	1104	2022-02-17 21:54:11.601
38937	1106-24850	USED	1106	2022-02-05 07:14:20.724
25048	1101-25828	USED	1101	2022-02-03 01:18:57.886
36230	1108-15038	USED	1108	2022-02-14 16:49:30.734
32697	1103-46772	USED	1103	2022-02-17 07:44:53.844
19310	1107-38210	USED	1107	2022-02-03 01:13:44.003
11788	1109-17742	USED	1109	2022-02-02 05:55:54.921
34530	1103-6521	USED	1103	2022-02-03 00:13:06.642
29409	1106-47161	USED	1106	2022-02-11 19:54:32.896
19747	1109-11891	USED	1109	2022-02-16 13:26:53.621
9021	1101-30198	USED	1101	2022-02-18 08:15:20.421
16895	1107-41299	USED	1107	2022-02-10 03:15:45.633
9843	1108-47550	USED	1108	2022-02-20 19:07:33.255
20492	1103-33933	USED	1103	2022-02-10 08:47:10.630
19628	1103-23258	USED	1103	2022-02-06 12:48:01.627
15785	1101-21399	USED	1101	2022-02-12 13:13:25.043
5597	1101-21994	USED	1101	2022-02-06 03:14:46.012
30623	1106-41273	USED	1106	2022-02-19 00:17:00.608
2602	1107-36047	USED	1107	2022-02-14 01:59:59.339
37764	1100-49757	USED	1100	2022-02-09 15:27:19.161
17199	1104-48318	USED	1104	2022-02-08 11:32:23.604
23371	1106-36839	USED	1106	2022-02-01 00:09:55.737
28444	1101-12566	USED	1101	2022-02-19 17:37:12.143
18409	1100-4802	USED	1100	2022-02-15 23:10:09.117
216	1102-3512	USED	1102	2022-02-13 17:25:06.297
1613	1100-9733	USED	1100	2022-02-03 12:20:27.943
18212	1104-35158	USED	1104	2022-02-15 19:44:23.264
17904	1101-9042	USED	1101	2022-02-15 08:00:17.820
7824	1100-17806	USED	1100	2022-02-02 22:27:03.360
16051	1108-16250	USED	1108	2022-02-04 23:15:44.974
11905	1100-12912	USED	1100	2022-02-16 02:23:01.020
7125	1104-6719	USED	1104	2022-02-14 10:35:04.631
21091	1103-26863	USED	1103	2022-02-10 11:10:17.329
12240	1100-49786	USED	1100	2022-02-10 23:50:23.413
23807	1108-1942	USED	1108	2022-02-05 08:31:20.050
24010	1106-13786	USED	1106	2022-02-02 01:51:41.112
18981	1104-8778	USED	1104	2022-02-16 21:58:38.621
13396	1105-27083	USED	1105	2022-02-14 11:31:47.054
975	1103-44563	USED	1103	2022-02-16 07:55:40.360
3477	1103-41126	USED	1103	2022-02-13 10:41:45.117
11568	1107-9162	USED	1107	2022-02-18 17:46:17.244
13388	1102-46078	USED	1102	2022-02-05 04:51:54.031
26504	1102-24002	USED	1102	2022-02-19 02:11:17.587
4532	1106-22732	USED	1106	2022-02-15 02:24:43.242
22176	1103-31938	USED	1103	2022-02-16 14:20:41.432
21419	1107-4874	USED	1107	2022-02-15 13:54:18.261
31329	1109-42798	USED	1109	2022-02-20 14:32:35.678
37473	1101-2405	USED	1101	2022-02-08 14:59:44.462
13577	1100-27452	USED	1100	2022-02-04 23:23:18.045
23622	1105-24413	USED	1105	2022-02-20 04:10:54.636
27178	1109-18929	USED	1109	2022-02-10 22:24:47.117
2320	1107-45559	USED	1107	2022-02-08 00:54:03.997
13704	1109-24996	USED	1109	2022-02-04 16:01:51.920
28256	1103-37666	USED	1103	2022-02-05 06:36:03.905
15747	1106-310	USED	1106	2022-02-05 14:15:03.168
22991	1105-45223	USED	1105	2022-02-11 04:20:55.926
18455	1105-34752	USED	1105	2022-02-18 12:03:36.403
11925	1109-48789	USED	1109	2022-02-10 19:43:46.465
29046	1101-39182	USED	1101	2022-02-08 14:52:00.014
