userid	voucherCode	status	campaignID	time
655	1105-6142	USED	1105	2022-02-11 15:32:45.225
30474	1107-11450	USED	1107	2022-02-19 13:40:35.447
20854	1105-17556	USED	1105	2022-02-11 11:34:45.932
17969	1109-9164	USED	1109	2022-02-06 09:50:16.086
14217	1101-21575	USED	1101	2022-02-04 08:44:35.302
10821	1106-30030	USED	1106	2022-02-18 20:05:17.329
20596	1103-31758	USED	1103	2022-02-16 03:58:09.645
12430	1109-49918	USED	1109	2022-02-14 18:25:50.677
39127	1101-20400	USED	1101	2022-02-06 10:40:50.940
3022	1105-12317	USED	1105	2022-02-20 00:31:12.521
38565	1102-34186	USED	1102	2022-02-13 09:09:16.014
12023	1102-48012	USED	1102	2022-02-17 21:40:41.181
3355	1104-31993	USED	1104	2022-02-12 08:20:03.439
32809	1100-2751	USED	1100	2022-02-18 19:59:50.789
2605	1103-6726	USED	1103	2022-02-10 04:11:06.576
8846	1100-26033	USED	1100	2022-02-07 21:38:10.228
8374	1101-41472	USED	1101	2022-02-16 04:00:21.405
24790	1108-33664	USED	1108	2022-02-04 22:43:46.613
15599	1105-7456	USED	1105	2022-02-11 11:36:59.826
33916	1108-44749	USED	1108	2022-02-10 14:56:05.175
511	1105-14586	USED	1105	2022-02-09 01:50:23.109
4495	1108-21393	USED	1108	2022-02-15 22:18:18.978
28684	1106-27129	USED	1106	2022-02-03 20:51:51.437
1848	1106-47359	USED	1106	2022-02-02 08:46:42.257
28629	1106-12119	USED	1106	2022-02-15 22:38:32.418
34799	1102-29479	USED	1102	2022-02-06 12:17:42.461
39739	1104-5877	USED	1104	2022-02-14 06:30:09.166
22685	1108-41688	USED	1108	2022-02-13 22:56:16.703
26442	1107-5386	USED	1107	2022-02-06 08:11:41.484
4006	1103-45767	USED	1103	2022-02-17 15:21:55.885
17700	1101-26208	USED	1101	2022-02-15 23:13:47.953
37498	1101-14341	USED	1101	2022-02-05 09:21:24.324
30450	1106-13395	USED	1106	2022-02-11 08:11:23.465
28149	1106-2352	USED	1106	2022-02-18 09:20:52.610
20793	1107-35280	USED	1107	2022-02-01 04:38:59.936
6453	1108-2740	USED	1108	2022-02-07 11:58:31.755
18096	1106-14090	USED	1106	2022-02-06 06:47:08.417
