userid	voucherCode	status	campaignID	time
31579	1107-35745	USED	1107	2022-02-20 17:38:36.886
35669	1105-42930	USED	1105	2022-02-05 18:23:47.800
485	1106-37898	USED	1106	2022-02-08 09:19:07.296
19638	1100-42802	USED	1100	2022-02-05 11:33:42.841
16690	1105-30616	USED	1105	2022-02-08 00:34:03.312
3818	1106-17976	USED	1106	2022-02-06 15:01:04.592
34358	1102-9160	USED	1102	2022-02-15 00:35:56.666
17582	1103-7122	USED	1103	2022-02-20 18:40:09.307
19309	1109-29170	USED	1109	2022-02-07 18:07:58.539
11820	1103-31031	USED	1103	2022-02-19 06:07:19.911
14579	1105-33105	USED	1105	2022-02-17 21:34:27.232
8374	1107-46089	USED	1107	2022-02-11 11:10:37.829
25484	1108-10672	USED	1108	2022-02-04 11:22:02.841
26499	1101-12781	USED	1101	2022-02-12 16:11:38.849
29073	1105-19567	USED	1105	2022-02-04 00:21:46.940
12278	1104-35506	USED	1104	2022-02-09 08:30:10.042
38091	1104-535	USED	1104	2022-02-03 03:37:07.268
17593	1109-25664	USED	1109	2022-02-17 13:04:55.035
7556	1109-32723	USED	1109	2022-02-15 23:32:13.516
24731	1102-9475	USED	1102	2022-02-05 03:30:13.233
15719	1104-36919	USED	1104	2022-02-14 09:10:18.493
30868	1103-6982	USED	1103	2022-02-11 20:23:26.091
11142	1101-49839	USED	1101	2022-02-13 01:42:31.287
1065	1101-49066	USED	1101	2022-02-14 10:02:00.867
3246	1101-23808	USED	1101	2022-02-06 18:44:18.216
10144	1101-23969	USED	1101	2022-02-15 13:58:33.941
6989	1108-19553	USED	1108	2022-02-06 09:00:31.868
12404	1101-7059	USED	1101	2022-02-11 20:17:47.841
9778	1105-30872	USED	1105	2022-02-01 21:36:24.778
39225	1109-38668	USED	1109	2022-02-03 00:39:36.167
39372	1101-30114	USED	1101	2022-02-07 16:25:20.062
14230	1108-36170	USED	1108	2022-02-16 05:32:25.559
1241	1105-35916	USED	1105	2022-02-16 03:55:53.910
23610	1101-393	USED	1101	2022-02-06 02:03:49.669
4013	1102-37159	USED	1102	2022-02-10 08:07:01.112
3094	1107-46669	USED	1107	2022-02-01 20:08:41.963
3966	1106-33866	USED	1106	2022-02-06 16:20:49.275
22868	1108-37603	USED	1108	2022-02-12 11:06:05.411
16716	1108-24166	USED	1108	2022-02-16 05:43:35.533
20218	1107-24702	USED	1107	2022-02-05 07:55:15.902
8497	1109-1133	USED	1109	2022-02-02 08:44:47.243
26054	1104-36568	USED	1104	2022-02-08 08:29:18.078
18580	1101-7562	USED	1101	2022-02-17 10:08:58.916
38698	1101-8383	USED	1101	2022-02-10 04:37:02.182
38294	1101-23600	USED	1101	2022-02-11 05:08:15.988
16047	1106-26021	USED	1106	2022-02-15 22:05:19.272
7172	1109-30784	USED	1109	2022-02-15 04:22:45.718
29218	1107-32973	USED	1107	2022-02-17 21:31:40.134
22023	1108-33693	USED	1108	2022-02-01 11:23:34.137
35	1100-23787	USED	1100	2022-02-01 16:16:47.878
4482	1108-12834	USED	1108	2022-02-18 13:53:27.738
39230	1107-26133	USED	1107	2022-02-08 19:17:17.058
12979	1109-26	USED	1109	2022-02-06 12:51:50.492
32076	1105-30689	USED	1105	2022-02-11 09:59:48.308
25507	1100-9007	USED	1100	2022-02-12 05:46:48.522
11384	1105-44737	USED	1105	2022-02-20 01:26:19.921
18216	1108-32118	USED	1108	2022-02-14 02:06:18.695
10500	1104-13908	USED	1104	2022-02-15 03:09:56.051
1196	1104-15660	USED	1104	2022-02-12 11:49:01.406
32382	1103-35716	USED	1103	2022-02-01 20:56:22.485
30556	1104-12182	USED	1104	2022-02-15 00:21:38.283
39239	1101-14619	USED	1101	2022-02-02 14:27:11.498
22422	1107-48188	USED	1107	2022-02-15 03:05:34.371
38393	1100-3557	USED	1100	2022-02-07 21:47:45.980
1259	1108-11414	USED	1108	2022-02-18 11:10:28.653
23873	1108-24177	USED	1108	2022-02-18 10:40:06.208
22346	1100-38223	USED	1100	2022-02-18 14:33:26.724
15856	1104-3179	USED	1104	2022-02-17 06:11:26.472
1756	1109-20579	USED	1109	2022-02-12 05:21:18.810
20338	1101-19135	USED	1101	2022-02-17 19:23:19.874
4173	1106-28631	USED	1106	2022-02-09 02:50:40.778
13462	1109-39828	USED	1109	2022-02-19 00:27:41.350
2860	1104-27487	USED	1104	2022-02-11 12:38:17.352
39011	1104-31020	USED	1104	2022-02-17 22:04:21.652
25255	1108-5354	USED	1108	2022-02-16 09:32:17.166
35437	1107-35912	USED	1107	2022-02-14 05:38:17.560
29773	1101-26001	USED	1101	2022-02-01 16:38:57.066
34355	1106-46254	USED	1106	2022-02-17 12:09:10.317
18808	1104-14286	USED	1104	2022-02-04 23:07:30.096
36115	1109-1125	USED	1109	2022-02-15 12:56:29.200
22080	1103-31859	USED	1103	2022-02-10 12:08:55.127
10532	1109-8294	USED	1109	2022-02-12 07:31:02.664
22092	1101-16236	USED	1101	2022-02-20 14:27:59.974
38169	1104-34966	USED	1104	2022-02-14 13:47:59.854
26422	1101-20729	USED	1101	2022-02-05 20:08:32.580
7792	1105-12141	USED	1105	2022-02-06 22:20:46.945
2768	1108-4440	USED	1108	2022-02-18 06:12:57.295
36315	1103-16080	USED	1103	2022-02-03 19:20:11.982
33616	1100-21858	USED	1100	2022-02-20 18:04:03.373
11064	1100-4155	USED	1100	2022-02-05 23:51:34.224
38212	1108-12842	USED	1108	2022-02-13 23:04:13.293
19997	1101-22848	USED	1101	2022-02-03 23:48:33.095
3485	1101-18858	USED	1101	2022-02-04 15:59:07.032
30512	1102-35435	USED	1102	2022-02-11 13:10:53.087
26935	1107-46047	USED	1107	2022-02-14 16:40:43.881
39018	1103-27974	USED	1103	2022-02-17 14:17:23.495
8826	1105-48616	USED	1105	2022-02-06 05:05:12.977
30330	1109-45090	USED	1109	2022-02-01 16:58:07.156
30996	1100-9650	USED	1100	2022-02-09 09:21:36.716
35040	1104-25302	USED	1104	2022-02-13 19:53:50.836
21926	1100-10231	USED	1100	2022-02-11 02:39:27.825
39320	1102-8821	USED	1102	2022-02-13 17:01:52.857
13048	1106-32116	USED	1106	2022-02-19 14:59:56.671
26454	1103-46692	USED	1103	2022-02-12 03:27:57.553
10005	1108-30599	USED	1108	2022-02-06 22:43:55.625
21964	1103-5441	USED	1103	2022-02-16 21:21:02.993
24374	1109-28144	USED	1109	2022-02-10 00:31:25.709
24552	1101-2640	USED	1101	2022-02-02 17:09:36.740
12920	1106-4752	USED	1106	2022-02-20 03:48:04.232
31463	1106-35956	USED	1106	2022-02-08 09:44:52.931
18628	1106-3987	USED	1106	2022-02-13 15:54:39.725
28674	1108-1958	USED	1108	2022-02-18 19:58:39.847
33241	1107-30723	USED	1107	2022-02-17 01:44:47.309
14430	1107-41601	USED	1107	2022-02-19 00:42:43.786
37142	1100-17408	USED	1100	2022-02-02 10:19:46.846
9623	1101-27805	USED	1101	2022-02-05 14:14:17.918
1499	1107-41396	USED	1107	2022-02-19 10:01:36.354
15537	1103-30251	USED	1103	2022-02-20 05:43:25.493
35069	1106-2451	USED	1106	2022-02-05 14:39:21.744
28230	1105-45753	USED	1105	2022-02-13 08:25:42.517
17513	1106-41098	USED	1106	2022-02-18 06:29:43.379
37529	1109-11449	USED	1109	2022-02-19 17:48:30.519
27851	1106-24610	USED	1106	2022-02-09 01:18:41.802
32456	1102-47546	USED	1102	2022-02-16 18:22:48.111
17343	1104-20051	USED	1104	2022-02-03 03:21:34.803
2358	1104-40190	USED	1104	2022-02-12 06:01:21.952
16894	1101-36130	USED	1101	2022-02-17 09:04:29.210
3023	1109-4879	USED	1109	2022-02-20 21:27:39.248
16579	1100-41776	USED	1100	2022-02-07 12:20:12.993
10612	1103-4002	USED	1103	2022-02-18 23:45:36.899
9192	1109-14842	USED	1109	2022-02-18 04:00:25.372
10001	1103-36935	USED	1103	2022-02-12 19:10:10.987
33495	1106-29805	USED	1106	2022-02-15 16:41:57.927
32729	1106-119	USED	1106	2022-02-14 04:12:30.555
6128	1105-44049	USED	1105	2022-02-18 15:45:15.804
14458	1104-4391	USED	1104	2022-02-02 08:00:18.236
4043	1104-22286	USED	1104	2022-02-01 21:45:26.759
5750	1103-39689	USED	1103	2022-02-16 21:44:58.392
39671	1101-37347	USED	1101	2022-02-06 13:27:46.037
6015	1102-13583	USED	1102	2022-02-07 02:25:22.190
34555	1107-40851	USED	1107	2022-02-06 07:28:15.502
15880	1106-16938	USED	1106	2022-02-07 01:12:14.428
34511	1106-37425	USED	1106	2022-02-01 15:37:48.589
20539	1106-47274	USED	1106	2022-02-01 16:17:36.635
18521	1102-20490	USED	1102	2022-02-17 13:08:56.658
15682	1108-24750	USED	1108	2022-02-05 11:30:19.029
14234	1102-43273	USED	1102	2022-02-11 17:03:34.385
11132	1101-8161	USED	1101	2022-02-12 09:55:57.615
23873	1108-46796	USED	1108	2022-02-07 04:53:18.974
6417	1107-27792	USED	1107	2022-02-20 10:12:40.581
32378	1105-10556	USED	1105	2022-02-12 11:08:43.273
18922	1109-7171	USED	1109	2022-02-10 14:17:08.334
6129	1100-33995	USED	1100	2022-02-04 12:52:52.809
15407	1100-9440	USED	1100	2022-02-14 14:58:10.833
24762	1100-17175	USED	1100	2022-02-01 00:15:37.235
38693	1101-4139	USED	1101	2022-02-05 23:57:53.212
6012	1102-38450	USED	1102	2022-02-01 12:52:04.912
8419	1107-6505	USED	1107	2022-02-18 13:01:51.794
19121	1100-44720	USED	1100	2022-02-11 09:38:13.910
26645	1101-30886	USED	1101	2022-02-09 11:22:31.103
33356	1108-31852	USED	1108	2022-02-02 20:35:35.804
10058	1101-21040	USED	1101	2022-02-07 04:39:17.081
5574	1101-14958	USED	1101	2022-02-14 01:39:10.945
25730	1107-43404	USED	1107	2022-02-18 07:44:01.839
6926	1104-31131	USED	1104	2022-02-20 16:01:47.212
19406	1109-49381	USED	1109	2022-02-15 21:37:47.559
25551	1107-22457	USED	1107	2022-02-16 13:01:55.035
23979	1102-12762	USED	1102	2022-02-01 10:52:54.648
11448	1105-407	USED	1105	2022-02-19 15:26:25.682
26940	1102-29162	USED	1102	2022-02-07 10:09:57.764
8419	1100-8397	USED	1100	2022-02-15 04:08:45.283
36957	1104-15624	USED	1104	2022-02-19 00:43:56.417
22758	1109-11408	USED	1109	2022-02-18 16:02:23.087
36444	1100-18692	USED	1100	2022-02-08 23:59:09.604
16666	1103-49116	USED	1103	2022-02-02 07:33:05.788
2085	1103-24304	USED	1103	2022-02-08 13:52:10.328
13318	1107-47663	USED	1107	2022-02-16 23:00:03.075
37932	1105-29101	USED	1105	2022-02-04 04:54:05.350
5124	1107-19665	USED	1107	2022-02-11 19:28:15.898
1269	1109-28839	USED	1109	2022-02-14 22:10:17.717
8314	1102-45133	USED	1102	2022-02-04 18:38:14.756
33207	1102-40465	USED	1102	2022-02-15 13:01:54.830
20958	1108-36726	USED	1108	2022-02-08 10:43:42.206
39577	1104-46951	USED	1104	2022-02-08 23:24:16.227
