userid	voucherCode	status	campaignID	time
35240	1102-3157	USED	1102	2022-02-05 11:20:04.534
16367	1109-49679	USED	1109	2022-02-01 16:40:47.487
32674	1101-33517	USED	1101	2022-02-01 10:29:53.807
13106	1100-47374	USED	1100	2022-02-14 20:26:29.535
2138	1100-32690	USED	1100	2022-02-10 16:05:11.997
27158	1101-23837	USED	1101	2022-02-13 08:30:53.199
14393	1100-1982	USED	1100	2022-02-08 09:03:52.439
16700	1105-38174	USED	1105	2022-02-03 10:54:56.951
21623	1104-8090	USED	1104	2022-02-05 15:21:54.411
10744	1100-33162	USED	1100	2022-02-08 10:30:11.534
35691	1100-27288	USED	1100	2022-02-06 00:20:38.607
637	1105-27640	USED	1105	2022-02-15 04:03:00.650
37752	1107-38671	USED	1107	2022-02-17 02:23:32.646
28916	1104-15066	USED	1104	2022-02-14 00:32:17.902
22928	1105-16322	USED	1105	2022-02-03 08:41:18.610
32324	1108-33676	USED	1108	2022-02-14 05:00:07.194
39113	1103-14168	USED	1103	2022-02-03 01:49:15.963
32868	1104-12596	USED	1104	2022-02-19 13:10:36.642
17361	1108-8640	USED	1108	2022-02-01 00:12:46.263
8204	1100-7844	USED	1100	2022-02-05 14:16:45.401
35285	1102-35440	USED	1102	2022-02-08 15:45:43.706
14590	1108-39273	USED	1108	2022-02-14 20:21:04.132
9409	1109-48577	USED	1109	2022-02-10 00:28:31.888
26768	1108-47813	USED	1108	2022-02-08 00:04:58.118
9431	1101-37585	USED	1101	2022-02-13 22:44:21.014
19733	1104-36979	USED	1104	2022-02-16 09:36:08.179
4954	1101-2285	USED	1101	2022-02-04 07:50:43.062
19189	1101-25775	USED	1101	2022-02-16 12:12:15.007
15256	1107-33418	USED	1107	2022-02-08 08:14:26.838
5258	1105-2056	USED	1105	2022-02-15 07:12:23.310
38094	1104-32806	USED	1104	2022-02-18 10:20:52.309
1561	1101-45041	USED	1101	2022-02-15 07:47:15.396
33052	1103-7195	USED	1103	2022-02-14 09:46:17.068
39681	1108-36792	USED	1108	2022-02-01 07:45:12.879
33463	1101-20390	USED	1101	2022-02-14 18:09:54.168
14870	1106-2989	USED	1106	2022-02-12 14:33:08.134
22549	1105-22558	USED	1105	2022-02-15 06:16:07.347
10768	1103-36104	USED	1103	2022-02-11 16:51:11.638
9001	1103-453	USED	1103	2022-02-16 12:10:10.471
34915	1101-24787	USED	1101	2022-02-03 19:40:00.542
15245	1108-42742	USED	1108	2022-02-07 18:09:25.969
4910	1104-46168	USED	1104	2022-02-20 03:17:35.799
24519	1103-32909	USED	1103	2022-02-14 23:43:18.751
20849	1107-7774	USED	1107	2022-02-16 13:43:15.661
9462	1102-32672	USED	1102	2022-02-08 09:19:39.992
38041	1104-32293	USED	1104	2022-02-02 20:41:41.266
23550	1108-2992	USED	1108	2022-02-18 11:17:07.971
36996	1106-49552	USED	1106	2022-02-09 03:29:48.345
28762	1108-27277	USED	1108	2022-02-07 23:37:44.727
10362	1105-1558	USED	1105	2022-02-09 00:12:13.767
36444	1106-37288	USED	1106	2022-02-16 13:04:47.812
18650	1105-26542	USED	1105	2022-02-09 09:02:06.397
23371	1106-15630	USED	1106	2022-02-17 08:05:46.554
3587	1100-40968	USED	1100	2022-02-03 14:00:51.500
13948	1108-8847	USED	1108	2022-02-07 17:34:01.517
24499	1100-21113	USED	1100	2022-02-05 19:22:13.227
632	1100-8886	USED	1100	2022-02-14 05:15:27.142
25607	1108-4822	USED	1108	2022-02-11 19:18:22.751
22493	1105-13834	USED	1105	2022-02-13 09:01:08.681
32561	1107-22001	USED	1107	2022-02-12 01:17:13.689
22257	1101-41721	USED	1101	2022-02-12 12:43:22.975
3206	1105-30351	USED	1105	2022-02-17 08:48:56.270
14840	1102-39930	USED	1102	2022-02-20 01:43:34.453
32861	1102-38159	USED	1102	2022-02-19 04:40:00.967
34811	1106-16078	USED	1106	2022-02-06 17:40:11.098
22417	1105-8619	USED	1105	2022-02-04 08:00:29.133
34605	1103-29445	USED	1103	2022-02-02 23:33:04.362
27236	1108-19579	USED	1108	2022-02-08 09:24:21.712
7186	1100-16124	USED	1100	2022-02-13 10:10:27.273
7462	1104-32637	USED	1104	2022-02-09 13:22:01.449
10494	1104-43091	USED	1104	2022-02-06 20:19:12.769
14513	1109-19484	USED	1109	2022-02-19 05:49:28.943
30747	1104-21944	USED	1104	2022-02-09 06:36:51.695
