userid	voucherCode	status	campaignID	time
19307	1104-48561	USED	1104	2022-02-20 15:08:19.584
16099	1103-7167	USED	1103	2022-02-09 04:56:11.436
8790	1105-14551	USED	1105	2022-02-11 19:28:24.751
26562	1109-47284	USED	1109	2022-02-12 18:26:33.663
31697	1109-18827	USED	1109	2022-02-19 14:27:40.302
21136	1103-47629	USED	1103	2022-02-20 05:19:59.620
30880	1105-41354	USED	1105	2022-02-14 01:09:44.314
24463	1107-31516	USED	1107	2022-02-05 20:07:42.872
20943	1109-35717	USED	1109	2022-02-09 21:34:42.847
33463	1104-28981	USED	1104	2022-02-18 17:47:02.230
28130	1107-4551	USED	1107	2022-02-14 18:23:01.753
34019	1104-24992	USED	1104	2022-02-18 04:53:32.723
2651	1102-9430	USED	1102	2022-02-13 12:53:43.549
29389	1102-18239	USED	1102	2022-02-15 07:21:22.712
12288	1107-16826	USED	1107	2022-02-20 05:33:33.490
12612	1104-12386	USED	1104	2022-02-06 20:21:07.894
24207	1103-47351	USED	1103	2022-02-09 11:12:07.114
14049	1106-25182	USED	1106	2022-02-06 15:39:33.389
2066	1101-40718	USED	1101	2022-02-03 13:53:41.195
15039	1102-27383	USED	1102	2022-02-14 01:38:26.420
18743	1104-26958	USED	1104	2022-02-14 18:57:29.994
16630	1105-38616	USED	1105	2022-02-20 13:01:11.755
38397	1102-8864	USED	1102	2022-02-04 16:52:47.529
37513	1104-3300	USED	1104	2022-02-07 14:49:12.029
36972	1107-37599	USED	1107	2022-02-06 14:01:18.104
9875	1101-48353	USED	1101	2022-02-01 17:22:33.879
2852	1109-47255	USED	1109	2022-02-10 03:24:09.528
21154	1105-27836	USED	1105	2022-02-13 14:30:29.448
23432	1104-766	USED	1104	2022-02-10 11:35:31.589
14585	1105-26666	USED	1105	2022-02-10 17:45:12.980
16737	1102-11464	USED	1102	2022-02-13 01:48:49.994
29200	1100-7871	USED	1100	2022-02-06 01:21:40.884
4133	1103-23784	USED	1103	2022-02-05 21:32:42.046
12547	1105-1612	USED	1105	2022-02-18 04:18:09.042
373	1102-49461	USED	1102	2022-02-17 03:06:23.828
23100	1109-43259	USED	1109	2022-02-01 10:55:40.699
13494	1101-28890	USED	1101	2022-02-17 18:40:54.377
19985	1105-42069	USED	1105	2022-02-09 07:48:09.366
1948	1103-35683	USED	1103	2022-02-14 06:21:39.684
32714	1102-43952	USED	1102	2022-02-09 16:54:06.361
15261	1104-37235	USED	1104	2022-02-18 10:12:24.553
18457	1107-6218	USED	1107	2022-02-04 15:45:23.737
35583	1108-24228	USED	1108	2022-02-04 02:54:10.073
37752	1100-8542	USED	1100	2022-02-14 02:23:10.575
12424	1103-9314	USED	1103	2022-02-01 11:57:38.843
13880	1100-25802	USED	1100	2022-02-06 18:34:32.552
14484	1101-15021	USED	1101	2022-02-06 00:40:52.101
34106	1106-41479	USED	1106	2022-02-03 05:15:49.576
7286	1104-22396	USED	1104	2022-02-16 08:32:00.295
8752	1100-21707	USED	1100	2022-02-19 06:38:06.012
9859	1101-30143	USED	1101	2022-02-11 03:36:41.005
37634	1100-38119	USED	1100	2022-02-01 18:34:26.255
27227	1101-4564	USED	1101	2022-02-07 23:03:55.368
5862	1101-29447	USED	1101	2022-02-09 17:14:30.329
34734	1104-8496	USED	1104	2022-02-16 13:20:41.731
31729	1104-43164	USED	1104	2022-02-05 02:58:25.848
31989	1103-37477	USED	1103	2022-02-16 05:40:44.268
24465	1103-46729	USED	1103	2022-02-10 19:55:13.099
26877	1108-36665	USED	1108	2022-02-18 19:01:48.317
8451	1103-20627	USED	1103	2022-02-15 15:34:44.603
