userid	voucherCode	status	campaignID	time
35282	1108-45879	USED	1108	2022-02-05 00:03:26.750
27235	1104-32294	USED	1104	2022-02-19 19:45:40.938
951	1100-2177	USED	1100	2022-02-07 07:12:48.331
28273	1109-12957	USED	1109	2022-02-17 05:21:24.904
14554	1109-47165	USED	1109	2022-02-03 23:55:13.092
14863	1107-43525	USED	1107	2022-02-18 15:36:02.113
36134	1101-25573	USED	1101	2022-02-14 07:04:38.334
38076	1108-21634	USED	1108	2022-02-04 11:21:56.724
2531	1109-48922	USED	1109	2022-02-18 13:23:27.613
13732	1106-41137	USED	1106	2022-02-19 15:02:26.922
35627	1103-41358	USED	1103	2022-02-16 10:04:31.716
35290	1105-31926	USED	1105	2022-02-18 23:37:54.988
30726	1106-40671	USED	1106	2022-02-07 11:31:18.213
19174	1102-35437	USED	1102	2022-02-17 18:38:10.550
2958	1107-36086	USED	1107	2022-02-08 17:08:59.654
885	1103-8955	USED	1103	2022-02-14 05:58:51.394
18483	1101-26599	USED	1101	2022-02-14 03:51:15.425
30025	1101-17087	USED	1101	2022-02-05 08:34:46.150
35785	1103-17807	USED	1103	2022-02-06 18:42:24.946
10473	1107-41196	USED	1107	2022-02-03 01:14:03.601
26784	1109-24267	USED	1109	2022-02-12 18:07:32.456
12198	1109-14644	USED	1109	2022-02-10 21:53:31.852
34053	1102-11052	USED	1102	2022-02-01 08:11:35.510
7260	1101-8116	USED	1101	2022-02-20 12:42:16.785
25972	1109-43344	USED	1109	2022-02-10 19:12:54.110
17921	1105-13575	USED	1105	2022-02-13 00:25:35.919
12278	1103-854	USED	1103	2022-02-20 08:31:40.099
24463	1104-1601	USED	1104	2022-02-11 19:56:58.478
21617	1104-8633	USED	1104	2022-02-07 20:14:09.362
33001	1100-30150	USED	1100	2022-02-19 09:32:05.600
11773	1102-36549	USED	1102	2022-02-05 14:36:20.652
39330	1103-13934	USED	1103	2022-02-16 01:24:05.335
13630	1106-49335	USED	1106	2022-02-03 02:40:26.868
37871	1107-41561	USED	1107	2022-02-02 11:05:11.579
29280	1103-35561	USED	1103	2022-02-01 05:41:18.749
20517	1105-10435	USED	1105	2022-02-09 23:25:37.275
14393	1108-450	USED	1108	2022-02-15 21:29:26.751
34572	1103-284	USED	1103	2022-02-11 04:02:33.394
21335	1107-36613	USED	1107	2022-02-06 13:09:12.241
27257	1107-266	USED	1107	2022-02-10 18:42:37.860
13326	1107-22630	USED	1107	2022-02-10 07:34:07.149
33021	1101-35148	USED	1101	2022-02-12 20:30:30.654
5358	1100-15306	USED	1100	2022-02-17 18:29:25.517
12666	1109-39475	USED	1109	2022-02-19 01:33:46.575
9559	1102-30933	USED	1102	2022-02-19 18:56:04.125
38009	1101-30944	USED	1101	2022-02-01 11:56:27.525
29127	1106-34813	USED	1106	2022-02-11 23:59:50.441
18576	1100-16391	USED	1100	2022-02-03 15:50:09.862
25592	1107-36504	USED	1107	2022-02-14 16:08:08.150
34579	1101-23501	USED	1101	2022-02-19 19:19:28.380
14570	1101-47514	USED	1101	2022-02-19 13:06:36.381
32817	1103-294	USED	1103	2022-02-16 03:28:18.477
21120	1106-33438	USED	1106	2022-02-02 16:54:59.260
14697	1100-17781	USED	1100	2022-02-05 13:32:54.352
27877	1107-8857	USED	1107	2022-02-01 05:57:56.118
37384	1104-33022	USED	1104	2022-02-06 17:54:39.505
9577	1106-31494	USED	1106	2022-02-01 11:02:01.255
6678	1101-3012	USED	1101	2022-02-19 15:52:05.654
3801	1107-26475	USED	1107	2022-02-09 14:11:39.452
24708	1106-8467	USED	1106	2022-02-04 03:20:06.599
16389	1107-4659	USED	1107	2022-02-17 01:03:46.291
15594	1102-28573	USED	1102	2022-02-17 00:04:33.076
19300	1102-30936	USED	1102	2022-02-01 18:06:57.960
17691	1109-29541	USED	1109	2022-02-16 20:49:40.730
18949	1108-10154	USED	1108	2022-02-20 03:10:15.184
6661	1103-16853	USED	1103	2022-02-12 20:56:08.759
39567	1107-15898	USED	1107	2022-02-13 16:45:46.705
10052	1100-1718	USED	1100	2022-02-18 22:01:23.778
5816	1108-9250	USED	1108	2022-02-04 03:01:57.057
13704	1105-9987	USED	1105	2022-02-02 07:43:11.694
22606	1109-604	USED	1109	2022-02-13 23:38:47.149
26227	1100-5579	USED	1100	2022-02-03 05:46:39.702
18818	1100-4078	USED	1100	2022-02-11 02:18:53.975
24839	1109-40415	USED	1109	2022-02-15 17:52:26.301
35021	1109-25010	USED	1109	2022-02-08 03:47:00.301
33621	1107-41782	USED	1107	2022-02-09 14:30:25.561
30107	1100-13906	USED	1100	2022-02-14 17:49:23.382
23404	1108-25365	USED	1108	2022-02-11 05:41:43.015
18449	1102-42398	USED	1102	2022-02-04 11:23:55.423
13514	1100-34492	USED	1100	2022-02-17 10:00:59.017
11267	1103-9313	USED	1103	2022-02-02 08:48:10.205
21916	1103-45081	USED	1103	2022-02-16 00:53:51.321
32234	1100-14671	USED	1100	2022-02-06 22:17:53.172
1751	1101-11066	USED	1101	2022-02-11 11:54:00.227
9587	1109-37467	USED	1109	2022-02-11 03:40:48.109
14557	1107-22733	USED	1107	2022-02-18 16:12:32.548
10631	1108-41198	USED	1108	2022-02-01 21:36:12.673
22744	1107-32407	USED	1107	2022-02-17 07:22:58.492
16492	1103-15892	USED	1103	2022-02-10 04:33:16.285
37373	1108-30005	USED	1108	2022-02-15 02:50:59.923
38689	1105-48728	USED	1105	2022-02-09 20:43:30.288
16775	1107-30478	USED	1107	2022-02-19 07:28:38.273
22492	1103-5027	USED	1103	2022-02-03 07:14:54.591
6106	1101-26058	USED	1101	2022-02-03 03:51:02.273
10120	1103-26738	USED	1103	2022-02-12 09:21:51.549
20938	1106-35835	USED	1106	2022-02-05 15:19:20.162
11010	1103-27630	USED	1103	2022-02-18 10:00:30.553
34746	1109-34195	USED	1109	2022-02-14 23:22:13.857
1013	1107-2499	USED	1107	2022-02-20 17:22:31.359
33765	1104-29321	USED	1104	2022-02-17 21:38:24.425
6676	1106-30075	USED	1106	2022-02-06 22:11:52.090
447	1101-15499	USED	1101	2022-02-10 00:11:20.068
36563	1108-3472	USED	1108	2022-02-13 10:27:27.177
