transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211101--2428536913919984805	1	31007	2021-11-01 17:09:44.685	70	3	1603991	1
20211101--8364880412894769439	1	26285	2021-11-01 09:27:01.632	15	3	9313080	2
20211101-9099616900492759050	1	19721	2021-11-01 17:55:10.548	18	3	3540484	3
20211101--842646129498012797	-1	6826	2021-11-01 03:17:44.884	1	1	4372257	4
20211101-7926557634125589470	-1	11744	2021-11-01 00:34:57.204	2	2	6078535	2
20211101--711624512742831667	0	16930	2021-11-01 09:32:31.362	2	2	7465284	3
20211101-4783825669853684632	-1	20007	2021-11-01 12:24:15.945	5	5	2555081	2
20211101-1193045161333810332	1	3546	2021-11-01 00:35:11.668	4	4	9788687	2
20211101--4483591925377944381	1	16067	2021-11-01 10:48:15.994	1	1	1876735	1
20211101-4910985442017700181	-1	19699	2021-11-01 08:15:24.817	2	2	3429472	2
20211101-3013950226427793264	1	38837	2021-11-01 21:16:39.385	2	2	3108108	1
20211101-9165387090577295327	-1	24625	2021-11-01 17:18:58.613	5	5	2897416	1
20211101-3789386589168171778	-1	28226	2021-11-01 23:48:29.272	5	5	5815586	3
20211101--2938072581371608563	-1	31803	2021-11-01 14:58:18.502	89	3	2246492	1
20211101-4940044988868309938	-1	25993	2021-11-01 21:24:49.195	1	1	1862477	2
20211101--7461292683083272336	0	7277	2021-11-01 20:02:28.774	4	4	726171	2
20211101--4852009873946463174	0	2917	2021-11-01 05:08:48.224	2	2	4563189	2
20211101-2753500665033652071	1	702	2021-11-01 00:53:27.907	2	2	351437	1
20211101-4318537527788694617	-1	7547	2021-11-01 18:21:54.083	5	5	7587501	3
20211101--9050262518718665112	1	8809	2021-11-01 06:14:21.835	2	2	1603276	1
20211101--1669206770423196206	-1	20775	2021-11-01 19:03:40.685	1	1	9372829	4
20211101-395482738168869802	1	25260	2021-11-01 14:05:07.020	5	5	3492029	2
20211101--7723005058558426713	-1	14945	2021-11-01 06:08:26.127	13	3	2513030	3
20211101-8718143372845432726	-1	9567	2021-11-01 01:59:44.882	1	1	3027583	1
20211101-7279008706154543882	-1	17147	2021-11-01 18:44:27.267	1	1	4488358	4
20211101-1663628240448782882	1	9598	2021-11-01 15:59:10.863	2	2	4403712	4
20211101-3505982987822250863	0	38864	2021-11-01 13:06:26.444	5	5	2130011	2
20211101--7803547037397780043	-1	15505	2021-11-01 22:16:57.177	2	2	3993659	2
20211101--5423046466614465853	-1	37401	2021-11-01 00:34:16.393	5	5	289669	2
20211101--2220933130299142205	1	29753	2021-11-01 12:16:05.417	5	5	6446172	1
20211101--190714553316597504	1	17071	2021-11-01 18:47:50.831	1	1	7048949	3
20211101--1517060447139630337	0	1353	2021-11-01 08:33:16.309	32	3	1798578	3
20211101-6049883158456296319	1	25883	2021-11-01 01:02:47.079	2	2	7992339	3
20211101--7267500652803836395	1	5262	2021-11-01 00:13:56.143	1	1	659198	2
20211101-4321760694492806458	0	11195	2021-11-01 21:28:28.805	4	4	8469499	4
20211101-3460819987731499582	0	20497	2021-11-01 03:01:59.913	5	5	8771263	2
20211101-3784218011712754312	0	10228	2021-11-01 08:45:45.392	4	4	3614875	3
20211101--6575321900669034183	-1	16954	2021-11-01 03:54:09.377	1	1	4304590	4
20211101-3455073008248994694	-1	22951	2021-11-01 17:45:27.100	5	5	1802624	2
20211101-1442977585626065310	0	22105	2021-11-01 07:16:06.910	15	3	3664135	3
20211101--256605375113907047	-1	12025	2021-11-01 20:11:32.379	13	3	2342866	2
20211101--6711699877751425501	1	9956	2021-11-01 00:04:10.798	77	3	6467865	4
20211101--7450487434427749348	0	35874	2021-11-01 10:26:16.163	77	3	2665824	2
20211101--3259438100041018572	0	36201	2021-11-01 11:50:53.152	2	2	6780009	3
20211101-131427406692676445	-1	26797	2021-11-01 12:37:28.576	14	3	9162080	4
20211101--6317116943364429768	0	14524	2021-11-01 23:07:29.919	1	1	640375	3
20211101-2266440152301192764	-1	5251	2021-11-01 00:07:08.482	1	1	8052737	1
20211101--7151452370742410544	-1	32363	2021-11-01 20:56:14.897	1	1	6860641	1
20211101-6823722904989976389	1	23555	2021-11-01 12:22:30.352	21	3	6985065	2
20211101-6774002995184668898	1	2071	2021-11-01 03:06:07.652	4	4	8269447	4
20211101--1467893709026072786	0	8488	2021-11-01 08:59:15.029	1	1	3714463	1
20211101-8529738334400338670	0	23657	2021-11-01 19:51:26.158	5	5	9302933	1
20211101--1109698903821083669	1	36853	2021-11-01 12:47:32.580	4	4	7522435	1
20211101-8125484603450155166	1	39517	2021-11-01 00:23:59.870	93	3	454529	1
20211101--4721553502926310472	1	30575	2021-11-01 06:08:32.937	1	1	8439670	4
20211101-5007184796735715013	0	38505	2021-11-01 23:05:27.369	4	4	1782075	3
