transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211102--5323031911024227391	0	9786	2021-11-02 20:44:37.240	5	5	614106	2
20211102--3054454479585169032	-1	5913	2021-11-02 00:24:44.736	2	2	1249771	2
20211102--1106552400738898898	0	35116	2021-11-02 10:10:38.487	1	1	1588149	4
20211102--7992110889609869924	1	14630	2021-11-02 19:23:13.098	2	2	3093412	2
20211102-595529951073030198	0	28148	2021-11-02 21:45:30.915	4	4	2784833	1
20211102-9028416103589750190	1	24985	2021-11-02 23:11:56.925	56	3	2539450	4
20211102-273657690051694665	0	37601	2021-11-02 20:09:36.827	2	2	3882126	4
20211102--5992604488910954339	1	35927	2021-11-02 19:30:41.858	4	4	8051775	1
20211102-5251240082569340156	-1	16371	2021-11-02 06:32:00.312	5	5	1041134	1
20211102-1149462408230339264	1	2942	2021-11-02 10:21:53.123	1	1	6983727	1
20211102--1860340464909134644	0	18070	2021-11-02 00:14:30.790	5	5	6586363	3
20211102--4305385451912730270	-1	15934	2021-11-02 18:57:52.960	5	5	9389866	2
20211102-2528360371296355303	1	39046	2021-11-02 22:58:31.142	1	1	563618	2
20211102--4267343114758540512	0	3752	2021-11-02 15:24:10.336	5	5	4099309	2
20211102-8013898884535554234	0	10028	2021-11-02 00:24:15.094	1	1	10000081	4
20211102--4200991759218376626	0	27870	2021-11-02 20:45:47.829	1	1	3247711	2
20211102--6766912208654809394	-1	4272	2021-11-02 22:47:14.731	99	3	8759211	1
20211102-4631279279445195252	-1	27977	2021-11-02 10:06:15.629	4	4	5770306	3
20211102-1529932173250539029	0	15807	2021-11-02 00:41:30.432	5	5	9608493	3
20211102-8990108807468855683	0	8883	2021-11-02 17:01:52.998	2	2	2671710	1
20211102--2638145803924596645	0	5168	2021-11-02 08:00:20.832	4	4	1922058	4
20211102-6642728033662668990	0	34455	2021-11-02 23:30:10.740	2	2	2740633	3
20211102-2206970266813378904	1	5701	2021-11-02 02:50:08.412	1	1	6984897	1
20211102--142456943274891394	0	12697	2021-11-02 03:45:34.691	1	1	3680506	1
20211102-5979101280679203855	-1	38982	2021-11-02 02:01:09.427	1	1	7591977	2
20211102--3716427351645121237	0	24812	2021-11-02 16:26:17.884	5	5	4989326	2
20211102-373205833410503786	-1	13805	2021-11-02 13:50:03.075	2	2	6809611	4
20211102--853633536747773712	0	19667	2021-11-02 19:10:24.409	2	2	1017157	3
20211102-4017280274500776628	0	20423	2021-11-02 01:00:40.708	89	3	521040	3
20211102-2545378098205478587	1	15257	2021-11-02 16:40:40.607	1	1	3643698	4
20211102--1413156385918451505	-1	18140	2021-11-02 08:00:50.168	5	5	5174543	4
20211102-9147222128298509697	1	20978	2021-11-02 06:41:26.756	24	3	3273160	3
20211102-5746614452826654574	0	941	2021-11-02 02:47:49.990	2	2	9192996	3
20211102-5668717603762494806	0	34995	2021-11-02 19:01:21.995	4	4	1986206	4
20211102-8274217820021501285	1	10949	2021-11-02 20:24:47.188	2	2	5911969	4
20211102--1017537587245715901	-1	23657	2021-11-02 07:05:17.346	4	4	8966494	4
20211102-7907772129493323076	-1	38289	2021-11-02 03:49:48.562	29	3	6852744	4
20211102-9086821333552240042	1	14359	2021-11-02 05:13:53.022	2	2	3108962	4
20211102-4830357846813573401	-1	19569	2021-11-02 12:40:36.680	2	2	8731947	1
20211102--7670815690184165478	1	34083	2021-11-02 21:29:53.606	1	1	7898370	4
20211102--6134902494429322362	-1	14660	2021-11-02 05:45:11.813	5	5	6504570	4
20211102-8520876554953838088	1	29433	2021-11-02 03:51:47.020	63	3	7052361	3
20211102-890327267573467891	-1	11622	2021-11-02 00:04:29.408	5	5	2505416	2
20211102-7231479210818384108	-1	2755	2021-11-02 21:15:21.871	67	3	2126543	4
20211102--6402200911406206562	1	35096	2021-11-02 22:47:12.986	2	2	9374742	3
20211102--9031167451325260960	-1	4748	2021-11-02 09:45:02.808	4	4	2982572	3
20211102-2031258419194322908	1	22787	2021-11-02 08:13:37.745	1	1	5369684	3
20211102-4604069606018914642	-1	9883	2021-11-02 09:38:45.451	5	5	1664577	3
20211102--2468940046890251540	1	18757	2021-11-02 05:01:11.513	1	1	4735384	2
20211102-8287437433872439124	-1	16993	2021-11-02 23:28:10.117	2	2	2961594	1
20211102-9143712481335081720	1	36395	2021-11-02 00:11:56.214	4	4	7508042	4
20211102--5682466035405603556	-1	37508	2021-11-02 16:42:56.880	1	1	1606731	4
20211102--6220227688145141617	0	36505	2021-11-02 07:18:43.805	87	3	1187412	2
20211102--7343219156513093451	1	3023	2021-11-02 15:48:16.968	2	2	8537782	4
20211102-974339716852560024	0	3338	2021-11-02 04:20:13.097	1	1	5061494	4
20211102-9195953970677098682	-1	27516	2021-11-02 23:04:35.894	5	5	7836261	3
20211102--8524035558797674371	0	25017	2021-11-02 04:33:50.815	1	1	3587035	1
20211102-7021349933620891121	1	22666	2021-11-02 07:09:20.958	1	1	1648111	3
20211102-150819589566206882	1	38462	2021-11-02 11:30:50.931	5	5	8380549	4
20211102--7976068770731078589	0	37571	2021-11-02 16:30:34.419	2	2	1081031	3
20211102-6268498524610512086	-1	18675	2021-11-02 11:45:23.077	2	2	9519600	3
20211102--3555433507716820623	-1	24705	2021-11-02 16:17:07.704	5	5	1392983	3
20211102--9035781043046299969	0	30021	2021-11-02 18:05:08.586	2	2	5039089	4
20211102--8014041130475842066	-1	16224	2021-11-02 15:44:16.594	2	2	3997663	4
20211102-3891319969520837514	1	25147	2021-11-02 03:55:11.108	5	5	3419536	4
20211102--6840994983707734574	1	5486	2021-11-02 21:50:01.381	4	4	825060	2
20211102--2297747241251013551	-1	32717	2021-11-02 11:35:09.293	2	2	5925401	1
20211102-6163663990204712792	-1	4832	2021-11-02 05:24:35.251	81	3	1320069	2
20211102--3855267370879484554	-1	20479	2021-11-02 18:41:37.349	1	1	7881987	1
20211102--3645887043774938100	1	30759	2021-11-02 14:04:15.233	5	5	9878074	2
20211102-7338228268605933551	0	22923	2021-11-02 02:45:44.051	2	2	7643456	4
20211102--2199991370969885249	0	37259	2021-11-02 05:09:35.910	1	1	2095022	2
20211102-1543801909532589458	0	14250	2021-11-02 13:32:24.856	2	2	4449097	3
20211102--2722037983319304614	1	19846	2021-11-02 01:27:32.523	5	5	7779820	1
20211102-7658694048248192011	-1	11500	2021-11-02 08:58:16.811	1	1	5009046	4
20211102-1960049187746223457	-1	33681	2021-11-02 08:24:33.547	4	4	7399420	3
20211102-61561123305458517	1	33299	2021-11-02 08:36:01.092	1	1	4210334	2
20211102--4144729493048756771	-1	19776	2021-11-02 20:03:50.681	4	4	4914771	3
20211102-2055478217445006373	1	21655	2021-11-02 11:45:09.649	77	3	645868	4
20211102--5654506349714195235	0	17112	2021-11-02 10:12:17.630	1	1	2576483	4
20211102--9202104299030541260	1	32039	2021-11-02 07:20:58.368	5	5	9800026	2
20211102--7757464983734323025	-1	8836	2021-11-02 04:18:00.140	5	5	8137251	2
20211102--8991320031558534146	-1	34854	2021-11-02 10:09:02.167	19	3	7585507	1
20211102-2607781235223756838	1	10771	2021-11-02 03:30:11.032	4	4	2184019	2
20211102-4249396812117484689	1	34384	2021-11-02 02:26:33.983	2	2	5213119	3
20211102--8430451571611499850	0	8942	2021-11-02 16:24:48.766	1	1	9547097	4
20211102-8151322491533787831	0	8461	2021-11-02 01:26:23.855	40	3	5084372	2
20211102--4696189436864187518	-1	20187	2021-11-02 13:33:24.864	5	5	8603515	2
20211102--4075347662530909973	1	7410	2021-11-02 10:45:58.383	101	3	9041756	2
20211102-7445348767788700967	0	1974	2021-11-02 20:16:21.759	52	3	9334522	1
20211102--400784668915494151	1	17306	2021-11-02 19:49:55.823	18	3	7771808	1
20211102--3277654422462866765	1	24261	2021-11-02 21:57:14.818	2	2	397645	1
20211102--3729401517203908019	1	16853	2021-11-02 09:43:20.762	5	5	947871	4
20211102-1196803994048378702	1	34709	2021-11-02 08:40:09.603	54	3	4389092	3
20211102--2530559402252236293	0	33463	2021-11-02 04:00:22.564	100	3	720071	2
20211102-7192189399577668397	1	18155	2021-11-02 13:17:16.333	2	2	1368142	3
20211102--1453234118460261201	1	5593	2021-11-02 05:19:59.634	4	4	5590243	1
20211102-3017472989625746143	0	36156	2021-11-02 20:32:45.909	1	1	1953767	2
20211102--7927372309741247396	1	35231	2021-11-02 17:06:14.342	4	4	9317559	1
20211102-3474859400450517893	-1	4623	2021-11-02 19:35:34.622	5	5	4560872	2
20211102--6157654312752005317	-1	23665	2021-11-02 04:13:40.777	2	2	8240186	1
20211102-6270524641232124494	-1	6826	2021-11-02 08:44:04.659	5	5	2183833	1
20211102--5696328698549392484	1	23356	2021-11-02 10:01:24.473	4	4	7722747	1
20211102-661913576759548892	1	1368	2021-11-02 01:05:49.461	89	3	9537301	1
20211102-4910078594942369870	-1	11892	2021-11-02 22:09:48.542	5	5	5058775	4
20211102-70383709303594887	1	29060	2021-11-02 16:39:23.652	48	3	9778408	4
20211102--7676162720183964526	-1	37231	2021-11-02 22:06:48.790	93	3	9277019	2
20211102--8974182025284735534	-1	17870	2021-11-02 04:19:03.099	4	4	27737	4
20211102-5570062546415028152	0	33274	2021-11-02 21:15:39.001	35	3	6892359	1
20211102-8976590044710816417	1	9259	2021-11-02 13:32:32.958	2	2	486123	2
20211102--4263563462950335407	-1	3932	2021-11-02 12:21:42.933	5	5	3536955	1
20211102--2136255089130451554	1	6882	2021-11-02 02:41:41.185	2	2	3688348	1
20211102-7608044664458357961	-1	19875	2021-11-02 03:50:15.053	104	3	4613537	1
20211102--5508931127768560931	1	25799	2021-11-02 10:40:29.853	29	3	609078	3
20211102--4838645001274483017	0	25580	2021-11-02 10:34:40.535	4	4	2381196	3
20211102--8724887282102573642	1	25351	2021-11-02 08:46:35.366	1	1	2025331	1
20211102-2043258633669555384	1	18935	2021-11-02 23:13:51.450	5	5	277829	1
20211102-3660913295662276610	1	32632	2021-11-02 16:54:32.066	1	1	9019079	1
20211102-8170850403548447036	0	5275	2021-11-02 11:37:36.187	43	3	7909182	4
20211102-3396721032360017067	0	24761	2021-11-02 07:07:33.937	2	2	326874	1
20211102-1660735081495765368	1	21554	2021-11-02 00:38:01.131	4	4	2174985	3
20211102-2138214591864313261	-1	38979	2021-11-02 13:26:55.503	1	1	6428828	2
20211102--8340830340167798513	1	36358	2021-11-02 01:22:47.509	2	2	7690220	4
20211102--4469241548974874101	1	3583	2021-11-02 00:07:58.358	1	1	7595199	2
20211102--8707022786535554118	1	23499	2021-11-02 18:00:09.281	1	1	3607333	3
20211102--4297250503468487276	1	3252	2021-11-02 08:08:59.943	5	5	5982113	3
20211102-6087146257856293942	1	10026	2021-11-02 03:57:20.283	2	2	2377721	2
20211102--2557098111763334341	-1	7965	2021-11-02 12:18:16.386	4	4	2329122	2
20211102-8632806005287695316	1	36948	2021-11-02 19:39:35.798	5	5	1575539	4
20211102-5155435402601956050	1	9027	2021-11-02 08:43:58.620	2	2	4194776	2
20211102-5603255786728031342	-1	19792	2021-11-02 06:23:08.420	109	3	991645	3
