transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211103--9187587142633120082	0	12515	2021-11-03 07:58:01.776	2	2	1460633	4
20211103--736146722140583383	1	6997	2021-11-03 23:47:51.581	4	4	3088927	4
20211103--8862707616773995620	-1	10005	2021-11-03 07:55:00.356	5	5	949405	2
20211103--2866488708193227055	1	28661	2021-11-03 01:28:03.667	57	3	8293489	3
20211103-4403268035497918072	0	34647	2021-11-03 08:50:54.069	2	2	8507098	1
20211103-7334991684876186354	0	954	2021-11-03 04:35:25.074	4	4	1722793	2
20211103-1374044676404965959	1	15080	2021-11-03 23:07:04.310	57	3	7787871	1
20211103-1968830810310829018	1	5628	2021-11-03 00:20:22.479	4	4	1885374	2
20211103--8166326019294555475	-1	37294	2021-11-03 11:24:43.193	5	5	170103	1
20211103--8683346281612264752	1	4444	2021-11-03 09:59:08.927	97	3	8995201	4
20211103--9132914659432065505	-1	36966	2021-11-03 13:40:06.834	1	1	6680033	4
20211103--8731908227290742094	-1	5664	2021-11-03 13:31:39.774	34	3	3099213	2
20211103--825387883365189783	-1	12884	2021-11-03 05:37:24.393	4	4	1089151	1
20211103-456088421098536515	-1	27367	2021-11-03 17:30:02.188	4	4	7771246	1
20211103-147786377924104599	0	38585	2021-11-03 21:13:06.157	2	2	7790024	1
20211103--21499586907084365	0	35975	2021-11-03 09:31:33.973	4	4	8266454	1
20211103-6562532964080288580	0	28186	2021-11-03 07:06:42.085	1	1	8823604	1
20211103-2349218980878483455	0	23348	2021-11-03 15:00:54.107	38	3	3821004	2
20211103--2379836603074151740	1	655	2021-11-03 03:27:52.531	1	1	5554240	4
20211103-1012727704143505202	1	1869	2021-11-03 20:39:19.561	1	1	7234378	4
20211103-5832448838064754493	1	38777	2021-11-03 22:20:15.303	1	1	2161010	4
20211103-2387078080214135238	1	31508	2021-11-03 23:03:14.936	4	4	7470857	3
20211103--695705406157253858	1	35816	2021-11-03 21:08:30.695	5	5	9803932	2
20211103-7974628240165059002	1	11212	2021-11-03 01:51:59.383	2	2	2032380	1
20211103-5140398846463977953	-1	39522	2021-11-03 19:11:28.997	1	1	2183318	1
20211103--3943057361741934570	-1	15098	2021-11-03 23:53:25.397	4	4	4500746	2
20211103--8961014477290487108	0	3580	2021-11-03 03:41:17.082	18	3	270195	2
20211103-8613514255966515867	0	22519	2021-11-03 00:01:32.002	5	5	6180450	2
20211103-6076835939637324364	0	27056	2021-11-03 14:28:24.685	4	4	5237122	4
20211103--3330760605551800256	1	11911	2021-11-03 16:49:19.294	2	2	3337517	4
20211103-6821310081196835454	0	19388	2021-11-03 19:56:45.675	5	5	11873	3
20211103-5492090930832769257	0	22058	2021-11-03 00:54:16.690	5	5	9490092	2
20211103-838362011109513237	-1	24650	2021-11-03 13:28:12.638	5	5	5474391	2
20211103-8834858907765954698	0	36842	2021-11-03 13:32:36.354	4	4	9080746	1
20211103--9035321111584263268	-1	4349	2021-11-03 03:51:49.937	96	3	992777	1
20211103--1087991017112818479	1	10733	2021-11-03 05:08:31.451	92	3	6974198	1
20211103-2952438032578304350	0	17373	2021-11-03 11:18:31.118	1	1	1362738	2
20211103-8782409629249485139	1	37866	2021-11-03 00:21:06.784	2	2	7411597	2
20211103--5942885499565594928	-1	26241	2021-11-03 03:45:41.993	2	2	6490475	3
20211103--8012294736769448244	-1	33545	2021-11-03 15:35:17.766	1	1	7029403	1
20211103--6969406130340569101	1	23462	2021-11-03 15:00:41.186	5	5	3989143	2
20211103-7097485130422990417	0	37956	2021-11-03 17:45:10.471	4	4	2551245	2
20211103--3228401299735264806	0	3962	2021-11-03 22:20:09.134	104	3	1979341	1
20211103-1421938266758442058	-1	8434	2021-11-03 15:27:26.388	73	3	4686701	1
20211103-1140034151346909291	1	29396	2021-11-03 14:26:48.348	5	5	720438	1
20211103--2661177155876259514	1	26224	2021-11-03 01:10:51.298	82	3	9123595	1
20211103-1899903846182207021	0	26055	2021-11-03 07:17:19.804	2	2	4495976	4
20211103-8475211520171425475	-1	21155	2021-11-03 16:15:00.749	4	4	6079674	2
20211103-3903951776243153278	0	17003	2021-11-03 00:27:45.209	5	5	4832534	4
20211103-7343496127912060811	-1	15526	2021-11-03 20:52:06.346	5	5	693354	2
20211103--7581817006948104661	1	29725	2021-11-03 05:36:13.512	4	4	6045833	1
20211103-8980405312783318521	0	28943	2021-11-03 12:55:20.369	5	5	2566405	2
20211103-249825196992739995	0	36112	2021-11-03 18:32:35.156	2	2	9008738	2
20211103--2734009195302873619	1	37828	2021-11-03 19:55:07.098	2	2	4750004	3
20211103--8353167541489806881	-1	37244	2021-11-03 00:38:09.734	1	1	8409568	3
20211103--4918031398772057658	0	36095	2021-11-03 00:26:25.258	5	5	6663420	1
20211103-312517577799001228	1	16462	2021-11-03 16:20:52.931	1	1	3559424	3
20211103-4886762176216203421	-1	408	2021-11-03 12:10:16.019	4	4	3558510	1
20211103-8880839731625439726	-1	26146	2021-11-03 05:55:20.502	4	4	6164773	3
20211103-7843352996772869538	1	5008	2021-11-03 17:57:42.516	5	5	3839526	1
20211103--1073873418710420692	-1	35468	2021-11-03 01:21:30.723	24	3	887172	2
20211103-7400279384495721091	-1	19195	2021-11-03 15:04:20.415	14	3	1945351	3
20211103-7998483994599737076	-1	12956	2021-11-03 21:02:19.937	2	2	4967611	1
20211103--333501703914130352	1	22831	2021-11-03 04:14:44.302	4	4	3057566	3
20211103-5258447841820434389	-1	6164	2021-11-03 21:54:36.501	5	5	4860523	4
20211103--203834333519161210	-1	36724	2021-11-03 14:34:28.429	4	4	3319514	2
20211103--4009733592465522669	0	2087	2021-11-03 04:04:38.323	4	4	1353651	4
20211103-7639773176396771878	-1	38499	2021-11-03 12:57:16.298	1	1	8423373	3
20211103--5354387600185369415	1	643	2021-11-03 14:23:30.998	65	3	1751911	3
20211103-5457669453376367945	-1	13237	2021-11-03 17:17:06.934	83	3	4672461	3
20211103--8474621510093248494	1	1433	2021-11-03 09:44:18.826	49	3	5923958	1
20211103-3616217036637091286	-1	12786	2021-11-03 18:47:51.764	5	5	2655707	1
20211103--1225885153134227249	0	17470	2021-11-03 05:41:53.532	4	4	3547727	4
20211103-8794656821721405595	0	30009	2021-11-03 20:03:57.273	2	2	6960197	2
20211103--3432603138470694758	1	24650	2021-11-03 13:16:32.336	37	3	7881309	2
20211103-6530518458718905511	0	35418	2021-11-03 00:50:54.806	36	3	2267569	2
20211103-692146239571382064	0	12028	2021-11-03 12:53:17.687	1	1	2804182	4
20211103--3864972723187700067	-1	11748	2021-11-03 04:23:55.387	4	4	2905336	3
20211103-6204852849393019638	-1	35990	2021-11-03 03:24:32.637	1	1	6533059	3
20211103-6926619200139579180	-1	33441	2021-11-03 14:30:33.183	1	1	9470589	1
20211103-6952509676089733824	0	5904	2021-11-03 05:08:01.846	1	1	3060339	4
20211103--2676702759311216431	0	38303	2021-11-03 23:08:55.664	5	5	6388825	1
20211103-7832856493801789451	0	13326	2021-11-03 16:08:33.257	2	2	5708864	4
20211103-2578300933628697676	1	20057	2021-11-03 11:42:15.464	4	4	7576180	2
20211103-8110033928477907134	-1	11591	2021-11-03 18:26:56.767	54	3	635568	1
20211103--7973815854022032423	-1	38902	2021-11-03 04:57:19.792	108	3	8483835	2
20211103-9023343986081360200	1	22791	2021-11-03 01:21:03.485	5	5	5393676	1
