transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211104-4571067340834949776	1	30896	2021-11-04 07:35:41.781	5	5	2088481	3
20211104-8217988277266870986	1	24493	2021-11-04 04:13:36.360	2	2	9139224	3
20211104-3310387176570177234	-1	1403	2021-11-04 18:50:02.674	5	5	9087632	1
20211104-8008535608256671219	-1	33761	2021-11-04 13:46:16.465	2	2	93740	4
20211104-5884230131943516631	1	16768	2021-11-04 20:46:35.497	4	4	7181511	4
20211104--6501311603312340418	0	2178	2021-11-04 09:57:13.005	75	3	1099673	1
20211104-3318815512792636041	0	35869	2021-11-04 21:35:26.245	1	1	7763612	2
20211104--7211816746251953085	0	25377	2021-11-04 14:28:04.883	4	4	8120319	4
20211104-4464763884937277030	0	1937	2021-11-04 19:14:29.178	4	4	8946547	1
20211104-2995744233294059679	0	13680	2021-11-04 22:48:49.532	5	5	7812465	3
20211104-3155689565220578019	-1	14706	2021-11-04 01:18:05.336	58	3	1399449	2
20211104-6485516378113818159	1	20880	2021-11-04 18:50:41.226	4	4	1730368	1
20211104--2834271252313923610	0	36367	2021-11-04 04:44:43.511	2	2	2472003	3
20211104-1126145635175018116	0	662	2021-11-04 23:20:17.637	1	1	742316	3
20211104-6678349849500165811	1	26867	2021-11-04 20:24:51.567	21	3	4050794	3
20211104-6645848279992528725	-1	17226	2021-11-04 21:16:18.331	4	4	532147	4
20211104-6156658932650036995	0	36143	2021-11-04 06:57:42.108	2	2	790981	1
20211104-5641602697455147743	1	38331	2021-11-04 15:25:35.788	2	2	9432052	3
20211104--3824984916836764838	-1	28290	2021-11-04 15:34:05.423	5	5	5751915	3
20211104-3085685849551695656	0	20188	2021-11-04 12:46:52.446	5	5	11838	3
20211104-6140100857683915411	-1	31157	2021-11-04 06:51:47.022	5	5	7560026	4
20211104-683319861175848710	0	18451	2021-11-04 15:44:48.154	5	5	7734729	4
20211104--3457267684319642792	-1	12583	2021-11-04 18:33:07.092	54	3	8867389	3
20211104-6602760312459390375	-1	36431	2021-11-04 10:19:57.093	1	1	2759105	3
20211104--6871540554503398302	-1	13508	2021-11-04 11:28:47.784	5	5	4263930	1
20211104-7131985146408134931	-1	28657	2021-11-04 20:38:30.694	1	1	6873774	2
20211104--8421758803238222257	0	10188	2021-11-04 23:18:51.751	1	1	5995531	4
20211104-5944581678661103444	-1	3907	2021-11-04 18:25:52.319	5	5	2948638	1
20211104--6816183590193557844	-1	17259	2021-11-04 12:58:09.306	5	5	7522180	1
20211104--3841010535226698193	1	19137	2021-11-04 11:09:45.510	4	4	4363834	3
20211104-8208378979249174562	0	34630	2021-11-04 12:53:22.678	76	3	4908922	1
20211104-6067780263432981163	-1	24250	2021-11-04 10:34:31.333	2	2	4587447	3
20211104--1369515016798460604	1	33373	2021-11-04 19:35:33.932	22	3	7738591	2
20211104-1145191311408228930	1	10585	2021-11-04 17:23:00.088	99	3	7955159	4
20211104-861715134413062083	0	31322	2021-11-04 16:00:44.403	5	5	130852	2
20211104-8196622909107281507	0	10856	2021-11-04 05:49:57.896	1	1	5138976	3
20211104--7448091797295185978	-1	31314	2021-11-04 00:03:52.283	1	1	9635965	1
20211104-2496911761125638409	0	34266	2021-11-04 23:44:04.141	5	5	8445752	2
20211104-1304893075189414885	0	1984	2021-11-04 00:12:54.843	1	1	6724499	2
20211104-5355541488259548336	-1	39523	2021-11-04 01:59:55.587	4	4	3493735	4
20211104-4530173065581807545	0	25528	2021-11-04 07:42:22.927	67	3	9390258	2
20211104-6557910606904686797	1	12795	2021-11-04 12:05:13.292	5	5	5107141	2
20211104--7591239478113498411	0	12015	2021-11-04 05:38:20.761	1	1	8121250	2
