transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211105-2826241092060087135	-1	23654	2021-11-05 00:33:32.591	77	3	7472608	1
20211105--4474983811703189795	-1	15451	2021-11-05 17:24:54.425	5	5	6229860	3
20211105-56135930382102825	0	26155	2021-11-05 04:01:04.923	2	2	4995053	1
20211105--7004704021925842877	-1	9278	2021-11-05 22:32:10.841	5	5	546100	3
20211105--1312431476649141813	-1	34840	2021-11-05 02:17:20.509	2	2	7733819	4
20211105--8022875359864811074	0	17173	2021-11-05 22:30:49.563	1	1	5069552	4
20211105--3881687998838448108	0	23705	2021-11-05 20:14:06.737	2	2	5957686	1
20211105-8114673405314539665	-1	9204	2021-11-05 04:15:15.897	32	3	1950197	4
20211105-7556510899593646724	0	35124	2021-11-05 15:53:55.054	1	1	39660	3
20211105-8140510583715322582	1	8562	2021-11-05 16:53:28.748	5	5	8709973	2
20211105-5657837279197730583	1	22580	2021-11-05 06:47:11.311	1	1	1860312	3
20211105--1463756516415606180	0	28211	2021-11-05 01:48:07.389	5	5	9542012	1
20211105--8090179254746879860	0	15964	2021-11-05 20:28:37.128	1	1	4920531	4
20211105-802995686951154918	-1	9621	2021-11-05 13:54:31.937	4	4	8700379	2
20211105--6905617914171422318	1	22781	2021-11-05 10:14:18.841	5	5	6527582	2
20211105-2335676127952313007	0	19983	2021-11-05 11:41:18.307	5	5	4031443	1
20211105-8627243306555185728	1	3999	2021-11-05 19:51:37.947	2	2	93111	3
20211105--6290173899154757136	0	11381	2021-11-05 18:35:45.590	4	4	397599	3
20211105-5276304425132385031	0	11144	2021-11-05 16:34:49.739	12	3	1964550	1
20211105--4874462923749043831	0	31652	2021-11-05 03:04:52.315	2	2	1460244	4
20211105-8795971662694613434	1	11992	2021-11-05 09:51:52.278	107	3	2780589	2
20211105-2967139781611498182	1	28874	2021-11-05 22:01:10.075	92	3	4274370	4
20211105-1836536381440620023	-1	38450	2021-11-05 23:07:24.559	61	3	1335048	4
20211105--6386559134299621868	0	1545	2021-11-05 13:11:49.394	4	4	5869207	4
20211105--2218173547640643320	0	15989	2021-11-05 01:51:18.431	77	3	1790922	4
20211105--1579947302800865267	1	26030	2021-11-05 04:40:43.998	2	2	4968316	3
20211105--3126897290999192876	0	19175	2021-11-05 07:44:54.651	1	1	6462878	3
20211105-6080714743272170405	1	16779	2021-11-05 19:23:31.680	1	1	2256527	4
20211105-7229318052145604900	1	30413	2021-11-05 06:09:54.085	58	3	5327533	2
20211105-4462485006442333332	1	16691	2021-11-05 17:18:38.333	1	1	8454582	1
20211105-7775438909685089877	-1	39613	2021-11-05 09:19:43.604	34	3	8119606	1
20211105-8472983344699323754	1	36361	2021-11-05 22:36:45.923	2	2	6501424	3
20211105-1461903997024769437	1	37740	2021-11-05 18:24:12.339	5	5	6675857	3
20211105-7608300636113755235	0	6872	2021-11-05 10:40:17.619	2	2	3829068	4
20211105-2281236659077188660	-1	36276	2021-11-05 06:22:44.061	5	5	7496734	3
20211105-6036985630448910788	0	36869	2021-11-05 23:46:45.949	5	5	5260856	4
20211105-6267055095078477692	0	13343	2021-11-05 17:39:20.994	4	4	6501149	3
20211105-6203471635437122914	1	35762	2021-11-05 21:40:34.879	4	4	5051812	3
20211105-3870188650260164949	1	35705	2021-11-05 05:04:02.990	4	4	4314861	3
20211105--5589517722936221888	1	5122	2021-11-05 02:57:15.580	2	2	6458119	3
20211105-2275520956451535547	-1	32139	2021-11-05 07:54:34.798	2	2	1786608	1
20211105-654801124432105876	-1	1611	2021-11-05 18:05:09.580	4	4	4337375	4
20211105-8587690457040027253	-1	12924	2021-11-05 01:13:50.925	4	4	2823080	1
20211105-46378054138386429	0	21740	2021-11-05 22:15:47.397	1	1	6181951	3
20211105-6883528084500966603	0	13519	2021-11-05 20:31:22.144	60	3	353405	1
20211105--6171675351319535514	1	333	2021-11-05 19:33:17.249	4	4	2171880	1
20211105-4406977730264581785	-1	25945	2021-11-05 10:24:04.536	5	5	1417246	4
20211105-4352321989991318273	-1	18342	2021-11-05 09:07:33.874	2	2	8122778	1
20211105-7062453135166989583	-1	16171	2021-11-05 14:45:03.801	45	3	8877208	1
20211105--2232840603679077943	-1	10096	2021-11-05 00:06:48.843	1	1	23058	3
20211105-7610780360071797944	0	24723	2021-11-05 09:15:17.888	5	5	9286677	3
20211105-260014176781962589	0	35898	2021-11-05 17:23:47.606	20	3	4086567	4
20211105--5575703557354601877	-1	5523	2021-11-05 22:25:11.338	4	4	6074494	1
20211105-7941909929975151585	0	918	2021-11-05 21:27:13.364	2	2	3479965	4
20211105-9130920399153302857	-1	24479	2021-11-05 18:50:40.778	1	1	8419996	3
20211105-7588913770520299955	0	12312	2021-11-05 23:23:26.688	1	1	7841175	2
20211105--7208315290339823725	1	37378	2021-11-05 23:44:31.065	4	4	2492914	4
20211105--2073688769406334	-1	7624	2021-11-05 08:14:43.778	2	2	3476307	4
20211105-8689619468392791810	0	1050	2021-11-05 18:21:46.776	1	1	6099773	2
20211105-8444141165110128382	1	10375	2021-11-05 04:21:52.000	45	3	3250871	3
20211105-142426838255470171	1	18224	2021-11-05 09:33:15.638	4	4	1896554	3
20211105--5979188216387760179	0	10023	2021-11-05 00:04:22.044	2	2	6036812	2
20211105--6628263443861878593	0	16079	2021-11-05 05:06:26.193	2	2	8643304	2
20211105-8450193263115647217	-1	24215	2021-11-05 18:06:04.711	25	3	7300279	2
20211105--7978524609533210144	1	28639	2021-11-05 14:06:44.722	2	2	96536	4
20211105-8794598961495292813	1	30779	2021-11-05 01:53:35.706	2	2	6023246	1
20211105--8345698505089316215	-1	21813	2021-11-05 11:03:34.178	4	4	8061398	4
20211105-6997860810280710491	0	31932	2021-11-05 19:26:13.118	2	2	8673747	1
20211105-6050258544616319119	-1	7901	2021-11-05 06:59:13.958	17	3	5781398	3
20211105--594709669891433331	0	16126	2021-11-05 22:26:53.868	2	2	1454560	4
20211105--3092868024589545227	1	14956	2021-11-05 13:18:21.712	5	5	4105654	3
20211105--5815366214413121257	-1	4724	2021-11-05 06:48:01.996	5	5	3954824	2
20211105--7479861492065010	-1	16034	2021-11-05 15:22:39.482	4	4	232452	1
20211105-9194908745294621453	-1	26675	2021-11-05 12:02:27.069	1	1	2488797	1
20211105--6803492795693378062	1	37832	2021-11-05 17:22:00.349	4	4	2029276	2
20211105--3118998522141800452	-1	9301	2021-11-05 10:31:08.049	5	5	9051805	2
20211105--437466820444217518	-1	18615	2021-11-05 02:57:01.429	2	2	7429331	4
20211105-8357955305070626047	-1	37537	2021-11-05 17:47:16.987	5	5	3966326	1
20211105-3567194207496620250	1	20288	2021-11-05 13:24:55.476	1	1	3075438	4
20211105--2982718370931603541	1	19458	2021-11-05 14:06:47.992	4	4	5859724	1
20211105-121224474578295905	0	12810	2021-11-05 07:47:55.677	2	2	9263359	2
