transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211106--7771356081112505521	0	526	2021-11-06 06:26:28.856	1	1	8810070	3
20211106-3365816066632810906	1	26041	2021-11-06 11:38:32.474	65	3	99917	4
20211106--5724425898054240171	0	24320	2021-11-06 17:10:46.399	1	1	9460835	3
20211106--7750713248694804528	-1	11427	2021-11-06 23:42:21.478	16	3	1738480	4
20211106--687340540135713426	1	32142	2021-11-06 17:08:04.444	43	3	9192050	1
20211106-1999458314996561570	-1	18818	2021-11-06 21:28:06.458	2	2	7699773	1
20211106-4768041891856513311	-1	2661	2021-11-06 21:30:42.523	5	5	4559713	2
20211106-7900782164156871094	0	18041	2021-11-06 11:04:57.701	5	5	9229847	3
20211106-3209067167921884675	1	7640	2021-11-06 04:55:44.888	5	5	5029521	2
20211106--4364805502789908688	-1	21912	2021-11-06 23:18:24.231	4	4	7083900	3
20211106-2150046349525210478	-1	18444	2021-11-06 13:15:05.619	2	2	2055183	4
20211106--3966805241556416237	1	5163	2021-11-06 12:52:39.780	22	3	8828449	1
20211106-3878272708649310591	-1	17095	2021-11-06 08:27:31.886	1	1	4065527	4
20211106--8238001522705459690	1	33118	2021-11-06 22:16:26.050	4	4	8512102	4
20211106--3988622808357624674	1	38005	2021-11-06 12:10:27.954	1	1	4958580	4
20211106--1879297936167033293	-1	33276	2021-11-06 10:36:25.459	32	3	729914	4
20211106--666272791340114423	1	36498	2021-11-06 10:28:28.615	2	2	8326173	2
20211106-7484966895910480848	1	1757	2021-11-06 19:44:50.454	4	4	8254358	2
20211106-7551314177347376622	1	11018	2021-11-06 22:05:04.915	2	2	8570238	1
20211106-8966007516344482477	1	17970	2021-11-06 14:42:06.706	24	3	640857	3
20211106-2589486374588567597	-1	32548	2021-11-06 02:16:49.691	4	4	8940930	3
20211106--8451985446831572569	1	19388	2021-11-06 19:45:44.882	5	5	5757431	3
20211106--5118257353920398659	1	25732	2021-11-06 23:50:38.572	5	5	7589349	4
20211106--6071087736607085846	1	12344	2021-11-06 13:29:26.302	2	2	1527859	1
20211106--1263374126202350161	1	39233	2021-11-06 13:58:26.637	4	4	1213583	2
20211106--1612711664083971428	-1	11535	2021-11-06 03:42:56.673	1	1	779847	3
20211106-2805970358539418987	-1	2904	2021-11-06 23:40:28.014	4	4	7666366	4
20211106--6910974191202705604	1	13851	2021-11-06 17:08:11.025	1	1	9110978	1
20211106-412952347424688915	-1	6854	2021-11-06 14:40:43.356	4	4	233271	3
20211106-3032675576326397834	1	29460	2021-11-06 08:37:19.027	5	5	3252962	4
20211106-240758491998397323	-1	11864	2021-11-06 06:47:58.358	4	4	8238290	2
20211106--4993749452026272052	0	27239	2021-11-06 11:30:42.747	71	3	7084794	4
20211106--7763570869317238231	-1	33565	2021-11-06 05:42:47.327	2	2	1919105	1
20211106-7655642734085606609	-1	35659	2021-11-06 01:20:15.517	1	1	6192265	3
20211106--4651597174613851521	-1	24440	2021-11-06 18:47:18.774	5	5	6153346	2
20211106-3997316581333948353	-1	19998	2021-11-06 15:23:34.423	1	1	6672784	3
20211106--7016096073626538403	1	1332	2021-11-06 21:56:02.995	1	1	3353714	3
20211106--6516348592701651240	1	28567	2021-11-06 20:31:47.361	106	3	1704207	4
20211106--632016096770986608	-1	10640	2021-11-06 15:52:29.425	2	2	3731506	1
20211106-2337347348137786293	0	21802	2021-11-06 19:09:08.078	2	2	5112792	2
20211106--6713717294129247695	1	36509	2021-11-06 07:52:31.792	27	3	8788086	2
20211106-4572781413044580817	0	32349	2021-11-06 16:00:52.685	4	4	186833	1
20211106-6118785925356180545	0	13349	2021-11-06 03:04:17.189	1	1	5690843	4
20211106-3856161395874405269	-1	3320	2021-11-06 18:35:40.868	2	2	1045714	1
20211106--5323997702364842507	1	22363	2021-11-06 00:40:13.164	5	5	5633912	4
20211106--4958150792604621040	1	35709	2021-11-06 04:48:23.936	2	2	4649303	3
20211106-2730858438893521692	1	2621	2021-11-06 21:28:24.832	101	3	9211416	4
20211106-1850922937790822645	-1	22172	2021-11-06 08:02:31.335	2	2	5674671	2
20211106-2009499961665995026	0	21124	2021-11-06 00:15:19.759	5	5	7672356	2
20211106-2669519789249203762	0	38731	2021-11-06 03:30:43.421	1	1	4133073	1
20211106-3200882139043081335	-1	18037	2021-11-06 15:18:57.859	1	1	4735122	4
20211106--5691454958794035004	-1	34727	2021-11-06 23:58:05.572	1	1	5141922	3
20211106--4648860547247512957	0	20580	2021-11-06 19:31:27.083	5	5	3265434	2
20211106--5672510462510938837	1	33775	2021-11-06 21:36:17.768	5	5	5819641	2
20211106-8692662495493630627	0	30084	2021-11-06 23:23:41.816	51	3	8279464	3
20211106--6194014702752144355	-1	29162	2021-11-06 10:21:23.241	5	5	3587052	2
20211106--5126335527376563142	-1	21465	2021-11-06 01:17:24.427	1	1	3141238	1
20211106-9093641157607149237	1	21175	2021-11-06 15:29:43.012	5	5	9302225	2
20211106-2940961304343783945	-1	29114	2021-11-06 18:46:49.764	2	2	463531	4
20211106-1256674997713854825	1	949	2021-11-06 10:40:10.711	74	3	9288983	3
20211106-4408862004576342364	0	12555	2021-11-06 10:58:08.116	1	1	5072985	2
20211106--2056898128851693270	1	23807	2021-11-06 03:19:24.158	4	4	9307028	2
20211106-130480220332345691	1	21595	2021-11-06 09:18:08.310	63	3	5687266	2
20211106--3218080653940081720	0	12111	2021-11-06 02:42:57.907	2	2	1952252	3
20211106-6425351979662371054	0	913	2021-11-06 02:39:54.802	4	4	4062664	2
20211106--387613419241859405	-1	10580	2021-11-06 04:13:37.281	61	3	8681425	2
20211106--5783289622357703990	1	25563	2021-11-06 16:35:32.666	1	1	867669	3
20211106--34002026344727983	0	22762	2021-11-06 04:30:51.262	2	2	9317278	2
20211106--3810779948955235554	1	26950	2021-11-06 20:57:45.555	2	2	8557804	3
20211106--2691784257761633455	-1	35297	2021-11-06 03:18:05.081	1	1	8265482	2
20211106--5043511121994974238	-1	29259	2021-11-06 19:44:55.633	5	5	2431189	4
20211106-6129563510372902308	1	25427	2021-11-06 15:05:54.624	2	2	1906143	1
20211106--4604363150608943054	-1	34815	2021-11-06 02:43:39.067	4	4	9553117	1
20211106-3501684802904953228	0	36357	2021-11-06 09:46:45.319	5	5	6275394	3
20211106--3150646177337525057	0	37754	2021-11-06 04:02:16.908	23	3	1155134	4
20211106-4573407923468868491	-1	18072	2021-11-06 05:33:10.489	1	1	826986	4
20211106--8603196557312746342	1	5435	2021-11-06 19:09:00.625	1	1	4000731	3
20211106-8295797249249544214	0	32563	2021-11-06 14:00:47.402	4	4	5009901	4
20211106--707602158331888529	0	27481	2021-11-06 04:42:24.165	2	2	2475286	3
20211106--3787281127237694757	0	6299	2021-11-06 12:56:47.358	5	5	1025366	3
20211106--6986467438337581256	1	2222	2021-11-06 18:40:41.892	5	5	38895	4
20211106-4301209994479744506	0	13243	2021-11-06 15:51:05.215	4	4	7113500	1
20211106-5036993316328347747	1	19409	2021-11-06 10:54:07.786	4	4	6923321	1
20211106--5665319292576072478	-1	34793	2021-11-06 09:02:19.976	4	4	1189160	1
20211106-9022011766883714581	-1	29376	2021-11-06 18:17:23.174	58	3	5836582	2
20211106--1315296369892182638	0	38223	2021-11-06 16:18:44.649	4	4	9938599	3
20211106-3793416046465240279	-1	8024	2021-11-06 12:10:35.039	2	2	3465974	4
20211106-5014459201904539742	-1	37333	2021-11-06 04:27:21.219	1	1	6203442	1
20211106--4856097278322144219	1	37074	2021-11-06 02:00:19.658	2	2	2435392	1
20211106--6148908258775918259	-1	26468	2021-11-06 12:31:38.602	31	3	5611891	4
20211106-2615204064237431634	1	3788	2021-11-06 14:10:24.173	2	2	4375667	3
20211106-367299180419715578	0	31100	2021-11-06 01:59:59.665	2	2	1043804	3
20211106-2384898601916148195	1	20965	2021-11-06 02:05:35.325	2	2	1076887	1
20211106--8801305651816473311	1	19959	2021-11-06 02:11:03.409	4	4	2370497	3
20211106--7146563360064971158	1	20301	2021-11-06 18:37:54.797	4	4	5775842	1
20211106--5112171397046949299	1	10948	2021-11-06 20:07:10.339	59	3	9099243	4
20211106--3104697235164209539	0	31728	2021-11-06 19:13:48.075	2	2	8154004	4
20211106-794700956865095250	0	1883	2021-11-06 19:21:03.954	4	4	7384535	4
20211106--4615550168227446727	1	22290	2021-11-06 06:36:20.397	1	1	3832435	4
20211106--1094131520427784252	0	37201	2021-11-06 21:52:56.506	2	2	545842	4
20211106--1877694646638093429	0	35713	2021-11-06 19:07:18.329	58	3	19418	3
20211106--5025640767094135999	1	20056	2021-11-06 06:48:31.939	5	5	1393867	3
20211106--8686372183532819201	0	28262	2021-11-06 19:39:57.388	5	5	6504414	3
20211106--6647008165132761953	0	34268	2021-11-06 00:49:52.591	5	5	6950102	2
20211106--8861755959689532398	0	13035	2021-11-06 15:16:18.322	83	3	3509190	4
20211106--3778167233231157458	-1	27209	2021-11-06 06:07:29.640	1	1	261530	2
20211106--3109707457916616016	0	28463	2021-11-06 03:35:28.393	4	4	2477546	3
20211106-2413301031270281502	0	17626	2021-11-06 13:36:40.033	4	4	1048617	2
20211106--7696858836103330592	-1	6096	2021-11-06 21:36:11.147	2	2	6183897	2
20211106--8504143043686394726	0	32507	2021-11-06 03:43:26.447	1	1	3597586	2
20211106-670441600380173374	1	21360	2021-11-06 00:28:15.872	2	2	9525144	4
20211106--7123007400342088647	0	24830	2021-11-06 03:36:55.759	2	2	504232	2
20211106--2359653830558837885	1	33962	2021-11-06 00:29:50.558	1	1	6261329	4
20211106-1014207690559474438	0	13790	2021-11-06 01:34:12.067	4	4	5862041	3
20211106-3384156505482003005	1	36416	2021-11-06 12:21:38.773	4	4	4345795	2
20211106--8502201907339480200	0	38737	2021-11-06 04:06:42.755	4	4	9775158	4
20211106--6581335612566782097	1	5296	2021-11-06 20:08:34.059	1	1	8358464	4
20211106-4478034646684315707	0	5545	2021-11-06 14:35:13.890	4	4	3773295	1
20211106-659599146584263499	0	32782	2021-11-06 17:37:28.299	2	2	6484031	3
20211106--6363924069987321481	-1	9284	2021-11-06 14:08:32.577	44	3	4273725	4
20211106--4083918965772847044	1	39554	2021-11-06 15:20:56.118	4	4	3788998	4
20211106--7619364740637662299	1	17543	2021-11-06 19:32:50.303	2	2	9002592	4
20211106-9219933999264619953	1	34011	2021-11-06 14:41:39.325	4	4	2827975	1
20211106--3226891003429810555	1	23345	2021-11-06 08:23:39.543	5	5	7141255	4
20211106-2131065821769423818	0	279	2021-11-06 19:20:11.562	1	1	2248335	2
20211106--946524745977080664	1	23225	2021-11-06 14:20:29.008	85	3	298690	4
20211106--9102359436890534971	1	30221	2021-11-06 02:10:42.197	4	4	2593978	2
20211106-490380000178850726	1	55	2021-11-06 12:40:37.869	1	1	2845364	4
20211106-8175327440851647030	1	61	2021-11-06 17:28:54.969	4	4	4422087	3
20211106--8516590223322902781	-1	36410	2021-11-06 02:32:21.428	4	4	5888645	1
20211106--2952304353874594121	1	870	2021-11-06 09:01:52.792	1	1	7418245	2
20211106--6110850792155621601	0	38188	2021-11-06 17:07:24.410	2	2	1149929	1
20211106-6171646704623813786	-1	15507	2021-11-06 15:51:16.468	4	4	4070660	4
20211106--6168322386613991315	-1	38990	2021-11-06 08:04:12.960	4	4	1865527	3
20211106--7234845244081643061	0	22544	2021-11-06 06:23:39.382	77	3	2678222	4
20211106--2736623169793505176	1	4301	2021-11-06 06:16:35.559	4	4	9244776	2
20211106-7244600362996660624	1	26611	2021-11-06 10:43:51.956	2	2	8807766	1
20211106-1333877620758024786	1	17209	2021-11-06 04:53:28.901	92	3	7568251	4
20211106--4007249083710150046	1	28980	2021-11-06 04:25:53.953	2	2	3246962	3
20211106--3315213431427762785	1	8832	2021-11-06 21:37:07.819	4	4	5708102	4
20211106--8451296825098337237	-1	12619	2021-11-06 20:16:17.960	1	1	9146564	4
