transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211107-3707157053364849203	0	8358	2021-11-07 07:08:59.089	4	4	4914936	2
20211107-7727404241518284080	1	6142	2021-11-07 23:46:35.922	60	3	6540858	2
20211107-8516898412434101373	-1	29456	2021-11-07 03:55:08.871	1	1	6540093	4
20211107-1261099376757269218	1	19645	2021-11-07 03:39:25.649	5	5	1176305	1
20211107--9080724316611087459	-1	34037	2021-11-07 02:45:50.096	5	5	7935696	2
20211107--4993288951631300408	1	17786	2021-11-07 04:08:11.083	2	2	5518854	1
20211107-8050006567293785980	-1	37108	2021-11-07 06:01:39.303	1	1	9640106	4
20211107--7678293058923595285	0	20153	2021-11-07 17:20:58.042	4	4	3735035	3
20211107-2649210028251764004	1	13222	2021-11-07 16:57:38.882	17	3	8952065	4
20211107--8724541570434414720	1	24495	2021-11-07 12:10:23.857	4	4	6059178	2
20211107-4164226063836498636	1	20632	2021-11-07 02:42:19.530	30	3	7361796	4
20211107-2971011740961685386	-1	22149	2021-11-07 17:26:58.378	1	1	7136846	1
20211107--2639467928901918720	0	14085	2021-11-07 16:36:16.003	1	1	2092138	2
20211107-1151077645304312357	1	32068	2021-11-07 00:42:00.144	5	5	5258494	2
20211107-2734283340630127853	1	35681	2021-11-07 20:02:53.569	20	3	8396246	3
20211107--7127544126892028788	0	33488	2021-11-07 22:11:06.101	2	2	7246486	3
20211107--2443762443074355957	-1	8004	2021-11-07 17:32:59.597	4	4	5206762	4
20211107--2554146692253389934	0	23952	2021-11-07 11:49:48.655	4	4	5111520	1
20211107-2900908897827141272	1	5587	2021-11-07 19:09:43.566	2	2	5167263	4
20211107--5936550646559222109	1	22742	2021-11-07 17:34:00.487	4	4	6332744	1
20211107-8604747296460468030	-1	36429	2021-11-07 10:15:12.934	20	3	9184476	3
20211107--1710289946313732825	-1	30534	2021-11-07 03:57:32.742	4	4	1593766	2
20211107--1477811086517897043	0	1109	2021-11-07 18:12:16.289	5	5	8031388	3
20211107-5082233534887193890	1	10761	2021-11-07 04:46:32.325	2	2	7623585	4
20211107-5932848021802242699	-1	33141	2021-11-07 18:36:04.996	5	5	9548673	2
20211107--558645098974063750	1	1575	2021-11-07 05:11:58.504	1	1	1372859	2
20211107--4822611030732811024	-1	16290	2021-11-07 14:45:59.632	5	5	4802793	1
20211107-2033634844305963685	-1	11291	2021-11-07 01:12:58.567	4	4	2707282	2
20211107-355261394187922450	1	16830	2021-11-07 16:22:04.957	4	4	8861054	4
20211107-2150741861162030848	1	19259	2021-11-07 14:19:16.189	94	3	4951273	2
20211107--7402717213378942241	1	23761	2021-11-07 01:16:26.418	5	5	4036270	3
20211107-3912291972761401436	0	23553	2021-11-07 22:10:51.815	2	2	1519325	3
20211107--2003493441260527075	-1	30346	2021-11-07 09:56:41.349	5	5	2068209	2
20211107--2651978730870103415	-1	21113	2021-11-07 00:30:45.086	5	5	5860043	1
20211107--772609950545353706	-1	33252	2021-11-07 10:33:01.208	5	5	7959865	4
20211107-1698695308960421036	1	27725	2021-11-07 04:40:43.068	5	5	8968920	4
20211107-3527404124361130778	1	19567	2021-11-07 01:40:54.714	54	3	8121097	2
20211107--3129518430436090233	-1	8202	2021-11-07 09:30:38.619	5	5	4233112	4
20211107--2864395638964372199	-1	22614	2021-11-07 18:20:44.066	4	4	7883449	1
20211107--1419808668550783529	1	2089	2021-11-07 15:14:22.687	4	4	1495688	1
20211107-3310218889878444488	-1	26936	2021-11-07 03:08:34.153	1	1	5143100	2
20211107--528801270000959487	0	38345	2021-11-07 13:26:53.377	10	3	9278366	4
20211107--4057529177283382511	1	33176	2021-11-07 03:47:12.950	5	5	7778691	2
20211107-5128867886535588078	1	22038	2021-11-07 10:30:53.016	4	4	8752257	3
20211107--8939714995185560378	-1	22998	2021-11-07 16:07:35.223	4	4	9636866	2
20211107--3214140818282256807	-1	27882	2021-11-07 22:16:41.759	1	1	2417634	4
20211107-163898489603987426	1	15147	2021-11-07 08:21:34.197	59	3	283775	3
20211107--8523228253017059173	0	4606	2021-11-07 10:21:53.265	4	4	8575646	2
20211107--5022462644247539306	0	35044	2021-11-07 04:25:55.175	89	3	672636	1
20211107--6451070676639534259	1	607	2021-11-07 07:07:32.964	5	5	3552133	2
20211107-2925404229928673411	-1	18652	2021-11-07 22:35:36.472	1	1	2282004	4
20211107-6978266107228581221	-1	4892	2021-11-07 14:18:43.876	4	4	5591620	4
20211107-8110996370826951821	-1	14959	2021-11-07 02:58:44.877	2	2	5971440	3
20211107-3822214760942032215	1	24351	2021-11-07 03:33:49.443	5	5	6230913	2
