transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211108--8882835437980219136	0	28646	2021-11-08 08:59:42.929	1	1	7922888	4
20211108-6938767959368382232	-1	5120	2021-11-08 07:09:02.844	5	5	4387094	4
20211108-1435866497793446057	0	12793	2021-11-08 16:50:02.849	108	3	7302169	1
20211108-7605625146933783021	1	742	2021-11-08 00:20:17.856	5	5	8670579	4
20211108--6949608013458213885	0	28203	2021-11-08 02:53:20.681	5	5	2566065	3
20211108-3286521961733370226	0	9551	2021-11-08 00:26:18.189	17	3	392678	2
20211108--5521327537537626730	0	5603	2021-11-08 18:43:29.033	82	3	4913476	3
20211108--369669169788437907	1	20188	2021-11-08 18:41:26.496	1	1	5853895	3
20211108-7532145302615106893	-1	17610	2021-11-08 06:05:09.866	4	4	4485502	1
20211108--6237885781441710972	-1	9677	2021-11-08 11:37:06.373	2	2	4130472	1
20211108-1551333890589908510	0	13571	2021-11-08 06:21:47.981	4	4	3122222	4
20211108-6854549809958532603	-1	24903	2021-11-08 04:55:15.751	1	1	8491001	4
20211108-4876305450026220360	-1	32319	2021-11-08 03:23:02.932	30	3	9727122	3
20211108-6796973388297569716	0	26444	2021-11-08 08:03:56.183	1	1	5777373	3
20211108--8826893497151845161	0	33234	2021-11-08 12:22:13.478	40	3	83709	2
20211108--6172211171248724420	0	19934	2021-11-08 08:49:16.919	2	2	656059	4
20211108--4634727779806565922	-1	26851	2021-11-08 05:39:36.088	59	3	260687	1
20211108-4045517646736529024	-1	29909	2021-11-08 17:17:30.551	4	4	2699772	1
20211108-3644700999445689689	1	17960	2021-11-08 03:04:27.112	94	3	9422827	4
20211108--2260395146545245739	0	15645	2021-11-08 15:06:49.410	4	4	8979896	1
20211108--1877228505077735900	-1	33882	2021-11-08 19:07:32.352	55	3	8232253	4
20211108--516025898853732637	1	8319	2021-11-08 02:46:09.170	5	5	1039406	1
20211108-2424279336826249514	-1	19539	2021-11-08 17:10:11.423	2	2	3250413	4
20211108--2891055277833784877	-1	11672	2021-11-08 15:29:26.100	1	1	2314255	2
20211108--3485381744163496633	-1	36903	2021-11-08 13:23:56.650	2	2	2050403	2
20211108--5397895927775517333	1	22670	2021-11-08 08:21:31.036	5	5	2738493	4
20211108-2501213543241087726	1	38938	2021-11-08 05:55:26.955	5	5	3798138	4
20211108--7357165763341785815	0	18010	2021-11-08 21:08:09.639	5	5	6036566	3
20211108--4652898248384018064	-1	13787	2021-11-08 03:59:06.958	63	3	8871841	4
20211108--5101396859958161052	0	39479	2021-11-08 13:52:35.947	4	4	657806	4
20211108--8687508573735199970	0	14706	2021-11-08 04:49:18.106	5	5	652105	1
20211108--3824358532391296085	0	760	2021-11-08 22:29:05.975	1	1	1838525	4
20211108--5230661256242177672	0	1683	2021-11-08 19:43:40.008	4	4	4777409	1
20211108--5638561990494493565	1	17566	2021-11-08 06:58:22.191	5	5	902439	1
20211108-1371264918721537439	0	29633	2021-11-08 12:41:04.090	2	2	6277742	1
20211108--1777559497321343897	0	6821	2021-11-08 14:10:34.325	5	5	7961028	2
20211108-3636553666099701062	-1	16045	2021-11-08 11:18:16.647	2	2	739736	3
20211108--8030033089431914073	-1	21590	2021-11-08 15:38:08.498	5	5	5182427	2
20211108-6309986725353987652	0	10164	2021-11-08 10:36:42.856	4	4	3177163	4
20211108--2570179152654900949	0	1720	2021-11-08 14:45:37.730	5	5	9871909	4
20211108-6118298357593493471	-1	19832	2021-11-08 04:04:29.061	1	1	9430603	2
20211108--4069536705953146265	0	30106	2021-11-08 21:27:40.991	4	4	1726605	2
20211108--3105955928644261923	-1	26284	2021-11-08 16:59:56.441	79	3	6870185	2
20211108-2507185628360092229	-1	4276	2021-11-08 06:08:34.670	2	2	3804063	3
20211108--8116710367926641411	0	18597	2021-11-08 00:38:09.207	81	3	1035586	4
20211108-771861729394435041	0	36164	2021-11-08 21:18:45.878	5	5	8192134	1
20211108--5152151645773060169	0	13149	2021-11-08 17:15:12.787	5	5	7680858	3
20211108-9124979135982315495	0	35914	2021-11-08 15:37:58.915	1	1	4820782	1
20211108--3006675238130922137	-1	19392	2021-11-08 20:26:25.424	4	4	4321844	1
20211108--2101859350202255707	1	11017	2021-11-08 14:57:59.526	49	3	3147952	2
20211108-6037134126734474234	-1	38330	2021-11-08 15:19:24.238	1	1	1409762	2
20211108--1521030775441434777	0	700	2021-11-08 22:58:01.476	1	1	1729016	3
20211108--6848353462645598397	0	9662	2021-11-08 15:24:12.422	1	1	9222967	2
20211108-9205804958065122538	0	4401	2021-11-08 09:10:20.084	70	3	4995788	2
20211108--3329631371364601013	-1	34812	2021-11-08 23:47:26.157	1	1	754445	1
20211108--1369584104664177807	1	29639	2021-11-08 11:25:38.054	4	4	6163915	3
20211108--3862538860849306013	0	4275	2021-11-08 17:41:10.691	5	5	8044536	3
20211108--6954953395935428090	1	2160	2021-11-08 18:27:47.190	5	5	8567333	4
