transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211109--2853817069878528640	-1	21804	2021-11-09 02:50:25.528	4	4	9475244	4
20211109-8563472573429366012	1	17541	2021-11-09 03:46:59.680	4	4	4009202	2
20211109-5602055983884495398	0	1748	2021-11-09 18:51:21.349	5	5	5723128	2
20211109-1933544021561763955	1	15329	2021-11-09 10:09:05.630	2	2	9818494	4
20211109-757031486760067037	-1	23655	2021-11-09 01:58:49.524	4	4	9841157	3
20211109-4703510826746018503	-1	11355	2021-11-09 01:49:29.068	1	1	763445	3
20211109--2629193630019042064	-1	39138	2021-11-09 12:32:39.096	4	4	2066769	3
20211109-975945019466307020	0	10497	2021-11-09 23:34:28.825	2	2	8240068	3
20211109--6981886935518113445	0	4574	2021-11-09 20:13:41.350	2	2	3877412	3
20211109--3581030510730540606	1	32015	2021-11-09 16:49:51.266	5	5	6983182	2
20211109-283269994741651790	-1	21285	2021-11-09 21:11:49.265	4	4	346982	3
20211109--2439479158237684691	0	25534	2021-11-09 00:37:42.669	2	2	4141949	2
20211109-7472357001786596929	0	36262	2021-11-09 21:20:18.969	5	5	9391735	1
20211109-745228814254016818	1	34398	2021-11-09 02:29:51.953	93	3	3888179	4
20211109--3669592013800565565	0	5913	2021-11-09 18:02:02.301	5	5	3959909	4
20211109-6776381420407583111	1	8072	2021-11-09 11:21:20.797	2	2	5633853	4
20211109-1739674692411447769	0	25282	2021-11-09 05:21:03.115	1	1	3945289	1
20211109--8455540904587991751	0	8942	2021-11-09 21:00:02.936	2	2	3728569	3
20211109-2974015632935680041	1	16608	2021-11-09 12:20:16.163	5	5	6751659	4
20211109-8028799656881634850	0	2000	2021-11-09 23:19:35.717	5	5	117468	4
20211109--1380390385786663945	-1	3269	2021-11-09 11:51:05.469	2	2	7687944	4
20211109--1029196833918081676	-1	13654	2021-11-09 16:20:04.841	1	1	3112684	3
20211109-5999480519125813689	1	12731	2021-11-09 11:33:28.108	4	4	6796816	3
20211109--2641113553798225869	0	13935	2021-11-09 20:32:02.518	2	2	1493042	1
20211109-7657246916108018100	-1	4151	2021-11-09 01:26:57.291	95	3	9838533	3
20211109-762780340437648564	-1	34947	2021-11-09 19:21:50.929	1	1	7217725	1
20211109-1436052260727760932	0	13583	2021-11-09 04:34:48.303	1	1	4821773	2
20211109-6274982371490034711	-1	7129	2021-11-09 13:18:19.725	1	1	3302660	1
20211109-8032989539828758604	1	28481	2021-11-09 00:28:02.894	2	2	8536759	4
20211109-729207025411497749	0	35651	2021-11-09 02:19:29.228	73	3	2278489	4
20211109-4172280712692437676	1	9815	2021-11-09 12:01:51.375	5	5	3808210	3
20211109--1737748538293441842	-1	23282	2021-11-09 19:54:11.986	1	1	5962061	3
20211109-3646218581746194172	0	31170	2021-11-09 08:06:50.968	5	5	4537018	2
20211109-94124807884918153	0	19506	2021-11-09 07:36:50.131	1	1	5304081	3
20211109-5474772056203829298	0	30334	2021-11-09 02:30:12.734	4	4	8473620	4
20211109-7842166272799658650	-1	8113	2021-11-09 15:14:21.179	2	2	748871	4
20211109-4356121804771531488	-1	7089	2021-11-09 13:49:59.849	2	2	9339941	2
20211109--2767498642208794586	1	11748	2021-11-09 12:22:47.848	69	3	7082334	4
20211109-6585354488535669937	-1	34299	2021-11-09 20:31:33.806	5	5	7755764	1
20211109--7374333498734132723	1	3572	2021-11-09 19:02:26.691	4	4	1958037	2
20211109--6314886696024455425	0	36097	2021-11-09 11:33:24.136	5	5	5356510	1
20211109-4162753850322151775	1	36839	2021-11-09 16:12:15.361	4	4	511230	4
20211109--4061663244652110572	0	38745	2021-11-09 06:55:37.260	2	2	8380590	1
20211109--3307466516350393631	0	25620	2021-11-09 00:44:28.143	5	5	3463978	3
20211109--8500778728211877539	1	11348	2021-11-09 15:24:13.635	42	3	3883728	3
20211109--5026544615696036104	1	22128	2021-11-09 04:22:55.268	2	2	1349593	4
20211109-7052596660777211734	1	18206	2021-11-09 16:46:17.280	4	4	465624	2
20211109-8758622664841130755	-1	2530	2021-11-09 10:05:05.717	2	2	3069987	3
