transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211111-5705445611669524507	1	39695	2021-11-11 22:22:34.045	61	3	3548646	3
20211111-3753825406333987350	-1	2833	2021-11-11 00:04:12.751	1	1	8693557	1
20211111--4668656693755331530	0	35496	2021-11-11 11:35:18.175	5	5	4159901	2
20211111--1661941214132767998	0	8146	2021-11-11 02:12:15.519	5	5	5928518	2
20211111--5509588228983863363	1	21605	2021-11-11 09:48:22.593	1	1	5047195	1
20211111--7749864616860779636	1	19367	2021-11-11 20:01:55.488	79	3	8380543	4
20211111--7494311385594956635	1	33067	2021-11-11 20:47:11.634	4	4	4880233	4
20211111-6967752967864118081	-1	17102	2021-11-11 15:50:23.966	2	2	7516419	2
20211111-3006238276170316299	-1	25140	2021-11-11 10:17:38.599	5	5	3115665	4
20211111--8209541914882308982	0	9824	2021-11-11 00:38:03.031	2	2	164265	2
20211111-3842839267698399095	0	1950	2021-11-11 03:09:06.465	2	2	231087	3
20211111--6374587974796129578	1	16916	2021-11-11 10:17:47.723	4	4	7238248	4
20211111-3967515887967293359	0	16115	2021-11-11 03:29:08.579	95	3	1626150	1
20211111--8646635810404632331	0	16604	2021-11-11 15:17:10.905	5	5	1170290	3
20211111-2861715075248442055	0	21433	2021-11-11 16:38:36.864	1	1	6152074	4
20211111-2322618071463149708	0	28234	2021-11-11 14:05:38.328	1	1	3813277	1
20211111-6323701549541137832	-1	39296	2021-11-11 08:17:49.667	1	1	2786424	4
20211111-8388831559315145674	1	34893	2021-11-11 17:03:01.907	2	2	6352982	4
20211111--6755255536676536354	0	37094	2021-11-11 01:40:50.595	1	1	9412270	1
20211111--25844496313912315	0	13465	2021-11-11 14:31:13.836	1	1	2090992	2
20211111-364656281232977175	0	3235	2021-11-11 15:53:40.030	40	3	9450693	2
20211111-6991824819712391913	-1	28121	2021-11-11 13:02:20.532	5	5	4821279	2
20211111--703572758713501288	-1	27148	2021-11-11 23:53:38.932	2	2	3253015	1
20211111--7867159210441333616	0	11426	2021-11-11 10:32:29.395	2	2	7227154	4
20211111--4946391361387132667	-1	16123	2021-11-11 00:13:37.331	4	4	9390147	3
20211111--6375019754985833672	1	2630	2021-11-11 18:31:32.631	4	4	1310923	1
20211111-3928549688252193749	-1	17196	2021-11-11 10:04:17.642	1	1	806247	4
20211111--2532357041858917072	-1	39858	2021-11-11 18:06:50.701	2	2	9779739	4
20211111-3222804932706279576	-1	27403	2021-11-11 04:05:31.490	23	3	7666090	4
20211111-9070769141695975024	1	22255	2021-11-11 17:31:46.494	5	5	2848052	2
20211111--7609194597619407889	0	10980	2021-11-11 07:12:54.139	4	4	2775624	3
20211111-2125894146844769517	-1	26782	2021-11-11 13:42:12.973	5	5	9151631	4
20211111--2857534444407979310	1	26771	2021-11-11 23:51:49.819	2	2	7039472	3
20211111-8797672366376257238	0	31426	2021-11-11 20:19:57.640	5	5	7809175	2
20211111-8500815777468850924	-1	31839	2021-11-11 09:28:37.363	5	5	2342723	1
20211111--6569183210886950608	0	10768	2021-11-11 02:09:50.697	2	2	4912022	4
20211111-3241058665665468259	0	498	2021-11-11 07:22:12.482	1	1	7892860	3
20211111-8800556957322121726	0	19766	2021-11-11 06:50:34.633	105	3	7420960	2
20211111-4119348146286538980	-1	21247	2021-11-11 10:38:02.571	2	2	2539721	3
20211111-5190726538784113855	-1	8563	2021-11-11 11:09:51.867	2	2	527228	1
20211111--5017472908944457631	0	37244	2021-11-11 13:55:32.089	1	1	2289352	4
20211111-4893088169060679375	-1	12878	2021-11-11 09:29:22.951	4	4	3540333	2
20211111-4019128262205352528	-1	26066	2021-11-11 12:04:12.985	5	5	4695129	1
20211111-8018347760213797432	0	25874	2021-11-11 21:30:43.566	4	4	6274502	4
20211111--5924676872645473917	1	10100	2021-11-11 14:46:53.559	2	2	5265805	2
20211111-3261343837720316740	-1	2966	2021-11-11 21:14:15.968	4	4	2132223	3
20211111-1726320296243341851	0	24613	2021-11-11 07:54:02.707	5	5	5144308	2
20211111--987058403142330050	1	3785	2021-11-11 23:22:09.232	4	4	505042	3
20211111-8895110844802474335	0	12652	2021-11-11 13:24:02.026	5	5	6349440	3
20211111-4970077768549941792	0	31725	2021-11-11 00:47:49.592	4	4	376452	2
20211111-1208332459811827432	-1	3801	2021-11-11 15:12:15.962	89	3	9980065	1
20211111--7918978217223632075	0	37062	2021-11-11 03:49:55.973	5	5	9253268	2
20211111--8858119779198875749	-1	26563	2021-11-11 09:12:10.347	4	4	271149	3
20211111--5217001335852441580	0	21338	2021-11-11 17:06:53.192	2	2	253015	2
20211111-8748708329360370568	0	14328	2021-11-11 23:52:55.543	4	4	111763	3
20211111-8096170078185972954	-1	25553	2021-11-11 03:13:42.602	5	5	7924379	2
20211111-7526208147926196535	-1	21672	2021-11-11 15:06:41.734	4	4	9538987	2
20211111-4692287868828008274	1	27336	2021-11-11 20:03:12.783	5	5	2177653	2
20211111--1865600087253458717	1	31792	2021-11-11 17:04:08.464	88	3	61198	1
20211111-8679388440948018712	0	28857	2021-11-11 04:12:34.633	5	5	2492574	3
20211111--3033469728925894085	0	34645	2021-11-11 22:50:43.946	74	3	9251711	3
20211111--311200761414692785	1	38555	2021-11-11 02:18:17.867	2	2	4941996	4
20211111-7744693433791276534	0	16655	2021-11-11 14:02:15.391	5	5	527622	4
20211111-7456254546269375688	1	15330	2021-11-11 01:46:31.642	5	5	7519040	1
20211111-8087898233293927714	-1	18598	2021-11-11 21:20:03.670	5	5	6793526	3
20211111--7973474841077789527	0	10340	2021-11-11 08:12:22.393	2	2	6483320	3
20211111--1604284774192141208	1	15257	2021-11-11 07:24:13.575	4	4	4264277	3
20211111--9074991934625645306	0	29322	2021-11-11 18:56:12.718	5	5	926740	3
20211111--8190357729737989179	0	28446	2021-11-11 22:50:23.265	1	1	8289792	3
20211111--5571481940238833976	-1	8382	2021-11-11 12:32:05.151	2	2	5356576	1
20211111--82491988293935202	1	10928	2021-11-11 17:29:30.517	58	3	4539327	3
20211111--737439693848015668	0	3770	2021-11-11 14:19:48.981	4	4	4348360	3
20211111--3378300212717442229	0	39109	2021-11-11 15:43:59.061	2	2	2221439	4
20211111-1115617112479841444	0	16818	2021-11-11 04:58:45.689	2	2	2315701	4
20211111--6482804164466312555	1	2852	2021-11-11 21:49:50.658	5	5	2570406	3
20211111-3721388873825203479	-1	4847	2021-11-11 10:40:52.157	5	5	2598510	3
20211111-1439870042676938956	1	12032	2021-11-11 11:50:57.459	1	1	9721531	2
20211111-2549763293202285183	-1	25289	2021-11-11 13:53:43.911	5	5	9450857	4
20211111--8396301313751200820	1	25375	2021-11-11 12:04:35.468	46	3	1167609	4
20211111-6795859713316637608	-1	31417	2021-11-11 03:31:17.517	5	5	6691577	2
20211111-84930126576439481	-1	33770	2021-11-11 14:43:28.272	4	4	7316372	3
20211111-7982995622434898223	1	7252	2021-11-11 12:01:12.896	30	3	5174190	1
20211111--3172520583023251674	-1	32474	2021-11-11 12:24:53.999	4	4	7918667	2
20211111--2129474205866010407	1	14284	2021-11-11 04:50:07.778	5	5	1346251	4
20211111-9180329852034698079	1	34768	2021-11-11 23:30:40.079	2	2	9758676	1
20211111-1137860146386717483	1	20094	2021-11-11 19:57:10.843	2	2	4590159	2
20211111-4634229518665329086	1	21020	2021-11-11 16:37:00.202	5	5	6402051	2
20211111--4603568873925638809	1	18706	2021-11-11 22:41:00.890	2	2	9692934	2
20211111--6797390582991560924	-1	18431	2021-11-11 19:03:10.310	62	3	464984	4
20211111--1124239176883553383	1	28492	2021-11-11 07:23:34.425	2	2	5614692	1
20211111-5311209674982430815	-1	22903	2021-11-11 01:43:16.961	2	2	9904408	3
20211111--324914768154726864	1	9374	2021-11-11 13:11:50.478	103	3	8953799	3
20211111--1877209910994449449	1	13307	2021-11-11 05:15:20.637	14	3	9662057	1
20211111-7647535831894844776	0	19716	2021-11-11 01:34:05.714	5	5	6756050	4
20211111-6799867156454438662	1	2267	2021-11-11 15:15:52.025	76	3	8077800	4
20211111--4719117377553506602	1	38467	2021-11-11 21:40:15.602	5	5	6296944	3
20211111--1539561627495886504	0	26199	2021-11-11 06:21:11.125	98	3	7767811	2
20211111-3746709580524965920	1	14331	2021-11-11 22:37:30.650	1	1	674894	1
20211111-5993680250002389420	0	20239	2021-11-11 17:04:52.025	5	5	6738215	1
20211111-1234435400106714268	1	3848	2021-11-11 08:43:01.018	83	3	436835	2
20211111--1936958447963470306	0	11526	2021-11-11 15:09:50.064	4	4	743808	4
20211111--5894973974036274545	0	9458	2021-11-11 13:09:47.408	1	1	5732274	3
20211111--8998195897458929730	0	9533	2021-11-11 00:00:30.385	2	2	3036088	1
20211111--7631356287581889418	-1	31180	2021-11-11 17:54:16.688	1	1	7317866	2
20211111-1550789568491049123	1	13823	2021-11-11 15:09:51.774	90	3	2711149	1
20211111--105637238637703949	1	3467	2021-11-11 23:07:49.923	2	2	6736693	2
20211111-2171530367975909976	0	29596	2021-11-11 02:29:25.878	4	4	6076462	3
20211111-1208975667054748575	1	2360	2021-11-11 17:54:04.282	83	3	517308	1
