transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211113--481003271844904877	1	13989	2021-11-13 07:36:03.091	60	3	1764829	4
20211113--7603554128247316410	1	31844	2021-11-13 20:52:32.413	1	1	6487498	3
20211113--3900510345094726918	1	8775	2021-11-13 21:37:56.120	2	2	6612139	3
20211113-1819954180901940393	0	26785	2021-11-13 19:07:19.364	2	2	9527306	3
20211113--7422691571236054887	1	38740	2021-11-13 08:32:37.965	82	3	5690885	2
20211113--5991683539775801375	1	10019	2021-11-13 20:49:47.900	5	5	8300722	4
20211113--8730112324172971699	-1	5992	2021-11-13 06:51:21.382	4	4	2328622	3
20211113-5119440287978489871	1	27042	2021-11-13 06:38:57.714	2	2	1578225	1
20211113--953269724998346320	-1	39257	2021-11-13 20:10:54.133	4	4	7187269	1
20211113-2333148874665108133	0	37191	2021-11-13 02:31:14.567	5	5	7799793	2
20211113-4265950007059161827	-1	28415	2021-11-13 13:58:42.698	2	2	1963318	1
20211113-7282084636992022851	0	12132	2021-11-13 00:55:26.097	1	1	5751842	3
20211113--2406073863781312562	1	11835	2021-11-13 02:59:21.597	88	3	7576958	4
20211113-6609429710928395052	0	23145	2021-11-13 19:21:10.191	1	1	497506	1
20211113--6652797295480164064	1	20890	2021-11-13 17:21:09.605	5	5	3715299	3
20211113--79540445479054136	-1	1853	2021-11-13 22:47:08.044	4	4	3488830	1
20211113-890308071675972268	-1	16750	2021-11-13 22:18:41.452	2	2	6293520	1
20211113--5162356643251301739	-1	15919	2021-11-13 01:30:51.551	1	1	5369220	4
20211113--1946182662619145681	1	20432	2021-11-13 04:18:33.058	1	1	4412029	4
20211113--7244855688928945854	1	11436	2021-11-13 02:21:00.027	5	5	3657948	4
20211113--3213425590694971803	0	25978	2021-11-13 15:13:50.850	90	3	532085	2
20211113--8611818224091121814	0	17477	2021-11-13 16:27:46.817	1	1	461231	4
20211113--5794042814025786178	1	35009	2021-11-13 10:48:41.527	5	5	2467437	1
20211113--66229471813485304	1	11969	2021-11-13 17:38:15.033	45	3	8718322	4
20211113--2132155739877124784	-1	38847	2021-11-13 04:24:38.405	4	4	7932866	4
20211113-6544415342499808707	-1	22546	2021-11-13 19:56:52.390	2	2	1697421	4
20211113-5381803383857110324	0	7898	2021-11-13 12:53:42.808	5	5	8766741	1
20211113--9155290845133595281	1	26974	2021-11-13 23:39:06.102	2	2	8285484	3
20211113--5428268971185342729	0	4946	2021-11-13 18:27:44.550	2	2	1653883	4
20211113-8410022285474418750	0	18733	2021-11-13 21:00:19.905	2	2	1606460	1
20211113-4051631891450081871	0	22289	2021-11-13 04:39:31.233	26	3	4119600	2
20211113--2430204195953162400	-1	8922	2021-11-13 05:04:06.872	91	3	7318481	4
20211113--6493420897856432568	0	10391	2021-11-13 15:40:26.898	96	3	138084	1
20211113--2622433833946445953	1	34282	2021-11-13 19:47:16.596	2	2	9445611	1
20211113--7310659649408457798	0	34527	2021-11-13 07:04:34.511	12	3	5909608	1
20211113--3812740029230727549	0	20446	2021-11-13 05:06:10.073	1	1	8559928	1
20211113--5059577454669790983	0	9759	2021-11-13 20:18:06.167	2	2	8493293	3
20211113-7821221575503434571	1	13440	2021-11-13 20:34:00.568	5	5	978164	1
20211113--5924774256727170893	1	33806	2021-11-13 15:05:27.590	2	2	1819697	2
20211113-609455928113839424	-1	3354	2021-11-13 01:14:24.955	4	4	7989627	4
20211113-5070320673218998686	-1	11109	2021-11-13 20:47:46.216	2	2	276431	1
20211113-8892171363171901288	-1	34140	2021-11-13 11:17:09.841	1	1	8088367	2
20211113-7569745073553177622	0	22847	2021-11-13 14:04:06.384	1	1	8876607	3
20211113-9119805401661902508	0	12100	2021-11-13 05:38:00.805	5	5	4283101	1
20211113-5004381807198686615	0	16240	2021-11-13 12:28:55.602	2	2	7691315	3
20211113--7729767847028728262	0	20633	2021-11-13 14:30:03.637	1	1	6486436	4
20211113-6129014998624454607	0	30785	2021-11-13 13:06:05.294	5	5	5691039	1
20211113-6164630166618507343	-1	18660	2021-11-13 20:52:29.992	1	1	3427706	4
20211113-2515342982634519184	0	4628	2021-11-13 09:54:22.837	19	3	7420969	3
20211113-6374195927194399112	1	22830	2021-11-13 10:12:45.820	5	5	3541472	1
20211113--6095792314987177359	0	37940	2021-11-13 10:05:37.603	1	1	4011450	2
20211113--1095672018542808179	0	27657	2021-11-13 04:33:20.986	24	3	6550399	2
20211113-1198214058060336911	-1	35250	2021-11-13 03:55:35.243	45	3	1788154	4
20211113-3959184875325424281	0	5978	2021-11-13 23:19:38.055	1	1	10003795	2
20211113--4154196842089931677	-1	37260	2021-11-13 13:56:52.106	2	2	1306087	2
20211113--6096564630868457068	0	4493	2021-11-13 01:32:11.734	1	1	7109754	3
20211113-7292244133300541503	-1	28465	2021-11-13 23:33:42.203	4	4	6384495	2
20211113--4528748672724987348	0	12096	2021-11-13 06:04:13.391	5	5	7661664	2
20211113-1046691749350856090	-1	37251	2021-11-13 22:07:33.026	4	4	8920600	4
20211113--4954897787174609400	1	6993	2021-11-13 12:50:23.146	2	2	491819	2
20211113--3811008142569293260	0	9326	2021-11-13 17:35:50.430	53	3	5007545	1
20211113--5804041307164779840	0	13218	2021-11-13 18:02:15.181	2	2	3812464	4
20211113--7699531480978768382	1	29117	2021-11-13 10:53:30.691	5	5	4359052	3
