transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211114-9173773741806096768	-1	22968	2021-11-14 14:33:30.074	5	5	4332993	3
20211114--4810064386100038895	1	14228	2021-11-14 04:44:13.538	2	2	8911258	1
20211114-6825106136584399661	-1	24028	2021-11-14 17:51:08.033	5	5	8304577	4
20211114-3397767875287212056	0	27908	2021-11-14 20:37:53.461	2	2	1405884	1
20211114--3465128581598623209	1	16192	2021-11-14 13:24:51.167	2	2	3103816	3
20211114--3959524027210488272	0	32640	2021-11-14 00:14:45.979	2	2	4832925	3
20211114--6250220340130645567	-1	36162	2021-11-14 13:14:57.259	4	4	6643105	2
20211114--1592290497393180826	1	34471	2021-11-14 11:13:03.573	1	1	6135096	3
20211114-1637932236378354015	0	20480	2021-11-14 08:56:28.223	2	2	7458513	2
20211114--3514357028385298972	1	34108	2021-11-14 14:17:57.274	5	5	310146	4
20211114-6966012543639866756	0	39438	2021-11-14 16:20:06.929	5	5	2034299	4
20211114--8747133327172038175	1	10943	2021-11-14 22:55:53.659	5	5	1601903	3
20211114-8702111385035417363	1	32623	2021-11-14 15:49:45.526	4	4	3642808	2
20211114--2819576910879835372	0	34402	2021-11-14 20:13:09.179	1	1	9197044	1
20211114-1726833318710490778	1	7288	2021-11-14 11:34:43.590	1	1	4230264	4
20211114-2454655227834291426	1	8457	2021-11-14 22:45:07.094	60	3	1966193	2
20211114-7350101729772206414	1	10899	2021-11-14 03:20:45.272	94	3	9719163	4
20211114--651311920196048781	0	27418	2021-11-14 18:35:45.839	5	5	7396015	2
20211114--1456873563698509439	-1	14856	2021-11-14 10:16:52.730	1	1	4054232	4
20211114-3643530896606626888	-1	13021	2021-11-14 18:16:56.743	5	5	2711660	1
20211114--3209722635150284755	1	4043	2021-11-14 06:02:09.748	1	1	5300472	3
20211114-7302413635817696799	0	8797	2021-11-14 21:32:36.390	4	4	9997706	3
20211114-3481949291432968217	-1	11399	2021-11-14 06:58:58.012	4	4	1824154	2
20211114--6327926670542422763	-1	34289	2021-11-14 03:20:10.506	2	2	8574858	1
20211114--7779933884550947767	1	34105	2021-11-14 11:21:13.016	100	3	479926	4
20211114-7502622040649867959	0	5211	2021-11-14 01:20:32.371	5	5	9566435	1
20211114--1376035943539717572	0	9504	2021-11-14 15:38:22.910	5	5	4680879	4
20211114--3073542595519638267	0	25925	2021-11-14 15:17:52.649	4	4	626329	3
20211114-6607272996019051457	1	23295	2021-11-14 21:55:33.830	2	2	1164193	1
20211114--2229327702578280439	0	32360	2021-11-14 17:10:43.727	4	4	8656378	3
20211114-7626612510508171025	1	7936	2021-11-14 17:16:22.684	5	5	690450	2
