transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211115-2256263908153609309	-1	7062	2021-11-15 11:37:05.618	2	2	5488702	3
20211115--6257149305048149150	-1	35454	2021-11-15 10:33:53.802	4	4	1409144	1
20211115--4352253943709713719	1	3729	2021-11-15 04:13:34.138	1	1	1289707	1
20211115--7925829516221824742	-1	18141	2021-11-15 11:36:31.227	1	1	3979643	4
20211115--1295744735899851248	-1	15510	2021-11-15 20:31:33.581	94	3	7581271	1
20211115-5550625722977701985	-1	23212	2021-11-15 10:21:08.558	4	4	6668342	3
20211115--6533326441533118418	0	30685	2021-11-15 10:33:14.487	2	2	2537110	3
20211115-2342110317125987749	0	32859	2021-11-15 16:36:40.341	4	4	3389766	4
20211115-7940091840149053160	-1	10109	2021-11-15 12:41:36.044	1	1	4160119	3
20211115--7037136160464966354	0	19602	2021-11-15 16:36:47.143	1	1	8400273	2
20211115--8639326365383441497	1	37120	2021-11-15 17:25:38.035	2	2	4203792	2
20211115-5627144830570321524	1	27433	2021-11-15 22:24:13.252	1	1	8196168	1
20211115--4732944608291599792	1	16197	2021-11-15 05:02:56.247	5	5	7385539	1
20211115--3593214421087640626	1	37509	2021-11-15 17:39:49.120	2	2	7465285	3
20211115--1721700896435086517	-1	38848	2021-11-15 09:17:15.542	2	2	6380784	4
20211115--2737783156631730147	0	4802	2021-11-15 19:49:40.262	4	4	6568411	1
20211115-8300499436110749823	1	1867	2021-11-15 19:27:01.606	5	5	2189878	1
20211115-1558645963657863974	-1	6581	2021-11-15 19:06:04.025	19	3	5647614	3
20211115-6358857606818044737	0	30544	2021-11-15 19:17:32.811	2	2	4072502	3
20211115--182166868819793695	0	3346	2021-11-15 02:09:04.991	5	5	3743375	4
20211115--6189848877218659157	-1	8500	2021-11-15 07:45:23.579	2	2	4954257	1
20211115--5490262624540392845	1	35937	2021-11-15 21:48:39.741	4	4	2369464	2
20211115--7268507791211031297	1	36214	2021-11-15 09:58:42.880	2	2	2137166	3
20211115-840987260622425669	-1	17250	2021-11-15 21:02:47.169	4	4	8624031	2
20211115--6531665943301991011	-1	12012	2021-11-15 20:44:23.882	95	3	1021436	4
20211115-5269455817684030045	0	24923	2021-11-15 09:10:46.329	20	3	3878845	3
20211115-3298393967414236230	0	39975	2021-11-15 06:19:23.495	1	1	2351908	3
20211115--6829204914962948465	1	15696	2021-11-15 18:26:56.097	4	4	952826	2
20211115--2150788341703533979	-1	37044	2021-11-15 06:21:55.258	2	2	354668	1
20211115-2508100563091094672	-1	489	2021-11-15 16:07:50.712	5	5	6510339	2
20211115--2396011060873098794	-1	34130	2021-11-15 02:51:34.584	1	1	2070891	1
20211115-486184730803881678	0	11022	2021-11-15 00:02:41.620	2	2	4935703	2
20211115-6644251321815673339	0	21448	2021-11-15 09:16:32.919	1	1	6493486	2
20211115--3026754055578509499	1	32005	2021-11-15 00:52:22.035	4	4	587830	2
20211115-3937837548382747064	1	13879	2021-11-15 09:51:30.672	2	2	261811	1
20211115-5178436026517705865	1	19124	2021-11-15 10:56:02.705	1	1	729668	1
20211115-8769910737757529038	-1	24978	2021-11-15 18:47:38.456	39	3	9172474	1
20211115--7016068647790723496	1	38906	2021-11-15 23:05:40.982	17	3	7588883	2
20211115-8462853639252060667	1	37743	2021-11-15 11:18:04.690	2	2	8388032	3
20211115--1340139455730879421	-1	25935	2021-11-15 00:30:27.016	70	3	6269067	1
20211115-4043559929109098910	-1	10477	2021-11-15 15:35:35.093	1	1	712570	1
20211115-1387253726457776764	0	38550	2021-11-15 19:03:38.875	4	4	4850900	4
20211115-3692984687345381389	0	27999	2021-11-15 20:52:37.420	5	5	1773040	2
20211115-1527104593862542526	0	15892	2021-11-15 00:52:47.833	4	4	6947022	4
20211115-5964541476660017943	-1	14889	2021-11-15 03:23:28.279	1	1	4546908	1
20211115-3450640884955486636	-1	10469	2021-11-15 09:26:40.894	4	4	8624650	2
20211115-3755760820021429487	-1	7236	2021-11-15 16:34:37.730	5	5	7270020	2
20211115--3679307845509075686	1	144	2021-11-15 14:33:54.289	1	1	3397568	2
20211115--4884589733453333644	0	18094	2021-11-15 02:33:24.373	88	3	1421538	1
20211115-6534640333507519598	0	16945	2021-11-15 02:13:07.281	99	3	1293016	2
20211115-2206551504258730423	-1	38389	2021-11-15 07:51:57.994	1	1	6172351	1
20211115-4165954219191786702	0	20911	2021-11-15 15:49:50.496	33	3	9557803	2
20211115--1494996453975665439	1	6665	2021-11-15 11:20:13.649	1	1	8697315	2
20211115-8450745636722847717	0	27619	2021-11-15 03:34:36.948	5	5	6911767	4
20211115--1183453407665442921	1	2435	2021-11-15 14:23:07.486	4	4	5853982	4
20211115--6169427811159797718	0	6041	2021-11-15 04:35:17.126	73	3	7785831	1
20211115--2970489715566131567	-1	407	2021-11-15 04:23:15.846	4	4	7163359	3
20211115--249760603176558975	-1	28282	2021-11-15 03:18:45.562	4	4	6053957	3
20211115-3611259220755014749	0	28098	2021-11-15 11:23:51.189	4	4	7884133	3
20211115--9084044763624169897	-1	7171	2021-11-15 00:46:39.892	1	1	7634668	2
20211115-8302637174396106088	0	6400	2021-11-15 12:30:38.939	2	2	4249838	1
20211115-7497802568745253070	1	28275	2021-11-15 18:34:00.318	19	3	3778507	2
20211115--5585899060331801961	0	20478	2021-11-15 22:35:26.077	1	1	2691927	3
20211115-8901682728237482649	0	11877	2021-11-15 03:10:14.215	4	4	1683961	2
20211115--1533504269414147657	0	9201	2021-11-15 14:20:18.983	2	2	1259138	1
20211115-6704262511021822755	1	24279	2021-11-15 18:02:44.961	4	4	4555543	1
20211115--6286567263264972655	-1	11387	2021-11-15 09:32:23.644	4	4	73152	1
20211115--1484576898849456827	-1	37041	2021-11-15 01:08:19.323	1	1	2990468	2
20211115--7885709714451806609	1	16079	2021-11-15 23:14:29.225	1	1	3610893	4
20211115--8723855414435807118	-1	30718	2021-11-15 18:34:40.904	5	5	5212184	1
20211115-9139441274648299488	1	21623	2021-11-15 11:15:11.756	92	3	4148612	1
20211115--7392512755480154701	-1	14809	2021-11-15 20:30:35.157	4	4	6586496	4
20211115-3542255731211174932	0	20254	2021-11-15 08:18:39.394	4	4	5666670	4
20211115--7420216322085423427	-1	39157	2021-11-15 23:12:54.568	2	2	1409784	4
20211115-2428469723867095821	1	10366	2021-11-15 19:56:53.509	101	3	7376618	3
20211115--158355862845546652	-1	14099	2021-11-15 22:36:47.843	63	3	7548007	1
20211115-2764662134901921733	-1	26858	2021-11-15 07:25:39.240	1	1	2060575	1
20211115-1712525824474471966	0	19290	2021-11-15 11:23:08.894	2	2	1977343	3
20211115--5559302304271565895	-1	38075	2021-11-15 08:10:29.676	43	3	8407125	3
20211115--203927246222899418	-1	16840	2021-11-15 23:55:11.538	4	4	3283807	3
20211115--1490489811326262424	1	25892	2021-11-15 01:41:15.897	4	4	3918637	2
20211115-4132636912824292566	0	36452	2021-11-15 11:56:23.481	2	2	2483504	2
20211115-176168874118042754	-1	39843	2021-11-15 01:41:42.811	4	4	7233291	4
20211115--4302878888634818653	-1	11628	2021-11-15 02:48:45.999	71	3	6947039	4
20211115-1122090729617447876	-1	35714	2021-11-15 08:53:11.591	1	1	4188531	3
20211115-4568216904114040072	1	8439	2021-11-15 01:51:32.136	1	1	9912943	3
20211115-7393997691664961469	1	13462	2021-11-15 14:10:35.761	63	3	66157	1
20211115--4439252785619908096	0	36728	2021-11-15 20:20:37.666	40	3	3702744	2
20211115--4379746881261807994	-1	5092	2021-11-15 15:23:24.736	102	3	7087625	4
20211115-7452190868958763618	0	34025	2021-11-15 11:56:28.891	1	1	8430892	4
20211115--3406051763946381037	1	9547	2021-11-15 12:45:43.154	5	5	4704681	4
20211115--7575787289090578201	-1	143	2021-11-15 03:48:14.796	5	5	7737086	1
20211115--2986832826656209423	1	5108	2021-11-15 09:52:55.348	2	2	1223153	1
20211115-4406148035145307024	0	27489	2021-11-15 13:27:23.649	87	3	3856470	2
20211115--8083262119041906336	1	21066	2021-11-15 21:36:41.086	1	1	259195	4
20211115--7676831551527697354	-1	38725	2021-11-15 04:08:47.419	1	1	9600094	1
20211115-4542002508769302782	0	2310	2021-11-15 19:40:58.010	4	4	6325163	4
20211115-2522450762807945416	-1	9674	2021-11-15 15:33:53.209	2	2	1273175	3
20211115-1619665267267079061	0	25361	2021-11-15 21:57:34.758	53	3	1948559	2
20211115--8455691594552507091	-1	35165	2021-11-15 21:21:59.975	4	4	7712801	1
20211115--2913359188529621133	-1	2551	2021-11-15 16:29:00.141	26	3	5749453	3
20211115-8732909247390153524	-1	10052	2021-11-15 18:35:54.954	1	1	5712959	3
20211115--6699118897347993176	0	17818	2021-11-15 17:37:34.591	2	2	6447949	2
20211115--1826281164857840535	1	2580	2021-11-15 03:51:23.260	5	5	5576751	4
20211115-2745444521657327388	-1	25921	2021-11-15 10:38:23.453	62	3	8497889	1
20211115-4649002216232881924	1	1024	2021-11-15 18:08:52.407	2	2	3119690	1
20211115-5023976342046971461	-1	12674	2021-11-15 15:34:24.230	2	2	1790000	4
20211115--595396299012752223	0	17790	2021-11-15 00:10:04.860	2	2	6663331	4
20211115--7437818850903936114	0	18703	2021-11-15 19:34:25.351	4	4	9397253	3
20211115-6044219075624675346	0	38118	2021-11-15 12:46:34.063	2	2	9963007	2
20211115--7685381608479967395	0	462	2021-11-15 22:51:29.383	4	4	2676938	1
20211115-6816777499721735293	0	39424	2021-11-15 15:05:55.426	1	1	2305752	3
20211115--2396947239592062431	1	6575	2021-11-15 04:55:38.008	2	2	11484	2
20211115-6774742672240503700	1	32120	2021-11-15 08:45:35.035	2	2	1695277	2
20211115--8957322850920046508	0	34457	2021-11-15 10:48:56.346	1	1	4757651	3
20211115--8092190390149518884	-1	26514	2021-11-15 06:49:46.122	2	2	9630045	1
20211115--3086043778082950982	1	14803	2021-11-15 18:18:40.244	5	5	8042547	2
20211115-6811102999793552177	0	7898	2021-11-15 00:17:01.165	5	5	6116093	2
20211115--6012576520758122478	1	31495	2021-11-15 09:43:24.165	5	5	3901084	1
20211115-4033573763286416773	-1	3456	2021-11-15 10:15:11.862	5	5	968060	1
20211115--357987200312222010	1	8003	2021-11-15 20:38:10.378	18	3	3075754	4
20211115-7153065645088932241	1	22727	2021-11-15 07:10:22.331	4	4	3909103	3
20211115-4684148736555073724	0	7143	2021-11-15 08:57:35.092	49	3	6380380	1
20211115-6091973042350652445	0	12194	2021-11-15 12:34:53.098	5	5	5690099	1
20211115-9002024945837083241	-1	32710	2021-11-15 04:27:41.263	99	3	1789910	4
20211115--464578439102763426	1	20992	2021-11-15 18:47:08.100	4	4	1984421	2
20211115--2450470822070974209	0	5568	2021-11-15 04:07:03.421	4	4	3280012	2
20211115--5288699851862427993	1	9337	2021-11-15 05:30:45.112	42	3	4108456	1
20211115--2480074717277895841	0	32326	2021-11-15 05:02:03.086	1	1	3744097	2
20211115--512967213116115096	0	6401	2021-11-15 08:22:15.769	1	1	3831387	2
20211115--2826492257964373652	-1	13834	2021-11-15 22:08:03.648	57	3	4078408	1
20211115-1317170003149817076	1	27571	2021-11-15 05:22:40.817	5	5	1025379	2
20211115--1434956030687622907	0	31637	2021-11-15 16:26:36.775	4	4	7993233	4
20211115--4343779285231568064	1	22214	2021-11-15 06:43:52.649	1	1	4584319	3
20211115-5707906846399183206	0	36229	2021-11-15 14:35:32.512	2	2	8170530	1
20211115-7465544397945260194	1	27726	2021-11-15 04:02:25.876	4	4	6062032	2
20211115--4214715616623629280	0	10678	2021-11-15 21:41:02.055	2	2	2401302	4
20211115-7770198321646820512	1	26695	2021-11-15 15:51:46.328	89	3	3871063	1
20211115--1242811285899077724	-1	35230	2021-11-15 00:58:42.563	58	3	5582425	4
20211115-7823446697828975965	1	15394	2021-11-15 18:31:53.078	12	3	8944242	4
20211115-5441869752308757337	-1	14941	2021-11-15 02:25:32.609	31	3	5401046	1
20211115--4551517272080195577	-1	12359	2021-11-15 20:44:09.295	1	1	3681319	2
20211115-7986925714710065293	0	32907	2021-11-15 15:31:36.635	11	3	4380402	2
20211115--2616824016477888453	-1	39248	2021-11-15 20:37:56.812	5	5	4729888	1
20211115-4645787594345489640	-1	15305	2021-11-15 00:41:40.498	4	4	9968792	4
20211115--5915544702191945878	0	23182	2021-11-15 23:46:50.838	4	4	2895659	4
20211115-8999005180146256452	0	7076	2021-11-15 00:07:24.516	5	5	6852667	1
20211115-3826340338902272747	1	18356	2021-11-15 17:33:57.430	5	5	8956382	1
20211115--2150152433729040396	1	33325	2021-11-15 21:31:29.207	4	4	248575	3
20211115-940403454564042803	0	29768	2021-11-15 15:26:24.155	2	2	4970909	2
20211115-8712967590612262188	1	27698	2021-11-15 08:29:19.736	4	4	9695420	2
20211115-8878305470450913037	-1	3586	2021-11-15 15:37:30.878	4	4	2552278	2
20211115-7498443630168480069	-1	30604	2021-11-15 09:03:56.025	5	5	1123938	2
20211115-2224140550378489610	0	23645	2021-11-15 22:15:23.758	2	2	2172257	3
20211115--2456060439868847406	1	11010	2021-11-15 20:55:45.460	5	5	4211381	4
20211115--8756645044146272932	0	16547	2021-11-15 18:25:14.656	78	3	4975198	4
20211115-2266722255477125276	-1	28895	2021-11-15 04:35:59.087	5	5	8427876	2
20211115--7015774157725633393	-1	12767	2021-11-15 00:01:49.663	4	4	9622502	2
20211115-530523683681083442	1	27064	2021-11-15 12:52:47.694	5	5	2476972	4
20211115-3723910687448054684	1	23159	2021-11-15 11:11:47.331	1	1	5807361	3
20211115--3444572820769565216	0	4209	2021-11-15 00:14:37.948	5	5	7366860	4
20211115-8806309372597728795	0	37778	2021-11-15 00:45:24.477	1	1	4240142	3
20211115--7050614876026849685	1	3960	2021-11-15 00:05:19.172	1	1	8530470	4
20211115-4049480429528421174	-1	34443	2021-11-15 12:23:39.789	5	5	3740650	3
20211115-5433822718501189422	1	3167	2021-11-15 07:06:49.117	52	3	9798094	4
20211115-5562706320794170389	1	29878	2021-11-15 15:16:12.790	4	4	7916181	4
20211115-2435249833327877647	0	34738	2021-11-15 06:55:46.388	5	5	322797	3
20211115--1698009388537210891	0	27789	2021-11-15 15:46:49.401	2	2	7757765	1
20211115--6856522604487654627	0	24307	2021-11-15 15:51:51.432	2	2	6660036	3
20211115--7786227609749659284	0	13367	2021-11-15 08:32:02.480	2	2	6836164	1
20211115--6172959686496522749	0	12637	2021-11-15 10:11:34.286	5	5	9822618	2
20211115--5245451886389551373	1	34226	2021-11-15 08:30:07.292	4	4	6740687	2
20211115-6805553113294805091	1	17354	2021-11-15 18:44:21.143	17	3	6115434	3
20211115--6697750676367500462	-1	4966	2021-11-15 02:32:19.256	4	4	1696040	2
20211115-6686480504645567861	1	695	2021-11-15 02:46:23.383	4	4	2570780	4
20211115-6508337174671196271	0	16440	2021-11-15 16:29:26.652	2	2	55725	2
20211115--148273161240468790	1	15148	2021-11-15 03:38:04.854	5	5	7736558	3
20211115--6636133511606553023	1	14336	2021-11-15 17:29:49.920	5	5	2417638	4
20211115--3457746980936031307	0	39938	2021-11-15 22:54:51.423	72	3	364729	4
20211115--7080683438896701289	0	12567	2021-11-15 09:07:03.818	4	4	1024785	4
20211115--797262682588319505	0	6328	2021-11-15 05:08:13.202	2	2	1645584	3
20211115-6593450840732034615	0	9277	2021-11-15 21:28:18.386	2	2	7946670	4
20211115--5254820403389435168	-1	36520	2021-11-15 13:41:06.677	4	4	363431	4
20211115--7702406077082956434	-1	2603	2021-11-15 05:24:44.178	5	5	7056244	1
20211115--4328722182812014759	-1	38098	2021-11-15 15:13:06.889	5	5	2090582	3
20211115-5614651659177071726	0	17785	2021-11-15 19:06:28.537	4	4	2451387	3
20211115--1059018265679916976	-1	34497	2021-11-15 07:16:24.347	4	4	3128753	1
20211115--2401785650673050913	0	876	2021-11-15 21:52:51.975	1	1	7114861	1
20211115--1782269330708600224	1	15418	2021-11-15 16:37:58.001	5	5	6181839	2
20211115-7041157234047803300	0	1281	2021-11-15 09:41:50.880	4	4	2900136	2
20211115--5388865990536270457	-1	11444	2021-11-15 16:59:27.146	1	1	2252948	1
20211115-3182640250531525767	0	30548	2021-11-15 10:24:48.895	1	1	2409258	1
20211115-3505112581922031594	1	3177	2021-11-15 00:47:52.136	5	5	3237005	1
20211115--6835840379401610843	0	797	2021-11-15 04:47:00.643	5	5	1878940	2
20211115--4134056705243987765	1	11986	2021-11-15 07:17:28.760	2	2	8210874	3
20211115--6567524547981177549	1	36317	2021-11-15 22:31:23.946	5	5	6163790	4
20211115--2840638062257907951	1	242	2021-11-15 12:04:55.347	75	3	4270893	3
