transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211116--5996451196585396544	1	10025	2021-11-16 09:35:54.899	2	2	5559321	2
20211116-2313774667658438296	0	33619	2021-11-16 20:36:24.568	5	5	7622228	3
20211116-7026422967069352355	0	16699	2021-11-16 14:58:22.057	38	3	3876610	3
20211116-5784652118820557336	-1	9721	2021-11-16 00:53:14.264	5	5	3689466	4
20211116-3757853255156578872	0	11302	2021-11-16 21:59:51.144	4	4	9062949	3
20211116-7605905389078592648	1	33698	2021-11-16 05:29:31.184	5	5	6106567	2
20211116--4757695375878658631	-1	17066	2021-11-16 08:14:49.111	1	1	6526707	1
20211116--1842394917271304948	0	9751	2021-11-16 17:09:57.356	5	5	3136317	1
20211116--3119574990183890166	1	24118	2021-11-16 01:05:35.794	95	3	5003233	2
20211116-3544458405596039440	1	25680	2021-11-16 00:21:11.389	2	2	8874296	3
20211116-5776377607583853985	0	33699	2021-11-16 17:00:44.186	2	2	8371239	1
20211116--6159369837378146427	0	35413	2021-11-16 04:01:11.433	4	4	9199506	3
20211116-8455189711032562932	0	26293	2021-11-16 10:52:17.428	4	4	4884205	4
20211116-5202790507777796044	-1	15487	2021-11-16 09:09:51.301	2	2	1549621	2
20211116-262243205200563636	0	2230	2021-11-16 13:54:21.019	4	4	4153202	3
20211116-106311337612310357	0	20160	2021-11-16 07:17:58.772	4	4	7687540	1
20211116--7223533292707582112	0	38520	2021-11-16 00:21:43.817	4	4	4343187	4
20211116--5125817516546166037	0	1669	2021-11-16 01:04:00.556	5	5	4798999	1
20211116--8023608997966097117	-1	27122	2021-11-16 17:52:29.920	1	1	9364089	1
20211116-5155931641700353733	-1	32715	2021-11-16 04:53:47.137	2	2	9046498	4
20211116-4364453870237860385	0	11098	2021-11-16 12:38:09.509	1	1	9647536	2
20211116-6742117735747203481	-1	12159	2021-11-16 08:34:12.463	2	2	5850767	2
20211116-2979559976772554815	0	2877	2021-11-16 16:34:05.784	37	3	6870510	3
20211116-4169529653611885838	1	12500	2021-11-16 03:01:01.050	1	1	8864476	3
20211116-3648294487514401062	1	7648	2021-11-16 14:07:04.765	4	4	3559165	3
20211116-5360676981658152754	0	29616	2021-11-16 20:03:19.664	106	3	9229508	4
20211116-1871438342765452630	-1	20128	2021-11-16 21:28:44.580	88	3	1923444	3
20211116--3289479098710568323	-1	32311	2021-11-16 16:34:15.140	73	3	2930582	2
20211116-6985747307721206082	0	17207	2021-11-16 04:09:03.197	1	1	5878794	4
20211116-8797019406624572258	0	6553	2021-11-16 01:26:01.149	5	5	2460764	3
20211116--4332110984372575919	0	24710	2021-11-16 23:34:04.497	1	1	3387526	3
20211116--3819537700791661259	0	22731	2021-11-16 16:29:35.068	4	4	4214323	3
20211116--1799366998708887928	-1	39827	2021-11-16 00:10:28.829	4	4	4367289	2
20211116--7965763206923615415	0	12206	2021-11-16 09:24:36.528	5	5	9282298	3
20211116--6269940506247944263	-1	4589	2021-11-16 19:35:23.425	5	5	4055741	3
20211116-5151878983325567629	0	27168	2021-11-16 04:29:32.449	4	4	814596	2
