transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211117--3952765137177357875	-1	19239	2021-11-17 15:54:27.133	5	5	3624541	3
20211117--6901064603685429680	0	3048	2021-11-17 23:18:12.481	107	3	5649871	1
20211117--8585731690192064943	0	1666	2021-11-17 00:41:58.118	5	5	1002371	1
20211117-2056532487903347963	0	29653	2021-11-17 04:00:04.160	1	1	625348	1
20211117--4380734887230502767	0	12950	2021-11-17 15:58:13.907	2	2	7080905	4
20211117-464558543765327512	-1	34264	2021-11-17 22:00:26.389	5	5	320172	2
20211117-1307706858193748704	0	12271	2021-11-17 11:45:40.452	5	5	7447586	1
20211117--510156799480223739	0	3439	2021-11-17 00:14:22.313	72	3	1850349	1
20211117--152170639512899467	1	36803	2021-11-17 14:05:38.734	2	2	2732245	4
20211117-8489578172618741959	1	28844	2021-11-17 11:59:55.546	37	3	3189571	4
20211117-7841041327268119977	1	27566	2021-11-17 18:49:16.210	1	1	1420460	3
20211117-2601317564349534694	-1	18017	2021-11-17 15:03:29.061	5	5	1608648	1
20211117--7977817118020181299	-1	6090	2021-11-17 13:48:39.486	4	4	3942131	3
20211117--181335276173436553	-1	33999	2021-11-17 05:07:42.912	4	4	4866391	3
20211117--2415707591470271835	1	13423	2021-11-17 06:52:23.020	4	4	673097	3
20211117-5797697266955211469	0	11016	2021-11-17 06:10:28.129	5	5	1855543	4
20211117-1965718174383250610	-1	21257	2021-11-17 23:44:37.587	4	4	3202694	4
20211117--7537677885156132535	-1	34205	2021-11-17 17:07:29.463	5	5	9256263	4
20211117-4328045315538025353	0	38315	2021-11-17 07:08:00.253	5	5	8166483	3
20211117--8452182760656736404	0	28290	2021-11-17 19:44:55.459	29	3	1949103	2
20211117--8090323551525387313	1	12782	2021-11-17 19:50:19.113	2	2	5657476	2
20211117-440322359646677894	-1	38926	2021-11-17 01:45:27.728	95	3	8669768	3
20211117--3933622608153735253	0	37290	2021-11-17 11:07:26.937	1	1	3230021	2
20211117-2867207288008574910	1	12886	2021-11-17 13:12:43.068	1	1	2960917	4
20211117--2749685125756492727	0	21820	2021-11-17 18:52:13.683	2	2	5823966	1
20211117--5292630018819809561	1	14074	2021-11-17 14:23:14.216	2	2	8571364	2
20211117--4717409074558306928	1	38148	2021-11-17 08:17:48.794	2	2	9364182	4
20211117-36309182146873954	-1	33602	2021-11-17 13:01:04.005	90	3	3205076	1
20211117--4058622366344628852	-1	26575	2021-11-17 15:57:17.372	2	2	8832156	4
20211117-5067415671901748027	0	6973	2021-11-17 17:55:16.901	57	3	9024375	3
20211117-4089013076001771455	1	7526	2021-11-17 10:47:33.476	5	5	9409810	2
20211117--4723822605275886057	0	7638	2021-11-17 13:25:06.477	39	3	6619874	3
20211117--7166917315248887713	0	36530	2021-11-17 23:24:05.204	107	3	8410468	2
20211117--386510946990023832	1	30189	2021-11-17 22:09:23.547	2	2	1003045	1
20211117--551047147556342427	0	2539	2021-11-17 00:41:13.052	4	4	8038361	2
20211117-3296724548727884442	0	24113	2021-11-17 16:22:26.379	2	2	5552093	4
20211117-329519104984491540	-1	31140	2021-11-17 09:13:23.105	1	1	7281484	1
20211117-8638869252568065081	0	34846	2021-11-17 03:49:42.303	16	3	1450841	1
20211117-1671277618858416253	0	9530	2021-11-17 08:01:56.850	4	4	9307065	3
20211117--103998437345785288	1	17081	2021-11-17 14:03:46.296	2	2	9847643	1
20211117-1871728580293033563	-1	25354	2021-11-17 13:15:52.795	4	4	2780577	3
20211117-3916508173676374883	0	11969	2021-11-17 07:43:34.442	29	3	1308376	4
20211117--4156534032935148169	1	34611	2021-11-17 16:47:25.829	5	5	4897720	4
20211117-1725551196219345551	0	18651	2021-11-17 04:36:19.131	1	1	4975232	1
20211117--4868957429091377413	-1	20754	2021-11-17 09:11:49.250	5	5	656538	1
20211117-254672883961798910	1	28076	2021-11-17 06:17:21.567	2	2	1606997	3
20211117-7821220940545259619	-1	13919	2021-11-17 15:48:46.826	1	1	8582213	1
20211117-4423783303737149249	0	95	2021-11-17 16:46:39.550	5	5	5745048	3
20211117-1235508419177485655	0	1105	2021-11-17 21:20:28.530	2	2	8779256	3
20211117--7672818770157395404	1	6728	2021-11-17 12:23:39.541	4	4	9571471	2
20211117--3472737519689157105	1	32400	2021-11-17 08:52:12.659	34	3	9656575	3
