transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211119--1242559918680115380	0	22557	2021-11-19 09:36:07.266	5	5	533654	3
20211119--191185609291921046	0	16525	2021-11-19 10:14:12.648	1	1	3966058	3
20211119--6340713954058888767	1	11109	2021-11-19 21:17:12.055	4	4	628364	1
20211119--6808360255621243017	1	17044	2021-11-19 15:02:00.257	2	2	6043633	4
20211119--8559811076199395748	0	30596	2021-11-19 16:37:17.068	2	2	293475	4
20211119--1940763541864713578	1	19223	2021-11-19 18:55:56.266	2	2	1011257	2
20211119-6400089464107488848	-1	9723	2021-11-19 23:44:59.866	5	5	385658	1
20211119-3621820063517874193	-1	32258	2021-11-19 23:09:35.154	13	3	7819448	2
20211119--6480711761183957614	0	21353	2021-11-19 06:16:21.152	4	4	7295984	1
20211119--1737586737001908851	0	1572	2021-11-19 18:24:53.913	2	2	6055070	1
20211119-525914036789364481	1	32791	2021-11-19 21:30:20.572	5	5	628033	3
20211119-3849738035638779187	0	20924	2021-11-19 01:48:19.128	4	4	7571608	1
20211119--1293020868245890776	1	26199	2021-11-19 19:44:36.985	1	1	2136098	3
20211119--1650745720170972676	-1	20222	2021-11-19 18:40:12.855	5	5	7866004	4
20211119-1965024120821227844	-1	11461	2021-11-19 19:36:21.213	2	2	4200918	4
20211119-6537900331536130338	1	11649	2021-11-19 15:57:46.093	5	5	30745	2
20211119--5977412897417892802	-1	16382	2021-11-19 20:49:36.603	4	4	8478815	2
20211119--2701762720604962889	0	14808	2021-11-19 04:29:58.237	2	2	6127477	3
20211119--4819402224519144526	-1	14181	2021-11-19 10:18:55.364	86	3	5611649	1
20211119--2863841338209146623	-1	17307	2021-11-19 02:02:22.801	66	3	4426882	4
20211119--29511395634394226	1	22417	2021-11-19 09:10:23.514	4	4	6850345	4
20211119--5821365760297217966	0	20122	2021-11-19 15:37:40.724	2	2	3466729	2
20211119-8720511330844786381	0	11555	2021-11-19 11:41:24.095	5	5	1602585	1
20211119--620228503007806672	-1	6223	2021-11-19 09:17:13.057	1	1	849380	2
20211119--3344955222234316742	0	28288	2021-11-19 16:26:23.113	1	1	7157848	1
20211119-13464028706635138	1	38485	2021-11-19 14:15:57.168	1	1	1486947	4
20211119-3379409395706691455	1	4311	2021-11-19 03:08:12.295	2	2	8508394	4
20211119-7680699747462609177	-1	18590	2021-11-19 11:17:11.623	2	2	3823697	1
20211119-8010428219830617864	0	22884	2021-11-19 19:09:36.268	44	3	6832151	3
20211119--8954108292056975405	1	11030	2021-11-19 07:18:28.500	2	2	9453076	1
20211119-4540109074983616925	0	37575	2021-11-19 01:01:54.919	2	2	2263761	2
20211119-3230055831950913927	-1	18580	2021-11-19 03:45:57.191	5	5	9994838	4
20211119-6317029282274082033	-1	37532	2021-11-19 06:57:24.295	1	1	6141910	1
20211119--7409754290402980203	-1	26651	2021-11-19 16:04:36.387	1	1	9141500	3
20211119-4207444378787538065	-1	15734	2021-11-19 18:57:47.615	1	1	3564923	1
20211119-5397331356947038173	0	8441	2021-11-19 21:49:35.920	1	1	2759897	3
20211119--1864506993545231744	0	37965	2021-11-19 10:16:24.931	1	1	2603341	1
20211119-4476103773671115549	-1	35189	2021-11-19 09:22:32.449	5	5	8046289	3
20211119-8833219632048103602	1	12149	2021-11-19 11:17:00.176	69	3	8884094	3
20211119-2885081979249978919	-1	27587	2021-11-19 23:40:42.890	4	4	4000544	3
20211119-66638502033002616	0	13361	2021-11-19 19:51:19.371	76	3	9621577	3
20211119-7554575366399246915	0	22276	2021-11-19 14:58:44.590	5	5	6334118	4
20211119-8200475432265444838	0	34375	2021-11-19 21:52:39.277	2	2	1871139	2
20211119-7347256748194192221	-1	37969	2021-11-19 09:32:26.104	2	2	2208030	3
20211119-1246571705747455044	-1	18036	2021-11-19 11:13:02.979	5	5	2853286	3
20211119-6187188075614539176	-1	22922	2021-11-19 23:59:23.432	2	2	2897644	4
20211119-1512133880867687043	-1	23374	2021-11-19 18:08:51.825	1	1	2708979	3
20211119-5998580083295882755	0	7491	2021-11-19 02:37:41.521	5	5	2095356	4
20211119--653249864478831004	1	23424	2021-11-19 11:26:15.440	5	5	1709027	4
20211119--8275419748412664284	-1	32232	2021-11-19 08:42:37.139	5	5	821014	2
20211119--5668038079760615401	1	35352	2021-11-19 22:30:43.681	5	5	7554745	2
20211119-6996527185374766437	-1	19570	2021-11-19 20:45:29.926	4	4	3717128	2
20211119-4680336263110725212	0	9374	2021-11-19 04:54:47.811	2	2	9611212	3
20211119--3745980785958797505	-1	37476	2021-11-19 16:41:34.251	5	5	5845880	2
20211119--2669924540176187146	-1	11006	2021-11-19 05:42:57.771	5	5	5381833	2
20211119-5775597969393303947	0	36507	2021-11-19 08:59:23.793	5	5	6982600	1
20211119-5658842546211067671	-1	7683	2021-11-19 14:23:06.220	4	4	2113687	2
20211119--1142522491094797746	0	34882	2021-11-19 19:24:01.037	2	2	9113488	1
20211119-191896073709352304	0	31382	2021-11-19 16:36:01.495	4	4	3440009	1
20211119--2757317443048230766	0	9538	2021-11-19 06:55:52.636	5	5	3540613	3
20211119-1155950428457792547	0	3843	2021-11-19 19:43:46.735	1	1	7008857	4
20211119-5188611580792392585	1	39323	2021-11-19 09:00:17.512	1	1	6873681	4
20211119-8190906498267887864	-1	12756	2021-11-19 17:40:29.176	2	2	7009866	4
20211119-6408441913248645664	1	17199	2021-11-19 00:41:44.753	4	4	7648139	3
20211119-1915265034075578769	0	2383	2021-11-19 03:34:30.218	4	4	8623734	4
20211119-2672682655832144299	1	17195	2021-11-19 09:42:23.880	5	5	414248	3
20211119--4957925746426051808	-1	14294	2021-11-19 14:08:33.383	1	1	3446770	3
20211119-5640447059371951438	-1	616	2021-11-19 01:44:49.969	27	3	9340554	1
20211119-5833564053349917804	-1	33815	2021-11-19 03:30:34.057	1	1	4303760	1
20211119-2967669563425599131	1	36991	2021-11-19 12:51:36.482	1	1	9202458	4
20211119-572194352410861781	-1	18061	2021-11-19 17:45:20.935	4	4	7829723	4
20211119-7104870139734105583	-1	7165	2021-11-19 11:47:39.139	49	3	4230335	1
20211119--7847786746040635630	-1	26008	2021-11-19 19:48:45.602	5	5	9116995	2
20211119--5963833226215044338	-1	23452	2021-11-19 18:08:55.428	1	1	6492618	3
20211119-7783498368665473154	0	7577	2021-11-19 22:21:52.667	5	5	8077239	1
20211119--1926377958170606386	0	31446	2021-11-19 05:59:59.768	2	2	9027301	3
20211119-7048635563286277978	-1	7944	2021-11-19 14:02:32.675	1	1	5231798	4
20211119--4552967338620836902	0	26985	2021-11-19 13:56:24.664	2	2	7149301	1
20211119--5091965211597414954	-1	12644	2021-11-19 04:11:47.739	5	5	3338963	1
20211119-1640283655740085539	1	1218	2021-11-19 02:18:32.440	1	1	8345360	4
20211119-2200738285854976574	1	15423	2021-11-19 04:19:14.463	2	2	4347339	4
20211119--5604644340258468156	0	23234	2021-11-19 16:17:23.965	55	3	8235303	4
20211119--3083139784447983802	1	13107	2021-11-19 17:04:30.519	4	4	7641456	1
20211119--2294095985127335358	1	19400	2021-11-19 04:23:46.566	5	5	5516592	1
20211119-9035227160403429989	1	1919	2021-11-19 17:23:14.627	1	1	6752998	3
20211119-7543794401602729836	-1	12292	2021-11-19 14:30:08.550	1	1	3821313	4
20211119-1562889870058178502	-1	12573	2021-11-19 10:53:11.620	53	3	642120	4
20211119-3683501223573551190	0	1686	2021-11-19 20:23:06.274	5	5	8591448	4
20211119--3283217423606279676	1	1076	2021-11-19 11:14:35.637	2	2	3721853	4
20211119-885063640519362472	0	17683	2021-11-19 13:28:20.024	5	5	4389738	4
