transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211120-2282552178766021176	1	38545	2021-11-20 10:52:51.547	59	3	3292583	1
20211120-5287131431034664666	1	9718	2021-11-20 00:28:00.612	86	3	5754842	1
20211120--4308007824146263448	1	12023	2021-11-20 19:47:30.276	74	3	9726029	4
20211120--6731766502318902017	-1	30382	2021-11-20 13:57:12.951	4	4	2156868	4
20211120-7325135579055121642	-1	22759	2021-11-20 23:51:00.711	4	4	8233980	2
20211120-5242170201209498717	-1	32438	2021-11-20 02:00:57.583	2	2	6059089	4
20211120-4718893720258134111	1	19650	2021-11-20 07:50:27.777	41	3	8347006	2
20211120-5509723991919614273	-1	9386	2021-11-20 15:14:40.671	4	4	154632	2
20211120--7495023285429966386	0	21700	2021-11-20 12:09:18.480	2	2	8252757	4
20211120--7673582605435089542	0	23505	2021-11-20 04:20:17.280	1	1	4672267	3
20211120--7715815464949355658	0	25818	2021-11-20 05:37:50.930	47	3	5354321	4
20211120--5555692918208303850	-1	25154	2021-11-20 09:40:34.531	1	1	2792561	1
20211120--8867854246167040890	1	34619	2021-11-20 20:34:33.680	2	2	6335613	1
20211120--7726685739333512193	-1	28714	2021-11-20 09:43:10.082	1	1	4549381	2
20211120--5072256032145725870	0	21672	2021-11-20 14:04:48.832	1	1	2370703	3
20211120-2708519814187309723	0	15391	2021-11-20 08:09:22.600	18	3	1036912	4
20211120-4280817558219463110	-1	8403	2021-11-20 05:32:07.426	4	4	7187791	1
20211120-8617144413163860027	1	35621	2021-11-20 17:08:01.140	5	5	6482195	3
20211120-3166342529250210459	1	13945	2021-11-20 05:17:17.377	1	1	2811261	4
20211120-7487579995176849974	-1	15342	2021-11-20 17:59:00.312	5	5	7489656	4
20211120-2371694686640235688	1	27217	2021-11-20 11:06:42.716	5	5	9052745	1
20211120-7098529406527071132	0	34085	2021-11-20 17:52:32.889	1	1	7265368	4
20211120-7054025317092269206	0	15155	2021-11-20 11:49:32.458	5	5	8112236	2
20211120-4615484491901087456	1	16125	2021-11-20 08:19:07.417	4	4	7128852	4
20211120--5211571480963805586	0	25028	2021-11-20 04:58:44.763	2	2	8577196	1
20211120--3643138520575253496	-1	18821	2021-11-20 13:28:36.751	1	1	8323015	3
20211120-5424055575568765764	-1	38311	2021-11-20 04:00:56.498	61	3	3057932	4
20211120-7028128853630636962	-1	31621	2021-11-20 12:38:21.452	5	5	6186318	2
20211120--2617873927908867113	-1	39289	2021-11-20 18:14:57.910	1	1	4044468	4
20211120-4759384795402880807	0	39904	2021-11-20 16:06:12.685	2	2	1528708	1
20211120--6994602124504081985	0	24237	2021-11-20 01:29:28.288	1	1	4221651	4
20211120-5280975925539326308	0	19927	2021-11-20 05:43:26.762	5	5	5326975	2
20211120-7474752539205381574	-1	8466	2021-11-20 00:22:32.256	5	5	3276341	4
20211120--235633780142082004	1	26557	2021-11-20 04:29:25.881	1	1	5175108	2
20211120-8877561239549279468	1	22071	2021-11-20 21:08:21.669	1	1	9087685	4
20211120--7420332280733940631	0	36712	2021-11-20 04:58:12.498	4	4	4428512	1
20211120-521852617831983656	0	1951	2021-11-20 01:44:35.382	4	4	288486	4
20211120-3126110199862167146	1	3271	2021-11-20 00:04:45.420	5	5	5020461	3
20211120--1351631461015239548	1	35445	2021-11-20 07:47:15.419	5	5	3133575	2
20211120-1806816906119568389	1	18199	2021-11-20 17:31:04.030	5	5	4715643	2
