transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211121-462157369098886467	1	30694	2021-11-21 19:36:03.277	4	4	3958505	3
20211121--3751054011197843325	0	26996	2021-11-21 16:07:02.078	4	4	3033005	4
20211121--939392298792642939	0	29186	2021-11-21 20:49:07.277	2	2	8760648	1
20211121--8785442296682710389	0	16606	2021-11-21 06:14:52.579	2	2	5845877	4
20211121--1302823124992183727	1	32861	2021-11-21 05:49:38.711	49	3	8201416	3
20211121-8270184606973740244	-1	6401	2021-11-21 00:47:41.122	4	4	3010287	4
20211121-1351933494886696404	-1	14455	2021-11-21 02:29:19.719	1	1	3666256	4
20211121--8984928386166505405	1	14547	2021-11-21 12:32:12.566	5	5	7343364	1
20211121--2767829756125217651	1	8781	2021-11-21 07:58:46.998	2	2	2080807	4
20211121--3484309094514195187	0	14761	2021-11-21 15:25:19.851	4	4	1956607	2
20211121-4360432616954866553	-1	31329	2021-11-21 04:42:57.397	5	5	2212931	3
20211121--1725265772778244115	1	22779	2021-11-21 02:46:58.497	4	4	7717752	4
20211121--1414095635203098817	-1	24966	2021-11-21 21:22:47.031	2	2	732088	1
20211121-6034528964697642139	-1	11814	2021-11-21 02:15:06.329	4	4	737460	4
20211121-7688089176272630150	1	10589	2021-11-21 21:01:27.055	4	4	5416142	2
20211121--971904641707130251	-1	22513	2021-11-21 16:47:10.740	1	1	5390306	1
20211121--1060042018906745691	-1	29947	2021-11-21 17:49:01.031	5	5	7183720	2
20211121-120105663890542732	0	3518	2021-11-21 11:35:12.908	4	4	4510187	4
20211121--5908415714551388709	1	18282	2021-11-21 04:02:54.864	1	1	2772474	2
20211121-8861840660758581742	1	21351	2021-11-21 10:01:21.421	1	1	3512681	4
20211121-8512174120890530461	-1	26566	2021-11-21 18:48:17.210	1	1	3430819	4
20211121-7150300799334795921	0	20548	2021-11-21 12:14:24.837	5	5	2141942	1
20211121-3993949948552106707	0	12184	2021-11-21 01:05:14.237	5	5	5990376	3
20211121--9019783003304113905	0	5837	2021-11-21 06:33:34.414	43	3	9394169	2
20211121--8575071676807609796	0	26730	2021-11-21 17:08:16.031	1	1	578647	2
20211121-5583827187719619424	0	25981	2021-11-21 23:29:22.566	1	1	5107524	1
20211121-5774014376772373138	0	15974	2021-11-21 04:45:37.440	1	1	3585868	2
20211121-1025936027135434423	0	11381	2021-11-21 21:16:52.003	1	1	9052418	3
20211121-8702883822829288758	0	24181	2021-11-21 08:57:30.021	1	1	1045077	4
20211121-6913322373717330715	-1	11108	2021-11-21 04:56:19.025	21	3	6072510	3
20211121--8002497619034892790	-1	8057	2021-11-21 03:49:13.120	4	4	7064103	1
20211121--5172787623596123966	1	19270	2021-11-21 20:06:00.412	2	2	4975662	3
20211121-722261028757589798	1	3681	2021-11-21 03:30:48.824	2	2	8739387	1
20211121--5714149240659137772	0	3416	2021-11-21 11:55:54.561	4	4	6649230	3
20211121--2760316569110312238	0	35936	2021-11-21 19:02:31.416	80	3	6290091	1
20211121-4275577246992580525	1	1801	2021-11-21 14:27:20.080	2	2	8098448	4
20211121--7460172332139320275	0	33475	2021-11-21 14:07:28.896	4	4	5196847	1
20211121--3268408299777206689	-1	34010	2021-11-21 12:59:46.075	55	3	6007236	2
20211121--451981972070393853	1	25800	2021-11-21 21:46:25.672	74	3	9933508	3
20211121-8998039394225723329	1	16277	2021-11-21 15:05:13.367	4	4	7249455	2
20211121--282785577302623621	-1	12662	2021-11-21 23:19:36.596	69	3	1580381	4
20211121-635880403552687589	-1	16641	2021-11-21 20:34:12.886	1	1	8294783	2
20211121-5267735493128321839	1	10709	2021-11-21 02:42:30.521	5	5	455024	2
20211121--6586267549007235407	-1	20510	2021-11-21 17:48:44.861	2	2	8119856	4
20211121--896496179927205089	1	32458	2021-11-21 14:38:15.037	5	5	4601309	3
20211121--5186935100817229949	-1	2424	2021-11-21 22:42:32.163	52	3	7933770	2
20211121-322610110369721615	1	1159	2021-11-21 00:07:03.572	5	5	5654226	3
20211121--3251278901881527630	0	2898	2021-11-21 22:52:52.262	5	5	2849924	1
20211121--3003740240055026583	-1	3660	2021-11-21 03:04:02.731	5	5	6353291	3
20211121-7682013635444639587	-1	39304	2021-11-21 00:14:49.191	4	4	3518869	1
20211121--8715093057092743609	-1	27848	2021-11-21 07:47:06.697	4	4	1822249	4
20211121-7575985914706134502	-1	19013	2021-11-21 07:26:13.056	4	4	9008967	1
20211121--9018554303609166057	0	12824	2021-11-21 04:43:11.509	82	3	4167469	2
20211121-2122691955347494951	-1	31681	2021-11-21 16:32:44.152	49	3	207733	4
20211121--5051209225195923360	1	39433	2021-11-21 22:58:54.138	1	1	9776703	2
20211121-4643070537810245566	0	29892	2021-11-21 01:31:22.834	4	4	7025423	4
20211121--2580140689451386739	0	26007	2021-11-21 19:46:52.983	2	2	3408436	4
20211121-5391364603795591604	0	11633	2021-11-21 01:14:48.935	1	1	5922319	4
20211121--6500300200029631211	1	15368	2021-11-21 08:24:31.592	4	4	8415633	1
20211121--2497476981894908354	0	31098	2021-11-21 17:24:21.668	5	5	8156551	3
20211121-7466533628260549909	-1	34229	2021-11-21 23:23:22.791	4	4	5006834	1
20211121--4755992007041939018	0	34648	2021-11-21 15:15:55.958	5	5	3304011	2
20211121-8599740603157374775	0	28315	2021-11-21 06:25:17.940	2	2	7727388	2
20211121-1039158802427798325	-1	11479	2021-11-21 15:23:45.674	4	4	7853700	4
20211121--4169804407599601822	-1	16415	2021-11-21 20:51:02.354	5	5	9027151	1
20211121-5162307183807838393	1	20076	2021-11-21 18:38:24.773	11	3	3192957	4
20211121--2082881751875626570	1	26852	2021-11-21 14:45:16.107	4	4	8941686	3
20211121--5682561655354134059	-1	9904	2021-11-21 00:37:42.528	4	4	7471469	3
20211121-2442221077804685759	1	2485	2021-11-21 20:38:42.785	4	4	5234030	2
20211121-7545365838823174313	1	13414	2021-11-21 05:10:17.299	98	3	2245017	1
20211121-4731534449700013478	-1	37106	2021-11-21 22:10:04.221	5	5	9921844	4
20211121--8344436365474376107	-1	5465	2021-11-21 04:22:57.891	1	1	5749809	2
20211121-2026279662197256606	-1	26187	2021-11-21 10:48:31.908	4	4	6847749	1
20211121--3969837605285581785	1	32616	2021-11-21 12:59:48.764	65	3	5048953	2
20211121--4807244428439193054	-1	26688	2021-11-21 03:37:33.625	32	3	4846202	4
20211121-9199642210472477459	-1	4346	2021-11-21 10:02:43.930	5	5	5226278	4
20211121-8906959650567411171	1	22850	2021-11-21 06:38:30.409	4	4	6985325	4
20211121--3225458116822058176	0	33612	2021-11-21 09:53:04.538	2	2	5766879	3
20211121--6078020060791834267	1	1694	2021-11-21 16:07:10.343	1	1	8773661	2
20211121-128392820609005651	-1	17896	2021-11-21 23:45:09.433	2	2	4727511	4
20211121-2413545400854450210	1	13881	2021-11-21 19:07:08.915	5	5	9903367	3
20211121-3646478016325707272	0	12612	2021-11-21 17:45:18.714	5	5	9754959	3
20211121-2666720931594220746	-1	32600	2021-11-21 16:32:07.292	5	5	5586306	3
20211121-5560006940360417028	0	22736	2021-11-21 07:45:47.090	5	5	7475668	3
20211121-6069417745900112568	0	11109	2021-11-21 20:20:23.396	4	4	466726	2
20211121--3298405004054052972	0	8668	2021-11-21 07:04:30.137	4	4	3092549	2
20211121-7337112833158076590	-1	30047	2021-11-21 17:24:49.495	5	5	7217340	4
20211121-4881510818829907246	-1	12258	2021-11-21 04:57:36.544	66	3	2845351	2
20211121-6651977168083885292	-1	3730	2021-11-21 15:54:46.462	4	4	8684894	4
20211121--5938715265030246868	-1	23138	2021-11-21 05:13:33.746	1	1	5823775	2
20211121-4864639375488910019	0	22222	2021-11-21 10:56:18.782	4	4	4865917	4
20211121--8510499659924293334	1	34822	2021-11-21 12:22:06.680	2	2	398377	3
20211121-1887579568636645600	0	24298	2021-11-21 18:12:17.461	2	2	9112524	2
20211121--7177164206097681782	-1	27533	2021-11-21 21:52:15.364	5	5	2445403	1
20211121-6001433717918765795	1	3263	2021-11-21 17:54:54.792	1	1	5219931	2
20211121-6510376593072182002	1	36667	2021-11-21 00:38:11.606	4	4	8196671	1
20211121--2689350820111707874	1	16051	2021-11-21 21:56:01.617	109	3	1526891	1
20211121--2226477349988218074	-1	35593	2021-11-21 19:58:54.300	5	5	702028	4
20211121--2468313964515922183	0	9442	2021-11-21 20:05:45.774	5	5	906419	2
20211121-7736924292933341219	0	497	2021-11-21 20:52:33.130	1	1	5583617	3
20211121--4287537672048652671	0	33324	2021-11-21 08:09:04.542	1	1	2755057	1
20211121-2719935198087202842	1	20840	2021-11-21 02:53:53.374	2	2	7786104	3
20211121--2485227438333630738	1	144	2021-11-21 12:35:21.597	1	1	6785555	2
20211121--3099805305151808151	1	29561	2021-11-21 22:45:06.488	4	4	9233825	4
20211121--1197701814531983606	1	25230	2021-11-21 12:53:05.224	1	1	3664254	4
20211121-4045861667573178652	-1	7068	2021-11-21 13:08:21.231	88	3	738182	4
20211121-919682633383049905	0	36135	2021-11-21 04:52:37.867	4	4	9756246	3
20211121-4277731597689195731	0	5877	2021-11-21 20:38:11.284	2	2	4141307	2
20211121--7652991051056045579	1	29763	2021-11-21 16:03:09.597	4	4	4003660	1
20211121--1374892288282092217	-1	4991	2021-11-21 04:44:02.540	5	5	9560980	3
20211121--2896849699773976879	0	11369	2021-11-21 13:25:07.138	5	5	12145	1
20211121--6715712912358624739	0	11610	2021-11-21 00:34:10.320	4	4	2081123	3
20211121-1884486777592006756	-1	21169	2021-11-21 09:09:31.657	2	2	3422515	2
20211121--7756980933114677336	-1	11640	2021-11-21 10:48:25.634	2	2	8253559	3
20211121--171839323571249742	0	12983	2021-11-21 19:16:31.211	2	2	9220855	1
20211121-5048909315607282727	1	10044	2021-11-21 12:01:19.236	1	1	8967699	3
20211121--320749701665008795	1	37313	2021-11-21 15:32:25.332	4	4	464475	4
20211121-5501241417634644721	0	33413	2021-11-21 00:36:09.693	2	2	4209141	1
20211121-8012114030004578240	-1	32961	2021-11-21 03:09:30.231	4	4	8139772	1
