transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211123--5952952133728616007	1	560	2021-11-23 16:59:09.012	4	4	8536084	1
20211123-5329590223772973188	0	39430	2021-11-23 18:32:36.660	1	1	8403532	1
20211123-930393683681330382	1	17525	2021-11-23 02:33:42.634	2	2	5841716	1
20211123-3390828349966559761	1	24639	2021-11-23 16:04:43.100	1	1	2386668	3
20211123--6112087695799298101	1	14325	2021-11-23 15:04:40.808	2	2	9383681	3
20211123--131869954712833450	1	35408	2021-11-23 04:24:21.828	61	3	8891099	3
20211123--5489195224240003090	1	3591	2021-11-23 15:34:27.172	5	5	5270930	3
20211123--1545144636911504236	0	37190	2021-11-23 00:30:51.355	4	4	1391218	2
20211123-980509852416466507	1	548	2021-11-23 13:24:33.735	2	2	4196262	1
20211123--6164577152555808544	-1	11538	2021-11-23 02:24:30.542	5	5	2183666	3
20211123-6948295948374301590	0	12825	2021-11-23 11:14:10.628	56	3	6763474	1
20211123-8327874348918058843	-1	1935	2021-11-23 21:45:48.697	1	1	2911533	2
20211123--8441971560283674421	-1	6587	2021-11-23 15:11:34.280	2	2	9854980	2
20211123-694667291792278834	-1	13140	2021-11-23 20:00:29.867	2	2	4167333	3
20211123--5789580946000879969	1	15936	2021-11-23 03:28:13.146	29	3	3090127	4
20211123--799694143830983606	1	14525	2021-11-23 02:04:57.364	21	3	7848707	3
20211123-6754196575260159450	0	16004	2021-11-23 22:01:43.206	2	2	4306521	3
20211123--4631529255034776448	1	28166	2021-11-23 11:43:38.029	88	3	5733364	2
20211123-6735430697008837816	-1	38442	2021-11-23 06:23:27.329	2	2	2958515	1
20211123--2885121627660041606	0	3965	2021-11-23 03:49:09.688	2	2	1346934	3
20211123--826335641420521862	-1	17619	2021-11-23 09:55:15.134	5	5	7114240	2
20211123--7922028430007503833	-1	10633	2021-11-23 12:10:37.605	36	3	1657790	1
20211123-8395891531861228973	0	6332	2021-11-23 12:37:38.119	1	1	4528406	1
20211123-8677293658301184921	-1	29722	2021-11-23 09:53:38.853	2	2	2406424	1
20211123-5583634179945153567	-1	20495	2021-11-23 14:59:42.263	2	2	6464923	1
20211123-2004460884722199913	0	31444	2021-11-23 14:31:38.230	4	4	7869342	3
20211123--6149973212437908763	0	1358	2021-11-23 17:59:10.442	4	4	1435725	1
20211123--3417554804523597978	1	26271	2021-11-23 19:05:51.926	1	1	3889971	4
20211123-8994850156952895298	0	32733	2021-11-23 08:27:19.240	53	3	6142781	3
20211123-2408610772173442998	0	11608	2021-11-23 01:55:28.355	5	5	9917370	4
20211123--749811049478530627	0	12610	2021-11-23 16:49:31.058	52	3	124978	2
20211123--7365331847528193175	-1	28314	2021-11-23 19:21:35.640	5	5	2319578	3
20211123-4848922805632121164	-1	36771	2021-11-23 05:36:52.370	5	5	1602001	4
20211123--5104055828093064293	0	26977	2021-11-23 16:56:29.088	1	1	2084364	1
