transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211124-8947468269106786941	0	7761	2021-11-24 04:43:06.687	1	1	4392472	3
20211124-2007737126860142331	-1	31215	2021-11-24 03:08:47.355	4	4	5850871	1
20211124-6150056218432483915	-1	2906	2021-11-24 03:21:26.048	1	1	7730875	3
20211124-8448177976882370640	-1	33183	2021-11-24 20:27:55.376	2	2	1260095	2
20211124--7730747118918520097	0	16516	2021-11-24 14:29:22.750	2	2	3569689	4
20211124-9199689540869007178	-1	5830	2021-11-24 10:39:52.239	5	5	7058467	2
20211124--5385380435063740380	1	17551	2021-11-24 12:43:41.691	5	5	1086434	1
20211124--5154304956439086840	-1	19076	2021-11-24 01:49:21.277	54	3	2512140	2
20211124-5957630577285839703	1	1998	2021-11-24 16:09:02.709	5	5	4130712	2
20211124-3802365892985556924	-1	5391	2021-11-24 21:18:45.970	2	2	2866584	4
20211124--3119501555805753690	1	10685	2021-11-24 16:15:41.977	71	3	5458832	3
20211124--8837705580323821052	0	35221	2021-11-24 14:58:20.158	5	5	2605393	4
20211124-7998587707469167111	-1	14743	2021-11-24 01:57:50.485	1	1	1307137	2
20211124-1050635038194631958	-1	16742	2021-11-24 06:58:36.043	87	3	8857634	4
20211124-98847451269529543	1	38842	2021-11-24 09:02:01.852	5	5	7593195	2
20211124--6622334738902868691	-1	28463	2021-11-24 03:07:42.956	1	1	4552918	1
20211124--416333682995338982	0	6080	2021-11-24 23:30:50.915	2	2	389041	3
20211124--5494953116491007030	1	16273	2021-11-24 14:28:11.113	4	4	349314	3
20211124-7815519068539720988	-1	31187	2021-11-24 19:00:42.489	4	4	4768650	2
20211124--6290679049493472833	-1	18158	2021-11-24 12:51:18.383	13	3	8326925	1
20211124--2178181699938377279	0	19217	2021-11-24 11:03:53.524	2	2	5073088	4
20211124-10308205255449036	1	9386	2021-11-24 23:55:12.496	1	1	2172238	2
20211124-8171314953676519605	1	7571	2021-11-24 23:59:55.285	2	2	6324036	2
20211124--2691228311867604628	0	17489	2021-11-24 18:29:33.028	4	4	8986242	2
20211124-3886423199864100237	1	37165	2021-11-24 11:51:15.090	5	5	6311372	4
20211124-3794845917788127827	-1	33672	2021-11-24 17:28:11.049	2	2	7128872	3
20211124-6093759265629744024	0	23154	2021-11-24 04:48:18.902	2	2	6322310	2
20211124--1441294314303325624	0	14081	2021-11-24 16:05:49.743	2	2	3588330	4
20211124--8633721552656201619	1	21666	2021-11-24 00:04:45.718	2	2	6395016	1
20211124-596391179939660223	1	12445	2021-11-24 16:49:48.031	4	4	3131914	1
20211124-169010935391526658	0	6945	2021-11-24 10:41:27.644	2	2	248578	3
20211124--6376507790577087988	1	3990	2021-11-24 10:50:47.771	2	2	2705584	1
20211124-4573748990802696893	1	2334	2021-11-24 09:42:49.752	10	3	1597221	1
20211124--4045847267042419331	1	28101	2021-11-24 12:42:14.776	2	2	474485	2
20211124-3462935147205723821	-1	17164	2021-11-24 06:42:09.885	5	5	738978	2
20211124-2476591727878881911	-1	19094	2021-11-24 03:21:38.431	96	3	5487793	2
20211124--6124162492310273855	0	12419	2021-11-24 08:42:06.783	5	5	6233915	4
20211124--6493437851530572702	0	14454	2021-11-24 09:07:33.701	52	3	7151082	2
20211124-9034826347687438668	1	38229	2021-11-24 22:08:50.207	5	5	373774	4
20211124-1695199560072244673	0	2434	2021-11-24 04:19:25.272	22	3	8693548	3
20211124-7253594191271996762	0	14784	2021-11-24 12:31:58.539	4	4	8310368	4
20211124-8362926511695262162	1	10197	2021-11-24 18:45:57.118	1	1	4994209	4
20211124-8406875132463370411	1	4584	2021-11-24 04:05:07.708	4	4	310894	2
20211124--6827773604193975904	1	4402	2021-11-24 09:54:26.720	4	4	2566723	2
20211124--7392088577424985413	-1	32475	2021-11-24 12:29:22.898	5	5	1358607	4
20211124-3700400142581413214	0	9512	2021-11-24 00:12:30.330	106	3	5390519	3
20211124-688168183804049100	-1	17720	2021-11-24 11:59:39.522	5	5	8509913	1
20211124--7277346008003313111	-1	7401	2021-11-24 18:00:46.939	49	3	6545113	4
20211124--4009549491449434888	-1	29783	2021-11-24 05:10:32.477	84	3	4861308	3
20211124--2892851156412638203	1	39606	2021-11-24 04:21:48.384	1	1	7505556	1
20211124--744313091249778072	1	32698	2021-11-24 01:48:41.365	2	2	3782139	3
20211124--5033341384098811992	0	16278	2021-11-24 07:02:36.310	5	5	3895973	2
20211124-2478562096493336334	0	955	2021-11-24 11:00:29.213	66	3	6803808	4
20211124--3668586302364587201	-1	38758	2021-11-24 16:06:31.716	2	2	3437442	3
20211124--824993415891319167	1	1754	2021-11-24 08:28:57.667	4	4	5211113	2
20211124--6953658030403866822	-1	19791	2021-11-24 04:38:22.317	20	3	4971127	1
20211124--8469038691483196868	1	35044	2021-11-24 20:00:04.063	4	4	9895055	2
20211124-8758283915274554990	1	924	2021-11-24 10:42:47.401	4	4	8971004	1
20211124-2826555778723394743	1	2488	2021-11-24 20:20:40.374	1	1	757773	3
20211124--3725613717481284695	1	12237	2021-11-24 23:31:05.014	4	4	2758794	2
20211124--1579617477800787388	1	18687	2021-11-24 13:46:20.815	1	1	7511939	4
20211124--9206443203054996433	0	27647	2021-11-24 13:56:12.428	4	4	3021027	3
20211124-3574418837047530884	-1	29582	2021-11-24 16:06:23.539	50	3	453266	4
20211124--4510796727132987294	1	37977	2021-11-24 16:13:33.413	4	4	2502083	3
20211124-5780616322030686270	0	39103	2021-11-24 02:38:12.510	4	4	1439054	1
20211124-258928625946286141	0	26392	2021-11-24 12:02:07.188	2	2	1815013	4
20211124-4161166941272199434	1	32539	2021-11-24 22:47:07.296	76	3	8192381	4
20211124-7425580864824749779	1	29932	2021-11-24 18:04:04.437	1	1	1780296	4
20211124--7175463406489419297	0	33308	2021-11-24 20:28:10.885	5	5	2919691	3
20211124-7282976768936075863	1	6304	2021-11-24 03:47:56.390	2	2	413560	3
20211124-6990458694962642458	-1	28327	2021-11-24 10:18:29.075	1	1	3252703	4
20211124-8049977542629673331	0	21624	2021-11-24 18:01:21.630	49	3	8870268	1
20211124-6742374363822009703	1	6694	2021-11-24 22:55:59.307	1	1	638305	2
20211124--8650801938332522622	1	20084	2021-11-24 17:33:07.183	5	5	2494510	2
20211124--7971824669390716923	-1	4035	2021-11-24 02:36:03.648	5	5	6737053	4
20211124--127243332166960925	1	12727	2021-11-24 16:40:59.770	48	3	9915727	2
20211124--7769976053171821780	0	27009	2021-11-24 07:14:22.129	5	5	9658733	4
20211124--3527683167533091024	0	33614	2021-11-24 11:21:52.149	2	2	8906186	4
20211124-2391393481834145911	0	4520	2021-11-24 13:58:35.594	1	1	2677575	2
20211124-5984694792371810744	-1	3974	2021-11-24 02:45:18.030	1	1	2066974	1
20211124--6524419010484557861	1	4326	2021-11-24 17:11:42.756	1	1	10004055	2
20211124-5034110337323440558	-1	6356	2021-11-24 06:49:24.176	1	1	182623	1
20211124-3587320421673730487	1	15416	2021-11-24 17:14:11.744	4	4	4516974	1
20211124-5941970384361967077	1	37875	2021-11-24 00:22:06.764	2	2	7315273	2
20211124--4638754828520028644	1	32874	2021-11-24 19:04:53.459	47	3	4657243	2
20211124--2882187920908680577	1	23477	2021-11-24 10:42:21.928	4	4	5910382	2
20211124--8286805985782099558	0	20633	2021-11-24 20:09:06.993	39	3	9057620	1
20211124--2236473776280051750	-1	32282	2021-11-24 08:01:30.019	1	1	9979147	3
20211124-2866808555130868452	1	9378	2021-11-24 08:01:39.902	4	4	8035463	4
