transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211125--5077093261060022024	-1	13621	2021-11-25 08:57:54.397	1	1	538124	3
20211125--4067321498010954164	-1	5472	2021-11-25 06:04:01.101	1	1	4409303	4
20211125--3872822452787641754	1	14228	2021-11-25 23:49:42.678	11	3	3783190	4
20211125-743792478929018719	1	10066	2021-11-25 20:54:27.466	55	3	3853291	2
20211125--8894778710504297905	0	1312	2021-11-25 23:01:29.707	2	2	3176558	4
20211125--713060672677306609	0	213	2021-11-25 18:52:10.833	4	4	8519443	4
20211125--6874593897493685818	0	2328	2021-11-25 15:58:33.677	2	2	136662	1
20211125--7167749624306045376	0	32491	2021-11-25 06:37:45.839	5	5	4038113	3
20211125--8297137733670294400	0	32735	2021-11-25 08:11:37.160	5	5	8074933	3
20211125--7059096805447682919	-1	1548	2021-11-25 08:14:54.919	1	1	9288513	2
20211125-3368579613127797432	1	17547	2021-11-25 10:32:03.390	1	1	9509904	4
20211125--6886189701037975894	-1	7175	2021-11-25 12:35:28.610	4	4	3979198	4
20211125--5802640193768760767	1	6161	2021-11-25 11:03:05.308	4	4	2230260	1
20211125--8074155778643476176	1	4019	2021-11-25 05:32:02.075	2	2	9456001	4
20211125-3696476935385972066	0	36895	2021-11-25 00:00:41.741	48	3	7701636	1
20211125-2406482332904831597	0	19282	2021-11-25 14:09:58.674	96	3	4727028	3
20211125--4186695336862899248	0	29706	2021-11-25 16:27:23.375	5	5	8958543	3
20211125--6924393853269699425	0	36075	2021-11-25 05:37:24.040	4	4	8855731	1
20211125-27851256630383929	-1	28746	2021-11-25 09:41:03.687	4	4	6974073	4
20211125--2719546824709543323	-1	38658	2021-11-25 05:14:44.840	2	2	2759238	4
20211125--883314856757547089	1	38935	2021-11-25 00:51:51.163	1	1	6239028	4
20211125--4736082996033672246	1	32955	2021-11-25 12:10:02.985	4	4	2790312	1
20211125--1829152577902714429	0	19145	2021-11-25 13:55:18.243	2	2	905773	4
20211125--7558788035031492003	-1	12356	2021-11-25 03:13:05.423	4	4	6935246	2
20211125--8360501082732075213	-1	36866	2021-11-25 15:43:49.649	1	1	6915347	2
20211125--5266005327101032967	-1	38517	2021-11-25 08:07:35.468	4	4	8905592	3
20211125-5613096308187836917	1	287	2021-11-25 12:56:36.572	65	3	2083360	3
20211125--1948443069809634598	0	38698	2021-11-25 02:58:30.910	70	3	9688949	4
20211125-4944538134154546285	0	1710	2021-11-25 13:34:15.891	4	4	2872343	3
20211125-3003093499233297596	-1	37458	2021-11-25 15:24:50.370	1	1	1308542	2
20211125--1628223901221962061	0	12293	2021-11-25 22:59:24.969	1	1	8425561	4
20211125-2166992553759339210	1	8345	2021-11-25 20:38:50.032	30	3	2238548	2
20211125-3871376236533059627	1	27170	2021-11-25 13:04:56.768	1	1	5441612	4
20211125-1523674954480757018	0	20141	2021-11-25 01:12:55.637	4	4	5331309	1
20211125-1836569624192468942	0	20719	2021-11-25 16:39:40.456	2	2	6627306	3
20211125-483226904572708266	0	13269	2021-11-25 15:35:48.846	1	1	5153490	2
20211125--6442575050642588527	-1	26987	2021-11-25 15:53:07.628	1	1	8873077	3
20211125-7256448911883097808	0	2906	2021-11-25 00:25:25.984	1	1	2403422	4
20211125-6587037376419381361	1	2486	2021-11-25 07:50:09.007	4	4	2131745	4
20211125-2332437378768702928	0	37696	2021-11-25 07:44:17.849	1	1	8581743	4
20211125--6016458391025794910	1	5965	2021-11-25 03:23:22.350	1	1	3167181	3
20211125-6033796271587911015	-1	9156	2021-11-25 17:24:42.424	4	4	3696780	4
20211125-2891829794543944851	0	37332	2021-11-25 17:57:28.014	46	3	3776418	4
20211125-8825308333549066731	0	34135	2021-11-25 11:39:53.985	4	4	2104080	2
20211125-4533821406145633971	-1	22401	2021-11-25 02:34:48.228	1	1	6006633	1
20211125-2454595098717875244	-1	29810	2021-11-25 20:48:27.899	2	2	8306987	1
20211125-8042186560043273682	-1	3787	2021-11-25 15:53:50.633	5	5	6010076	3
20211125-4761054017585565928	0	17028	2021-11-25 04:53:31.298	5	5	9779723	4
20211125--6080721575261006926	-1	20039	2021-11-25 10:21:10.050	4	4	8272160	3
20211125--2245970989087664144	-1	27344	2021-11-25 13:09:20.170	49	3	5900457	1
20211125-2522562301685246538	-1	11710	2021-11-25 02:03:06.109	72	3	1695764	4
20211125-948390095719260426	0	4876	2021-11-25 12:58:24.452	1	1	6614991	2
20211125-2850143655629890918	1	17835	2021-11-25 16:18:59.892	5	5	8194942	1
20211125--6491100515199781734	-1	34293	2021-11-25 09:06:15.433	1	1	8295720	4
20211125-2863000665779217216	-1	26685	2021-11-25 12:05:03.748	1	1	9001229	4
20211125--5911063430973485196	1	9652	2021-11-25 08:02:01.587	5	5	5689153	3
20211125-1027062532002301300	-1	36756	2021-11-25 11:34:02.522	1	1	1790180	4
20211125-198852168795554246	0	28378	2021-11-25 18:07:32.531	4	4	8686455	2
20211125-526716507880470774	0	16418	2021-11-25 08:10:43.219	2	2	512611	3
