transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211126-8591039725595181712	1	11814	2021-11-26 15:39:29.466	4	4	7860663	1
20211126--5790748559498598585	-1	31374	2021-11-26 15:27:13.451	104	3	2028386	1
20211126--1772461366829301771	0	21481	2021-11-26 15:36:35.272	5	5	8059656	2
20211126--3206161865232321217	0	9798	2021-11-26 22:16:02.825	4	4	926932	4
20211126-7788971598047382386	0	39802	2021-11-26 18:38:14.891	5	5	4300499	1
20211126-8804933585445398796	1	27192	2021-11-26 21:38:49.657	1	1	9109757	4
20211126-3293202102737262900	0	39067	2021-11-26 18:29:38.321	1	1	5393103	3
20211126-6213559947016437730	1	16417	2021-11-26 16:01:42.265	75	3	3414582	4
20211126--5288928321084808640	-1	9744	2021-11-26 04:54:38.216	5	5	8648473	4
20211126-3234942564828957625	1	15307	2021-11-26 00:23:42.479	65	3	2669398	4
20211126--3848310540389643796	1	20126	2021-11-26 14:58:10.043	4	4	7781549	1
20211126-3898182674769490729	-1	19341	2021-11-26 21:04:53.802	2	2	7730621	1
20211126-2320362485142203744	-1	10682	2021-11-26 08:13:40.003	107	3	8850767	2
20211126--7674108155893648912	-1	18923	2021-11-26 03:26:06.768	2	2	3277794	2
20211126-4265170588874266590	-1	1871	2021-11-26 15:24:39.439	2	2	1087516	3
20211126--3992357193760853708	1	11895	2021-11-26 10:56:45.647	2	2	9853420	3
20211126--5191437265949527157	0	35271	2021-11-26 02:26:27.728	1	1	6241368	4
20211126--3724589569378043136	-1	22642	2021-11-26 12:50:22.522	1	1	841538	2
20211126--7976379056342744744	-1	12984	2021-11-26 03:17:11.912	4	4	2355552	2
20211126--3304783519329753554	0	35437	2021-11-26 20:29:06.169	59	3	5099830	3
20211126-7329921047093231692	1	17223	2021-11-26 03:45:01.766	1	1	8331886	3
20211126--2366349884744491533	-1	20572	2021-11-26 21:21:11.354	5	5	4814123	2
20211126-2271294330369999046	0	24895	2021-11-26 04:29:38.444	2	2	2016384	2
20211126--1856257595063270969	0	33812	2021-11-26 19:25:38.249	5	5	8172028	4
20211126-2533451805534473015	1	15639	2021-11-26 17:09:21.108	4	4	347472	3
20211126--6960845245423111803	1	32422	2021-11-26 01:49:42.731	1	1	7358045	4
20211126-935988030863915985	1	21944	2021-11-26 10:13:37.462	1	1	9982683	4
20211126--585525029342738697	-1	31931	2021-11-26 21:19:31.912	4	4	2280552	4
20211126--7642846649632276802	1	29660	2021-11-26 01:08:44.727	5	5	6275012	1
20211126--1539476612739820341	0	22549	2021-11-26 19:51:10.462	2	2	9689687	2
20211126--2876419315657316075	0	22963	2021-11-26 02:24:52.488	1	1	4566849	1
20211126-4991087237312515665	1	2838	2021-11-26 04:02:12.900	1	1	6256584	1
20211126--4915068845020527091	1	28557	2021-11-26 21:34:04.229	1	1	7434333	3
20211126-3751150867932516965	-1	30872	2021-11-26 09:19:46.991	1	1	5302528	1
20211126--8655274355923939238	0	12348	2021-11-26 12:37:49.419	2	2	9178395	1
20211126-2998761025091803618	-1	7653	2021-11-26 14:09:01.018	2	2	375171	1
20211126-5355416819769894143	0	213	2021-11-26 03:29:30.744	64	3	2142667	2
20211126-5792090794708561944	1	33681	2021-11-26 08:17:20.546	2	2	1151185	2
20211126--2102747274533146715	-1	19785	2021-11-26 18:25:10.667	5	5	8866146	1
20211126-4354170365500606909	0	9991	2021-11-26 07:46:27.881	4	4	2483385	3
20211126-3532142924740667353	-1	39866	2021-11-26 19:23:04.421	106	3	2394942	4
20211126-2481096061163563518	0	12160	2021-11-26 18:11:38.271	4	4	4988964	4
20211126--7394795084344025176	1	21351	2021-11-26 21:15:34.707	1	1	8915785	4
20211126-8885021502947787401	0	13534	2021-11-26 23:45:58.164	2	2	2760409	3
20211126-7956708719774617763	1	13403	2021-11-26 11:21:00.397	2	2	6107537	4
20211126-3572154657079855491	-1	17950	2021-11-26 10:55:49.501	4	4	2859131	4
20211126-2002399275399485622	-1	22518	2021-11-26 20:52:30.025	2	2	1034965	1
20211126--4961359251960833886	-1	215	2021-11-26 21:51:12.640	1	1	4119951	2
20211126--6658385733356293467	0	21204	2021-11-26 03:30:41.708	42	3	6235949	1
20211126--4475869501180837327	1	18697	2021-11-26 21:25:32.307	101	3	8819159	3
20211126--1310516230369508505	0	3274	2021-11-26 21:33:44.505	18	3	5924640	1
20211126-6265624924006410359	0	26115	2021-11-26 15:18:20.380	95	3	4003895	1
20211126--2131883631154949871	1	35517	2021-11-26 00:05:06.771	5	5	6367357	1
20211126-1240537854787566961	-1	16911	2021-11-26 07:05:21.336	4	4	3360722	3
20211126--9208655994374576296	0	15024	2021-11-26 12:45:48.844	5	5	6842808	3
20211126--6379349435704100344	1	2015	2021-11-26 05:16:36.027	4	4	3048096	2
