transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211127--7929777081414497326	1	15022	2021-11-27 02:56:58.448	63	3	6902670	4
20211127-1348563836859470840	1	395	2021-11-27 07:03:13.925	71	3	8451124	4
20211127--8673364664505754159	1	9471	2021-11-27 19:35:44.915	54	3	1508148	3
20211127--4481028366852518417	0	3715	2021-11-27 14:14:01.813	5	5	2810755	1
20211127-5228548504554606320	0	37974	2021-11-27 01:21:08.049	1	1	4966009	4
20211127--4599688426459628436	0	3804	2021-11-27 23:23:49.650	2	2	7896141	4
20211127-562169622369494658	-1	13005	2021-11-27 07:38:05.906	4	4	8422866	3
20211127--3553733040948254255	0	21208	2021-11-27 16:35:26.596	2	2	7446133	3
20211127-6597368301694005898	0	22028	2021-11-27 04:17:49.425	5	5	2614695	4
20211127--308085354736955863	-1	16396	2021-11-27 12:53:30.855	5	5	4292596	4
20211127-118268185890487534	0	10751	2021-11-27 12:15:57.808	2	2	6583381	1
20211127--4749755949337751833	-1	29627	2021-11-27 20:17:05.174	4	4	3904496	1
20211127--8977673402018839235	0	30729	2021-11-27 22:33:51.309	21	3	3652525	1
20211127-5338095567262913576	1	6017	2021-11-27 10:29:27.449	12	3	7593505	4
20211127-1157442028893353762	0	9312	2021-11-27 22:06:27.030	4	4	419552	1
20211127-1300331131437556291	1	9511	2021-11-27 13:50:15.815	2	2	9686962	4
20211127--2115235056503912612	0	5308	2021-11-27 22:05:16.815	82	3	3134702	3
20211127-2827935663515300261	-1	29722	2021-11-27 10:02:43.535	53	3	6335800	3
20211127-126227369214893598	1	24210	2021-11-27 05:18:13.485	4	4	5087886	3
20211127--6515669149494754263	1	31270	2021-11-27 23:46:30.449	1	1	860974	2
20211127--2921359412736178392	0	11133	2021-11-27 14:30:31.069	52	3	5954865	1
20211127-2027887932067198573	-1	32466	2021-11-27 03:18:41.428	2	2	7935282	1
20211127--49550491334294540	1	28725	2021-11-27 04:42:56.874	4	4	5915649	4
20211127--2578189069788588049	0	10022	2021-11-27 08:30:30.544	5	5	8338993	1
20211127--4187792819739920488	1	35318	2021-11-27 11:15:40.931	2	2	1054125	1
20211127-6093646724386265624	0	13823	2021-11-27 11:29:51.935	4	4	5493972	4
20211127-2536175121108332806	0	35363	2021-11-27 05:39:56.170	4	4	2635281	3
20211127-7031495439518263047	1	517	2021-11-27 15:35:01.314	63	3	5978429	4
20211127--7730502138726597192	0	8955	2021-11-27 17:08:28.122	5	5	1223206	1
20211127--4416703721741628120	1	7615	2021-11-27 12:23:39.407	2	2	7939706	3
20211127-2608520862966059669	-1	9399	2021-11-27 07:29:25.452	4	4	1097461	1
20211127-470185686244713815	-1	14584	2021-11-27 01:48:13.660	99	3	8062012	1
20211127--166623427845942628	0	8293	2021-11-27 00:38:51.223	5	5	3275356	3
20211127--3389476166841039039	0	34990	2021-11-27 09:38:03.442	5	5	8216631	2
20211127--5335711964460198039	0	37634	2021-11-27 02:56:59.619	1	1	7247246	3
20211127--922095112682142412	1	7829	2021-11-27 00:28:54.275	5	5	8363285	1
20211127-957892521837630234	-1	20268	2021-11-27 23:40:07.761	4	4	8996334	1
20211127-197170482137843059	1	9363	2021-11-27 02:10:24.228	5	5	7213530	4
20211127-7093202011064648341	0	22786	2021-11-27 23:49:14.929	4	4	7194946	2
20211127-1676407460437444080	-1	39434	2021-11-27 14:44:56.960	4	4	1968875	2
20211127--3733069984896747917	-1	6913	2021-11-27 05:45:02.536	5	5	7746717	1
20211127--7425293767512503790	-1	14301	2021-11-27 21:34:25.362	2	2	5785003	4
20211127-749343773069396815	-1	22371	2021-11-27 02:23:25.808	5	5	774498	4
20211127--8494417228366459925	-1	10850	2021-11-27 05:00:31.156	5	5	1577793	3
20211127-38272466609844149	1	28812	2021-11-27 11:58:25.616	2	2	1854641	2
20211127--2878101956516178684	0	4019	2021-11-27 14:24:53.497	2	2	6697149	2
20211127-462238407418399880	-1	38943	2021-11-27 18:47:37.216	1	1	5741171	1
20211127--8857543436832315554	-1	30010	2021-11-27 18:49:57.968	74	3	2314108	2
20211127--3945876422620604740	0	27094	2021-11-27 05:14:40.676	4	4	1765863	2
20211127--1779295556841446161	0	37693	2021-11-27 03:52:33.101	5	5	7728991	3
20211127--2434347074641588082	1	35710	2021-11-27 08:20:54.658	5	5	7909310	2
20211127-6579795117953650713	1	7861	2021-11-27 14:46:45.292	64	3	3281329	1
20211127--4132706079920402314	0	23438	2021-11-27 01:15:56.634	4	4	6339214	4
20211127-8031646847508304811	0	22491	2021-11-27 22:58:15.253	1	1	5871916	1
20211127-2446648792727642604	0	5378	2021-11-27 03:06:29.427	2	2	68105	3
20211127--3614118234064440328	0	12222	2021-11-27 10:39:26.003	2	2	2732160	4
20211127-481195306387983751	0	3115	2021-11-27 01:53:11.434	2	2	493760	3
20211127-1705046047126243813	0	850	2021-11-27 00:01:08.467	10	3	4641436	2
20211127--2398759798501933615	1	13256	2021-11-27 13:44:48.084	59	3	3316666	4
20211127--6421457057775739732	-1	37210	2021-11-27 01:27:48.506	4	4	8314909	1
20211127--1984179774938881022	0	32770	2021-11-27 21:16:14.048	5	5	201049	2
20211127-2596667744948071726	0	6634	2021-11-27 14:05:37.603	31	3	8120190	1
20211127-6188784666372665239	-1	1536	2021-11-27 06:46:32.712	1	1	9325279	4
20211127--865642580180425830	0	34548	2021-11-27 01:29:32.464	4	4	6507785	1
20211127-386759899260263160	-1	39226	2021-11-27 10:32:25.927	1	1	7457721	3
20211127-4535463610667379656	1	3193	2021-11-27 16:46:43.835	2	2	1170144	1
20211127--9016692942865345446	1	34459	2021-11-27 17:31:47.629	1	1	7446617	3
20211127--6032959288947578295	-1	2344	2021-11-27 12:21:36.389	4	4	7506637	2
20211127-4631011908626088718	1	23150	2021-11-27 04:38:14.909	5	5	5982738	4
20211127-5968871698145058425	-1	13797	2021-11-27 02:24:55.139	36	3	9058887	2
