transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211128--3330739423872481316	0	22530	2021-11-28 14:55:24.316	5	5	8395155	3
20211128--7305935242121236470	-1	27598	2021-11-28 21:57:29.009	5	5	1586280	3
20211128--4970169394767500813	0	13654	2021-11-28 19:32:36.364	2	2	6023065	3
20211128-2084264349694131638	-1	16173	2021-11-28 18:32:52.025	99	3	1296944	1
20211128--7749275394240986760	0	34594	2021-11-28 17:45:20.004	2	2	4548190	2
20211128--3315291180585657692	-1	22851	2021-11-28 16:09:37.967	1	1	395859	2
20211128-3896455154184143457	1	36540	2021-11-28 08:19:52.233	17	3	389655	1
20211128-8714887822999330224	1	39356	2021-11-28 00:43:09.968	1	1	5653903	3
20211128--8867271958040940693	-1	19988	2021-11-28 21:40:49.448	1	1	1015862	3
20211128--5456191156707237913	-1	31419	2021-11-28 17:53:38.693	2	2	7208845	1
20211128-6888201998792153283	1	16149	2021-11-28 16:00:33.233	2	2	24465	2
20211128--8013248927910868056	-1	3426	2021-11-28 08:53:58.118	1	1	2007535	1
20211128-3883718796907395821	-1	11615	2021-11-28 09:55:14.693	26	3	1664713	3
20211128--4024745342390034545	-1	8346	2021-11-28 04:59:14.173	1	1	8687569	3
20211128--7932870162018055801	-1	1660	2021-11-28 01:28:24.288	1	1	5872995	1
20211128--2938872649949123908	-1	20774	2021-11-28 03:30:08.647	4	4	7170907	3
20211128-1770957958746265398	1	16209	2021-11-28 17:11:45.640	4	4	1834076	2
20211128-3860375767043469027	0	12054	2021-11-28 12:49:54.142	1	1	6027122	1
20211128--7007185943089784674	1	7298	2021-11-28 20:21:18.238	24	3	8107945	3
20211128-5193720207367950614	0	26510	2021-11-28 00:22:56.596	4	4	5018270	4
20211128-2046740145214414718	1	13854	2021-11-28 11:20:52.924	2	2	3776522	1
20211128-8295008578462691897	-1	17909	2021-11-28 23:23:12.630	5	5	3414447	3
20211128--4079207336791380801	1	32794	2021-11-28 20:16:24.944	1	1	2505490	2
20211128-3829661392554947143	0	8396	2021-11-28 08:47:40.269	2	2	3285001	1
20211128--6655062745999256554	0	13346	2021-11-28 07:30:48.539	2	2	10003458	3
20211128-28182001068993503	1	12311	2021-11-28 05:35:01.402	4	4	3738482	4
20211128--8692446229953109576	1	7311	2021-11-28 02:14:27.740	5	5	6215847	4
20211128-2111689137281864925	0	29641	2021-11-28 17:35:17.542	2	2	150259	2
20211128-7162733367636546191	1	9635	2021-11-28 16:27:50.975	4	4	2625907	1
20211128--7789190536568787200	1	331	2021-11-28 10:27:51.401	1	1	231728	2
20211128-4368821868022165296	0	26876	2021-11-28 14:25:26.279	2	2	7361874	2
20211128--1190194365012946509	0	18274	2021-11-28 14:57:57.224	2	2	3111924	1
20211128--352020344960194365	-1	39215	2021-11-28 03:53:15.730	1	1	3978212	4
20211128--8567375669030139444	0	26258	2021-11-28 19:36:38.978	5	5	2938208	1
20211128-4578861338484815072	-1	27268	2021-11-28 11:18:28.889	4	4	402282	3
20211128-2509085406409189533	1	2663	2021-11-28 12:47:46.442	5	5	64440	1
20211128--2782597220355970743	0	35388	2021-11-28 07:14:45.290	23	3	1195031	4
20211128--6093529808206871103	0	34154	2021-11-28 13:17:11.153	64	3	4381945	1
20211128--3971279983972643479	-1	31511	2021-11-28 07:48:03.442	4	4	1739775	3
20211128--1788316630838973172	0	12352	2021-11-28 20:15:50.238	1	1	3454056	4
20211128--6185642824149299555	-1	488	2021-11-28 11:06:05.633	1	1	3898569	3
20211128--4636640702896986828	1	33973	2021-11-28 07:19:33.569	2	2	4969903	4
20211128--2121910617760339495	0	19341	2021-11-28 18:41:07.148	5	5	2082027	4
20211128-2854371522537849405	-1	18796	2021-11-28 15:43:58.532	1	1	1730976	2
20211128-6984381291180816163	0	1174	2021-11-28 18:58:28.693	1	1	8722455	3
20211128-7851641861348904964	0	2059	2021-11-28 11:16:51.095	1	1	3223508	1
20211128--4469211458478217156	0	38894	2021-11-28 21:23:48.453	5	5	859409	3
20211128--6277219973877689175	1	22180	2021-11-28 00:27:31.347	1	1	5758359	4
20211128-4162231687504623220	0	26806	2021-11-28 17:59:21.427	1	1	7813419	4
20211128-6900774649160015539	-1	22020	2021-11-28 11:14:34.499	11	3	4740560	2
20211128-4216724936333405780	0	31307	2021-11-28 21:28:50.791	1	1	9984496	2
20211128--3290248143860210827	1	13197	2021-11-28 08:05:09.978	1	1	4107607	1
20211128-8254010968222464716	-1	6226	2021-11-28 06:46:38.181	2	2	1200513	3
20211128--271979396646454409	-1	24257	2021-11-28 11:16:24.109	1	1	7563624	3
20211128-6998259934414388616	1	26895	2021-11-28 20:50:19.442	4	4	3109043	3
20211128--3477618516064015298	-1	17251	2021-11-28 08:10:35.386	4	4	8830771	1
20211128-4363736410977574368	1	28132	2021-11-28 21:05:41.390	5	5	1521674	2
20211128-1942130613587028740	0	38230	2021-11-28 14:45:04.959	1	1	856613	1
20211128--7849582586523420082	0	18547	2021-11-28 14:57:07.759	2	2	7009238	3
20211128-17205846269771549	1	9565	2021-11-28 17:18:59.985	4	4	850406	3
20211128--579000557646709568	1	13630	2021-11-28 04:07:36.842	5	5	3471456	2
20211128--2630160183749954918	0	25380	2021-11-28 19:39:55.466	1	1	7355984	1
20211128-1696812817622982214	-1	18980	2021-11-28 06:39:19.373	1	1	3553009	2
20211128-797219360067855364	0	17076	2021-11-28 08:06:32.979	2	2	1700911	1
20211128-5343705701183817802	0	16140	2021-11-28 17:43:12.653	4	4	1063354	4
20211128--2248727105996713436	-1	10515	2021-11-28 18:09:25.243	5	5	2025451	4
20211128--1024878744177639830	1	9328	2021-11-28 10:33:07.528	1	1	6077494	3
20211128-4890690724885193578	0	10133	2021-11-28 11:58:19.754	2	2	1650647	1
20211128-6193550547321176317	1	17927	2021-11-28 19:31:09.278	4	4	115951	4
20211128-7891802515116190021	1	34131	2021-11-28 01:02:50.895	52	3	8359799	4
20211128--8371955668658525455	1	28599	2021-11-28 19:06:01.525	4	4	6719883	2
20211128--1389884042462039643	0	25995	2021-11-28 15:13:21.505	4	4	4448917	4
20211128--2545683179800259167	-1	21624	2021-11-28 00:16:55.178	2	2	9755867	3
20211128-5331626855716225700	1	13958	2021-11-28 15:08:40.733	2	2	4534829	4
20211128--6278915697187212188	1	36424	2021-11-28 22:48:14.735	2	2	9961930	1
20211128--2278758697474064307	1	20889	2021-11-28 18:44:26.171	1	1	9507607	1
20211128--9050131226510432789	1	32973	2021-11-28 07:38:38.539	1	1	5670496	1
20211128--8469419704352680315	0	26069	2021-11-28 01:50:23.349	4	4	880395	3
20211128--4354070978575040897	1	36471	2021-11-28 00:58:14.475	4	4	9271782	3
20211128--6456962133116175064	1	38964	2021-11-28 15:13:11.655	5	5	6761921	3
20211128--694427749151699289	1	19973	2021-11-28 08:41:27.631	5	5	3415307	4
20211128-1157304651743964448	-1	12125	2021-11-28 17:28:19.115	37	3	270622	4
20211128--1386928510645583518	-1	11183	2021-11-28 09:23:48.159	1	1	4275241	3
20211128--6524966564672010560	1	12751	2021-11-28 05:57:51.438	106	3	2221038	4
20211128--1011980777205507677	0	29914	2021-11-28 13:54:36.260	90	3	2133135	4
20211128-2056724782661237446	0	28246	2021-11-28 08:45:46.685	1	1	6064196	4
20211128-243254371043163914	-1	29432	2021-11-28 06:11:57.891	1	1	9442391	4
20211128--2801637951698376115	-1	29368	2021-11-28 12:08:49.042	1	1	4902517	3
20211128--8921639095142790980	0	1724	2021-11-28 06:40:34.994	4	4	2233616	3
20211128--2678810683675020733	-1	19455	2021-11-28 17:08:10.909	20	3	4774945	4
20211128-1141836068868014737	-1	20608	2021-11-28 03:46:01.701	1	1	5493921	3
20211128-2906060990594616204	-1	7284	2021-11-28 06:29:23.337	5	5	7919134	4
20211128--1065863281073983211	1	26722	2021-11-28 05:59:59.141	5	5	7217983	4
20211128-5775748476770767167	1	13088	2021-11-28 14:32:33.649	4	4	8109332	2
20211128--3759282690208946136	-1	9973	2021-11-28 06:09:44.325	1	1	999857	4
20211128-6118965239563517135	-1	21880	2021-11-28 12:25:24.769	74	3	6870458	4
20211128-3821607275835956030	1	15925	2021-11-28 04:10:03.565	1	1	4273144	4
20211128-6190352604444267044	-1	30796	2021-11-28 08:47:37.798	2	2	2487601	4
20211128-456307105033653028	-1	14287	2021-11-28 14:25:55.485	5	5	7346841	1
20211128--1770241427471539327	0	23401	2021-11-28 20:42:13.804	4	4	8526158	3
20211128--2400367234111123631	1	34299	2021-11-28 12:47:55.744	5	5	12815	4
20211128-3418284501264352785	0	24517	2021-11-28 07:10:57.487	2	2	263523	3
20211128--984549348776653017	1	752	2021-11-28 23:23:01.493	4	4	1507850	1
20211128--6292067990703132944	-1	13335	2021-11-28 00:48:21.820	5	5	6819839	3
20211128--684582427306460468	0	14794	2021-11-28 10:03:05.311	1	1	1534762	1
20211128-257692957766185275	1	31638	2021-11-28 09:15:32.587	5	5	122402	1
20211128-2039075918741887753	1	9417	2021-11-28 16:31:42.200	1	1	6716101	2
20211128--2770248021796065409	1	9937	2021-11-28 15:55:52.091	2	2	3907556	4
20211128-3061381689886055646	-1	9935	2021-11-28 11:00:31.835	4	4	1746228	1
20211128--437417269886867540	-1	12619	2021-11-28 02:49:37.830	5	5	1370601	3
20211128-3397154619364072092	0	23074	2021-11-28 05:34:22.155	4	4	8908989	3
20211128-6031063987371054830	-1	28069	2021-11-28 09:14:43.497	38	3	4020080	3
20211128-8533378411228453806	1	23843	2021-11-28 16:57:23.638	1	1	7483864	4
20211128--8814124906048856640	-1	10380	2021-11-28 05:39:01.859	5	5	1777992	3
20211128-4277320043226374105	0	8573	2021-11-28 03:03:51.360	10	3	4139693	1
20211128-7915803545892284018	-1	14962	2021-11-28 20:21:40.857	2	2	5323269	3
20211128-2653601190862387762	-1	38999	2021-11-28 01:06:26.329	29	3	1735260	4
20211128--2060041819828396747	0	30228	2021-11-28 04:17:36.029	2	2	4711922	3
20211128-5390702340640562929	1	23990	2021-11-28 07:22:10.359	5	5	5064847	1
20211128--4700574969319108758	0	3971	2021-11-28 04:12:13.078	5	5	1725090	2
20211128--5223284123434829580	0	36484	2021-11-28 06:28:20.854	4	4	5141922	4
20211128--5387028227154391843	1	34135	2021-11-28 06:29:54.840	2	2	160633	2
20211128--4492152601268080047	1	25676	2021-11-28 09:09:36.969	5	5	2941989	2
20211128-6956376357836325309	-1	23971	2021-11-28 01:41:39.823	5	5	9885643	2
20211128-6428448509470929586	-1	15255	2021-11-28 08:58:50.735	1	1	4196798	2
20211128--2214399988928302172	0	36077	2021-11-28 17:01:45.311	4	4	653007	3
20211128-4247186499318908077	-1	39087	2021-11-28 18:37:17.362	2	2	4102919	2
20211128--5108456391702660507	1	22701	2021-11-28 11:51:48.072	24	3	3683772	1
20211128-4434328179209082864	1	9019	2021-11-28 09:37:39.804	1	1	2195243	3
20211128-2371169719594821652	-1	7355	2021-11-28 02:42:37.315	1	1	6472826	1
20211128-3222098819019947336	0	30067	2021-11-28 19:43:22.106	2	2	2171499	3
20211128--8489568455247804650	1	22102	2021-11-28 08:13:15.766	4	4	1288771	3
20211128-3555569829637546185	1	31908	2021-11-28 00:37:49.310	4	4	273768	1
20211128-7702115883075142349	1	13803	2021-11-28 14:06:51.808	5	5	4255652	1
20211128--655015132832462993	1	6681	2021-11-28 09:23:43.201	106	3	588540	2
20211128--7916288329696505433	0	7412	2021-11-28 02:33:51.163	2	2	9411609	1
20211128-8689880231127084427	-1	23162	2021-11-28 07:55:58.611	5	5	2607066	2
20211128--1902498970978784776	1	5836	2021-11-28 19:48:06.224	2	2	7638355	4
20211128-544671629049619099	-1	6824	2021-11-28 00:49:30.526	18	3	7204606	3
20211128--4248266139091334200	1	30773	2021-11-28 17:24:17.643	101	3	6974970	3
