transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211129-6132550702772954027	0	30188	2021-11-29 04:23:25.438	1	1	921007	2
20211129--3703109689709307229	1	32375	2021-11-29 04:03:55.433	2	2	6438587	4
20211129-5701769226060020337	1	4213	2021-11-29 21:18:32.805	1	1	2926548	1
20211129--6281599042231787963	-1	12198	2021-11-29 18:46:25.883	2	2	2850039	3
20211129-2241254229888482123	0	18807	2021-11-29 21:48:36.890	4	4	8314847	4
20211129--8395688266872449357	0	15633	2021-11-29 01:21:55.954	2	2	6136163	3
20211129-1217168944225210850	0	27101	2021-11-29 09:10:23.441	1	1	6676869	1
20211129--6106622502245933818	1	1269	2021-11-29 05:15:45.496	56	3	6513552	1
20211129--7965015675287099456	-1	36760	2021-11-29 22:52:35.195	1	1	9272321	3
20211129-5238004702207504588	1	25800	2021-11-29 01:34:09.646	4	4	728072	2
20211129-8457589754448399409	0	9607	2021-11-29 11:39:02.273	2	2	5349620	1
20211129-4359741888645974075	0	34314	2021-11-29 04:18:26.189	1	1	9064720	3
20211129-4014948949386552841	1	33728	2021-11-29 04:51:39.140	4	4	6072410	1
20211129-8133858004239049719	1	36004	2021-11-29 16:48:42.188	2	2	3560727	1
20211129--3953278347373373871	1	21893	2021-11-29 12:40:31.959	2	2	2664168	3
20211129-2104047599958844401	0	8570	2021-11-29 09:51:07.307	5	5	3384549	2
20211129--4928814950264786816	0	9677	2021-11-29 05:00:14.560	1	1	639162	4
20211129-7319583760745129869	-1	7692	2021-11-29 02:19:19.301	2	2	7277293	4
20211129-8571496354299339510	-1	12967	2021-11-29 00:41:52.534	4	4	9840777	3
20211129--3586029862115356715	-1	3430	2021-11-29 22:13:09.824	4	4	3178761	3
20211129--886534414290797385	-1	34270	2021-11-29 20:15:23.565	2	2	2900900	1
20211129--7150873159413249291	-1	15849	2021-11-29 01:28:34.234	5	5	1503803	1
20211129-7169551819935757650	1	9078	2021-11-29 18:52:12.729	1	1	5903342	1
20211129-882458760516745557	-1	28980	2021-11-29 13:54:25.766	5	5	993984	2
20211129--1448532864839039321	-1	16379	2021-11-29 05:39:22.165	1	1	5154365	3
20211129--105015742967655456	0	21201	2021-11-29 21:48:16.423	1	1	7562860	1
20211129-866160415617838041	-1	14708	2021-11-29 19:26:12.723	5	5	458046	4
20211129-2755818796727129319	-1	19388	2021-11-29 04:15:56.146	28	3	554260	2
20211129-5261054330280706599	0	20434	2021-11-29 22:57:40.406	102	3	977971	4
20211129-1658664760154128045	0	18943	2021-11-29 07:20:26.937	1	1	4695143	3
20211129-4251245473237815140	0	24651	2021-11-29 01:42:41.801	70	3	7684736	1
20211129-4415605477081458229	1	22534	2021-11-29 08:04:14.928	5	5	6903885	1
20211129-1387031341277148096	-1	10137	2021-11-29 19:22:24.576	2	2	8344075	2
20211129-5340999623830262273	1	1742	2021-11-29 02:18:39.602	4	4	9278291	1
20211129-1050410519258034287	0	17152	2021-11-29 02:39:03.587	5	5	5482345	1
20211129--5445607442461400083	0	3649	2021-11-29 01:54:50.979	1	1	9047807	2
20211129-6050534214376156610	1	28562	2021-11-29 16:52:44.195	4	4	9409482	3
20211129-8319594612642712753	0	8379	2021-11-29 05:42:47.308	2	2	7891918	1
20211129--7129329987927895330	-1	25114	2021-11-29 22:32:04.161	5	5	6190131	4
20211129-7172102047802510231	-1	18833	2021-11-29 23:34:06.626	5	5	1663689	2
20211129--7864346951929219133	-1	30512	2021-11-29 03:05:47.541	4	4	250913	3
20211129-7917540619796796387	-1	17512	2021-11-29 05:47:19.289	1	1	4606489	4
20211129--4420899016889604817	-1	12699	2021-11-29 08:13:29.710	4	4	3755400	2
20211129-4010474316597253325	-1	22444	2021-11-29 16:10:27.248	1	1	5625904	1
20211129-5714428147410285892	1	34376	2021-11-29 00:58:03.228	5	5	3279940	2
20211129-7730070054586640073	-1	31988	2021-11-29 03:08:37.571	4	4	4975441	4
20211129--6780263822040150346	0	28642	2021-11-29 12:53:33.298	4	4	6999015	1
20211129-3918639106291089825	-1	25211	2021-11-29 23:26:11.010	1	1	3916619	2
20211129--6956017531880486244	-1	32369	2021-11-29 02:47:52.687	1	1	3378152	3
20211129-3000332273880567379	-1	13133	2021-11-29 03:54:03.742	2	2	3213102	4
20211129-5475149231427795554	1	27275	2021-11-29 03:33:27.886	1	1	496180	3
20211129-6223632436633130839	0	15687	2021-11-29 14:21:53.033	2	2	9929484	4
20211129--4482929160304410192	1	10111	2021-11-29 21:37:32.593	5	5	9977742	2
20211129-1001921745721641955	-1	27350	2021-11-29 01:27:21.752	5	5	8277369	4
20211129-8352357708952353453	0	32964	2021-11-29 00:13:57.101	1	1	7602201	4
20211129--7634705574077147885	1	21436	2021-11-29 08:06:39.013	1	1	3486815	1
20211129--6723668824293180174	1	30192	2021-11-29 23:01:38.683	2	2	9572690	2
20211129-1795203601569639072	-1	28789	2021-11-29 03:32:27.765	88	3	468319	3
20211129--9206779924842448753	1	24186	2021-11-29 12:28:42.534	1	1	9885652	4
20211129--1737256279176196580	0	24514	2021-11-29 11:00:31.187	5	5	5542280	2
20211129-3700832289789830368	0	37220	2021-11-29 07:38:04.294	4	4	7408656	1
20211129-6629892822330496754	-1	28751	2021-11-29 16:48:44.534	75	3	64544	2
20211129-8475464634653283735	-1	21272	2021-11-29 18:54:46.776	4	4	8428513	2
20211129-3339938683032706651	1	31667	2021-11-29 01:24:39.857	2	2	4890328	1
20211129--2160919271938052091	-1	31722	2021-11-29 03:08:05.621	31	3	7648707	2
20211129-7385607685470608752	-1	22719	2021-11-29 15:20:06.556	1	1	7956731	4
20211129-8732746868066573316	1	29290	2021-11-29 19:16:36.625	1	1	4196051	3
20211129-2803872824105654634	0	7719	2021-11-29 15:30:14.265	2	2	5644403	3
20211129--2122608733966098922	1	17052	2021-11-29 01:11:19.186	4	4	660868	4
20211129--4295352917794889213	-1	24435	2021-11-29 18:45:07.705	106	3	1667951	4
20211129--7399991869441110029	-1	1606	2021-11-29 12:19:36.512	1	1	1724786	4
20211129--2519227975423169831	-1	3920	2021-11-29 00:25:26.997	2	2	5894070	1
20211129--831113217694799076	-1	27553	2021-11-29 02:53:53.508	16	3	387974	4
20211129--1436182434149468869	0	25958	2021-11-29 07:33:47.771	4	4	7463854	4
20211129--3771155357813701009	0	11846	2021-11-29 17:56:04.824	4	4	632434	3
20211129-3193430970318437087	0	7687	2021-11-29 16:25:49.562	1	1	559833	3
20211129--1109466212383533793	1	26446	2021-11-29 06:31:26.674	5	5	5526981	1
20211129--7414177914029655348	0	1590	2021-11-29 01:36:34.669	1	1	6651624	1
20211129--2480600368224134184	-1	27103	2021-11-29 01:40:28.087	5	5	9484107	3
20211129-7970905185996345479	0	32513	2021-11-29 16:22:05.446	2	2	8438539	1
20211129--8544247857415824509	0	35035	2021-11-29 05:28:31.818	4	4	4235541	4
20211129--2442735267583494577	0	24385	2021-11-29 11:28:41.199	1	1	6944038	3
