transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211130--8071211525415400563	0	38718	2021-11-30 01:33:27.240	4	4	7888328	1
20211130--6441786258976564746	1	11906	2021-11-30 12:36:04.136	1	1	5943188	3
20211130--7092999209351822363	-1	33700	2021-11-30 01:59:22.004	4	4	1608780	2
20211130-86032839451009440	-1	5135	2021-11-30 13:17:47.518	1	1	6740959	3
20211130--6939446838509002455	1	9283	2021-11-30 15:10:53.868	5	5	103801	3
20211130--458270801899150258	1	16338	2021-11-30 14:07:33.129	2	2	9679264	2
20211130-7971378836814031645	1	25770	2021-11-30 00:13:10.300	15	3	7046753	1
20211130-2193914246246641465	-1	23031	2021-11-30 08:59:19.578	2	2	6352517	4
20211130--3261940550436217860	1	25980	2021-11-30 05:52:33.442	5	5	6877858	1
20211130-480719759643462501	1	6543	2021-11-30 06:09:41.111	4	4	6194720	3
20211130--1919640815388578805	0	2922	2021-11-30 13:16:34.690	5	5	7187955	1
20211130-3399636210565824149	1	28928	2021-11-30 07:59:46.003	5	5	4986456	2
20211130-7680745613132063457	-1	3722	2021-11-30 14:27:29.081	1	1	130188	1
20211130-827702315713383722	0	36700	2021-11-30 12:33:57.735	2	2	4013477	3
20211130--5913462445645604278	1	21047	2021-11-30 21:17:31.781	1	1	9949563	3
20211130-3115634851889821666	-1	17169	2021-11-30 10:53:23.388	2	2	3614314	4
20211130-7706127041844017719	-1	4456	2021-11-30 06:53:22.431	1	1	8226580	3
20211130-305221751674453164	0	28491	2021-11-30 21:02:45.975	4	4	1687861	3
20211130-2583060521540438726	1	21814	2021-11-30 16:31:10.900	2	2	7985259	4
20211130-4021812260870842317	0	38035	2021-11-30 16:36:59.197	1	1	8560631	4
20211130-1355389367713254926	0	36660	2021-11-30 06:35:52.686	1	1	4897847	4
20211130--1996694386631384231	1	30166	2021-11-30 12:29:43.146	5	5	3348911	4
20211130--1562210913566032534	0	12632	2021-11-30 16:19:59.617	1	1	8687446	4
20211130--7121293908058962434	-1	38877	2021-11-30 09:12:36.646	4	4	2582939	1
20211130--4200434556041767665	1	30330	2021-11-30 17:12:51.168	4	4	175901	3
20211130--7045822495668311603	1	36286	2021-11-30 17:34:38.757	1	1	9225667	4
20211130-2891054563682122626	-1	37477	2021-11-30 20:19:41.967	1	1	5381936	1
20211130--3201551981919896143	1	31320	2021-11-30 12:54:36.017	5	5	873667	1
20211130-1658174524413600398	-1	14841	2021-11-30 09:52:45.047	5	5	6514786	3
20211130-4887036139207646568	1	10653	2021-11-30 11:13:27.838	4	4	7922331	4
20211130--1867636706267115528	1	21832	2021-11-30 12:12:51.819	2	2	6807893	4
20211130--2732152741081955993	0	18688	2021-11-30 11:18:42.697	2	2	2591719	2
20211130--6307562364413243794	0	25226	2021-11-30 14:48:20.740	4	4	7349758	2
20211130-6438543703230826065	-1	20249	2021-11-30 10:18:49.410	5	5	6703708	3
20211130-6617028109348468380	0	19070	2021-11-30 02:41:55.968	2	2	7956272	4
20211130-1015540604591370827	0	4960	2021-11-30 14:03:28.454	2	2	489806	1
20211130--6627793889443814186	-1	14183	2021-11-30 14:59:29.259	1	1	8287393	3
20211130--5017131581844357573	-1	3101	2021-11-30 03:44:34.170	4	4	811199	4
20211130--1439889427276346941	-1	16607	2021-11-30 06:54:37.904	68	3	1529723	4
20211130-8377487126887632429	1	9269	2021-11-30 06:08:32.991	1	1	8478935	2
20211130-6950475528621182632	1	36746	2021-11-30 17:58:30.701	4	4	8771091	2
20211130--583051691558670495	-1	35689	2021-11-30 12:23:00.325	5	5	9167696	4
20211130--4385004348013538380	0	4917	2021-11-30 03:45:35.611	2	2	5374884	4
20211130--2024981899924138039	1	11108	2021-11-30 16:30:40.525	2	2	8483816	2
20211130-4941771967258203463	-1	32675	2021-11-30 11:20:24.592	5	5	3573075	4
20211130--651458292394922718	-1	33863	2021-11-30 19:02:42.322	88	3	5159830	4
20211130-2987387221169825060	1	5848	2021-11-30 12:42:19.339	2	2	3899687	1
20211130-9008858863170428788	0	27437	2021-11-30 02:31:21.253	2	2	5355826	2
20211130--5348124651486177279	1	15335	2021-11-30 11:59:02.654	1	1	7038256	1
20211130-4876980409943715727	0	19692	2021-11-30 07:57:31.020	4	4	9755755	1
20211130--2060584125337893865	-1	6995	2021-11-30 07:53:01.247	5	5	9835108	1
20211130--6903769424734959445	0	2528	2021-11-30 04:45:10.831	69	3	489834	3
20211130--8542807409388222537	-1	1832	2021-11-30 19:38:33.438	23	3	2415984	4
20211130--3627849759115135137	0	2697	2021-11-30 09:06:29.982	32	3	2647146	1
20211130--2748969130606129589	0	7175	2021-11-30 09:32:29.663	16	3	899653	2
20211130-3588600082352533159	0	24948	2021-11-30 16:10:09.519	1	1	4111789	4
20211130--602432639656027081	-1	1493	2021-11-30 17:41:15.661	5	5	9381254	4
20211130-3788247984185375990	0	33404	2021-11-30 01:34:04.873	96	3	2480991	1
20211130--7844663732699484599	-1	22951	2021-11-30 13:43:34.193	17	3	3271640	1
20211130-912714524548805410	1	13614	2021-11-30 21:33:06.820	4	4	9353958	1
20211130--886926030239380760	0	31198	2021-11-30 08:45:09.590	98	3	2818036	3
20211130--4192607606039511511	0	21144	2021-11-30 05:22:30.206	58	3	2028450	4
