transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211201--9030045582198617425	1	21803	2021-12-01 01:48:20.056	1	1	2951530	1
20211201--2887190990931969262	0	34731	2021-12-01 15:09:16.146	2	2	5553020	2
20211201--3905339204488040526	-1	16067	2021-12-01 08:58:42.480	2	2	7830469	2
20211201-4675124373331751761	1	10116	2021-12-01 15:02:10.920	2	2	6523067	3
20211201-3495645729428051373	1	31873	2021-12-01 07:03:08.795	1	1	4496665	4
20211201-2889463737211917479	0	165	2021-12-01 07:21:18.403	1	1	6518376	1
20211201-6308854104386071459	0	28426	2021-12-01 06:08:38.724	4	4	5915417	2
20211201--118525567942040465	-1	18623	2021-12-01 13:38:07.691	2	2	2090233	2
20211201-5150048672870157763	0	34367	2021-12-01 19:21:07.831	4	4	1154766	1
20211201--4648949611009874049	-1	24372	2021-12-01 21:43:40.611	4	4	4134742	1
20211201--1418702278823321956	0	9292	2021-12-01 20:50:53.320	2	2	139384	2
20211201-6193976021480862547	1	29360	2021-12-01 15:55:33.694	2	2	5269670	1
20211201-8992593195335114666	-1	23677	2021-12-01 02:46:53.917	76	3	3599015	4
20211201-3600561338863875545	-1	32756	2021-12-01 07:46:29.173	2	2	4267910	3
20211201-9127895938936063271	-1	10734	2021-12-01 07:56:40.989	5	5	7133491	2
20211201-2077894352034755192	0	14195	2021-12-01 10:15:21.937	11	3	8790489	4
20211201--4574601751183993565	0	28778	2021-12-01 21:33:34.347	5	5	345578	1
20211201-756251289956533236	-1	19390	2021-12-01 19:48:26.830	4	4	451200	4
20211201--590930048558590961	-1	1170	2021-12-01 01:53:59.439	4	4	1221660	4
20211201--4298864894618367319	1	29217	2021-12-01 07:27:01.926	2	2	10008187	1
20211201--8909971068958198279	-1	2290	2021-12-01 13:39:35.312	51	3	9994078	4
20211201-6488420692751633927	-1	27180	2021-12-01 23:50:47.599	5	5	5983006	1
20211201--8435504647143234229	-1	33763	2021-12-01 01:04:53.986	5	5	2889830	2
20211201-1549010362035304071	1	3602	2021-12-01 10:23:22.325	2	2	2573192	2
20211201-7727683029230175949	0	6066	2021-12-01 20:17:56.922	80	3	2903090	2
20211201-928721673835047693	1	31683	2021-12-01 06:33:03.996	2	2	6674444	4
20211201-6666462009921627656	1	24104	2021-12-01 01:09:01.385	1	1	3015398	4
20211201--4813321109881100359	0	15117	2021-12-01 12:40:10.608	2	2	550904	1
20211201--8359323472010730370	1	32219	2021-12-01 23:11:38.261	23	3	6778039	2
20211201--8129980359917609843	1	2384	2021-12-01 02:38:00.621	2	2	6435857	4
20211201-4232754469173791803	0	5503	2021-12-01 16:24:35.057	2	2	3891310	3
20211201-4760288112450235551	-1	25518	2021-12-01 23:28:46.392	1	1	5030679	1
20211201--5649838039432313100	-1	3402	2021-12-01 19:23:31.928	102	3	7298785	1
20211201-1618937051173556649	0	38687	2021-12-01 13:41:28.189	1	1	8066005	1
20211201-8581337227782160850	0	4954	2021-12-01 21:01:32.788	1	1	8723115	2
20211201-3930404380421528395	-1	39728	2021-12-01 13:57:56.730	5	5	5722082	4
20211201-6252850761137093094	1	8205	2021-12-01 20:18:30.629	5	5	8165691	3
20211201--1082607172245863576	-1	19513	2021-12-01 14:45:01.384	2	2	2921717	1
20211201--6246287669395940223	1	15323	2021-12-01 18:12:37.454	2	2	6975498	4
20211201-8555579124096551234	0	14937	2021-12-01 14:00:59.235	5	5	8216364	2
20211201-2101924357520792300	1	11611	2021-12-01 03:21:18.562	4	4	9776412	3
20211201--2580793170404021988	-1	25699	2021-12-01 08:48:47.225	81	3	457996	3
20211201--7865883113019471151	1	36720	2021-12-01 07:46:19.487	83	3	2945989	4
20211201--4121337551272410857	0	19236	2021-12-01 20:25:22.568	74	3	2026812	2
20211201--877825754894804725	1	18055	2021-12-01 02:49:27.838	5	5	7124855	2
20211201--1955512102479773968	-1	12021	2021-12-01 11:04:53.786	1	1	2600716	3
20211201-2150296428329155453	-1	36010	2021-12-01 21:43:45.017	64	3	1884193	1
20211201-5801970287352153197	1	3107	2021-12-01 21:56:18.093	2	2	6934109	2
20211201--4614239323261846233	-1	35870	2021-12-01 05:22:26.856	2	2	5951492	3
20211201-2960143023430503125	-1	11303	2021-12-01 21:13:55.244	4	4	8196671	3
20211201-8995043475184734409	-1	154	2021-12-01 16:42:43.184	1	1	7657985	1
20211201-793551700850386505	1	2705	2021-12-01 16:40:18.922	4	4	7400605	2
20211201--2441040235114881207	0	37285	2021-12-01 22:12:21.181	89	3	2876558	4
20211201-2512902495191419306	1	10090	2021-12-01 16:58:37.415	5	5	8157304	4
20211201-3979260228851119326	-1	2173	2021-12-01 03:46:34.038	34	3	6947330	3
20211201--2127113100134809295	-1	20718	2021-12-01 09:22:11.435	71	3	99330	3
20211201-4629358981072116271	-1	10341	2021-12-01 04:14:58.820	5	5	6417456	1
20211201-7904254049922461264	0	30356	2021-12-01 04:37:47.850	5	5	2487015	4
20211201--3828731138779174642	-1	38380	2021-12-01 11:29:47.243	39	3	3969508	1
20211201-3928159083862531826	1	21454	2021-12-01 17:59:50.741	2	2	1314995	3
20211201-5195905220057586389	1	883	2021-12-01 05:35:35.294	5	5	6874160	1
20211201-6884290562186063681	0	32318	2021-12-01 04:09:10.280	4	4	9627932	2
20211201--3130491970723520783	1	39267	2021-12-01 16:52:53.976	4	4	9638126	4
20211201--3471799711042192797	-1	481	2021-12-01 03:00:50.801	5	5	2162124	4
20211201--4602830002843152949	0	14471	2021-12-01 17:31:34.607	4	4	2877417	3
20211201--8064511951866518840	-1	38665	2021-12-01 14:41:31.576	5	5	5760790	2
20211201-2180392129724683034	1	18735	2021-12-01 21:27:15.899	2	2	4316357	2
20211201-5717894517429530098	1	4087	2021-12-01 06:30:18.977	72	3	6249314	1
20211201--545172822161187999	0	21476	2021-12-01 08:45:59.703	5	5	5116913	3
20211201-1268958554349340687	1	17183	2021-12-01 09:43:51.933	1	1	1478432	4
20211201-5874089201978409755	0	25188	2021-12-01 02:32:31.958	5	5	7158142	3
20211201-2939476218994619251	1	9156	2021-12-01 17:19:57.390	1	1	3699936	3
20211201--249956584318464063	1	2609	2021-12-01 03:39:13.865	1	1	3140342	2
20211201-9088620022426423031	0	13155	2021-12-01 03:16:39.311	44	3	3938410	4
20211201--3373886088854620208	1	18698	2021-12-01 06:23:01.886	1	1	6020632	4
20211201-3699559768506102071	-1	30289	2021-12-01 06:14:12.603	2	2	6564052	2
20211201-7827201085402338235	-1	15736	2021-12-01 21:48:53.166	2	2	7779382	2
20211201--7403540930676563830	1	2625	2021-12-01 22:46:18.262	86	3	1801453	3
20211201--3517166005715810589	0	32656	2021-12-01 16:15:13.092	5	5	5052095	3
20211201--8610310297809059376	1	33075	2021-12-01 11:59:59.381	96	3	1691104	1
20211201-43664779589448641	0	16019	2021-12-01 10:26:29.498	1	1	4945550	3
20211201-4116929831305576019	-1	11981	2021-12-01 05:04:34.888	1	1	3422466	4
20211201-8568140963222830839	-1	8765	2021-12-01 01:35:59.037	99	3	3085663	4
20211201-1368805102938494737	-1	246	2021-12-01 04:52:04.949	4	4	178700	4
20211201--9130837662492596232	-1	23813	2021-12-01 06:41:39.927	34	3	2780144	2
20211201-3932293016302595942	1	20332	2021-12-01 02:36:34.415	1	1	1583748	2
20211201--5977206249709820947	-1	13942	2021-12-01 21:05:50.961	1	1	2628663	2
20211201--8189367635149192520	0	3606	2021-12-01 19:07:49.522	5	5	3737124	1
20211201-6415463320544086130	1	22465	2021-12-01 03:55:00.145	2	2	8999272	1
20211201-3179508537763837158	1	3370	2021-12-01 07:35:52.379	1	1	4077281	2
20211201-7888100658045823791	1	14137	2021-12-01 09:46:25.819	5	5	9917823	4
20211201-3672645231566019411	0	26453	2021-12-01 23:07:38.063	5	5	376001	4
20211201--7387297391393853817	1	16048	2021-12-01 12:33:20.738	4	4	7444219	4
20211201--4440284557126251203	1	12078	2021-12-01 07:51:14.721	1	1	6803693	4
20211201--7197111906217783010	0	12636	2021-12-01 02:02:30.595	1	1	6247553	3
20211201-4415321108477378456	-1	4283	2021-12-01 13:39:19.542	1	1	7183990	4
20211201--6842195400941829928	-1	32953	2021-12-01 15:29:28.704	5	5	3985070	4
20211201--1995352415583356764	0	34258	2021-12-01 13:35:15.828	4	4	6117547	1
20211201--4057166704030079947	0	23556	2021-12-01 00:58:02.739	4	4	7361626	3
20211201--1518669459834802865	0	773	2021-12-01 12:08:21.651	5	5	9874886	1
20211201--6960564677495040449	0	23198	2021-12-01 04:59:16.595	5	5	9326262	1
20211201-1190779216420116632	1	2921	2021-12-01 19:40:46.262	92	3	3842191	2
20211201-7919562881312184727	-1	10859	2021-12-01 00:36:11.404	1	1	787711	2
20211201--2703549851581711320	0	11865	2021-12-01 05:03:33.748	38	3	8159952	4
20211201-699069869210810258	-1	2303	2021-12-01 03:22:42.719	1	1	2806577	4
20211201--638589428972807574	-1	20475	2021-12-01 03:22:47.946	4	4	641911	4
20211201--6522367635398551299	-1	38595	2021-12-01 08:39:53.333	52	3	569258	4
20211201--1132505307350631107	0	14290	2021-12-01 10:35:57.255	5	5	5984845	3
20211201-6804554102276534386	0	38331	2021-12-01 06:45:04.279	1	1	5117509	3
20211201--1792214644108898552	-1	32048	2021-12-01 02:48:13.854	2	2	5758543	3
20211201--8261083166969701083	1	29699	2021-12-01 16:07:31.194	5	5	6531422	1
20211201--5322344441283288883	-1	20175	2021-12-01 17:07:53.873	5	5	8568546	4
20211201-9060638409898748958	1	8106	2021-12-01 02:48:02.125	2	2	3899599	2
20211201--119988147662536418	1	23287	2021-12-01 18:28:04.861	5	5	5593487	2
20211201--1344742769865026171	0	20677	2021-12-01 01:56:21.827	5	5	529453	3
20211201-270692839752337613	0	387	2021-12-01 23:15:46.289	2	2	5009915	4
20211201--4732037807121971530	-1	33246	2021-12-01 23:32:12.316	5	5	9720128	4
20211201--5765904829970296607	0	23898	2021-12-01 07:04:52.091	5	5	1509730	1
20211201-6295512774816154144	-1	1226	2021-12-01 06:26:07.812	4	4	692252	2
20211201--119972665640875304	0	9278	2021-12-01 00:32:35.868	4	4	7812187	1
20211201--2752842178667986727	-1	23798	2021-12-01 05:05:19.670	5	5	945955	1
20211201--2309513075169920394	0	19613	2021-12-01 21:35:52.086	1	1	4983798	4
20211201--1100244294439157214	-1	4973	2021-12-01 17:27:08.489	1	1	2893638	3
20211201-7731131826567471655	-1	18529	2021-12-01 21:20:14.016	79	3	2118213	2
20211201-3192030609572058496	1	16495	2021-12-01 05:04:47.913	1	1	4898540	4
20211201--3164219422453499860	1	21855	2021-12-01 21:04:46.497	2	2	2007127	3
20211201-4290420195070429677	1	17938	2021-12-01 08:18:46.188	1	1	3798365	2
20211201--2644750987403785945	1	35989	2021-12-01 09:04:21.839	2	2	9152948	4
20211201--4728317565184490893	-1	18780	2021-12-01 03:58:40.847	1	1	7189238	1
20211201--7170754430958042937	-1	29632	2021-12-01 19:31:55.109	2	2	6516558	3
20211201--6237893568008599594	1	29485	2021-12-01 03:28:48.229	4	4	9009623	2
20211201-6497678711809627279	0	38914	2021-12-01 20:00:29.193	4	4	8627994	4
20211201--371756332016575425	-1	25742	2021-12-01 15:10:52.101	76	3	2469445	2
20211201-4365697290690500205	0	25288	2021-12-01 01:03:15.380	28	3	10008271	2
20211201--5188086767684378088	-1	37242	2021-12-01 16:32:51.479	1	1	5141539	4
20211201-5449500103603509125	-1	33049	2021-12-01 19:53:11.849	94	3	1499330	3
20211201-7799210957626130730	1	26464	2021-12-01 01:49:11.280	2	2	6632308	3
20211201-6672924524186966247	0	15099	2021-12-01 11:26:27.848	92	3	3770036	4
20211201--6965366051529540229	1	9646	2021-12-01 16:37:24.385	43	3	15443	3
20211201-7559008114536465305	-1	37401	2021-12-01 12:09:18.813	4	4	3977741	2
20211201--5110482452747505544	-1	24644	2021-12-01 03:54:14.406	2	2	2033525	1
20211201-9132923629225799885	1	31613	2021-12-01 07:32:56.762	74	3	611736	4
20211201--6232957488493832019	0	30143	2021-12-01 17:00:31.071	5	5	7158315	4
20211201--2265211679047426005	0	38364	2021-12-01 19:23:37.460	1	1	4416973	4
20211201--7519852722132755573	0	17174	2021-12-01 09:22:49.910	4	4	733978	2
20211201--1315331482516454304	1	15853	2021-12-01 11:19:33.551	1	1	4127094	3
20211201--159654186362161888	-1	22207	2021-12-01 12:39:08.035	75	3	8038939	4
20211201--4709485329668690131	1	18586	2021-12-01 00:12:33.438	4	4	2084809	4
20211201-6502432837688573406	1	16360	2021-12-01 17:41:17.667	2	2	4352737	1
20211201--4471334333858742530	-1	19764	2021-12-01 14:39:43.141	1	1	4359113	2
20211201--6446300895080250605	0	32912	2021-12-01 10:17:48.919	62	3	9955623	3
20211201--4840274306873808173	1	27906	2021-12-01 16:34:43.633	30	3	2770389	4
20211201-3984018452728089029	1	35211	2021-12-01 02:08:21.593	5	5	2347899	3
20211201--2304830121570102125	0	27270	2021-12-01 17:47:26.795	61	3	263002	1
20211201--5258676500328006732	0	29240	2021-12-01 20:49:10.875	17	3	3376249	4
20211201-6636794115173271348	0	5312	2021-12-01 09:04:14.714	4	4	8810002	2
20211201-7318580425069934239	1	12770	2021-12-01 04:54:49.606	4	4	239158	2
20211201-4362092672440796591	0	5445	2021-12-01 19:09:56.073	1	1	6864626	2
20211201-4812642190852296858	0	18154	2021-12-01 02:45:08.212	5	5	906913	4
20211201-4552901026917449044	-1	3993	2021-12-01 08:57:09.587	5	5	1272916	4
20211201-2034211346485963507	0	23376	2021-12-01 00:04:45.975	5	5	3568866	2
20211201--4127913534578660904	1	22052	2021-12-01 05:50:33.710	1	1	8526067	1
20211201--9014138762376783132	0	9795	2021-12-01 23:56:30.178	2	2	2173529	4
20211201--347651848485166701	1	10266	2021-12-01 10:30:32.942	4	4	9093729	1
20211201--624164726233992464	-1	25579	2021-12-01 01:19:13.853	5	5	7801836	3
