transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211202--7833790687828954055	-1	36315	2021-12-02 00:28:00.971	61	3	7657733	4
20211202--4756534562750356107	-1	33954	2021-12-02 08:29:52.438	28	3	4871901	4
20211202--1584783613977589289	-1	180	2021-12-02 16:42:51.353	2	2	1800453	3
20211202-1643515053513678431	1	1189	2021-12-02 10:33:50.865	5	5	2367478	4
20211202-4219201128273412048	0	34316	2021-12-02 17:39:04.602	2	2	6734100	3
20211202-5456407894559911590	-1	3331	2021-12-02 11:43:03.461	1	1	239157	4
20211202--5985724608543667896	1	4618	2021-12-02 13:22:31.723	1	1	2152101	2
20211202--8289601919488996584	1	36736	2021-12-02 21:28:04.461	1	1	1561943	2
20211202-1959790512498993188	-1	4691	2021-12-02 03:57:45.081	4	4	5331385	3
20211202--4231835141089558001	-1	18152	2021-12-02 13:44:16.387	50	3	2409320	3
20211202--537177330301940325	0	15349	2021-12-02 13:33:56.830	5	5	9039301	2
20211202-6693183487910404214	0	22668	2021-12-02 20:48:39.229	76	3	6962684	4
20211202--3137970836873508673	0	14749	2021-12-02 00:04:55.629	5	5	8162279	3
20211202--1777581014592575105	0	14711	2021-12-02 15:22:23.858	80	3	2156912	3
20211202--3880434336820495454	0	18389	2021-12-02 07:21:44.809	2	2	7590306	2
20211202-678855655780362334	0	38890	2021-12-02 05:54:03.848	5	5	4278011	1
20211202-6025020569936297833	0	34861	2021-12-02 04:24:13.136	2	2	702389	1
20211202--1778077172269942602	0	32309	2021-12-02 23:31:48.257	2	2	9377427	4
20211202-310855087276514511	-1	13527	2021-12-02 20:13:14.203	2	2	2010026	1
20211202-3937948366908371949	-1	38141	2021-12-02 01:17:07.407	52	3	8509096	3
20211202--7302770988851569365	0	4364	2021-12-02 15:12:53.489	5	5	4647433	4
20211202--2082338103799732119	0	21423	2021-12-02 15:27:49.427	4	4	6587407	3
20211202-6749703055103469028	1	38603	2021-12-02 18:40:55.140	2	2	3552705	3
20211202--6094611602588396103	1	14690	2021-12-02 23:28:38.885	1	1	6102338	2
20211202--2926745844977996463	0	9487	2021-12-02 22:31:23.856	5	5	8814457	2
20211202--8563379353943314747	-1	30848	2021-12-02 00:52:50.885	82	3	1535955	4
20211202--5232571938592804199	0	13268	2021-12-02 17:04:56.619	1	1	1393374	4
20211202--3709668597023453357	-1	31022	2021-12-02 20:38:36.998	5	5	725012	2
20211202--6272284314493777197	1	17628	2021-12-02 05:16:08.527	4	4	2893863	3
20211202--6736009955322029693	-1	15185	2021-12-02 07:08:52.148	2	2	9280219	1
20211202-1372958801571323977	1	10176	2021-12-02 04:21:57.551	1	1	5640166	3
20211202--7410566543658112301	-1	24090	2021-12-02 20:04:49.027	77	3	3941317	1
20211202-7206797948355424077	1	21108	2021-12-02 12:34:40.815	109	3	4667533	4
20211202-6026894778979614550	0	4187	2021-12-02 04:30:16.896	2	2	1247340	3
20211202-3907300831792374351	-1	18407	2021-12-02 13:16:13.134	5	5	5806883	3
20211202--6596409421595966936	0	8153	2021-12-02 05:46:54.047	109	3	5341232	3
20211202--6349653928127410158	0	29756	2021-12-02 01:04:16.483	4	4	6626872	3
20211202--5165341534139295804	0	19364	2021-12-02 04:52:33.102	1	1	8648746	3
20211202--1421509750835299839	0	21141	2021-12-02 11:48:07.994	2	2	7037778	1
20211202-2778822579986192825	0	682	2021-12-02 11:14:42.919	4	4	6616928	3
20211202-4305833991854450356	1	8205	2021-12-02 15:25:04.324	4	4	417111	1
20211202-4853684286180016577	0	27882	2021-12-02 06:41:40.633	2	2	1468582	2
20211202-2282886686870209098	1	9292	2021-12-02 22:50:58.068	5	5	4657943	1
20211202-4323670069389654285	0	37198	2021-12-02 15:20:01.707	5	5	8233789	1
20211202--8810800777383724023	-1	30523	2021-12-02 05:55:48.415	2	2	6002566	1
20211202--2184054101889038247	-1	29501	2021-12-02 17:58:31.055	2	2	4678441	3
20211202--4062613856702140279	0	16324	2021-12-02 17:40:35.567	13	3	2442955	3
20211202--9023123375607429362	-1	10028	2021-12-02 18:14:16.283	5	5	7962173	2
20211202--3614360782044355498	0	1196	2021-12-02 00:37:44.148	5	5	3069835	1
20211202-7117324115571275397	0	37911	2021-12-02 07:21:26.650	1	1	1196259	3
20211202-8072760343188254420	0	24038	2021-12-02 06:17:46.280	2	2	410285	3
20211202--5115662208106556492	1	27708	2021-12-02 05:35:28.685	5	5	3617607	1
20211202--4927565776863007674	-1	30928	2021-12-02 18:38:06.190	4	4	8137862	2
20211202--8062049054311071688	-1	15905	2021-12-02 15:41:00.910	24	3	2476034	2
20211202-8234317716524717307	1	35329	2021-12-02 06:19:04.559	5	5	9208049	4
20211202-2174074496867634548	1	9978	2021-12-02 21:12:54.164	98	3	9562000	1
20211202-7600789823420995123	-1	2787	2021-12-02 13:24:34.884	4	4	3209557	3
20211202-3479265381931564906	1	32857	2021-12-02 09:44:15.581	32	3	7607736	4
20211202-7226971273613817325	1	7045	2021-12-02 01:51:23.303	5	5	9741385	2
20211202--1086610240527299584	1	12853	2021-12-02 05:36:25.162	1	1	6879703	4
20211202-6151732228460130017	0	8774	2021-12-02 00:32:40.526	103	3	7242492	2
20211202--1522939677283903377	0	7118	2021-12-02 08:38:33.167	4	4	7776620	1
20211202--412410760380551446	0	13105	2021-12-02 11:46:54.312	2	2	8974505	1
20211202--1847498290107627558	1	32790	2021-12-02 04:18:42.059	2	2	4385389	4
20211202-8508905036728696796	0	997	2021-12-02 15:04:58.648	4	4	1432004	3
20211202--799455401460204659	1	32915	2021-12-02 01:38:02.361	1	1	1539680	3
20211202-1135002669306107873	-1	13178	2021-12-02 23:03:23.573	5	5	3406764	2
20211202-5208231577034829706	0	1124	2021-12-02 06:30:41.317	4	4	1909010	2
20211202--766636348079594494	0	18134	2021-12-02 13:56:12.582	1	1	1222906	2
20211202--8902875370661400225	1	8201	2021-12-02 14:42:45.923	1	1	8039044	1
20211202-8484065901669955464	-1	12003	2021-12-02 16:22:42.998	2	2	9174946	3
20211202--8766023871219555518	-1	22187	2021-12-02 21:05:08.403	5	5	8090864	1
20211202-6140939086561748002	-1	34017	2021-12-02 17:04:07.966	2	2	2245548	1
20211202--5647393347292325288	0	5253	2021-12-02 22:06:22.603	1	1	2312421	2
20211202-5518089277899242722	1	26688	2021-12-02 17:05:00.128	1	1	10000736	4
20211202--2292530333455899743	0	11562	2021-12-02 08:38:02.780	80	3	3397546	3
20211202--3103411320068348966	-1	15738	2021-12-02 16:29:53.086	104	3	9928840	4
20211202-9112564236191559427	1	29867	2021-12-02 01:46:43.331	4	4	9644469	2
20211202-6970093736112354559	0	32862	2021-12-02 02:47:42.588	5	5	8896216	3
20211202-1556866488872198193	0	22175	2021-12-02 07:13:47.054	1	1	658299	1
20211202-8262427529512511069	0	22625	2021-12-02 01:24:50.127	2	2	3401851	1
20211202--2350334915263072603	-1	20924	2021-12-02 11:22:08.469	59	3	5019067	3
20211202-734108940877562848	1	10878	2021-12-02 22:34:15.540	34	3	5880326	4
20211202--41915535276624572	-1	38233	2021-12-02 12:48:20.075	5	5	635922	3
20211202--3793039683758416934	0	19803	2021-12-02 08:28:11.629	4	4	9304807	1
20211202--2773315051902150553	1	4024	2021-12-02 02:23:35.951	4	4	3148012	4
20211202-2688144957110356472	0	595	2021-12-02 10:10:27.797	1	1	3099216	2
20211202--7596756376184902385	0	12601	2021-12-02 06:04:53.427	2	2	9765794	4
20211202-2463882898661245767	0	38873	2021-12-02 18:18:14.736	2	2	4689558	4
20211202-7060984854897280658	0	23715	2021-12-02 21:39:16.943	4	4	8988111	4
20211202-3579129948916156618	-1	39413	2021-12-02 09:14:57.213	60	3	642056	3
20211202-7206696906990150228	0	7846	2021-12-02 06:28:24.854	4	4	5473494	4
20211202-4837337975160907320	0	8661	2021-12-02 13:07:42.554	1	1	4731994	4
20211202-2923437856869191415	-1	39964	2021-12-02 00:57:14.002	2	2	7161099	1
20211202--8633082225002156327	0	31050	2021-12-02 09:25:36.954	5	5	5173456	2
20211202-63997999050727372	1	22772	2021-12-02 11:51:16.556	4	4	2163533	2
20211202--4717029962243140856	-1	10275	2021-12-02 22:48:47.290	5	5	7534822	1
20211202--3448419803176949994	-1	15781	2021-12-02 04:53:39.633	2	2	9791466	4
20211202-2882658884628414256	-1	36802	2021-12-02 00:32:41.157	96	3	6219047	2
20211202--7338565758106870177	0	19196	2021-12-02 22:35:06.960	2	2	8170830	4
20211202--7404432109937837821	-1	2446	2021-12-02 21:50:08.905	1	1	7243200	4
20211202--2098731697867967301	-1	28978	2021-12-02 11:06:42.212	5	5	163837	1
20211202-8837976550936057356	0	12275	2021-12-02 16:59:47.122	1	1	33735	2
20211202--2551632274155406723	0	10676	2021-12-02 16:34:12.464	1	1	4961243	3
20211202-8327542712298839796	0	11030	2021-12-02 05:14:11.266	2	2	6256645	2
20211202-8920368029431868838	1	15254	2021-12-02 11:54:59.362	1	1	1513393	4
20211202--2218910796793504827	1	18332	2021-12-02 17:35:01.085	2	2	3071984	3
20211202--8470531931602051793	1	12494	2021-12-02 19:35:04.381	1	1	8054083	3
20211202--7128116978567082096	-1	26480	2021-12-02 00:50:23.125	67	3	4945841	3
20211202--89029563817983469	-1	13270	2021-12-02 07:39:15.309	4	4	6426635	2
20211202--3718234415117957569	0	31136	2021-12-02 16:52:48.563	2	2	9478044	1
20211202--4346350717230509413	0	28082	2021-12-02 16:37:30.125	4	4	6691470	3
20211202--4367734103227604676	1	29647	2021-12-02 17:10:13.370	1	1	522053	4
20211202--9140770069889616570	0	34042	2021-12-02 12:18:12.235	100	3	8791268	4
20211202--3972665605232582790	-1	39508	2021-12-02 22:43:29.292	20	3	6572499	3
20211202--4178362187205437838	-1	4971	2021-12-02 11:30:53.660	1	1	9640455	1
20211202-6066665487365667954	1	6886	2021-12-02 19:20:12.588	1	1	2669229	3
20211202-1397682278256679636	-1	34593	2021-12-02 22:29:32.858	4	4	8034930	2
20211202--2237515950031201765	0	38564	2021-12-02 10:30:01.035	4	4	8775602	3
20211202-7107760658917011863	-1	7347	2021-12-02 13:45:53.195	4	4	545845	4
20211202--4531948668974026527	-1	35839	2021-12-02 01:27:16.566	4	4	9497797	2
20211202-1210481831004623493	1	17750	2021-12-02 01:05:33.470	5	5	462253	3
20211202-573828888972163231	0	5000	2021-12-02 23:27:13.663	4	4	5153928	2
20211202-3253510380825800951	-1	4095	2021-12-02 05:49:53.394	5	5	7054708	2
20211202-3076855097893350579	1	21593	2021-12-02 12:31:44.702	4	4	6831645	2
20211202--2560588777216879354	-1	3505	2021-12-02 14:59:27.527	18	3	4288171	3
20211202--8337905398576190655	0	20949	2021-12-02 04:50:35.572	5	5	6368540	2
20211202--8589089409209835006	-1	25176	2021-12-02 15:16:09.427	23	3	144199	4
20211202-5539379609977200101	1	27086	2021-12-02 03:44:20.746	5	5	6766962	1
20211202-5610546306671418711	1	14688	2021-12-02 12:04:25.038	2	2	2983364	1
20211202-1255685652811839314	0	36974	2021-12-02 07:10:06.958	44	3	2515674	1
20211202--6090973446434890475	0	1016	2021-12-02 09:35:48.253	4	4	8436727	3
20211202-7654048311370242158	1	36543	2021-12-02 05:33:34.609	5	5	5231069	3
20211202--5694408393858797860	0	5527	2021-12-02 13:02:30.634	11	3	4096286	2
20211202-5278756077667902757	-1	13964	2021-12-02 04:44:01.103	4	4	6827515	4
20211202--5497421408836047322	0	876	2021-12-02 14:55:31.651	4	4	1374751	2
20211202-353016676186216643	-1	34779	2021-12-02 06:24:34.999	1	1	9937919	3
20211202-4525986979987015028	0	19155	2021-12-02 18:23:54.198	36	3	1687038	2
20211202-7540512601047430678	-1	32564	2021-12-02 15:36:53.504	4	4	8060591	1
20211202-376556418595468350	0	18580	2021-12-02 03:44:49.272	4	4	2154548	3
20211202--4876454956866263798	-1	7145	2021-12-02 09:17:40.718	62	3	4210298	2
20211202-8626943041239369413	-1	28037	2021-12-02 06:50:12.224	4	4	2277989	1
20211202-7318506458409368779	0	1175	2021-12-02 18:44:29.653	2	2	2671715	3
20211202-3322415212992220060	-1	32889	2021-12-02 01:27:44.306	5	5	63029	2
20211202-7850726988289400596	1	8758	2021-12-02 03:10:35.467	2	2	8547773	3
20211202-3989935316534378777	0	11241	2021-12-02 17:36:39.029	5	5	9705967	1
20211202-1403510051383219496	0	11661	2021-12-02 08:06:52.804	5	5	9793550	4
20211202-4167768535623253287	0	9813	2021-12-02 12:13:15.200	1	1	9777980	4
20211202-4979467483077983375	-1	27791	2021-12-02 17:04:08.204	2	2	3691389	3
