transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211203--1988420712133554522	-1	19236	2021-12-03 23:12:26.143	1	1	9938555	2
20211203-1177179345636569135	-1	32230	2021-12-03 09:11:52.507	4	4	5245225	2
20211203--942675763751216364	0	34525	2021-12-03 13:02:00.151	1	1	4592994	1
20211203--1170338235349451122	1	24726	2021-12-03 12:06:05.908	13	3	7404815	4
20211203--3569362683424700182	-1	13614	2021-12-03 00:00:37.932	46	3	2277410	2
20211203--6770974734764323265	-1	12603	2021-12-03 17:53:36.697	4	4	1870395	2
20211203--3702096347681085205	0	31989	2021-12-03 03:08:31.832	2	2	163316	1
20211203--2536541091970450789	1	27609	2021-12-03 16:05:27.078	5	5	1825915	4
20211203--3599077070186326414	1	17590	2021-12-03 15:19:47.214	4	4	8682105	3
20211203-4766477246422274954	1	22012	2021-12-03 07:54:25.342	28	3	2411922	1
20211203--8130689465985442096	-1	29315	2021-12-03 07:54:27.411	5	5	8941564	1
20211203-4980602196614602795	0	34596	2021-12-03 11:20:57.817	5	5	9307682	3
20211203-4978952547490246926	1	5903	2021-12-03 23:54:11.227	2	2	8256940	3
20211203-5133675031539297661	1	20736	2021-12-03 01:40:47.485	4	4	6766685	1
20211203--3184283433732610914	1	36886	2021-12-03 21:43:30.493	2	2	5634570	2
20211203-8435163925587192768	0	16926	2021-12-03 04:43:35.673	62	3	1678879	1
20211203-171191704091805111	-1	24378	2021-12-03 00:46:52.713	1	1	5604249	4
20211203--7304331548922262116	-1	25293	2021-12-03 17:18:23.100	2	2	9366426	4
20211203--266796904206224411	1	8245	2021-12-03 20:43:37.004	66	3	9531371	2
20211203-4013475230060393507	1	17396	2021-12-03 10:56:25.104	5	5	7875844	2
20211203--1499854272655430058	-1	24193	2021-12-03 15:08:16.770	5	5	9399244	2
20211203--4305123984964408772	-1	1054	2021-12-03 18:37:30.043	5	5	6629597	2
20211203--4948633114986295446	-1	7066	2021-12-03 03:19:07.611	1	1	1131639	4
20211203-8670226472833229019	1	37148	2021-12-03 12:30:27.162	1	1	9126343	3
20211203--4037354332407953890	-1	3354	2021-12-03 22:27:43.801	92	3	757928	3
20211203--7635625203961257785	1	30615	2021-12-03 16:09:07.967	1	1	5475172	3
20211203--2993271378401954035	-1	9028	2021-12-03 16:33:04.121	89	3	7148095	4
20211203-2934244980846674598	-1	38707	2021-12-03 12:03:13.552	15	3	9643713	2
20211203-1483686405151430518	-1	37955	2021-12-03 05:47:06.778	2	2	4881795	1
20211203-6286542190379669574	-1	37785	2021-12-03 09:37:22.340	4	4	623199	3
20211203-5735875790101363970	1	26571	2021-12-03 06:33:30.893	5	5	5093395	1
20211203-4601833579314970866	1	22609	2021-12-03 10:18:09.365	4	4	3212890	1
20211203-107276011829808498	-1	22268	2021-12-03 17:44:15.964	5	5	2746207	4
20211203-3435660990627350357	0	13334	2021-12-03 08:09:15.292	1	1	7400561	1
20211203--2543432525392706810	1	34694	2021-12-03 04:06:46.468	1	1	6147709	3
20211203-3794799683140849736	-1	34374	2021-12-03 18:38:45.013	40	3	4644142	3
20211203--796152139078534087	0	32985	2021-12-03 18:47:27.972	4	4	7094626	4
20211203-5363683145456392679	1	9557	2021-12-03 21:43:38.764	2	2	8257595	1
20211203--530694551531136490	-1	32315	2021-12-03 14:07:39.425	29	3	3128719	3
20211203--5292550166557123308	1	21852	2021-12-03 04:01:34.840	97	3	3047286	4
20211203--4743885174217170014	0	29473	2021-12-03 07:37:47.130	2	2	3225341	4
20211203-6124359926141661516	0	9366	2021-12-03 10:24:51.124	5	5	2996117	1
