transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211204-7085294113363655234	0	28624	2021-12-04 04:18:35.299	2	2	6636874	2
20211204-6064024831784595892	-1	29091	2021-12-04 07:07:12.700	1	1	5646525	3
20211204--7698283053976952479	1	36139	2021-12-04 16:55:59.696	4	4	7423066	3
20211204--8546979202650857622	0	2848	2021-12-04 23:58:08.555	4	4	2633167	4
20211204--4224660587009376618	0	7240	2021-12-04 22:20:07.389	2	2	8750966	2
20211204-8943269409514042913	0	30663	2021-12-04 07:36:04.026	5	5	8026947	4
20211204-1550708244011426565	-1	16568	2021-12-04 03:31:41.770	4	4	862725	3
20211204-7190786171719947214	0	34829	2021-12-04 07:56:58.232	68	3	1413166	1
20211204-7834595871103705705	1	29370	2021-12-04 16:48:10.991	4	4	2366530	4
20211204--224053959686201112	0	1530	2021-12-04 03:07:21.035	5	5	5725848	4
20211204-323137175247743467	-1	28096	2021-12-04 20:13:23.466	1	1	5608578	4
20211204-5348284798647432493	1	25973	2021-12-04 03:01:39.862	56	3	7569422	3
20211204-3686898259322752734	1	39879	2021-12-04 04:15:10.505	5	5	2625289	1
20211204--2264057566137824014	-1	14791	2021-12-04 03:22:14.510	1	1	8323181	3
20211204-6139848691152147221	1	33499	2021-12-04 08:53:23.839	4	4	3561801	2
20211204-1914938705719027289	1	22601	2021-12-04 05:41:25.079	5	5	3381051	1
20211204-5931665024377511054	0	38133	2021-12-04 15:17:28.910	5	5	928262	2
20211204-2286800417470238608	1	23216	2021-12-04 18:13:21.804	2	2	4600610	1
20211204-2169808177829743122	0	32986	2021-12-04 08:44:09.347	5	5	5956618	3
20211204-376658936565171071	0	12286	2021-12-04 03:29:00.913	5	5	15110	4
20211204--3741546022111691535	-1	20169	2021-12-04 03:05:56.646	5	5	7325445	4
20211204-7763497618544415646	1	39353	2021-12-04 07:37:29.981	5	5	9687369	4
20211204-4552753036318560542	1	31618	2021-12-04 05:42:17.357	14	3	1613850	2
20211204-4327312194086757543	1	18011	2021-12-04 07:23:56.347	4	4	4423561	1
20211204-7283660863441966653	-1	21544	2021-12-04 01:32:17.189	1	1	35527	4
20211204-1188392808724562245	0	18477	2021-12-04 20:31:06.785	1	1	100931	3
20211204-4874200845471395381	0	22746	2021-12-04 22:47:32.626	5	5	7192949	3
20211204-8624451987875538039	0	18374	2021-12-04 20:33:26.523	4	4	6615561	4
20211204-8151791785378978322	0	8523	2021-12-04 20:52:00.486	48	3	918347	1
20211204--161028412624115898	-1	28730	2021-12-04 07:18:37.301	2	2	5231793	1
20211204--8367954294348641783	1	30058	2021-12-04 22:54:04.691	2	2	8902459	3
20211204--1950338179742116834	0	7820	2021-12-04 11:57:18.857	5	5	6834170	3
20211204--8187980699139818248	-1	772	2021-12-04 19:35:32.214	1	1	6910076	1
20211204--8497133615505267967	0	2568	2021-12-04 19:11:57.218	5	5	3973331	4
20211204--6515029865097292248	-1	29241	2021-12-04 11:53:48.569	1	1	2025634	2
20211204--4803525196571670950	0	12041	2021-12-04 02:31:39.245	1	1	7752410	4
20211204-5411189382468888832	-1	17140	2021-12-04 06:49:54.898	4	4	2944164	2
20211204-4752573738429884315	1	21781	2021-12-04 04:04:25.707	4	4	9682062	1
20211204--4633936445996085406	-1	19138	2021-12-04 10:20:38.947	5	5	4959825	4
20211204-6517044833444555752	1	33786	2021-12-04 16:38:14.549	2	2	8644050	3
20211204-2075139455353332359	0	26391	2021-12-04 09:26:17.329	107	3	9547143	4
20211204-1870046506295602495	1	16241	2021-12-04 03:57:00.631	5	5	9774839	4
20211204--8800138822467281931	0	26989	2021-12-04 09:09:20.320	2	2	9539433	3
20211204--5075778218978656571	-1	21817	2021-12-04 22:43:37.149	4	4	6461198	2
20211204--1222434093018703198	-1	9745	2021-12-04 03:23:33.027	1	1	3147391	1
20211204--6328879740481095094	-1	4649	2021-12-04 15:26:57.291	95	3	2715032	2
20211204--7743000565164843553	0	36880	2021-12-04 17:56:03.787	5	5	6459394	1
20211204-3940905023836809915	-1	30042	2021-12-04 08:01:18.418	4	4	678385	3
20211204-7674856195772265387	1	5189	2021-12-04 14:12:40.854	2	2	909192	2
20211204--2653228715047297845	-1	1362	2021-12-04 20:30:19.703	2	2	7468047	4
20211204-252640229003366330	-1	32937	2021-12-04 09:35:32.332	2	2	1999068	3
20211204-2835929523002991675	0	8306	2021-12-04 01:39:09.453	1	1	340133	3
20211204--776370190637199944	0	16842	2021-12-04 16:34:18.390	41	3	6218722	3
20211204--8713300762443759961	-1	24538	2021-12-04 23:58:20.225	1	1	5040451	3
20211204-2530699242199618224	1	5189	2021-12-04 04:43:40.261	5	5	5526240	3
20211204--5426948058990355823	-1	10899	2021-12-04 17:32:42.861	42	3	5891771	4
20211204--6308835659902940843	-1	15037	2021-12-04 15:57:53.461	60	3	6433584	2
20211204-5784339558114756955	1	23862	2021-12-04 07:14:35.376	1	1	6161056	2
20211204-5698805511573174265	0	22582	2021-12-04 04:12:18.027	5	5	2290420	4
20211204-7463969935286211231	-1	2206	2021-12-04 13:59:23.425	34	3	6358309	2
20211204-7268978389620798403	1	30484	2021-12-04 04:50:04.648	67	3	9353739	4
20211204--4673090014828381772	0	8344	2021-12-04 11:08:31.994	2	2	6625819	3
20211204--6052447778733357590	1	12181	2021-12-04 18:26:43.254	92	3	9427090	4
20211204-8447579083407401016	0	16511	2021-12-04 09:19:10.198	1	1	5912403	1
20211204-1204228184903371366	0	5110	2021-12-04 08:48:44.588	4	4	5920804	2
20211204--8274747357737230176	-1	14719	2021-12-04 19:30:07.177	4	4	4435664	1
20211204--7466828393975531160	0	12583	2021-12-04 07:50:14.040	4	4	7709523	4
20211204-7124807831635917749	-1	11364	2021-12-04 00:03:50.837	5	5	3796984	1
20211204--7554785114254823347	1	8465	2021-12-04 10:55:54.083	82	3	8880436	3
20211204--6939826459393412879	-1	33795	2021-12-04 02:10:11.638	36	3	807528	3
20211204--1287204441338652836	1	3734	2021-12-04 04:20:10.307	4	4	3794722	1
20211204-1470840765453538772	0	34623	2021-12-04 02:00:03.138	5	5	1823920	4
20211204-6758546909113643659	-1	20548	2021-12-04 16:28:01.031	1	1	9244933	1
20211204--1219484489735484221	1	39012	2021-12-04 12:19:23.481	1	1	854419	3
20211204-4819512944523727600	0	26969	2021-12-04 02:59:16.428	5	5	3677198	3
20211204-161564256838949825	-1	3338	2021-12-04 06:53:17.444	1	1	6557468	2
20211204-5046974641504561028	1	39851	2021-12-04 19:10:43.303	5	5	9180918	3
20211204--9144541620558500100	-1	6038	2021-12-04 23:03:01.150	1	1	2761029	1
20211204--8959515559600132513	1	764	2021-12-04 17:16:35.867	2	2	863017	3
20211204--7939319005144403756	1	25002	2021-12-04 14:14:55.892	4	4	1713088	3
20211204-1886721941422267355	1	6584	2021-12-04 07:46:02.420	82	3	8236972	4
20211204--8115631101078578778	-1	9359	2021-12-04 01:16:01.248	2	2	3295690	4
20211204-6928359002600435191	1	34857	2021-12-04 09:39:15.741	2	2	6222922	3
20211204--4504303457572058249	0	38011	2021-12-04 18:38:31.283	4	4	7984015	2
20211204--5642245045807629777	0	4124	2021-12-04 02:13:29.181	1	1	3380135	4
20211204--3514320792110137900	1	30103	2021-12-04 17:57:05.054	5	5	4951223	4
20211204--6884993390863094815	0	26609	2021-12-04 05:24:06.069	4	4	1332957	1
20211204--7695957757257242956	-1	35852	2021-12-04 15:11:07.319	2	2	7122602	4
20211204-6053630272153829286	-1	35332	2021-12-04 00:28:54.097	17	3	9759706	3
20211204-7716241418290424755	-1	30320	2021-12-04 14:01:11.337	2	2	4114819	2
20211204--3765660397781020676	0	1959	2021-12-04 07:53:44.467	4	4	239485	1
20211204-7268114995179570961	-1	32939	2021-12-04 17:29:34.695	101	3	9984005	4
20211204-808963705976794771	1	38304	2021-12-04 11:50:32.434	5	5	5993493	3
20211204--5336187988041965027	-1	36862	2021-12-04 01:00:27.156	4	4	8520764	3
20211204-7668910040922234437	-1	2910	2021-12-04 17:05:08.474	4	4	2254757	4
20211204--2161149889352781406	1	39704	2021-12-04 01:54:32.879	69	3	4647265	2
20211204--7466310330634323401	-1	3088	2021-12-04 06:44:30.644	17	3	912130	4
20211204--8194156374257903556	1	25456	2021-12-04 19:53:32.173	2	2	8304243	4
20211204--5782709906372826279	1	21061	2021-12-04 07:58:26.615	5	5	1980311	4
20211204-189892855187941640	0	24863	2021-12-04 05:49:38.128	2	2	1448244	2
20211204--338136766133105074	0	7764	2021-12-04 20:56:33.395	5	5	4792991	4
20211204--2582247293139822874	0	9666	2021-12-04 21:05:55.616	5	5	1062304	3
20211204--5818453080878510777	1	21632	2021-12-04 10:50:01.003	1	1	1703967	2
20211204--8259872001331987873	0	34544	2021-12-04 04:40:23.500	1	1	6419139	2
20211204-6521079777184414714	1	20722	2021-12-04 00:38:43.661	108	3	6998882	3
20211204-1653248247491796001	-1	25096	2021-12-04 11:03:11.527	53	3	1560586	3
20211204-6284950466364038884	0	39338	2021-12-04 13:59:22.802	47	3	8495513	3
20211204-8851340117058510674	1	7244	2021-12-04 18:50:08.096	1	1	4068113	2
20211204--3247899822423099708	1	24043	2021-12-04 19:20:50.983	1	1	5058909	1
20211204-1747568717520557610	0	9526	2021-12-04 16:36:19.567	43	3	2266133	1
20211204--4616012591970940790	-1	128	2021-12-04 05:19:48.894	4	4	5727622	2
20211204--9088579656670465111	-1	38426	2021-12-04 08:20:40.788	66	3	5099088	2
20211204-5053166179175418850	1	21273	2021-12-04 12:37:59.303	2	2	3909980	2
20211204--7024148429123403869	1	38430	2021-12-04 05:30:19.328	5	5	51054	2
20211204--7177051093002948031	-1	2914	2021-12-04 15:23:59.519	4	4	9950837	4
20211204-4045182347931277942	0	34350	2021-12-04 04:20:27.186	2	2	6053101	1
20211204-3141337442227476353	0	39271	2021-12-04 05:07:15.783	4	4	8671485	2
20211204--7996532511305070561	1	18610	2021-12-04 10:40:12.687	4	4	4894633	2
20211204--8639200026239467008	0	13641	2021-12-04 02:13:09.788	90	3	8030892	1
20211204--1312322334236824829	0	651	2021-12-04 18:30:17.313	33	3	8346798	2
20211204-1036636940800346233	1	7254	2021-12-04 05:39:42.778	53	3	4020662	1
20211204--895902327330465238	1	35834	2021-12-04 14:51:39.347	1	1	1140915	3
20211204-6869936460650682916	0	16382	2021-12-04 04:41:41.469	5	5	3000453	3
20211204-7730787750160503443	0	30743	2021-12-04 05:46:16.662	99	3	136175	4
20211204-4339687638697057694	1	25650	2021-12-04 05:37:30.307	14	3	8012386	4
20211204-6929870309548800384	0	14920	2021-12-04 07:34:49.409	5	5	6672728	3
20211204-9051541920168399181	0	1661	2021-12-04 06:59:34.790	48	3	1126385	4
20211204--5223388685203246485	1	11071	2021-12-04 04:21:26.009	4	4	462461	2
20211204-8804149251042588875	0	20602	2021-12-04 14:49:09.503	4	4	5656506	1
20211204-8659270631631788985	-1	31539	2021-12-04 02:14:30.577	2	2	4686599	4
20211204--1377950206950279787	0	16643	2021-12-04 11:36:29.168	5	5	967687	2
20211204--8470663868800572100	1	4916	2021-12-04 11:35:27.845	102	3	1618437	2
20211204-1013634487221484363	1	22816	2021-12-04 21:16:59.240	5	5	6545206	3
20211204--6251128026221378115	0	10297	2021-12-04 19:56:32.922	33	3	2748623	4
20211204-400310361023895184	0	22252	2021-12-04 16:58:38.245	70	3	8854770	2
20211204-5664747061452409474	-1	20565	2021-12-04 16:45:38.845	2	2	846786	2
20211204-6247221911092497475	1	39024	2021-12-04 19:03:07.884	44	3	116550	4
20211204--4025085777002972200	0	5015	2021-12-04 05:12:41.459	2	2	6467301	4
20211204--1755137667666192855	1	14837	2021-12-04 09:43:02.872	5	5	1754390	3
20211204--8861305361768561159	0	18686	2021-12-04 08:16:52.198	1	1	174373	4
20211204-2950272220973903828	-1	23478	2021-12-04 16:20:52.678	2	2	5601247	1
20211204-3173559669644646285	1	30202	2021-12-04 20:50:28.629	5	5	7206433	3
20211204--6772407129689215330	0	2925	2021-12-04 00:51:55.345	2	2	7155137	3
20211204-8776581767183552159	0	38451	2021-12-04 14:46:33.240	2	2	7330304	1
20211204--1995374301223292977	1	27898	2021-12-04 03:41:03.271	5	5	4892590	1
20211204--8686813711305808333	-1	32885	2021-12-04 19:37:14.838	1	1	7301175	4
20211204-1223311488441054036	0	15869	2021-12-04 13:45:18.663	2	2	2389970	1
20211204-3567115345912762503	-1	2276	2021-12-04 13:59:07.118	107	3	8934071	1
20211204--2797341883770134818	0	5582	2021-12-04 14:42:06.745	5	5	5386949	2
20211204--8896769892403142041	1	13369	2021-12-04 14:33:18.107	5	5	1732103	4
20211204--4022383294857524448	1	13609	2021-12-04 12:37:42.664	5	5	362492	2
20211204--7133782451316889676	-1	6494	2021-12-04 04:18:34.299	94	3	4213848	2
20211204-3945120410479461941	1	806	2021-12-04 01:46:05.081	4	4	9580666	4
20211204-699597346223619882	0	16416	2021-12-04 21:11:25.082	48	3	5610215	1
20211204-4316280725426128929	0	18813	2021-12-04 15:46:04.036	1	1	2977089	1
20211204-4189048049598462175	-1	7464	2021-12-04 12:33:25.185	5	5	1442307	2
20211204-3669335663414974546	0	5777	2021-12-04 00:52:31.476	2	2	9022136	3
20211204--963772105818286578	0	15548	2021-12-04 06:53:11.502	86	3	1015290	4
20211204--7256417007359124036	1	9385	2021-12-04 06:13:10.423	1	1	8243837	2
20211204--8702263889650079736	-1	14046	2021-12-04 17:29:37.379	5	5	2154034	3
20211204--5738331062920799824	0	34798	2021-12-04 01:11:33.671	4	4	669122	2
20211204--3223984880052253091	-1	26928	2021-12-04 17:27:23.885	2	2	7648548	3
20211204--6279152190100602151	-1	33987	2021-12-04 13:06:46.276	16	3	3637758	4
20211204--9033708226154686756	-1	29462	2021-12-04 01:11:17.841	2	2	2509057	4
20211204-2111024121871805839	1	14949	2021-12-04 21:31:30.315	2	2	3635709	4
20211204-1334838372933727629	1	38017	2021-12-04 22:56:01.968	5	5	7927554	4
20211204-7567375003514100860	-1	19514	2021-12-04 05:45:37.555	16	3	2315496	4
20211204--6491853561870180639	-1	3969	2021-12-04 20:49:48.671	1	1	5983868	4
20211204--7753787014075342622	-1	33508	2021-12-04 23:44:16.117	5	5	5437193	1
20211204--2223378872439410317	0	10448	2021-12-04 06:06:20.710	5	5	8080810	1
20211204-7083570746493823417	1	18767	2021-12-04 03:04:30.466	5	5	5014445	4
20211204--7017809344338173736	1	36726	2021-12-04 04:44:17.100	2	2	8727562	4
20211204-5606980052853100767	1	9335	2021-12-04 04:26:47.567	60	3	9921115	4
20211204--5331588806502311353	0	27992	2021-12-04 04:04:52.915	4	4	2211132	1
20211204--3063379030575642359	-1	10095	2021-12-04 10:48:53.963	2	2	565936	3
20211204--2594870884815772363	0	4169	2021-12-04 21:33:57.179	4	4	5591723	1
20211204--2807200055433272795	-1	34044	2021-12-04 14:57:04.900	1	1	8270606	2
20211204-7046018581749379141	0	23633	2021-12-04 06:47:31.670	91	3	2448456	2
20211204-5227753251041634467	1	35027	2021-12-04 23:14:17.712	1	1	4486237	3
