transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211205-3772590685884118488	1	38775	2021-12-05 21:24:51.413	60	3	8044524	3
20211205-7848865313665249008	-1	38263	2021-12-05 00:41:10.060	2	2	5069257	3
20211205--3267203473671632377	-1	35308	2021-12-05 14:35:02.707	47	3	2032394	4
20211205--7110967981351266468	1	29588	2021-12-05 11:34:14.312	4	4	2031412	4
20211205--2851088718501539224	1	2555	2021-12-05 14:27:41.930	49	3	2555878	4
20211205-5975941016317187106	0	13078	2021-12-05 12:55:07.001	2	2	412218	3
20211205-1066049047140016215	0	37373	2021-12-05 14:16:26.867	4	4	4933156	4
20211205-2587338332437305322	0	814	2021-12-05 11:11:50.281	5	5	7008779	4
20211205--2968638897580488716	-1	11885	2021-12-05 16:37:03.750	1	1	1404710	3
20211205--6117805492995288431	-1	5703	2021-12-05 05:50:00.766	5	5	4442132	1
20211205--7318542695592598554	0	29529	2021-12-05 02:20:27.465	2	2	1674617	1
20211205--3520467020476144576	-1	13004	2021-12-05 20:54:00.679	22	3	8063894	1
20211205--4071688743110975867	1	34034	2021-12-05 17:11:52.058	4	4	8228007	2
20211205-645568595711834893	1	11783	2021-12-05 22:17:10.812	17	3	8587342	4
20211205--8814761233481142076	1	18429	2021-12-05 21:19:05.617	2	2	5411759	1
20211205-4429924786045179723	1	32519	2021-12-05 05:19:02.760	4	4	7084532	2
20211205-4591882040674357888	0	30861	2021-12-05 08:42:36.037	96	3	488965	2
20211205--8962771098198254162	1	36421	2021-12-05 19:32:58.321	2	2	6284369	1
20211205--3112791917467409839	1	5453	2021-12-05 12:08:21.032	4	4	127353	3
20211205-5887436145400832936	1	14777	2021-12-05 21:47:45.194	5	5	6007536	4
20211205-3204672623235946395	0	25937	2021-12-05 06:39:01.812	4	4	5792797	1
20211205-685319293557142665	0	21742	2021-12-05 06:04:43.491	5	5	3300165	4
20211205--3163783450588165717	1	21587	2021-12-05 02:41:20.055	5	5	1696513	4
20211205--8763789900380160347	-1	16633	2021-12-05 09:50:07.568	5	5	4703659	3
20211205-6476922763064654870	-1	21540	2021-12-05 19:49:40.198	2	2	4473901	1
20211205-2287772555882409475	1	39949	2021-12-05 16:01:45.872	1	1	7369136	4
20211205--8272810553425217775	1	19699	2021-12-05 10:16:28.493	103	3	7667039	2
20211205-5688629648119250136	0	32479	2021-12-05 11:27:00.759	2	2	6402387	1
20211205--5412107055373818500	-1	7392	2021-12-05 02:18:52.472	5	5	9089819	3
20211205--26274361517689599	1	5768	2021-12-05 20:43:00.817	4	4	4793022	3
20211205-6802899400805814899	1	15848	2021-12-05 01:09:35.671	2	2	4434372	1
20211205--4100079311625632275	0	5272	2021-12-05 20:56:13.603	1	1	3758696	3
20211205--3558357871024724835	1	36876	2021-12-05 19:41:39.165	106	3	7152024	2
