transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211206-6124513914105309032	-1	35539	2021-12-06 04:05:57.924	2	2	3404673	3
20211206--729829566278389766	-1	3964	2021-12-06 14:21:55.143	4	4	9665250	4
20211206-4544292573119778284	0	36670	2021-12-06 07:42:12.648	5	5	4883476	4
20211206-6893319380107924632	-1	17447	2021-12-06 15:48:49.164	91	3	1553816	4
20211206--7714996733104094662	1	34864	2021-12-06 17:44:10.190	5	5	1430121	3
20211206-6807801475935298201	1	18590	2021-12-06 02:54:21.328	1	1	3880411	4
20211206--7450872633290475690	0	35644	2021-12-06 08:38:22.326	5	5	4708442	4
20211206--592052689588542378	-1	9336	2021-12-06 04:20:01.337	5	5	6204077	1
20211206-5506804930709500030	1	2113	2021-12-06 08:52:02.522	1	1	8826462	3
20211206--7547101477585033443	-1	3951	2021-12-06 06:41:32.817	4	4	1658770	3
20211206--522840074948358866	0	34277	2021-12-06 13:30:08.651	5	5	1851856	1
20211206--4903669661744594694	0	8234	2021-12-06 21:18:31.499	4	4	3718745	4
20211206--8098819393991467902	-1	2060	2021-12-06 11:14:22.934	37	3	6339380	1
20211206--7534978641479507809	0	36726	2021-12-06 00:56:09.543	1	1	27192	3
20211206-4539799286592379409	-1	3711	2021-12-06 13:07:04.979	5	5	4884083	1
20211206-7719458967464369235	0	20353	2021-12-06 17:55:44.470	50	3	7670545	1
20211206-2885169800472277071	1	10689	2021-12-06 10:57:32.830	1	1	5987368	4
20211206-4237671608641883773	-1	34274	2021-12-06 17:30:42.587	1	1	3624224	2
20211206-8465815766263287524	0	34759	2021-12-06 21:28:48.343	71	3	6779659	3
20211206-7585315675749859397	-1	18013	2021-12-06 17:00:59.923	1	1	9031356	2
20211206-8468977175004804474	0	8468	2021-12-06 09:31:00.388	1	1	8011024	1
20211206-8823377152321164009	-1	14268	2021-12-06 07:57:24.281	2	2	600309	3
20211206--2368277193130029070	0	27277	2021-12-06 01:52:13.937	1	1	777599	3
20211206-8224351295961457114	1	30083	2021-12-06 17:23:17.539	1	1	4008518	1
20211206-5379479467466305036	1	27452	2021-12-06 05:49:43.830	31	3	9540423	1
20211206--6610941983960374106	-1	20803	2021-12-06 23:07:14.557	5	5	7443936	4
20211206--8532559755672641382	-1	25767	2021-12-06 17:16:34.759	5	5	1466687	1
20211206--3435930997950279827	1	32140	2021-12-06 13:28:52.541	2	2	8979614	2
20211206--7820682076291879287	1	32826	2021-12-06 14:18:51.654	2	2	9173363	3
20211206--8874242454131265698	-1	6431	2021-12-06 02:53:06.622	68	3	739394	3
20211206-2744557056966836364	0	31052	2021-12-06 15:06:18.837	2	2	1091987	3
20211206--3924715066526916182	-1	1988	2021-12-06 23:44:56.384	1	1	206191	3
20211206-5661321539332410360	1	32601	2021-12-06 22:45:22.124	2	2	1428285	3
20211206--4938755355514108703	0	5545	2021-12-06 10:58:26.297	5	5	9912216	1
20211206--2702664942184286802	-1	27172	2021-12-06 20:29:32.148	2	2	5702667	2
20211206--4499658763745592052	-1	17635	2021-12-06 13:21:20.750	1	1	582677	3
20211206-3015414528808476369	-1	11818	2021-12-06 15:11:11.705	1	1	6052558	1
20211206--7223085126457106694	1	18159	2021-12-06 18:20:02.746	2	2	2920550	2
20211206-5494271337205055323	1	35078	2021-12-06 10:39:01.800	2	2	9205005	4
20211206--8289031012668499128	1	8887	2021-12-06 15:58:14.670	2	2	1134432	1
20211206-6432992569632247910	0	15687	2021-12-06 10:39:48.417	97	3	5550393	1
20211206-422389698447889803	1	34647	2021-12-06 00:21:40.663	1	1	668167	3
20211206--8301443381342256898	0	13602	2021-12-06 22:13:53.001	2	2	2394388	2
20211206--7388977634933974480	-1	21469	2021-12-06 20:19:25.695	4	4	875235	1
20211206--2670732372641226777	1	28584	2021-12-06 07:09:03.756	2	2	9585871	1
20211206-2349064440148312572	-1	6541	2021-12-06 17:23:04.998	1	1	61187	2
20211206-5023079620384099304	0	35830	2021-12-06 11:37:34.297	5	5	6235280	2
20211206--6318938882207545957	0	13051	2021-12-06 06:23:23.299	4	4	359714	1
20211206--7292668523835583519	0	32959	2021-12-06 07:55:18.157	4	4	8110264	4
20211206-4556133057361961298	1	39341	2021-12-06 09:33:55.805	4	4	1294554	2
20211206--2320332059884321086	0	2334	2021-12-06 04:51:50.770	5	5	5130154	1
20211206-5057133677748378279	0	20947	2021-12-06 02:33:14.806	4	4	6152797	4
20211206--7875214618517070892	1	28349	2021-12-06 17:48:32.060	46	3	9022192	2
20211206-3620044017642579111	0	36124	2021-12-06 10:53:38.833	19	3	3255217	1
20211206--7213281188145229180	1	12487	2021-12-06 07:06:26.436	50	3	9294837	3
20211206--4616199000739606115	-1	18280	2021-12-06 10:09:45.768	4	4	3050633	2
20211206-3977961077954417579	0	34799	2021-12-06 07:59:18.566	12	3	8407731	1
20211206-8243160608913595821	1	17508	2021-12-06 12:33:29.238	13	3	8723723	3
20211206--8470844983826901401	1	1762	2021-12-06 04:39:12.083	27	3	3163408	4
20211206--1187276053673862164	-1	39919	2021-12-06 20:32:48.495	2	2	9519291	1
20211206--1172226701461900467	-1	35184	2021-12-06 22:05:26.159	4	4	8613102	1
20211206-5601165967336253529	-1	12214	2021-12-06 15:47:26.910	5	5	1895577	4
20211206--7142932780281349893	-1	20709	2021-12-06 17:58:19.204	5	5	7353378	3
