transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211207--767097535487855806	1	39807	2021-12-07 17:01:06.116	1	1	7039703	2
20211207-8757770830622729575	1	29941	2021-12-07 16:59:26.512	39	3	5188841	2
20211207-340124035902363204	0	3117	2021-12-07 20:12:44.178	1	1	7358348	3
20211207--2570744941622974287	-1	6195	2021-12-07 11:14:24.546	2	2	5307643	3
20211207-9081994746045947071	-1	30315	2021-12-07 18:22:06.361	4	4	5864093	1
20211207--9199587661702198548	0	26879	2021-12-07 17:51:29.452	2	2	6391422	1
20211207--6596013798175966556	0	28268	2021-12-07 03:16:47.770	2	2	5553089	2
20211207-1361737587010376749	-1	22170	2021-12-07 07:36:57.558	2	2	3378732	2
20211207-8139259983170020692	0	14424	2021-12-07 06:27:26.954	2	2	9046940	1
20211207--6517612765094726603	-1	25886	2021-12-07 12:20:43.803	44	3	1838053	2
20211207--3152302806090008996	0	27663	2021-12-07 22:40:03.681	5	5	4582638	3
20211207-3652537688889620703	0	6395	2021-12-07 23:46:19.048	2	2	801851	4
20211207-5241722880234136899	0	16777	2021-12-07 06:20:21.531	75	3	8164700	3
20211207-5663171531765878076	1	9904	2021-12-07 15:47:41.672	5	5	3430656	3
20211207--132278173155464736	0	24543	2021-12-07 18:11:34.425	26	3	9496005	3
20211207-3932046226487517217	0	32343	2021-12-07 06:22:10.922	1	1	1647019	2
20211207--1797139623557664819	1	16261	2021-12-07 16:20:31.446	1	1	8957784	1
20211207--3331196060333672723	0	23536	2021-12-07 20:58:43.176	4	4	9865357	3
20211207--6967496583658695383	1	3114	2021-12-07 01:26:13.689	1	1	8438463	3
20211207-2009804582659873799	1	18255	2021-12-07 01:03:54.038	83	3	9655413	3
20211207--6200243896129700779	-1	20538	2021-12-07 11:34:34.003	1	1	4897155	3
20211207-7515556383685219062	-1	13787	2021-12-07 10:55:57.316	42	3	3075281	4
20211207-3306767382704502362	-1	1419	2021-12-07 20:08:31.353	97	3	4725302	2
20211207-4265708020682898943	1	8321	2021-12-07 10:26:55.609	1	1	6024563	3
20211207-7245242930057116040	-1	10796	2021-12-07 14:11:55.803	4	4	6967736	3
20211207--2285387262537115744	1	8069	2021-12-07 01:10:05.527	4	4	4669492	4
20211207--4914622585684762029	0	28692	2021-12-07 16:00:31.092	4	4	2728902	3
20211207-1751800816500814230	-1	35971	2021-12-07 12:04:51.623	1	1	8776976	2
20211207--1401816039706086423	1	8396	2021-12-07 06:24:19.307	5	5	5318533	1
20211207--9143764696927481175	-1	29284	2021-12-07 15:10:07.885	5	5	3473690	4
20211207-680625005146259731	-1	295	2021-12-07 00:57:08.162	1	1	2934857	1
20211207-575516426325171265	-1	8352	2021-12-07 07:06:52.338	5	5	8665074	3
20211207-1348353558764943454	-1	19866	2021-12-07 17:10:53.023	5	5	4743666	1
20211207--6730966103934958938	-1	39484	2021-12-07 17:32:22.487	1	1	7772930	4
20211207-4683226824587188273	-1	18564	2021-12-07 21:28:36.439	5	5	4335703	2
20211207--5730934894935479396	0	15824	2021-12-07 04:37:29.268	1	1	9670176	1
20211207-5518117891416233349	0	1032	2021-12-07 12:55:03.959	1	1	7019380	1
20211207-2901399601755158450	-1	19412	2021-12-07 04:26:48.842	5	5	3530232	4
20211207--2768830436058050746	0	37765	2021-12-07 20:21:25.506	5	5	6235590	2
