transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211208--3737106502608954459	0	30863	2021-12-08 05:16:21.217	4	4	1468350	2
20211208-2090381522088866458	1	10068	2021-12-08 21:44:39.144	5	5	7272738	4
20211208-4104234011900034020	1	12836	2021-12-08 08:44:23.620	1	1	3298236	1
20211208--4215858545966616646	-1	27549	2021-12-08 18:05:02.764	53	3	5697340	4
20211208--3568814889207011078	0	37030	2021-12-08 05:03:27.563	1	1	8558227	2
20211208-7246413557094740630	1	26085	2021-12-08 13:02:21.734	1	1	543616	4
20211208--5213692371980446902	-1	7307	2021-12-08 14:01:56.707	2	2	9316343	1
20211208-8463108480000665648	0	31456	2021-12-08 15:45:03.136	55	3	2441797	3
20211208-3411006532202213167	1	32352	2021-12-08 01:13:51.649	42	3	8284986	4
20211208-7058519455785634482	-1	32362	2021-12-08 03:04:19.357	109	3	1573984	2
20211208-2031728083591283663	0	19649	2021-12-08 17:22:51.735	4	4	5859643	2
20211208--8816337070941838548	0	3655	2021-12-08 12:07:19.839	1	1	1089557	2
20211208--9036078621401302972	-1	17093	2021-12-08 11:25:05.642	2	2	2360064	4
20211208--1436632553618171730	0	1299	2021-12-08 12:41:02.962	1	1	606396	2
20211208--6035600994798716256	1	18464	2021-12-08 20:27:32.503	1	1	2171355	2
20211208-516195110498757948	-1	21693	2021-12-08 08:01:48.908	2	2	5056750	4
20211208--5220522038454927406	-1	7508	2021-12-08 06:34:41.179	71	3	4437677	2
20211208-2603585698435308293	0	18665	2021-12-08 02:51:20.640	4	4	4207964	3
20211208-5197730033917250958	-1	37971	2021-12-08 16:58:12.786	4	4	6073078	1
20211208-1309411582114963920	-1	4513	2021-12-08 20:21:13.778	28	3	5176350	3
20211208-7393532981905527449	-1	34724	2021-12-08 19:54:17.808	108	3	2023619	1
20211208--4032253668622296993	0	31860	2021-12-08 13:49:08.075	4	4	6941258	3
20211208-8822631549923614833	-1	38703	2021-12-08 04:16:28.563	30	3	5264792	4
20211208--3021958669312514909	0	25202	2021-12-08 06:12:54.487	5	5	9276227	1
20211208--8855593303216468566	1	35531	2021-12-08 06:47:46.334	5	5	6230621	2
20211208-6513962437313840868	-1	12593	2021-12-08 03:20:58.516	1	1	9876901	2
20211208--8406167238288178985	1	3298	2021-12-08 18:34:09.165	4	4	7443383	1
