transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20211209--1749303804614320835	1	28077	2021-12-09 05:10:56.950	1	1	4875384	4
20211209-5932584837129231643	0	6100	2021-12-09 10:46:56.319	4	4	2773152	3
20211209-5157976458628337447	-1	7041	2021-12-09 05:27:38.028	43	3	854874	1
20211209--3572271656644329747	-1	17484	2021-12-09 15:09:24.504	2	2	6438810	1
20211209--3073482869982855907	0	36316	2021-12-09 21:51:45.538	4	4	4415206	4
20211209-8799165163747221550	-1	19847	2021-12-09 10:58:08.379	5	5	7934411	3
20211209-4035455603706618074	1	4093	2021-12-09 12:07:48.838	2	2	3315104	3
20211209--3538188520174164685	-1	16990	2021-12-09 01:49:22.871	5	5	3950739	2
20211209-3662809842465011269	1	15194	2021-12-09 22:35:25.346	77	3	6743151	3
20211209-7650493202100642248	-1	27640	2021-12-09 14:32:26.694	4	4	6118952	2
20211209-4139736266512594997	-1	20150	2021-12-09 09:17:16.452	5	5	4349957	4
20211209--27336452973085841	1	28618	2021-12-09 16:09:52.203	1	1	6827055	2
20211209--5666303480187236734	0	11777	2021-12-09 08:57:10.810	5	5	1264040	2
20211209-6321680634940594219	0	27700	2021-12-09 07:20:31.019	106	3	6838961	4
20211209-6136453993895838386	-1	10797	2021-12-09 20:30:37.363	4	4	6278465	3
20211209--5268162470773735961	1	32853	2021-12-09 08:46:27.341	2	2	8354807	1
20211209-6625227733577466240	0	10891	2021-12-09 13:36:45.220	4	4	979655	3
20211209-6384243714590844148	0	21939	2021-12-09 23:51:22.279	2	2	902577	1
20211209-8127613856638474105	1	25135	2021-12-09 03:35:48.083	36	3	9749584	1
20211209-1763643647701674887	-1	24948	2021-12-09 07:54:36.977	5	5	4679933	1
20211209--7935433911177480509	0	26022	2021-12-09 09:08:04.825	51	3	5990972	3
20211209--5672088568851531887	-1	29345	2021-12-09 05:08:35.338	83	3	1439323	3
20211209--7001403849390009758	0	33883	2021-12-09 22:29:43.627	5	5	3602202	2
20211209-3932771411719690555	-1	34166	2021-12-09 16:14:27.157	2	2	8943592	3
20211209--7640682667973070575	-1	32436	2021-12-09 07:39:17.563	2	2	3412207	4
20211209-1635957036269360876	0	20800	2021-12-09 13:46:39.512	1	1	5221526	3
20211209--2401052445175965271	0	32045	2021-12-09 17:35:44.012	5	5	1640153	2
20211209--7669956878283004934	0	38895	2021-12-09 06:48:37.519	1	1	7052961	4
20211209--4276982317735495249	-1	33590	2021-12-09 10:54:43.846	4	4	3952950	1
20211209--4257117274586101734	0	13521	2021-12-09 00:07:56.573	5	5	1795165	1
20211209--4294904933887165687	1	30848	2021-12-09 17:53:58.846	94	3	5438412	3
20211209-2909350383066057371	1	15340	2021-12-09 20:13:30.424	95	3	3026095	1
20211209-3331042824961907381	-1	35498	2021-12-09 12:28:52.186	1	1	3954950	1
20211209-173289045705165313	1	29393	2021-12-09 15:55:35.437	28	3	727290	3
20211209-231894276635111199	0	35406	2021-12-09 02:51:59.259	4	4	8784999	1
20211209-5615003150853777083	1	15780	2021-12-09 19:41:55.396	5	5	6786024	2
20211209--6177976559221020410	1	2991	2021-12-09 02:48:50.721	4	4	7584764	4
20211209-5067961133355840294	0	13090	2021-12-09 06:20:00.569	107	3	4468374	3
20211209--735177770162221359	-1	17644	2021-12-09 11:04:18.195	2	2	1170497	3
20211209-372298815339929807	0	36834	2021-12-09 14:38:47.826	5	5	8540106	1
20211209--6548424992723383912	0	31320	2021-12-09 19:30:37.734	4	4	8360161	1
20211209-350038002264280623	1	19180	2021-12-09 20:19:11.945	44	3	7102198	3
20211209-4384222254149607290	1	4022	2021-12-09 16:36:05.487	5	5	9183795	4
20211209-5148339312008886600	-1	36238	2021-12-09 23:42:07.529	97	3	2546097	4
20211209--1746182509539909266	0	31481	2021-12-09 08:06:32.001	4	4	2335596	2
20211209--2264749883434722338	-1	18044	2021-12-09 23:04:16.577	5	5	3050534	4
20211209--6938433304655461174	0	24495	2021-12-09 08:41:21.645	5	5	2019113	4
20211209-2855684202527869311	0	19303	2021-12-09 04:53:19.200	5	5	5766191	2
20211209--1926380514435948687	1	18637	2021-12-09 14:22:07.762	2	2	2199121	3
20211209--7922314609911938147	0	2898	2021-12-09 21:13:11.255	29	3	281689	1
20211209--4780648944084559487	0	20862	2021-12-09 03:57:38.486	4	4	4486388	3
20211209--6049254213524665594	0	33588	2021-12-09 09:24:09.280	4	4	2087423	4
20211209--2282912538742694217	-1	7697	2021-12-09 03:48:29.184	5	5	5550450	2
20211209-1008310936771228035	-1	25081	2021-12-09 10:25:55.150	2	2	6837454	3
